la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
S12000034,Aberdeenshire,1,2019,-2.207601,56.933671,1,1,0,1,0,60,2,3,6,0
S12000034,Aberdeenshire,1,2020,-2.207601,56.933671,0,0,0,0,0,60,2,3,6,0
S12000034,Aberdeenshire,1,2021,-2.207601,56.933671,0,0,0,0,0,60,2,3,6,0
S12000034,Aberdeenshire,1,2022,-2.207601,56.933671,1,1,0,1,0,60,2,3,6,0
S12000034,Aberdeenshire,1,2023,-2.207601,56.933671,0,0,0,0,0,60,2,3,6,0
S12000034,Aberdeenshire,1,2024,-2.207601,56.933671,0,0,0,0,0,60,2,3,6,0
S12000034,Aberdeenshire,2,2019,-2.149749,57.481614,1,2,0,0,1,60,2,3,6,0
S12000034,Aberdeenshire,2,2020,-2.149749,57.481614,0,0,0,0,0,60,2,3,6,0
S12000034,Aberdeenshire,2,2021,-2.149749,57.481614,0,0,0,0,0,60,2,3,6,0
S12000034,Aberdeenshire,2,2022,-2.149749,57.481614,0,0,0,0,0,60,2,3,6,0
S12000034,Aberdeenshire,2,2023,-2.149749,57.481614,0,0,0,0,0,60,2,3,6,0
S12000034,Aberdeenshire,2,2024,-2.149749,57.481614,0,0,0,0,0,60,2,3,6,0
S12000034,Aberdeenshire,3,2019,-2.4614616666666667,57.5372995,3,3,0,1,2,30,1,6,6,0
S12000034,Aberdeenshire,3,2020,-2.4614616666666667,57.5372995,0,0,0,0,0,30,1,6,6,0
S12000034,Aberdeenshire,3,2021,-2.4614616666666667,57.5372995,1,1,0,0,1,30,1,6,6,0
S12000034,Aberdeenshire,3,2022,-2.4614616666666667,57.5372995,0,0,0,0,0,30,1,6,6,0
S12000034,Aberdeenshire,3,2023,-2.4614616666666667,57.5372995,0,0,0,0,0,30,1,6,6,0
S12000034,Aberdeenshire,3,2024,-2.4614616666666667,57.5372995,2,2,0,0,0,30,1,6,6,0
S12000034,Aberdeenshire,4,2019,-2.45761,57.17851,1,2,0,0,1,60,2,3,6,0
S12000034,Aberdeenshire,4,2020,-2.45761,57.17851,0,0,0,0,0,60,2,3,6,0
S12000034,Aberdeenshire,4,2021,-2.45761,57.17851,0,0,0,0,0,60,2,3,6,0
