la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
S12000035,Argyll and Bute,1,2019,-4.689277,56.021044,1,1,0,1,0,60,2,3,6,0
S12000035,Argyll and Bute,1,2020,-4.689277,56.021044,1,1,0,0,1,60,2,3,6,0
S12000035,Argyll and Bute,1,2021,-4.689277,56.021044,0,0,0,0,0,60,2,3,6,0
S12000035,Argyll and Bute,1,2022,-4.689277,56.021044,1,1,0,1,0,60,2,3,6,0
S12000035,Argyll and Bute,1,2023,-4.689277,56.021044,0,0,0,0,0,60,2,3,6,0
S12000035,Argyll and Bute,1,2024,-4.689277,56.021044,0,0,0,0,0,60,2,3,6,0
S12000035,Argyll and Bute,2,2019,-5.358013,56.561213,1,1,0,1,0,40,2,3,6,0
S12000035,Argyll and Bute,2,2020,-5.358013,56.561213,0,0,0,0,0,40,2,3,6,0
S12000035,Argyll and Bute,2,2021,-5.358013,56.561213,0,0,0,0,0,40,2,3,6,0
S12000035,Argyll and Bute,2,2022,-5.358013,56.561213,0,0,0,0,0,40,2,3,6,0
S12000035,Argyll and Bute,2,2023,-5.358013,56.561213,0,0,0,0,0,40,2,3,6,0
S12000035,Argyll and Bute,2,2024,-5.358013,56.561213,0,0,0,0,0,40,2,3,6,0
S12000035,Argyll and Bute,3,2019,-4.735855571428572,56.004358857142854,3,5,0,0,3,30,1,3,6,6
S12000035,Argyll and Bute,3,2020,-4.735855571428572,56.004358857142854,2,2,0,0,2,30,1,3,6,6
S12000035,Argyll and Bute,3,2021,-4.735855571428572,56.004358857142854,0,0,0,0,0,30,1,3,6,6
S12000035,Argyll and Bute,3,2022,-4.735855571428572,56.004358857142854,0,0,0,0,0,30,1,3,6,6
S12000035,Argyll and Bute,3,2023,-4.735855571428572,56.004358857142854,2,2,0,1,1,30,1,3,6,6
S12000035,Argyll and Bute,3,2024,-4.735855571428572,56.004358857142854,0,0,0,0,0,30,1,3,6,6
S12000035,Argyll and Bute,4,2019,-4.760557,56.499126,1,1,0,1,0,60,2,3,6,0
S12000035,Argyll and Bute,4,2020,-4.760557,56.499126,0,0,0,0,0,60,2,3,6,0
S12000035,Argyll and Bute,4,2021,-4.760557,56.499126,0,0,0,0,0,60,2,3,6,0
S12000035,Argyll and Bute,4,2022,-4.760557,56.499126,0,0,0,0,0,60,2,3,6,0
S12000035,Argyll and Bute,4,2023,-4.760557,56.499126,0,0,0,0,0,60,2,3,6,0
S12000035,Argyll and Bute,4,2024,-4.760557,56.499126,0,0,0,0,0,60,2,3,6,0
S12000035,Argyll and Bute,5,2019,-5.45503875,56.43186875,1,1,0,0,1,60,2,3,6,0
