la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E08000016,Barnsley,1,2019,-1.747143,53.539511,1,2,0,0,1,60,2,4,6,6
E08000016,Barnsley,1,2020,-1.747143,53.539511,0,0,0,0,0,60,2,4,6,6
E08000016,Barnsley,1,2021,-1.747143,53.539511,2,4,0,0,2,60,2,4,6,6
E08000016,Barnsley,1,2022,-1.747143,53.539511,0,0,0,0,0,60,2,4,6,6
E08000016,Barnsley,1,2023,-1.747143,53.539511,0,0,0,0,0,60,2,4,6,6
E08000016,Barnsley,1,2024,-1.747143,53.539511,0,0,0,0,0,60,2,4,6,6
E08000016,Barnsley,2,2019,-1.411292,53.5850388,2,2,0,0,2,30,1,6,6,0
E08000016,Barnsley,2,2020,-1.411292,53.5850388,3,3,0,1,2,30,1,6,6,0
E08000016,Barnsley,2,2021,-1.411292,53.5850388,4,4,0,0,4,30,1,6,6,0
E08000016,Barnsley,2,2022,-1.411292,53.5850388,0,0,0,0,0,30,1,6,6,0
E08000016,Barnsley,2,2023,-1.411292,53.5850388,1,2,0,1,0,30,1,6,6,0
E08000016,Barnsley,2,2024,-1.411292,53.5850388,0,0,0,0,0,30,1,6,6,0
E08000016,Barnsley,3,2019,-1.54727,53.49624,1,1,0,0,1,60,2,3,6,0
E08000016,Barnsley,3,2020,-1.54727,53.49624,2,4,0,1,1,60,2,3,6,0
E08000016,Barnsley,3,2021,-1.54727,53.49624,0,0,0,0,0,60,2,3,6,0
E08000016,Barnsley,3,2022,-1.54727,53.49624,0,0,0,0,0,60,2,3,6,0
E08000016,Barnsley,3,2023,-1.54727,53.49624,0,0,0,0,0,60,2,3,6,0
E08000016,Barnsley,3,2024,-1.54727,53.49624,0,0,0,0,0,60,2,3,6,0
E08000016,Barnsley,4,2019,-1.5386015,53.578524,1,1,0,0,1,70,1,1,3,0
E08000016,Barnsley,4,2020,-1.5386015,53.578524,0,0,0,0,0,70,1,1,3,0
