la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E06000022,Bath and North East Somerset,1,2019,-2.40981,51.378279,4,6,0,1,3,30,1,6,6,0
E06000022,Bath and North East Somerset,1,2020,-2.40981,51.378279,1,2,0,0,1,30,1,6,6,0
E06000022,Bath and North East Somerset,1,2021,-2.40981,51.378279,0,0,0,0,0,30,1,6,6,0
E06000022,Bath and North East Somerset,1,2022,-2.40981,51.378279,0,0,0,0,0,30,1,6,6,0
E06000022,Bath and North East Somerset,1,2023,-2.40981,51.378279,2,2,0,0,2,30,1,6,6,0
E06000022,Bath and North East Somerset,1,2024,-2.40981,51.378279,0,0,0,0,0,30,1,6,6,0
E06000022,Bath and North East Somerset,2,2019,-2.576509,51.333601,1,1,0,0,1,60,2,6,6,0
E06000022,Bath and North East Somerset,2,2020,-2.576509,51.333601,0,0,0,0,0,60,2,6,6,0
E06000022,Bath and North East Somerset,2,2021,-2.576509,51.333601,0,0,0,0,0,60,2,6,6,0
E06000022,Bath and North East Somerset,2,2022,-2.576509,51.333601,0,0,0,0,0,60,2,6,6,0
E06000022,Bath and North East Somerset,2,2023,-2.576509,51.333601,0,0,0,0,0,60,2,6,6,0
E06000022,Bath and North East Somerset,2,2024,-2.576509,51.333601,0,0,0,0,0,60,2,6,6,0
E06000022,Bath and North East Somerset,3,2019,-2.3856455,51.380401,3,4,0,0,3,30,1,6,6,0
E06000022,Bath and North East Somerset,3,2020,-2.3856455,51.380401,4,5,0,0,4,30,1,6,6,0
E06000022,Bath and North East Somerset,3,2021,-2.3856455,51.380401,0,0,0,0,0,30,1,6,6,0
E06000022,Bath and North East Somerset,3,2022,-2.3856455,51.380401,5,5,0,0,5,30,1,6,6,0
E06000022,Bath and North East Somerset,3,2023,-2.3856455,51.380401,0,0,0,0,0,30,1,6,6,0
E06000022,Bath and North East Somerset,3,2024,-2.3856455,51.380401,0,0,0,0,0,30,1,6,6,0
