la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E06000055,Bedford,1,2019,-0.46478270967741936,52.13030635483871,7,12,0,2,5,30,1,3,6,0
E06000055,Bedford,1,2020,-0.46478270967741936,52.13030635483871,5,5,0,1,4,30,1,3,6,0
E06000055,Bedford,1,2021,-0.46478270967741936,52.13030635483871,2,3,0,0,2,30,1,3,6,0
E06000055,Bedford,1,2022,-0.46478270967741936,52.13030635483871,4,4,0,0,4,30,1,3,6,0
E06000055,Bedford,1,2023,-0.46478270967741936,52.13030635483871,13,16,0,3,10,30,1,3,6,0
E06000055,Bedford,1,2024,-0.46478270967741936,52.13030635483871,0,0,0,0,0,30,1,3,6,0
E06000055,Bedford,2,2019,-0.480633,52.125789166666664,3,3,1,0,2,30,1,4,6,3
E06000055,Bedford,2,2020,-0.480633,52.125789166666664,2,2,0,1,1,30,1,4,6,3
E06000055,Bedford,2,2021,-0.480633,52.125789166666664,0,0,0,0,0,30,1,4,6,3
E06000055,Bedford,2,2022,-0.480633,52.125789166666664,1,1,0,0,1,30,1,4,6,3
E06000055,Bedford,2,2023,-0.480633,52.125789166666664,0,0,0,0,0,30,1,4,6,3
E06000055,Bedford,2,2024,-0.480633,52.125789166666664,0,0,0,0,0,30,1,4,6,3
E06000055,Bedford,3,2019,-0.532471,52.0785695,1,1,0,0,1,40,2,3,3,0
E06000055,Bedford,3,2020,-0.532471,52.0785695,2,3,1,0,1,40,2,3,3,0
E06000055,Bedford,3,2021,-0.532471,52.0785695,0,0,0,0,0,40,2,3,3,0
E06000055,Bedford,3,2022,-0.532471,52.0785695,0,0,0,0,0,40,2,3,3,0
E06000055,Bedford,3,2023,-0.532471,52.0785695,1,1,0,0,1,40,2,3,3,0
E06000055,Bedford,3,2024,-0.532471,52.0785695,0,0,0,0,0,40,2,3,3,0
E06000055,Bedford,4,2019,-0.37131966666666666,52.134981333333336,1,1,0,0,1,30,2,6,6,0
E06000055,Bedford,4,2020,-0.37131966666666666,52.134981333333336,1,1,0,0,1,30,2,6,6,0
E06000055,Bedford,4,2021,-0.37131966666666666,52.134981333333336,0,0,0,0,0,30,2,6,6,0
E06000055,Bedford,4,2022,-0.37131966666666666,52.134981333333336,1,1,0,1,0,30,2,6,6,0
E06000055,Bedford,4,2023,-0.37131966666666666,52.134981333333336,0,0,0,0,0,30,2,6,6,0
E06000055,Bedford,4,2024,-0.37131966666666666,52.134981333333336,0,0,0,0,0,30,2,6,6,0
E06000055,Bedford,5,2019,-0.4727281428571429,52.12700457142857,12,12,0,3,9,30,1,6,6,3
E06000055,Bedford,5,2020,-0.4727281428571429,52.12700457142857,1,1,0,0,1,30,1,6,6,3
E06000055,Bedford,5,2021,-0.4727281428571429,52.12700457142857,2,2,0,2,0,30,1,6,6,3
E06000055,Bedford,5,2022,-0.4727281428571429,52.12700457142857,7,11,0,1,6,30,1,6,6,3
E06000055,Bedford,5,2023,-0.4727281428571429,52.12700457142857,6,7,0,1,5,30,1,6,6,3
E06000055,Bedford,5,2024,-0.4727281428571429,52.12700457142857,0,0,0,0,0,30,1,6,6,3
E06000055,Bedford,6,2019,-0.50813,52.11403425,1,1,0,0,1,30,1,4,6,3
E06000055,Bedford,6,2020,-0.50813,52.11403425,0,0,0,0,0,30,1,4,6,3
E06000055,Bedford,6,2021,-0.50813,52.11403425,0,0,0,0,0,30,1,4,6,3
E06000055,Bedford,6,2022,-0.50813,52.11403425,3,3,0,1,2,30,1,4,6,3
E06000055,Bedford,6,2023,-0.50813,52.11403425,4,5,0,1,3,30,1,4,6,3
E06000055,Bedford,6,2024,-0.50813,52.11403425,0,0,0,0,0,30,1,4,6,3
E06000055,Bedford,7,2019,-0.4740459411764706,52.14206988235294,6,6,0,1,5,30,1,3,6,0
E06000055,Bedford,7,2020,-0.4740459411764706,52.14206988235294,3,3,0,0,3,30,1,3,6,0
E06000055,Bedford,7,2021,-0.4740459411764706,52.14206988235294,1,1,0,0,1,30,1,3,6,0
E06000055,Bedford,7,2022,-0.4740459411764706,52.14206988235294,3,3,0,0,3,30,1,3,6,0
E06000055,Bedford,7,2023,-0.4740459411764706,52.14206988235294,4,5,0,1,3,30,1,3,6,0
E06000055,Bedford,7,2024,-0.4740459411764706,52.14206988235294,0,0,0,0,0,30,1,3,6,0
E06000055,Bedford,8,2019,-0.46501908823529414,52.13740967647059,8,9,0,4,4,30,1,3,6,0
E06000055,Bedford,8,2020,-0.46501908823529414,52.13740967647059,4,7,0,0,4,30,1,3,6,0
E06000055,Bedford,8,2021,-0.46501908823529414,52.13740967647059,2,2,0,0,2,30,1,3,6,0
E06000055,Bedford,8,2022,-0.46501908823529414,52.13740967647059,8,8,0,3,5,30,1,3,6,0
E06000055,Bedford,8,2023,-0.46501908823529414,52.13740967647059,12,16,0,2,10,30,1,3,6,0
E06000055,Bedford,8,2024,-0.46501908823529414,52.13740967647059,0,0,0,0,0,30,1,3,6,0
E06000055,Bedford,9,2019,-0.5498883333333333,52.22552533333333,1,1,0,1,0,30,2,6,6,0
E06000055,Bedford,9,2020,-0.5498883333333333,52.22552533333333,0,0,0,0,0,30,2,6,6,0
E06000055,Bedford,9,2021,-0.5498883333333333,52.22552533333333,1,1,0,0,1,30,2,6,6,0
E06000055,Bedford,9,2022,-0.5498883333333333,52.22552533333333,0,0,0,0,0,30,2,6,6,0
E06000055,Bedford,9,2023,-0.5498883333333333,52.22552533333333,1,1,0,1,0,30,2,6,6,0
E06000055,Bedford,9,2024,-0.5498883333333333,52.22552533333333,0,0,0,0,0,30,2,6,6,0
E06000055,Bedford,10,2019,-0.5883136666666666,52.266391,1,4,0,1,0,60,2,6,6,0
