la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E08000025,Birmingham,1,2019,-1.939771076923077,52.43917976923077,4,8,0,1,3,30,1,3,3,6
E08000025,Birmingham,1,2020,-1.939771076923077,52.43917976923077,7,10,0,1,6,30,1,3,3,6
E08000025,Birmingham,1,2021,-1.939771076923077,52.43917976923077,8,8,0,3,5,30,1,3,3,6
E08000025,Birmingham,1,2022,-1.939771076923077,52.43917976923077,9,12,0,1,8,30,1,3,3,6
E08000025,Birmingham,1,2023,-1.939771076923077,52.43917976923077,6,6,0,0,6,30,1,3,3,6
E08000025,Birmingham,1,2024,-1.939771076923077,52.43917976923077,0,0,0,0,0,30,1,3,3,6
E08000025,Birmingham,2,2019,-1.8535023333333336,52.47316272222222,5,5,0,0,5,30,1,6,6,6
E08000025,Birmingham,2,2020,-1.8535023333333336,52.47316272222222,7,9,0,0,7,30,1,6,6,6
E08000025,Birmingham,2,2021,-1.8535023333333336,52.47316272222222,6,12,0,1,5,30,1,6,6,6
E08000025,Birmingham,2,2022,-1.8535023333333336,52.47316272222222,5,10,0,2,3,30,1,6,6,6
E08000025,Birmingham,2,2023,-1.8535023333333336,52.47316272222222,8,19,0,1,7,30,1,6,6,6
E08000025,Birmingham,2,2024,-1.8535023333333336,52.47316272222222,0,0,0,0,0,30,1,6,6,6
E08000025,Birmingham,3,2019,-1.8727198064516128,52.45919896774193,15,19,0,3,12,30,1,3,6,6
E08000025,Birmingham,3,2020,-1.8727198064516128,52.45919896774193,9,11,0,2,7,30,1,3,6,6
E08000025,Birmingham,3,2021,-1.8727198064516128,52.45919896774193,13,14,1,2,10,30,1,3,6,6
E08000025,Birmingham,3,2022,-1.8727198064516128,52.45919896774193,18,21,0,5,13,30,1,3,6,6
E08000025,Birmingham,3,2023,-1.8727198064516128,52.45919896774193,19,26,0,4,15,30,1,3,6,6
