la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E06000008,Blackburn with Darwen,1,2019,-2.5170978,53.7317366,2,3,0,1,1,30,1,6,6,0
E06000008,Blackburn with Darwen,1,2020,-2.5170978,53.7317366,0,0,0,0,0,30,1,6,6,0
E06000008,Blackburn with Darwen,1,2021,-2.5170978,53.7317366,0,0,0,0,0,30,1,6,6,0
E06000008,Blackburn with Darwen,1,2022,-2.5170978,53.7317366,1,1,0,0,1,30,1,6,6,0
E06000008,Blackburn with Darwen,1,2023,-2.5170978,53.7317366,0,0,0,0,0,30,1,6,6,0
E06000008,Blackburn with Darwen,1,2024,-2.5170978,53.7317366,2,3,0,0,0,30,1,6,6,0
E06000008,Blackburn with Darwen,2,2019,-2.4896997164179107,53.746962208955225,10,13,1,2,7,30,1,3,6,6
E06000008,Blackburn with Darwen,2,2020,-2.4896997164179107,53.746962208955225,14,27,0,4,10,30,1,3,6,6
E06000008,Blackburn with Darwen,2,2021,-2.4896997164179107,53.746962208955225,16,23,0,3,13,30,1,3,6,6
E06000008,Blackburn with Darwen,2,2022,-2.4896997164179107,53.746962208955225,13,19,0,4,9,30,1,3,6,6
E06000008,Blackburn with Darwen,2,2023,-2.4896997164179107,53.746962208955225,10,14,0,4,6,30,1,3,6,6
E06000008,Blackburn with Darwen,2,2024,-2.4896997164179107,53.746962208955225,3,6,0,0,0,30,1,3,6,6
E06000008,Blackburn with Darwen,2,2025,-2.4896997164179107,53.746962208955225,1,1,0,0,0,30,1,3,6,6
E06000008,Blackburn with Darwen,3,2019,-2.453006888888889,53.737810333333336,2,2,0,1,1,30,1,4,6,0
E06000008,Blackburn with Darwen,3,2020,-2.453006888888889,53.737810333333336,3,4,0,0,3,30,1,4,6,0
E06000008,Blackburn with Darwen,3,2021,-2.453006888888889,53.737810333333336,1,1,0,0,1,30,1,4,6,0
E06000008,Blackburn with Darwen,3,2022,-2.453006888888889,53.737810333333336,0,0,0,0,0,30,1,4,6,0
E06000008,Blackburn with Darwen,3,2023,-2.453006888888889,53.737810333333336,3,3,0,1,2,30,1,4,6,0
E06000008,Blackburn with Darwen,3,2024,-2.453006888888889,53.737810333333336,0,0,0,0,0,30,1,4,6,0
E06000008,Blackburn with Darwen,4,2019,-2.493183148148148,53.751991777777775,6,8,0,1,5,30,1,3,6,0
E06000008,Blackburn with Darwen,4,2020,-2.493183148148148,53.751991777777775,4,4,0,1,3,30,1,3,6,0
E06000008,Blackburn with Darwen,4,2021,-2.493183148148148,53.751991777777775,4,5,0,2,2,30,1,3,6,0
E06000008,Blackburn with Darwen,4,2022,-2.493183148148148,53.751991777777775,6,11,0,1,5,30,1,3,6,0
E06000008,Blackburn with Darwen,4,2023,-2.493183148148148,53.751991777777775,4,4,0,1,3,30,1,3,6,0
E06000008,Blackburn with Darwen,4,2024,-2.493183148148148,53.751991777777775,2,2,0,0,0,30,1,3,6,0
E06000008,Blackburn with Darwen,4,2025,-2.493183148148148,53.751991777777775,1,1,0,0,0,30,1,3,6,0
E06000008,Blackburn with Darwen,5,2019,-2.464086,53.755490583333334,2,3,0,0,2,30,1,6,6,3
E06000008,Blackburn with Darwen,5,2020,-2.464086,53.755490583333334,1,1,0,0,1,30,1,6,6,3
E06000008,Blackburn with Darwen,5,2021,-2.464086,53.755490583333334,1,2,0,0,1,30,1,6,6,3
E06000008,Blackburn with Darwen,5,2022,-2.464086,53.755490583333334,2,2,0,1,1,30,1,6,6,3
E06000008,Blackburn with Darwen,5,2023,-2.464086,53.755490583333334,1,4,0,0,1,30,1,6,6,3
E06000008,Blackburn with Darwen,5,2024,-2.464086,53.755490583333334,3,5,0,0,0,30,1,6,6,3
E06000008,Blackburn with Darwen,5,2025,-2.464086,53.755490583333334,2,3,0,0,0,30,1,6,6,3
E06000008,Blackburn with Darwen,6,2019,-2.479690896551724,53.74760296551724,6,7,0,1,5,30,1,6,6,0
E06000008,Blackburn with Darwen,6,2020,-2.479690896551724,53.74760296551724,5,6,0,1,4,30,1,6,6,0
E06000008,Blackburn with Darwen,6,2021,-2.479690896551724,53.74760296551724,8,9,0,2,6,30,1,6,6,0
E06000008,Blackburn with Darwen,6,2022,-2.479690896551724,53.74760296551724,3,3,0,0,3,30,1,6,6,0
E06000008,Blackburn with Darwen,6,2023,-2.479690896551724,53.74760296551724,4,5,0,2,2,30,1,6,6,0
E06000008,Blackburn with Darwen,6,2024,-2.479690896551724,53.74760296551724,2,3,0,0,0,30,1,6,6,0
E06000008,Blackburn with Darwen,6,2025,-2.479690896551724,53.74760296551724,1,1,0,0,0,30,1,6,6,0
E06000008,Blackburn with Darwen,7,2019,-2.47390825,53.7213195,1,1,0,0,1,30,1,4,6,0
E06000008,Blackburn with Darwen,7,2020,-2.47390825,53.7213195,2,2,0,0,2,30,1,4,6,0
E06000008,Blackburn with Darwen,7,2021,-2.47390825,53.7213195,2,2,0,0,2,30,1,4,6,0
E06000008,Blackburn with Darwen,7,2022,-2.47390825,53.7213195,0,0,0,0,0,30,1,4,6,0
E06000008,Blackburn with Darwen,7,2023,-2.47390825,53.7213195,2,2,0,0,2,30,1,4,6,0
E06000008,Blackburn with Darwen,7,2024,-2.47390825,53.7213195,0,0,0,0,0,30,1,4,6,0
E06000008,Blackburn with Darwen,7,2025,-2.47390825,53.7213195,1,2,0,0,0,30,1,4,6,0
E06000008,Blackburn with Darwen,8,2019,-2.4886590714285717,53.754655428571425,7,11,0,2,5,30,1,6,6,6
E06000008,Blackburn with Darwen,8,2020,-2.4886590714285717,53.754655428571425,0,0,0,0,0,30,1,6,6,6
E06000008,Blackburn with Darwen,8,2021,-2.4886590714285717,53.754655428571425,1,1,0,0,1,30,1,6,6,6
E06000008,Blackburn with Darwen,8,2022,-2.4886590714285717,53.754655428571425,1,2,0,0,1,30,1,6,6,6
E06000008,Blackburn with Darwen,8,2023,-2.4886590714285717,53.754655428571425,2,4,0,1,1,30,1,6,6,6
E06000008,Blackburn with Darwen,8,2024,-2.4886590714285717,53.754655428571425,1,1,0,0,0,30,1,6,6,6
E06000008,Blackburn with Darwen,8,2025,-2.4886590714285717,53.754655428571425,2,3,0,0,0,30,1,6,6,6
E06000008,Blackburn with Darwen,9,2019,-2.492355888888889,53.728983222222226,5,5,0,2,3,30,1,3,6,0
E06000008,Blackburn with Darwen,9,2020,-2.492355888888889,53.728983222222226,3,3,0,1,2,30,1,3,6,0
E06000008,Blackburn with Darwen,9,2021,-2.492355888888889,53.728983222222226,1,4,0,0,1,30,1,3,6,0
E06000008,Blackburn with Darwen,9,2022,-2.492355888888889,53.728983222222226,1,1,0,0,1,30,1,3,6,0
E06000008,Blackburn with Darwen,9,2023,-2.492355888888889,53.728983222222226,4,4,0,3,1,30,1,3,6,0
E06000008,Blackburn with Darwen,9,2024,-2.492355888888889,53.728983222222226,3,4,0,0,0,30,1,3,6,0
E06000008,Blackburn with Darwen,9,2025,-2.492355888888889,53.728983222222226,1,1,0,0,0,30,1,3,6,0
E06000008,Blackburn with Darwen,10,2019,-2.482484393939394,53.74175015151515,8,12,0,0,8,30,1,3,6,6
E06000008,Blackburn with Darwen,10,2020,-2.482484393939394,53.74175015151515,3,3,0,1,2,30,1,3,6,6
E06000008,Blackburn with Darwen,10,2021,-2.482484393939394,53.74175015151515,8,11,0,1,7,30,1,3,6,6
E06000008,Blackburn with Darwen,10,2022,-2.482484393939394,53.74175015151515,5,5,0,2,3,30,1,3,6,6
E06000008,Blackburn with Darwen,10,2023,-2.482484393939394,53.74175015151515,2,2,0,0,2,30,1,3,6,6
E06000008,Blackburn with Darwen,10,2024,-2.482484393939394,53.74175015151515,6,8,0,0,0,30,1,3,6,6
E06000008,Blackburn with Darwen,10,2025,-2.482484393939394,53.74175015151515,1,1,0,0,0,30,1,3,6,6
E06000008,Blackburn with Darwen,11,2019,-2.4409166,53.7300664,1,4,0,0,1,70,2,1,3,0
E06000008,Blackburn with Darwen,11,2020,-2.4409166,53.7300664,0,0,0,0,0,70,2,1,3,0
E06000008,Blackburn with Darwen,11,2021,-2.4409166,53.7300664,1,2,0,1,0,70,2,1,3,0
E06000008,Blackburn with Darwen,11,2022,-2.4409166,53.7300664,0,0,0,0,0,70,2,1,3,0
E06000008,Blackburn with Darwen,11,2023,-2.4409166,53.7300664,1,1,0,0,1,70,2,1,3,0
