la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E06000009,Blackpool,1,2019,-3.042474111111111,53.83921811111111,3,3,0,1,2,30,1,4,6,9
E06000009,Blackpool,1,2020,-3.042474111111111,53.83921811111111,1,1,0,0,1,30,1,4,6,9
E06000009,Blackpool,1,2021,-3.042474111111111,53.83921811111111,1,1,0,1,0,30,1,4,6,9
E06000009,Blackpool,1,2022,-3.042474111111111,53.83921811111111,1,1,0,0,1,30,1,4,6,9
E06000009,Blackpool,1,2023,-3.042474111111111,53.83921811111111,2,5,0,0,2,30,1,4,6,9
E06000009,Blackpool,1,2024,-3.042474111111111,53.83921811111111,1,1,0,0,0,30,1,4,6,9
E06000009,Blackpool,2,2019,-3.04152228125,53.8522690625,5,9,0,2,3,30,1,6,6,0
E06000009,Blackpool,2,2020,-3.04152228125,53.8522690625,2,2,0,0,2,30,1,6,6,0
E06000009,Blackpool,2,2021,-3.04152228125,53.8522690625,6,7,0,0,6,30,1,6,6,0
E06000009,Blackpool,2,2022,-3.04152228125,53.8522690625,8,10,0,3,5,30,1,6,6,0
E06000009,Blackpool,2,2023,-3.04152228125,53.8522690625,5,5,1,0,4,30,1,6,6,0
E06000009,Blackpool,2,2024,-3.04152228125,53.8522690625,5,5,0,0,0,30,1,6,6,0
E06000009,Blackpool,2,2025,-3.04152228125,53.8522690625,1,1,0,0,0,30,1,6,6,0
E06000009,Blackpool,3,2019,-3.039476230769231,53.80463623076923,5,5,0,1,4,30,1,6,6,0
E06000009,Blackpool,3,2020,-3.039476230769231,53.80463623076923,4,7,0,3,1,30,1,6,6,0
E06000009,Blackpool,3,2021,-3.039476230769231,53.80463623076923,4,5,0,1,3,30,1,6,6,0
E06000009,Blackpool,3,2022,-3.039476230769231,53.80463623076923,5,6,0,2,3,30,1,6,6,0
E06000009,Blackpool,3,2023,-3.039476230769231,53.80463623076923,2,3,0,0,2,30,1,6,6,0
E06000009,Blackpool,3,2024,-3.039476230769231,53.80463623076923,4,4,0,0,0,30,1,6,6,0
E06000009,Blackpool,3,2025,-3.039476230769231,53.80463623076923,2,6,0,0,0,30,1,6,6,0
