la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E08000001,Bolton,1,2019,-2.4250574848484847,53.574314424242424,6,8,0,0,6,30,1,3,6,6
E08000001,Bolton,1,2020,-2.4250574848484847,53.574314424242424,6,12,0,0,6,30,1,3,6,6
E08000001,Bolton,1,2021,-2.4250574848484847,53.574314424242424,6,6,0,1,5,30,1,3,6,6
E08000001,Bolton,1,2022,-2.4250574848484847,53.574314424242424,6,8,0,2,4,30,1,3,6,6
E08000001,Bolton,1,2023,-2.4250574848484847,53.574314424242424,4,4,0,1,3,30,1,3,6,6
E08000001,Bolton,1,2024,-2.4250574848484847,53.574314424242424,4,4,0,0,0,30,1,3,6,6
E08000001,Bolton,1,2025,-2.4250574848484847,53.574314424242424,1,1,0,0,0,30,1,3,6,6
E08000001,Bolton,2,2019,-2.43745775,53.5617625,3,3,0,0,3,20,1,6,6,0
E08000001,Bolton,2,2020,-2.43745775,53.5617625,0,0,0,0,0,20,1,6,6,0
E08000001,Bolton,2,2021,-2.43745775,53.5617625,2,2,0,0,2,20,1,6,6,0
E08000001,Bolton,2,2022,-2.43745775,53.5617625,2,2,0,0,2,20,1,6,6,0
E08000001,Bolton,2,2023,-2.43745775,53.5617625,1,1,0,0,1,20,1,6,6,0
E08000001,Bolton,2,2024,-2.43745775,53.5617625,0,0,0,0,0,20,1,6,6,0
E08000001,Bolton,3,2019,-2.4362061111111113,53.57066013888889,10,10,0,3,7,30,1,3,6,3
E08000001,Bolton,3,2020,-2.4362061111111113,53.57066013888889,4,5,0,1,3,30,1,3,6,3
E08000001,Bolton,3,2021,-2.4362061111111113,53.57066013888889,6,7,0,1,5,30,1,3,6,3
E08000001,Bolton,3,2022,-2.4362061111111113,53.57066013888889,6,9,0,0,6,30,1,3,6,3
E08000001,Bolton,3,2023,-2.4362061111111113,53.57066013888889,4,4,0,0,4,30,1,3,6,3
E08000001,Bolton,3,2024,-2.4362061111111113,53.57066013888889,3,4,0,0,0,30,1,3,6,3
E08000001,Bolton,3,2025,-2.4362061111111113,53.57066013888889,3,3,0,0,0,30,1,3,6,3
E08000001,Bolton,4,2019,-2.4296581666666666,53.57654525,3,4,0,0,3,30,1,6,6,3
E08000001,Bolton,4,2020,-2.4296581666666666,53.57654525,2,2,0,1,1,30,1,6,6,3
E08000001,Bolton,4,2021,-2.4296581666666666,53.57654525,3,4,0,2,1,30,1,6,6,3
E08000001,Bolton,4,2022,-2.4296581666666666,53.57654525,2,2,0,0,2,30,1,6,6,3
E08000001,Bolton,4,2023,-2.4296581666666666,53.57654525,0,0,0,0,0,30,1,6,6,3
E08000001,Bolton,4,2024,-2.4296581666666666,53.57654525,2,2,0,0,0,30,1,6,6,3
E08000001,Bolton,5,2019,-2.429911777777778,53.56036133333333,3,4,0,1,2,30,1,6,6,0
E08000001,Bolton,5,2020,-2.429911777777778,53.56036133333333,1,2,0,0,1,30,1,6,6,0
E08000001,Bolton,5,2021,-2.429911777777778,53.56036133333333,1,1,0,0,1,30,1,6,6,0
E08000001,Bolton,5,2022,-2.429911777777778,53.56036133333333,3,6,0,1,2,30,1,6,6,0
E08000001,Bolton,5,2023,-2.429911777777778,53.56036133333333,1,1,0,1,0,30,1,6,6,0
E08000001,Bolton,5,2024,-2.429911777777778,53.56036133333333,0,0,0,0,0,30,1,6,6,0
E08000001,Bolton,6,2019,-2.4182325,53.562415375,2,2,0,1,1,30,1,6,6,0
E08000001,Bolton,6,2020,-2.4182325,53.562415375,0,0,0,0,0,30,1,6,6,0
E08000001,Bolton,6,2021,-2.4182325,53.562415375,1,1,0,0,1,30,1,6,6,0
E08000001,Bolton,6,2022,-2.4182325,53.562415375,1,2,0,0,1,30,1,6,6,0
E08000001,Bolton,6,2023,-2.4182325,53.562415375,2,3,0,0,2,30,1,6,6,0
E08000001,Bolton,6,2024,-2.4182325,53.562415375,1,1,0,0,0,30,1,6,6,0
E08000001,Bolton,6,2025,-2.4182325,53.562415375,1,1,0,0,0,30,1,6,6,0
E08000001,Bolton,7,2019,-2.4285315454545455,53.584728681818184,4,5,0,0,4,30,1,3,6,6
E08000001,Bolton,7,2020,-2.4285315454545455,53.584728681818184,3,3,0,1,2,30,1,3,6,6
