la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E08000032,Bradford,1,2019,-1.7427427843137255,53.793327352941176,11,16,1,1,9,30,1,3,3,0
E08000032,Bradford,1,2020,-1.7427427843137255,53.793327352941176,7,10,1,1,5,30,1,3,3,0
E08000032,Bradford,1,2021,-1.7427427843137255,53.793327352941176,14,19,0,6,8,30,1,3,3,0
E08000032,Bradford,1,2022,-1.7427427843137255,53.793327352941176,14,18,0,3,11,30,1,3,3,0
E08000032,Bradford,1,2023,-1.7427427843137255,53.793327352941176,5,6,0,0,5,30,1,3,3,0
E08000032,Bradford,1,2024,-1.7427427843137255,53.793327352941176,0,0,0,0,0,30,1,3,3,0
E08000032,Bradford,2,2019,-1.714018705882353,53.800747882352944,5,10,0,0,5,30,1,6,6,0
E08000032,Bradford,2,2020,-1.714018705882353,53.800747882352944,1,1,0,0,1,30,1,6,6,0
E08000032,Bradford,2,2021,-1.714018705882353,53.800747882352944,3,3,0,0,3,30,1,6,6,0
E08000032,Bradford,2,2022,-1.714018705882353,53.800747882352944,4,4,1,0,3,30,1,6,6,0
E08000032,Bradford,2,2023,-1.714018705882353,53.800747882352944,4,4,0,1,3,30,1,6,6,0
E08000032,Bradford,2,2024,-1.714018705882353,53.800747882352944,0,0,0,0,0,30,1,6,6,0
E08000032,Bradford,3,2019,-1.7272909230769231,53.77539476923077,3,3,0,0,3,30,1,3,3,1
E08000032,Bradford,3,2020,-1.7272909230769231,53.77539476923077,4,8,0,0,4,30,1,3,3,1
E08000032,Bradford,3,2021,-1.7272909230769231,53.77539476923077,7,9,0,1,6,30,1,3,3,1
E08000032,Bradford,3,2022,-1.7272909230769231,53.77539476923077,4,4,0,1,3,30,1,3,3,1
E08000032,Bradford,3,2023,-1.7272909230769231,53.77539476923077,8,9,0,3,5,30,1,3,3,1
E08000032,Bradford,3,2024,-1.7272909230769231,53.77539476923077,0,0,0,0,0,30,1,3,3,1
E08000032,Bradford,4,2019,-1.7707071052631578,53.839303736842105,6,9,0,0,6,30,1,3,6,3
E08000032,Bradford,4,2020,-1.7707071052631578,53.839303736842105,3,3,0,1,2,30,1,3,6,3
E08000032,Bradford,4,2021,-1.7707071052631578,53.839303736842105,2,3,0,0,2,30,1,3,6,3
E08000032,Bradford,4,2022,-1.7707071052631578,53.839303736842105,6,7,0,2,4,30,1,3,6,3
E08000032,Bradford,4,2023,-1.7707071052631578,53.839303736842105,2,5,0,1,1,30,1,3,6,3
E08000032,Bradford,4,2024,-1.7707071052631578,53.839303736842105,0,0,0,0,0,30,1,3,6,3
E08000032,Bradford,5,2019,-1.7707193529411764,53.780922764705885,4,5,0,2,2,30,1,6,6,0
E08000032,Bradford,5,2020,-1.7707193529411764,53.780922764705885,1,1,0,0,1,30,1,6,6,0
E08000032,Bradford,5,2021,-1.7707193529411764,53.780922764705885,7,9,0,4,3,30,1,6,6,0
E08000032,Bradford,5,2022,-1.7707193529411764,53.780922764705885,3,3,0,1,2,30,1,6,6,0
E08000032,Bradford,5,2023,-1.7707193529411764,53.780922764705885,2,2,0,0,2,30,1,6,6,0
E08000032,Bradford,5,2024,-1.7707193529411764,53.780922764705885,0,0,0,0,0,30,1,6,6,0
E08000032,Bradford,6,2019,-1.73355052,53.79743588,5,5,0,0,5,30,1,4,6,0
E08000032,Bradford,6,2020,-1.73355052,53.79743588,2,3,0,1,1,30,1,4,6,0
E08000032,Bradford,6,2021,-1.73355052,53.79743588,10,13,0,1,9,30,1,4,6,0
E08000032,Bradford,6,2022,-1.73355052,53.79743588,4,6,1,1,2,30,1,4,6,0
E08000032,Bradford,6,2023,-1.73355052,53.79743588,4,4,0,0,4,30,1,4,6,0
E08000032,Bradford,6,2024,-1.73355052,53.79743588,0,0,0,0,0,30,1,4,6,0
E08000032,Bradford,7,2019,-1.8473691428571428,53.76910107142857,3,3,0,1,2,30,1,3,6,0
E08000032,Bradford,7,2020,-1.8473691428571428,53.76910107142857,0,0,0,0,0,30,1,3,6,0
E08000032,Bradford,7,2021,-1.8473691428571428,53.76910107142857,3,4,0,1,2,30,1,3,6,0
E08000032,Bradford,7,2022,-1.8473691428571428,53.76910107142857,4,4,0,0,4,30,1,3,6,0
E08000032,Bradford,7,2023,-1.8473691428571428,53.76910107142857,4,4,0,1,3,30,1,3,6,0
E08000032,Bradford,7,2024,-1.8473691428571428,53.76910107142857,0,0,0,0,0,30,1,3,6,0
E08000032,Bradford,8,2019,-1.85784325,53.805523875,4,6,0,0,4,30,2,6,6,3
E08000032,Bradford,8,2020,-1.85784325,53.805523875,1,1,0,0,1,30,2,6,6,3
E08000032,Bradford,8,2021,-1.85784325,53.805523875,0,0,0,0,0,30,2,6,6,3
E08000032,Bradford,8,2022,-1.85784325,53.805523875,0,0,0,0,0,30,2,6,6,3
E08000032,Bradford,8,2023,-1.85784325,53.805523875,3,3,0,2,1,30,2,6,6,3
E08000032,Bradford,8,2024,-1.85784325,53.805523875,0,0,0,0,0,30,2,6,6,3
E08000032,Bradford,9,2019,-1.739954125,53.823501,3,3,0,2,1,30,1,6,6,0
E08000032,Bradford,9,2020,-1.739954125,53.823501,1,1,0,0,1,30,1,6,6,0
E08000032,Bradford,9,2021,-1.739954125,53.823501,0,0,0,0,0,30,1,6,6,0
E08000032,Bradford,9,2022,-1.739954125,53.823501,4,6,0,0,4,30,1,6,6,0
E08000032,Bradford,9,2023,-1.739954125,53.823501,0,0,0,0,0,30,1,6,6,0
E08000032,Bradford,9,2024,-1.739954125,53.823501,0,0,0,0,0,30,1,6,6,0
E08000032,Bradford,10,2019,-1.7709334285714289,53.747783857142856,1,2,0,0,1,30,1,6,6,3
E08000032,Bradford,10,2020,-1.7709334285714289,53.747783857142856,0,0,0,0,0,30,1,6,6,3
E08000032,Bradford,10,2021,-1.7709334285714289,53.747783857142856,1,1,0,0,1,30,1,6,6,3
E08000032,Bradford,10,2022,-1.7709334285714289,53.747783857142856,3,4,0,1,2,30,1,6,6,3
E08000032,Bradford,10,2023,-1.7709334285714289,53.747783857142856,2,2,0,1,1,30,1,6,6,3
E08000032,Bradford,10,2024,-1.7709334285714289,53.747783857142856,0,0,0,0,0,30,1,6,6,3
E08000032,Bradford,11,2019,-1.7917340625,53.7922879375,5,7,0,1,4,30,1,6,6,0
E08000032,Bradford,11,2020,-1.7917340625,53.7922879375,1,1,0,1,0,30,1,6,6,0
