la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E09000006,Bromley,1,2019,-0.00660475,51.368531125,6,6,0,1,5,30,1,3,6,1
E09000006,Bromley,1,2020,-0.00660475,51.368531125,3,3,0,0,3,30,1,3,6,1
E09000006,Bromley,1,2021,-0.00660475,51.368531125,2,2,0,0,2,30,1,3,6,1
E09000006,Bromley,1,2022,-0.00660475,51.368531125,3,4,1,0,2,30,1,3,6,1
E09000006,Bromley,1,2023,-0.00660475,51.368531125,2,2,0,0,2,30,1,3,6,1
E09000006,Bromley,1,2024,-0.00660475,51.368531125,0,0,0,0,0,30,1,3,6,1
E09000006,Bromley,2,2019,-0.0523782205882353,51.41482947058824,22,29,0,3,19,30,1,3,6,3
E09000006,Bromley,2,2020,-0.0523782205882353,51.41482947058824,7,7,0,0,7,30,1,3,6,3
E09000006,Bromley,2,2021,-0.0523782205882353,51.41482947058824,9,9,0,1,8,30,1,3,6,3
E09000006,Bromley,2,2022,-0.0523782205882353,51.41482947058824,16,17,0,1,15,30,1,3,6,3
E09000006,Bromley,2,2023,-0.0523782205882353,51.41482947058824,14,16,0,0,14,30,1,3,6,3
E09000006,Bromley,2,2024,-0.0523782205882353,51.41482947058824,0,0,0,0,0,30,1,3,6,3
E09000006,Bromley,3,2019,-0.07656732653061224,51.419360734693875,12,12,0,2,10,30,1,3,6,3
E09000006,Bromley,3,2020,-0.07656732653061224,51.419360734693875,9,11,0,0,9,30,1,3,6,3
E09000006,Bromley,3,2021,-0.07656732653061224,51.419360734693875,12,15,0,3,9,30,1,3,6,3
E09000006,Bromley,3,2022,-0.07656732653061224,51.419360734693875,9,9,0,0,9,30,1,3,6,3
E09000006,Bromley,3,2023,-0.07656732653061224,51.419360734693875,7,8,0,0,7,30,1,3,6,3
E09000006,Bromley,3,2024,-0.07656732653061224,51.419360734693875,0,0,0,0,0,30,1,3,6,3
E09000006,Bromley,4,2019,-0.03232612,51.40690532,11,12,0,0,11,30,1,3,6,3
E09000006,Bromley,4,2020,-0.03232612,51.40690532,17,17,0,3,14,30,1,3,6,3
E09000006,Bromley,4,2021,-0.03232612,51.40690532,8,9,0,0,8,30,1,3,6,3
E09000006,Bromley,4,2022,-0.03232612,51.40690532,7,7,0,0,7,30,1,3,6,3
E09000006,Bromley,4,2023,-0.03232612,51.40690532,7,7,0,1,6,30,1,3,6,3
E09000006,Bromley,4,2024,-0.03232612,51.40690532,0,0,0,0,0,30,1,3,6,3
E09000006,Bromley,5,2019,0.01837875555555555,51.4059712,7,8,0,1,6,30,1,3,6,6
E09000006,Bromley,5,2020,0.01837875555555555,51.4059712,10,12,0,1,9,30,1,3,6,6
E09000006,Bromley,5,2021,0.01837875555555555,51.4059712,6,9,0,0,6,30,1,3,6,6
E09000006,Bromley,5,2022,0.01837875555555555,51.4059712,14,16,0,4,10,30,1,3,6,6
E09000006,Bromley,5,2023,0.01837875555555555,51.4059712,8,8,0,2,6,30,1,3,6,6
E09000006,Bromley,5,2024,0.01837875555555555,51.4059712,0,0,0,0,0,30,1,3,6,6
E09000006,Bromley,6,2019,0.01728838461538461,51.377699923076925,6,6,0,2,4,30,1,4,6,3
E09000006,Bromley,6,2020,0.01728838461538461,51.377699923076925,2,4,0,1,1,30,1,4,6,3
E09000006,Bromley,6,2021,0.01728838461538461,51.377699923076925,2,2,0,1,1,30,1,4,6,3
E09000006,Bromley,6,2022,0.01728838461538461,51.377699923076925,2,2,0,0,2,30,1,4,6,3
E09000006,Bromley,6,2023,0.01728838461538461,51.377699923076925,1,1,0,1,0,30,1,4,6,3
E09000006,Bromley,6,2024,0.01728838461538461,51.377699923076925,0,0,0,0,0,30,1,4,6,3
E09000006,Bromley,7,2019,0.12444672727272728,51.357175545454545,3,4,0,0,3,40,2,3,6,6
E09000006,Bromley,7,2020,0.12444672727272728,51.357175545454545,5,7,0,0,5,40,2,3,6,6
E09000006,Bromley,7,2021,0.12444672727272728,51.357175545454545,2,3,0,0,2,40,2,3,6,6
E09000006,Bromley,7,2022,0.12444672727272728,51.357175545454545,1,1,0,0,1,40,2,3,6,6
