la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
W06000018,Caerphilly,1,2019,-3.227298666666667,51.70834166666666,1,2,0,0,1,30,2,3,6,0
W06000018,Caerphilly,1,2020,-3.227298666666667,51.70834166666666,0,0,0,0,0,30,2,3,6,0
W06000018,Caerphilly,1,2021,-3.227298666666667,51.70834166666666,0,0,0,0,0,30,2,3,6,0
W06000018,Caerphilly,1,2022,-3.227298666666667,51.70834166666666,1,1,0,0,1,30,2,3,6,0
W06000018,Caerphilly,1,2023,-3.227298666666667,51.70834166666666,0,0,0,0,0,30,2,3,6,0
W06000018,Caerphilly,1,2024,-3.227298666666667,51.70834166666666,1,3,0,0,0,30,2,3,6,0
W06000018,Caerphilly,2,2019,-3.2877908,51.6564486,2,3,0,1,1,30,1,4,6,0
W06000018,Caerphilly,2,2020,-3.2877908,51.6564486,0,0,0,0,0,30,1,4,6,0
W06000018,Caerphilly,2,2021,-3.2877908,51.6564486,0,0,0,0,0,30,1,4,6,0
W06000018,Caerphilly,2,2022,-3.2877908,51.6564486,1,1,0,0,1,30,1,4,6,0
W06000018,Caerphilly,2,2023,-3.2877908,51.6564486,1,1,0,1,0,30,1,4,6,0
W06000018,Caerphilly,2,2024,-3.2877908,51.6564486,1,1,0,0,0,30,1,4,6,0
W06000018,Caerphilly,3,2019,-3.2222106875,51.6466036875,5,13,1,1,3,30,1,3,6,0
W06000018,Caerphilly,3,2020,-3.2222106875,51.6466036875,2,2,0,0,2,30,1,3,6,0
W06000018,Caerphilly,3,2021,-3.2222106875,51.6466036875,1,2,0,1,0,30,1,3,6,0
W06000018,Caerphilly,3,2022,-3.2222106875,51.6466036875,5,12,0,0,5,30,1,3,6,0
W06000018,Caerphilly,3,2023,-3.2222106875,51.6466036875,1,1,0,0,1,30,1,3,6,0
W06000018,Caerphilly,3,2024,-3.2222106875,51.6466036875,1,1,0,0,0,30,1,3,6,0
W06000018,Caerphilly,3,2025,-3.2222106875,51.6466036875,1,1,0,0,0,30,1,3,6,0
W06000018,Caerphilly,4,2019,-3.0916785555555557,51.60259377777778,2,2,0,0,2,30,1,4,6,0
W06000018,Caerphilly,4,2020,-3.0916785555555557,51.60259377777778,2,2,0,0,2,30,1,4,6,0
W06000018,Caerphilly,4,2021,-3.0916785555555557,51.60259377777778,0,0,0,0,0,30,1,4,6,0
W06000018,Caerphilly,4,2022,-3.0916785555555557,51.60259377777778,1,1,0,0,1,30,1,4,6,0
W06000018,Caerphilly,4,2023,-3.0916785555555557,51.60259377777778,3,4,0,2,1,30,1,4,6,0
W06000018,Caerphilly,4,2024,-3.0916785555555557,51.60259377777778,1,1,0,0,0,30,1,4,6,0
W06000018,Caerphilly,5,2019,-3.2386824,51.64208166666667,2,2,0,0,2,30,1,3,6,0
W06000018,Caerphilly,5,2020,-3.2386824,51.64208166666667,2,2,0,1,1,30,1,3,6,0
W06000018,Caerphilly,5,2021,-3.2386824,51.64208166666667,2,2,0,1,1,30,1,3,6,0
W06000018,Caerphilly,5,2022,-3.2386824,51.64208166666667,3,4,0,1,2,30,1,3,6,0
W06000018,Caerphilly,5,2023,-3.2386824,51.64208166666667,2,2,0,1,1,30,1,3,6,0
W06000018,Caerphilly,5,2024,-3.2386824,51.64208166666667,3,3,0,0,0,30,1,3,6,0
W06000018,Caerphilly,5,2025,-3.2386824,51.64208166666667,1,1,0,0,0,30,1,3,6,0
W06000018,Caerphilly,6,2019,-3.2250906,51.6954636,3,3,0,0,3,30,1,3,6,0
W06000018,Caerphilly,6,2020,-3.2250906,51.6954636,1,2,0,0,1,30,1,3,6,0
W06000018,Caerphilly,6,2021,-3.2250906,51.6954636,1,1,0,0,1,30,1,3,6,0
W06000018,Caerphilly,6,2022,-3.2250906,51.6954636,0,0,0,0,0,30,1,3,6,0
W06000018,Caerphilly,6,2023,-3.2250906,51.6954636,2,2,0,2,0,30,1,3,6,0
W06000018,Caerphilly,6,2024,-3.2250906,51.6954636,2,2,0,0,0,30,1,3,6,0
W06000018,Caerphilly,6,2025,-3.2250906,51.6954636,1,2,0,0,0,30,1,3,6,0
W06000018,Caerphilly,7,2019,-3.2200160714285713,51.57207871428571,5,5,0,1,4,30,1,6,6,0
W06000018,Caerphilly,7,2020,-3.2200160714285713,51.57207871428571,0,0,0,0,0,30,1,6,6,0
