la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E06000056,Central Bedfordshire,1,2019,-0.5343696111111111,51.89516033333334,3,4,0,1,2,30,1,3,6,0
E06000056,Central Bedfordshire,1,2020,-0.5343696111111111,51.89516033333334,1,1,0,0,1,30,1,3,6,0
E06000056,Central Bedfordshire,1,2021,-0.5343696111111111,51.89516033333334,2,2,0,0,2,30,1,3,6,0
E06000056,Central Bedfordshire,1,2022,-0.5343696111111111,51.89516033333334,5,5,0,0,5,30,1,3,6,0
E06000056,Central Bedfordshire,1,2023,-0.5343696111111111,51.89516033333334,7,7,1,1,5,30,1,3,6,0
E06000056,Central Bedfordshire,1,2024,-0.5343696111111111,51.89516033333334,0,0,0,0,0,30,1,3,6,0
E06000056,Central Bedfordshire,2,2019,-0.4489948,52.0661136,1,3,0,0,1,60,2,3,6,3
E06000056,Central Bedfordshire,2,2020,-0.4489948,52.0661136,1,1,0,1,0,60,2,3,6,3
E06000056,Central Bedfordshire,2,2021,-0.4489948,52.0661136,2,3,0,0,2,60,2,3,6,3
E06000056,Central Bedfordshire,2,2022,-0.4489948,52.0661136,1,2,0,0,1,60,2,3,6,3
E06000056,Central Bedfordshire,2,2023,-0.4489948,52.0661136,0,0,0,0,0,60,2,3,6,3
E06000056,Central Bedfordshire,2,2024,-0.4489948,52.0661136,0,0,0,0,0,60,2,3,6,3
E06000056,Central Bedfordshire,3,2019,-0.446001,51.84951566666667,3,8,0,1,2,30,2,4,6,3
E06000056,Central Bedfordshire,3,2020,-0.446001,51.84951566666667,1,1,0,0,1,30,2,4,6,3
E06000056,Central Bedfordshire,3,2021,-0.446001,51.84951566666667,1,1,0,0,1,30,2,4,6,3
E06000056,Central Bedfordshire,3,2022,-0.446001,51.84951566666667,1,1,0,0,1,30,2,4,6,3
E06000056,Central Bedfordshire,3,2023,-0.446001,51.84951566666667,0,0,0,0,0,30,2,4,6,3
E06000056,Central Bedfordshire,3,2024,-0.446001,51.84951566666667,0,0,0,0,0,30,2,4,6,3
E06000056,Central Bedfordshire,4,2019,-0.29743566666666665,52.17603366666667,1,1,0,0,1,60,2,6,6,0
E06000056,Central Bedfordshire,4,2020,-0.29743566666666665,52.17603366666667,1,2,0,0,1,60,2,6,6,0
E06000056,Central Bedfordshire,4,2021,-0.29743566666666665,52.17603366666667,3,3,1,0,2,60,2,6,6,0
E06000056,Central Bedfordshire,4,2022,-0.29743566666666665,52.17603366666667,0,0,0,0,0,60,2,6,6,0
E06000056,Central Bedfordshire,4,2023,-0.29743566666666665,52.17603366666667,1,1,0,1,0,60,2,6,6,0
E06000056,Central Bedfordshire,4,2024,-0.29743566666666665,52.17603366666667,0,0,0,0,0,60,2,6,6,0
E06000056,Central Bedfordshire,5,2019,-0.3326946666666667,52.026755333333334,2,3,0,1,1,30,2,6,6,0
E06000056,Central Bedfordshire,5,2020,-0.3326946666666667,52.026755333333334,0,0,0,0,0,30,2,6,6,0
E06000056,Central Bedfordshire,5,2021,-0.3326946666666667,52.026755333333334,0,0,0,0,0,30,2,6,6,0
E06000056,Central Bedfordshire,5,2022,-0.3326946666666667,52.026755333333334,0,0,0,0,0,30,2,6,6,0
E06000056,Central Bedfordshire,5,2023,-0.3326946666666667,52.026755333333334,1,1,0,0,1,30,2,6,6,0
E06000056,Central Bedfordshire,5,2024,-0.3326946666666667,52.026755333333334,0,0,0,0,0,30,2,6,6,0
E06000056,Central Bedfordshire,6,2019,-0.47577566666666665,51.942521,3,7,0,2,1,60,2,6,6,0
E06000056,Central Bedfordshire,6,2020,-0.47577566666666665,51.942521,0,0,0,0,0,60,2,6,6,0
E06000056,Central Bedfordshire,6,2021,-0.47577566666666665,51.942521,0,0,0,0,0,60,2,6,6,0
E06000056,Central Bedfordshire,6,2022,-0.47577566666666665,51.942521,0,0,0,0,0,60,2,6,6,0
E06000056,Central Bedfordshire,6,2023,-0.47577566666666665,51.942521,0,0,0,0,0,60,2,6,6,0
E06000056,Central Bedfordshire,6,2024,-0.47577566666666665,51.942521,0,0,0,0,0,60,2,6,6,0
E06000056,Central Bedfordshire,7,2019,-0.5425974,52.0713728,2,4,0,0,2,60,2,3,3,0
E06000056,Central Bedfordshire,7,2020,-0.5425974,52.0713728,1,2,0,0,1,60,2,3,3,0
E06000056,Central Bedfordshire,7,2021,-0.5425974,52.0713728,2,2,0,0,2,60,2,3,3,0
E06000056,Central Bedfordshire,7,2022,-0.5425974,52.0713728,0,0,0,0,0,60,2,3,3,0
E06000056,Central Bedfordshire,7,2023,-0.5425974,52.0713728,0,0,0,0,0,60,2,3,3,0
E06000056,Central Bedfordshire,7,2024,-0.5425974,52.0713728,0,0,0,0,0,60,2,3,3,0
E06000056,Central Bedfordshire,8,2019,-0.524354,51.858175,1,1,0,0,1,30,2,6,6,3
E06000056,Central Bedfordshire,8,2020,-0.524354,51.858175,0,0,0,0,0,30,2,6,6,3
E06000056,Central Bedfordshire,8,2021,-0.524354,51.858175,0,0,0,0,0,30,2,6,6,3
E06000056,Central Bedfordshire,8,2022,-0.524354,51.858175,0,0,0,0,0,30,2,6,6,3
E06000056,Central Bedfordshire,8,2023,-0.524354,51.858175,0,0,0,0,0,30,2,6,6,3
E06000056,Central Bedfordshire,8,2024,-0.524354,51.858175,0,0,0,0,0,30,2,6,6,3
E06000056,Central Bedfordshire,9,2019,-0.6302004999999999,51.9567075,1,1,0,0,1,60,2,3,6,0
E06000056,Central Bedfordshire,9,2020,-0.6302004999999999,51.9567075,0,0,0,0,0,60,2,3,6,0
E06000056,Central Bedfordshire,9,2021,-0.6302004999999999,51.9567075,1,1,0,0,1,60,2,3,6,0
E06000056,Central Bedfordshire,9,2022,-0.6302004999999999,51.9567075,0,0,0,0,0,60,2,3,6,0
E06000056,Central Bedfordshire,9,2023,-0.6302004999999999,51.9567075,0,0,0,0,0,60,2,3,6,0
E06000056,Central Bedfordshire,9,2024,-0.6302004999999999,51.9567075,0,0,0,0,0,60,2,3,6,0
E06000056,Central Bedfordshire,10,2019,-0.5151551666666667,51.90696005555556,1,1,0,0,1,30,1,6,6,3
E06000056,Central Bedfordshire,10,2020,-0.5151551666666667,51.90696005555556,5,7,0,0,5,30,1,6,6,3
E06000056,Central Bedfordshire,10,2021,-0.5151551666666667,51.90696005555556,4,6,0,1,3,30,1,6,6,3
E06000056,Central Bedfordshire,10,2022,-0.5151551666666667,51.90696005555556,3,4,0,1,2,30,1,6,6,3
E06000056,Central Bedfordshire,10,2023,-0.5151551666666667,51.90696005555556,5,10,0,2,3,30,1,6,6,3
E06000056,Central Bedfordshire,10,2024,-0.5151551666666667,51.90696005555556,0,0,0,0,0,30,1,6,6,3
E06000056,Central Bedfordshire,11,2019,-0.6202957142857143,52.03100485714286,2,6,0,1,1,70,2,3,3,0
E06000056,Central Bedfordshire,11,2020,-0.6202957142857143,52.03100485714286,1,1,0,1,0,70,2,3,3,0
E06000056,Central Bedfordshire,11,2021,-0.6202957142857143,52.03100485714286,1,2,0,0,1,70,2,3,3,0
E06000056,Central Bedfordshire,11,2022,-0.6202957142857143,52.03100485714286,0,0,0,0,0,70,2,3,3,0
E06000056,Central Bedfordshire,11,2023,-0.6202957142857143,52.03100485714286,3,7,0,1,2,70,2,3,3,0
E06000056,Central Bedfordshire,11,2024,-0.6202957142857143,52.03100485714286,0,0,0,0,0,70,2,3,3,0
E06000056,Central Bedfordshire,12,2019,-0.4318944,51.9713034,1,6,0,0,1,70,2,3,3,0
E06000056,Central Bedfordshire,12,2020,-0.4318944,51.9713034,1,1,0,0,1,70,2,3,3,0
E06000056,Central Bedfordshire,12,2021,-0.4318944,51.9713034,0,0,0,0,0,70,2,3,3,0
E06000056,Central Bedfordshire,12,2022,-0.4318944,51.9713034,3,10,0,0,3,70,2,3,3,0
E06000056,Central Bedfordshire,12,2023,-0.4318944,51.9713034,0,0,0,0,0,70,2,3,3,0
E06000056,Central Bedfordshire,12,2024,-0.4318944,51.9713034,0,0,0,0,0,70,2,3,3,0
E06000056,Central Bedfordshire,13,2019,-0.5172463333333334,51.87739366666666,2,2,0,0,2,20,1,6,6,2
E06000056,Central Bedfordshire,13,2020,-0.5172463333333334,51.87739366666666,1,2,0,0,1,20,1,6,6,2
E06000056,Central Bedfordshire,13,2021,-0.5172463333333334,51.87739366666666,0,0,0,0,0,20,1,6,6,2
E06000056,Central Bedfordshire,13,2022,-0.5172463333333334,51.87739366666666,0,0,0,0,0,20,1,6,6,2
E06000056,Central Bedfordshire,13,2023,-0.5172463333333334,51.87739366666666,0,0,0,0,0,20,1,6,6,2
E06000056,Central Bedfordshire,13,2024,-0.5172463333333334,51.87739366666666,0,0,0,0,0,20,1,6,6,2
E06000056,Central Bedfordshire,14,2019,-0.464648,52.003382,1,1,0,1,0,20,2,6,6,0
E06000056,Central Bedfordshire,14,2020,-0.464648,52.003382,0,0,0,0,0,20,2,6,6,0
E06000056,Central Bedfordshire,14,2021,-0.464648,52.003382,0,0,0,0,0,20,2,6,6,0
E06000056,Central Bedfordshire,14,2022,-0.464648,52.003382,0,0,0,0,0,20,2,6,6,0
E06000056,Central Bedfordshire,14,2023,-0.464648,52.003382,0,0,0,0,0,20,2,6,6,0
E06000056,Central Bedfordshire,14,2024,-0.464648,52.003382,0,0,0,0,0,20,2,6,6,0
E06000056,Central Bedfordshire,15,2019,-0.2882961111111111,52.12875922222222,2,2,0,1,1,30,1,4,6,1
E06000056,Central Bedfordshire,15,2020,-0.2882961111111111,52.12875922222222,3,4,0,1,2,30,1,4,6,1
E06000056,Central Bedfordshire,15,2021,-0.2882961111111111,52.12875922222222,1,1,0,1,0,30,1,4,6,1
E06000056,Central Bedfordshire,15,2022,-0.2882961111111111,52.12875922222222,0,0,0,0,0,30,1,4,6,1
E06000056,Central Bedfordshire,15,2023,-0.2882961111111111,52.12875922222222,3,4,0,0,3,30,1,4,6,1
E06000056,Central Bedfordshire,15,2024,-0.2882961111111111,52.12875922222222,0,0,0,0,0,30,1,4,6,1
E06000056,Central Bedfordshire,16,2019,-0.3937688,51.8701388,7,16,0,2,5,40,2,3,3,0
E06000056,Central Bedfordshire,16,2020,-0.3937688,51.8701388,3,4,0,1,2,40,2,3,3,0
E06000056,Central Bedfordshire,16,2021,-0.3937688,51.8701388,1,2,0,0,1,40,2,3,3,0
E06000056,Central Bedfordshire,16,2022,-0.3937688,51.8701388,4,5,0,0,4,40,2,3,3,0
E06000056,Central Bedfordshire,16,2023,-0.3937688,51.8701388,0,0,0,0,0,40,2,3,3,0
E06000056,Central Bedfordshire,16,2024,-0.3937688,51.8701388,0,0,0,0,0,40,2,3,3,0
E06000056,Central Bedfordshire,17,2019,-0.256154,52.091263,4,5,0,2,2,30,1,4,6,3
E06000056,Central Bedfordshire,17,2020,-0.256154,52.091263,2,8,0,1,1,30,1,4,6,3
E06000056,Central Bedfordshire,17,2021,-0.256154,52.091263,1,1,0,0,1,30,1,4,6,3
E06000056,Central Bedfordshire,17,2022,-0.256154,52.091263,1,2,0,1,0,30,1,4,6,3
E06000056,Central Bedfordshire,17,2023,-0.256154,52.091263,1,2,0,0,1,30,1,4,6,3
