la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E06000059,Cheshire West and Chester,1,2019,-2.077605875,50.758045625,3,6,0,0,3,30,2,5,6,6
E06000059,Cheshire West and Chester,1,2020,-2.077605875,50.758045625,0,0,0,0,0,30,2,5,6,6
E06000059,Cheshire West and Chester,1,2021,-2.077605875,50.758045625,1,1,0,0,1,30,2,5,6,6
E06000059,Cheshire West and Chester,1,2022,-2.077605875,50.758045625,1,1,0,0,1,30,2,5,6,6
E06000059,Cheshire West and Chester,1,2023,-2.077605875,50.758045625,2,2,0,0,2,30,2,5,6,6
E06000059,Cheshire West and Chester,1,2024,-2.077605875,50.758045625,1,4,0,0,0,30,2,5,6,6
E06000059,Cheshire West and Chester,2,2019,-2.449676,50.738715,1,1,0,1,0,60,2,5,6,0
E06000059,Cheshire West and Chester,2,2020,-2.449676,50.738715,0,0,0,0,0,60,2,5,6,0
E06000059,Cheshire West and Chester,2,2021,-2.449676,50.738715,0,0,0,0,0,60,2,5,6,0
E06000059,Cheshire West and Chester,2,2022,-2.449676,50.738715,0,0,0,0,0,60,2,5,6,0
E06000059,Cheshire West and Chester,2,2023,-2.449676,50.738715,0,0,0,0,0,60,2,5,6,0
E06000059,Cheshire West and Chester,2,2024,-2.449676,50.738715,1,1,0,0,0,60,2,5,6,0
E06000059,Cheshire West and Chester,3,2019,-2.4657283333333333,50.67043316666667,2,2,0,1,1,60,2,3,6,0
E06000059,Cheshire West and Chester,3,2020,-2.4657283333333333,50.67043316666667,0,0,0,0,0,60,2,3,6,0
E06000059,Cheshire West and Chester,3,2021,-2.4657283333333333,50.67043316666667,1,1,0,0,1,60,2,3,6,0
E06000059,Cheshire West and Chester,3,2022,-2.4657283333333333,50.67043316666667,0,0,0,0,0,60,2,3,6,0
E06000059,Cheshire West and Chester,3,2023,-2.4657283333333333,50.67043316666667,2,2,0,0,2,60,2,3,6,0
E06000059,Cheshire West and Chester,3,2024,-2.4657283333333333,50.67043316666667,0,0,0,0,0,60,2,3,6,0
E06000059,Cheshire West and Chester,3,2025,-2.4657283333333333,50.67043316666667,1,2,0,0,0,60,2,3,6,0
E06000059,Cheshire West and Chester,4,2019,-2.73633175,50.78754625,2,3,0,1,1,60,2,3,6,0
E06000059,Cheshire West and Chester,4,2020,-2.73633175,50.78754625,1,4,0,0,1,60,2,3,6,0
E06000059,Cheshire West and Chester,4,2021,-2.73633175,50.78754625,0,0,0,0,0,60,2,3,6,0
E06000059,Cheshire West and Chester,4,2022,-2.73633175,50.78754625,0,0,0,0,0,60,2,3,6,0
E06000059,Cheshire West and Chester,4,2023,-2.73633175,50.78754625,0,0,0,0,0,60,2,3,6,0
E06000059,Cheshire West and Chester,4,2024,-2.73633175,50.78754625,1,5,0,0,0,60,2,3,6,0
E06000059,Cheshire West and Chester,5,2019,-2.459986931034482,50.60690231034483,8,10,0,1,7,30,1,3,6,6
E06000059,Cheshire West and Chester,5,2020,-2.459986931034482,50.60690231034483,1,1,0,0,1,30,1,3,6,6
E06000059,Cheshire West and Chester,5,2021,-2.459986931034482,50.60690231034483,2,2,0,0,2,30,1,3,6,6
E06000059,Cheshire West and Chester,5,2022,-2.459986931034482,50.60690231034483,7,8,0,1,6,30,1,3,6,6
E06000059,Cheshire West and Chester,5,2023,-2.459986931034482,50.60690231034483,5,8,0,1,4,30,1,3,6,6
E06000059,Cheshire West and Chester,5,2024,-2.459986931034482,50.60690231034483,6,7,0,0,0,30,1,3,6,6
E06000059,Cheshire West and Chester,6,2019,-1.8239627777777776,50.835177,2,5,0,1,1,70,2,3,3,0
E06000059,Cheshire West and Chester,6,2020,-1.8239627777777776,50.835177,0,0,0,0,0,70,2,3,3,0
E06000059,Cheshire West and Chester,6,2021,-1.8239627777777776,50.835177,0,0,0,0,0,70,2,3,3,0
E06000059,Cheshire West and Chester,6,2022,-1.8239627777777776,50.835177,3,3,0,0,3,70,2,3,3,0
E06000059,Cheshire West and Chester,6,2023,-1.8239627777777776,50.835177,0,0,0,0,0,70,2,3,3,0
E06000059,Cheshire West and Chester,6,2024,-1.8239627777777776,50.835177,2,2,0,0,0,70,2,3,3,0
E06000059,Cheshire West and Chester,6,2025,-1.8239627777777776,50.835177,2,3,0,0,0,70,2,3,3,0
E06000059,Cheshire West and Chester,7,2019,-1.8781390714285715,50.80953385714286,4,5,0,0,4,40,1,3,1,0
E06000059,Cheshire West and Chester,7,2020,-1.8781390714285715,50.80953385714286,2,2,0,1,1,40,1,3,1,0
E06000059,Cheshire West and Chester,7,2021,-1.8781390714285715,50.80953385714286,0,0,0,0,0,40,1,3,1,0
E06000059,Cheshire West and Chester,7,2022,-1.8781390714285715,50.80953385714286,1,1,0,0,1,40,1,3,1,0
E06000059,Cheshire West and Chester,7,2023,-1.8781390714285715,50.80953385714286,4,4,0,0,4,40,1,3,1,0
E06000059,Cheshire West and Chester,7,2024,-1.8781390714285715,50.80953385714286,2,2,0,0,0,40,1,3,1,0
E06000059,Cheshire West and Chester,7,2025,-1.8781390714285715,50.80953385714286,1,2,0,0,0,40,1,3,1,0
E06000059,Cheshire West and Chester,8,2019,-2.5323589999999996,50.930292,1,1,0,0,1,60,2,5,6,0
E06000059,Cheshire West and Chester,8,2020,-2.5323589999999996,50.930292,0,0,0,0,0,60,2,5,6,0
E06000059,Cheshire West and Chester,8,2021,-2.5323589999999996,50.930292,0,0,0,0,0,60,2,5,6,0
E06000059,Cheshire West and Chester,8,2022,-2.5323589999999996,50.930292,0,0,0,0,0,60,2,5,6,0
E06000059,Cheshire West and Chester,8,2023,-2.5323589999999996,50.930292,0,0,0,0,0,60,2,5,6,0
E06000059,Cheshire West and Chester,8,2024,-2.5323589999999996,50.930292,1,1,0,0,0,60,2,5,6,0
E06000059,Cheshire West and Chester,9,2019,-2.452936,50.566136666666665,3,8,0,1,2,50,2,3,6,1
E06000059,Cheshire West and Chester,9,2020,-2.452936,50.566136666666665,0,0,0,0,0,50,2,3,6,1
E06000059,Cheshire West and Chester,9,2021,-2.452936,50.566136666666665,0,0,0,0,0,50,2,3,6,1
E06000059,Cheshire West and Chester,9,2022,-2.452936,50.566136666666665,1,1,1,0,0,50,2,3,6,1
E06000059,Cheshire West and Chester,9,2023,-2.452936,50.566136666666665,0,0,0,0,0,50,2,3,6,1
E06000059,Cheshire West and Chester,9,2024,-2.452936,50.566136666666665,2,3,0,0,0,50,2,3,6,1
E06000059,Cheshire West and Chester,10,2019,-2.085585,50.787924,1,2,0,0,1,60,2,3,6,0
E06000059,Cheshire West and Chester,10,2020,-2.085585,50.787924,0,0,0,0,0,60,2,3,6,0
E06000059,Cheshire West and Chester,10,2021,-2.085585,50.787924,1,4,0,0,1,60,2,3,6,0
E06000059,Cheshire West and Chester,10,2022,-2.085585,50.787924,0,0,0,0,0,60,2,3,6,0
E06000059,Cheshire West and Chester,10,2023,-2.085585,50.787924,0,0,0,0,0,60,2,3,6,0
E06000059,Cheshire West and Chester,10,2024,-2.085585,50.787924,0,0,0,0,0,60,2,3,6,0
E06000059,Cheshire West and Chester,11,2019,-2.4629505714285713,50.63641185714286,2,3,0,0,2,50,2,3,6,0
E06000059,Cheshire West and Chester,11,2020,-2.4629505714285713,50.63641185714286,1,1,0,0,1,50,2,3,6,0
E06000059,Cheshire West and Chester,11,2021,-2.4629505714285713,50.63641185714286,1,2,1,0,0,50,2,3,6,0
E06000059,Cheshire West and Chester,11,2022,-2.4629505714285713,50.63641185714286,2,6,0,1,1,50,2,3,6,0
E06000059,Cheshire West and Chester,11,2023,-2.4629505714285713,50.63641185714286,1,1,0,1,0,50,2,3,6,0
E06000059,Cheshire West and Chester,11,2024,-2.4629505714285713,50.63641185714286,0,0,0,0,0,50,2,3,6,0
E06000059,Cheshire West and Chester,12,2019,-2.1941896666666665,50.897561333333336,1,3,0,1,0,60,2,3,6,0
E06000059,Cheshire West and Chester,12,2020,-2.1941896666666665,50.897561333333336,0,0,0,0,0,60,2,3,6,0
