la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
S12000036,City of Edinburgh,1,2019,-3.18828525,55.957634166666665,12,12,0,3,9,20,1,4,6,3
S12000036,City of Edinburgh,1,2020,-3.18828525,55.957634166666665,2,2,0,0,2,20,1,4,6,3
S12000036,City of Edinburgh,1,2021,-3.18828525,55.957634166666665,4,4,0,0,4,20,1,4,6,3
S12000036,City of Edinburgh,1,2022,-3.18828525,55.957634166666665,4,4,0,3,1,20,1,4,6,3
S12000036,City of Edinburgh,1,2023,-3.18828525,55.957634166666665,2,2,0,0,2,20,1,4,6,3
S12000036,City of Edinburgh,1,2024,-3.18828525,55.957634166666665,0,0,0,0,0,20,1,4,6,3
S12000036,City of Edinburgh,2,2019,-3.2044438421052632,55.94725510526316,5,6,0,1,4,20,1,3,6,0
S12000036,City of Edinburgh,2,2020,-3.2044438421052632,55.94725510526316,4,4,0,1,3,20,1,3,6,0
S12000036,City of Edinburgh,2,2021,-3.2044438421052632,55.94725510526316,3,3,0,1,2,20,1,3,6,0
S12000036,City of Edinburgh,2,2022,-3.2044438421052632,55.94725510526316,4,5,0,0,4,20,1,3,6,0
S12000036,City of Edinburgh,2,2023,-3.2044438421052632,55.94725510526316,3,3,0,0,3,20,1,3,6,0
S12000036,City of Edinburgh,2,2024,-3.2044438421052632,55.94725510526316,0,0,0,0,0,20,1,3,6,0
S12000036,City of Edinburgh,3,2019,-3.104284,55.94410105555556,7,12,0,3,4,40,1,3,6,0
S12000036,City of Edinburgh,3,2020,-3.104284,55.94410105555556,1,1,0,0,1,40,1,3,6,0
S12000036,City of Edinburgh,3,2021,-3.104284,55.94410105555556,5,5,0,2,3,40,1,3,6,0
S12000036,City of Edinburgh,3,2022,-3.104284,55.94410105555556,2,2,0,0,2,40,1,3,6,0
S12000036,City of Edinburgh,3,2023,-3.104284,55.94410105555556,3,3,0,1,2,40,1,3,6,0
S12000036,City of Edinburgh,3,2024,-3.104284,55.94410105555556,0,0,0,0,0,40,1,3,6,0
S12000036,City of Edinburgh,4,2019,-3.162010761904762,55.95687747619048,4,4,0,2,2,20,1,3,6,0
S12000036,City of Edinburgh,4,2020,-3.162010761904762,55.95687747619048,4,4,0,1,3,20,1,3,6,0
S12000036,City of Edinburgh,4,2021,-3.162010761904762,55.95687747619048,2,2,0,1,1,20,1,3,6,0
S12000036,City of Edinburgh,4,2022,-3.162010761904762,55.95687747619048,8,10,1,1,6,20,1,3,6,0
S12000036,City of Edinburgh,4,2023,-3.162010761904762,55.95687747619048,3,4,0,2,1,20,1,3,6,0
S12000036,City of Edinburgh,4,2024,-3.162010761904762,55.95687747619048,0,0,0,0,0,20,1,3,6,0
S12000036,City of Edinburgh,5,2019,-3.307317105263158,55.961157368421055,7,9,0,0,7,40,1,3,6,0
S12000036,City of Edinburgh,5,2020,-3.307317105263158,55.961157368421055,3,7,0,0,3,40,1,3,6,0
S12000036,City of Edinburgh,5,2021,-3.307317105263158,55.961157368421055,2,2,0,0,2,40,1,3,6,0
S12000036,City of Edinburgh,5,2022,-3.307317105263158,55.961157368421055,1,1,0,0,1,40,1,3,6,0
S12000036,City of Edinburgh,5,2023,-3.307317105263158,55.961157368421055,6,7,0,1,5,40,1,3,6,0
S12000036,City of Edinburgh,5,2024,-3.307317105263158,55.961157368421055,0,0,0,0,0,40,1,3,6,0
S12000036,City of Edinburgh,6,2019,-3.2580083,55.9606659,6,7,0,1,5,30,1,3,6,0
S12000036,City of Edinburgh,6,2020,-3.2580083,55.9606659,0,0,0,0,0,30,1,3,6,0
S12000036,City of Edinburgh,6,2021,-3.2580083,55.9606659,2,3,0,0,2,30,1,3,6,0
S12000036,City of Edinburgh,6,2022,-3.2580083,55.9606659,1,4,0,0,1,30,1,3,6,0
S12000036,City of Edinburgh,6,2023,-3.2580083,55.9606659,1,1,0,1,0,30,1,3,6,0
S12000036,City of Edinburgh,6,2024,-3.2580083,55.9606659,0,0,0,0,0,30,1,3,6,0
S12000036,City of Edinburgh,7,2019,-3.2877011428571428,55.921909642857145,7,9,0,3,4,40,1,3,3,0
S12000036,City of Edinburgh,7,2020,-3.2877011428571428,55.921909642857145,0,0,0,0,0,40,1,3,3,0
S12000036,City of Edinburgh,7,2021,-3.2877011428571428,55.921909642857145,1,1,0,1,0,40,1,3,3,0
S12000036,City of Edinburgh,7,2022,-3.2877011428571428,55.921909642857145,4,4,0,0,4,40,1,3,3,0
S12000036,City of Edinburgh,7,2023,-3.2877011428571428,55.921909642857145,2,2,1,1,0,40,1,3,3,0
S12000036,City of Edinburgh,7,2024,-3.2877011428571428,55.921909642857145,0,0,0,0,0,40,1,3,3,0
S12000036,City of Edinburgh,8,2019,-3.250792608695652,55.930897869565214,5,5,0,1,4,30,1,3,6,3
S12000036,City of Edinburgh,8,2020,-3.250792608695652,55.930897869565214,7,7,0,1,6,30,1,3,6,3
S12000036,City of Edinburgh,8,2021,-3.250792608695652,55.930897869565214,1,1,0,0,1,30,1,3,6,3
S12000036,City of Edinburgh,8,2022,-3.250792608695652,55.930897869565214,5,5,0,1,4,30,1,3,6,3
S12000036,City of Edinburgh,8,2023,-3.250792608695652,55.930897869565214,5,6,1,1,3,30,1,3,6,3
S12000036,City of Edinburgh,8,2024,-3.250792608695652,55.930897869565214,0,0,0,0,0,30,1,3,6,3
S12000036,City of Edinburgh,9,2019,-3.15415,55.9549845,1,1,0,0,1,30,1,3,6,3
S12000036,City of Edinburgh,9,2020,-3.15415,55.9549845,1,1,0,0,1,30,1,3,6,3
S12000036,City of Edinburgh,9,2021,-3.15415,55.9549845,2,2,0,0,2,30,1,3,6,3
S12000036,City of Edinburgh,9,2022,-3.15415,55.9549845,1,1,0,1,0,30,1,3,6,3
S12000036,City of Edinburgh,9,2023,-3.15415,55.9549845,3,7,0,1,2,30,1,3,6,3
S12000036,City of Edinburgh,9,2024,-3.15415,55.9549845,0,0,0,0,0,30,1,3,6,3
S12000036,City of Edinburgh,10,2019,-3.2030306153846153,55.89682361538461,4,5,0,2,2,40,1,3,3,0
S12000036,City of Edinburgh,10,2020,-3.2030306153846153,55.89682361538461,3,6,0,1,2,40,1,3,3,0
S12000036,City of Edinburgh,10,2021,-3.2030306153846153,55.89682361538461,2,2,0,1,1,40,1,3,3,0
S12000036,City of Edinburgh,10,2022,-3.2030306153846153,55.89682361538461,1,1,0,1,0,40,1,3,3,0
S12000036,City of Edinburgh,10,2023,-3.2030306153846153,55.89682361538461,3,3,0,0,3,40,1,3,3,0
S12000036,City of Edinburgh,10,2024,-3.2030306153846153,55.89682361538461,0,0,0,0,0,40,1,3,3,0
S12000036,City of Edinburgh,11,2019,-3.18349245,55.9445858,6,6,0,2,4,20,1,6,6,3
S12000036,City of Edinburgh,11,2020,-3.18349245,55.9445858,4,4,0,1,3,20,1,6,6,3
S12000036,City of Edinburgh,11,2021,-3.18349245,55.9445858,0,0,0,0,0,20,1,6,6,3
S12000036,City of Edinburgh,11,2022,-3.18349245,55.9445858,9,9,0,2,7,20,1,6,6,3
S12000036,City of Edinburgh,11,2023,-3.18349245,55.9445858,1,1,0,1,0,20,1,6,6,3
S12000036,City of Edinburgh,11,2024,-3.18349245,55.9445858,0,0,0,0,0,20,1,6,6,3
S12000036,City of Edinburgh,12,2019,-3.2918393333333333,55.923359222222224,2,2,0,0,2,30,1,6,6,3
S12000036,City of Edinburgh,12,2020,-3.2918393333333333,55.923359222222224,2,2,0,1,1,30,1,6,6,3
S12000036,City of Edinburgh,12,2021,-3.2918393333333333,55.923359222222224,1,1,0,0,1,30,1,6,6,3
S12000036,City of Edinburgh,12,2022,-3.2918393333333333,55.923359222222224,2,2,0,1,1,30,1,6,6,3
S12000036,City of Edinburgh,12,2023,-3.2918393333333333,55.923359222222224,2,2,0,0,2,30,1,6,6,3
