la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E09000001,City of London,1,2019,-0.0883940634920635,51.51776328571429,21,24,0,6,15,20,1,3,6,6
E09000001,City of London,1,2020,-0.0883940634920635,51.51776328571429,5,5,0,1,4,20,1,3,6,6
E09000001,City of London,1,2021,-0.0883940634920635,51.51776328571429,11,11,0,0,11,20,1,3,6,6
E09000001,City of London,1,2022,-0.0883940634920635,51.51776328571429,5,5,0,0,5,20,1,3,6,6
E09000001,City of London,1,2023,-0.0883940634920635,51.51776328571429,16,17,0,7,9,20,1,3,6,6
E09000001,City of London,1,2024,-0.0883940634920635,51.51776328571429,4,4,0,0,0,20,1,3,6,6
E09000001,City of London,1,2025,-0.0883940634920635,51.51776328571429,1,1,0,0,0,20,1,3,6,6
E09000001,City of London,2,2019,-0.10548664835164837,51.51691335164835,20,22,0,5,15,20,1,3,6,3
E09000001,City of London,2,2020,-0.10548664835164837,51.51691335164835,11,11,0,3,8,20,1,3,6,3
E09000001,City of London,2,2021,-0.10548664835164837,51.51691335164835,8,8,0,1,7,20,1,3,6,3
E09000001,City of London,2,2022,-0.10548664835164837,51.51691335164835,16,16,0,6,10,20,1,3,6,3
E09000001,City of London,2,2023,-0.10548664835164837,51.51691335164835,18,20,0,7,11,20,1,3,6,3
E09000001,City of London,2,2024,-0.10548664835164837,51.51691335164835,9,9,0,0,0,20,1,3,6,3
E09000001,City of London,2,2025,-0.10548664835164837,51.51691335164835,9,9,0,0,0,20,1,3,6,3
E09000001,City of London,3,2019,-0.0928624495412844,51.51204089908257,28,31,0,6,22,20,1,6,6,3
E09000001,City of London,3,2020,-0.0928624495412844,51.51204089908257,8,9,0,1,7,20,1,6,6,3
E09000001,City of London,3,2021,-0.0928624495412844,51.51204089908257,14,14,0,4,10,20,1,6,6,3
E09000001,City of London,3,2022,-0.0928624495412844,51.51204089908257,13,13,0,5,8,20,1,6,6,3
E09000001,City of London,3,2023,-0.0928624495412844,51.51204089908257,19,20,0,6,13,20,1,6,6,3
E09000001,City of London,3,2024,-0.0928624495412844,51.51204089908257,17,20,0,0,0,20,1,6,6,3
E09000001,City of London,3,2025,-0.0928624495412844,51.51204089908257,10,10,0,0,0,20,1,6,6,3
E09000001,City of London,4,2019,-0.081144375,51.51720494117647,32,35,0,6,26,20,1,3,6,0
E09000001,City of London,4,2020,-0.081144375,51.51720494117647,18,20,0,5,13,20,1,3,6,0
E09000001,City of London,4,2021,-0.081144375,51.51720494117647,20,20,0,5,15,20,1,3,6,0
E09000001,City of London,4,2022,-0.081144375,51.51720494117647,20,22,0,4,16,20,1,3,6,0
E09000001,City of London,4,2023,-0.081144375,51.51720494117647,21,25,0,4,17,20,1,3,6,0
E09000001,City of London,4,2024,-0.081144375,51.51720494117647,16,16,0,0,0,20,1,3,6,0
E09000001,City of London,4,2025,-0.081144375,51.51720494117647,9,9,0,0,0,20,1,3,6,0
E09000001,City of London,5,2019,-0.101205375,51.51507765625,12,12,0,2,10,20,1,6,6,3
E09000001,City of London,5,2020,-0.101205375,51.51507765625,1,1,0,1,0,20,1,6,6,3
E09000001,City of London,5,2021,-0.101205375,51.51507765625,2,2,0,1,1,20,1,6,6,3
E09000001,City of London,5,2022,-0.101205375,51.51507765625,7,8,1,2,4,20,1,6,6,3
E09000001,City of London,5,2023,-0.101205375,51.51507765625,3,3,0,0,3,20,1,6,6,3
E09000001,City of London,5,2024,-0.101205375,51.51507765625,4,5,0,0,0,20,1,6,6,3
E09000001,City of London,5,2025,-0.101205375,51.51507765625,3,3,0,0,0,20,1,6,6,3
E09000001,City of London,6,2019,-0.09606232558139537,51.51666955813953,12,13,0,2,10,20,1,3,6,3
E09000001,City of London,6,2020,-0.09606232558139537,51.51666955813953,6,6,0,3,3,20,1,3,6,3
E09000001,City of London,6,2021,-0.09606232558139537,51.51666955813953,5,5,0,1,4,20,1,3,6,3
E09000001,City of London,6,2022,-0.09606232558139537,51.51666955813953,9,10,0,3,6,20,1,3,6,3
E09000001,City of London,6,2023,-0.09606232558139537,51.51666955813953,5,5,0,1,4,20,1,3,6,3
E09000001,City of London,6,2024,-0.09606232558139537,51.51666955813953,5,9,0,0,0,20,1,3,6,3
E09000001,City of London,6,2025,-0.09606232558139537,51.51666955813953,1,2,0,0,0,20,1,3,6,3
E09000001,City of London,7,2019,-0.0826245,51.51056888043478,26,28,0,10,16,20,1,3,6,0
E09000001,City of London,7,2020,-0.0826245,51.51056888043478,9,9,0,3,6,20,1,3,6,0
E09000001,City of London,7,2021,-0.0826245,51.51056888043478,8,8,0,1,7,20,1,3,6,0
E09000001,City of London,7,2022,-0.0826245,51.51056888043478,15,15,0,6,9,20,1,3,6,0
E09000001,City of London,7,2023,-0.0826245,51.51056888043478,13,15,0,3,10,20,1,3,6,0
E09000001,City of London,7,2024,-0.0826245,51.51056888043478,11,12,0,0,0,20,1,3,6,0
E09000001,City of London,7,2025,-0.0826245,51.51056888043478,10,10,0,0,0,20,1,3,6,0
E09000001,City of London,8,2019,-0.08674220238095239,51.51048717857143,18,19,1,0,17,20,1,3,3,3
E09000001,City of London,8,2020,-0.08674220238095239,51.51048717857143,11,13,0,1,10,20,1,3,3,3
E09000001,City of London,8,2021,-0.08674220238095239,51.51048717857143,8,9,0,5,3,20,1,3,3,3
E09000001,City of London,8,2022,-0.08674220238095239,51.51048717857143,11,11,0,4,7,20,1,3,3,3
E09000001,City of London,8,2023,-0.08674220238095239,51.51048717857143,16,16,0,4,12,20,1,3,3,3
E09000001,City of London,8,2024,-0.08674220238095239,51.51048717857143,13,14,0,0,0,20,1,3,3,3
E09000001,City of London,8,2025,-0.08674220238095239,51.51048717857143,7,7,0,0,0,20,1,3,3,3
E09000001,City of London,9,2019,-0.10590959405940592,51.51366858415842,26,27,0,7,19,20,1,6,6,3
E09000001,City of London,9,2020,-0.10590959405940592,51.51366858415842,9,10,0,4,5,20,1,6,6,3
E09000001,City of London,9,2021,-0.10590959405940592,51.51366858415842,7,7,0,3,4,20,1,6,6,3
E09000001,City of London,9,2022,-0.10590959405940592,51.51366858415842,16,19,0,5,11,20,1,6,6,3
E09000001,City of London,9,2023,-0.10590959405940592,51.51366858415842,15,16,0,5,10,20,1,6,6,3
E09000001,City of London,9,2024,-0.10590959405940592,51.51366858415842,22,24,0,0,0,20,1,6,6,3
E09000001,City of London,9,2025,-0.10590959405940592,51.51366858415842,6,6,0,0,0,20,1,6,6,3
E09000001,City of London,10,2019,-0.08328337499999999,51.514167575,6,6,0,3,3,20,1,6,6,0
E09000001,City of London,10,2020,-0.08328337499999999,51.514167575,3,3,0,3,0,20,1,6,6,0
E09000001,City of London,10,2021,-0.08328337499999999,51.514167575,7,7,0,1,6,20,1,6,6,0
E09000001,City of London,10,2022,-0.08328337499999999,51.514167575,7,8,0,5,2,20,1,6,6,0
E09000001,City of London,10,2023,-0.08328337499999999,51.514167575,8,10,0,1,7,20,1,6,6,0
E09000001,City of London,10,2024,-0.08328337499999999,51.514167575,5,5,0,0,0,20,1,6,6,0
E09000001,City of London,10,2025,-0.08328337499999999,51.514167575,4,4,0,0,0,20,1,6,6,0
E09000001,City of London,11,2019,-0.07791646341463415,51.51207882926829,11,12,0,3,8,20,1,6,6,3
E09000001,City of London,11,2020,-0.07791646341463415,51.51207882926829,3,3,0,0,3,20,1,6,6,3
E09000001,City of London,11,2021,-0.07791646341463415,51.51207882926829,4,4,1,1,2,20,1,6,6,3
E09000001,City of London,11,2022,-0.07791646341463415,51.51207882926829,9,10,0,3,6,20,1,6,6,3
E09000001,City of London,11,2023,-0.07791646341463415,51.51207882926829,7,7,0,2,5,20,1,6,6,3
E09000001,City of London,11,2024,-0.07791646341463415,51.51207882926829,5,5,0,0,0,20,1,6,6,3
E09000001,City of London,11,2025,-0.07791646341463415,51.51207882926829,2,2,0,0,0,20,1,6,6,3
E09000001,City of London,12,2019,-0.09825568,51.51254024,8,8,0,4,4,20,1,6,6,0
E09000001,City of London,12,2020,-0.09825568,51.51254024,2,3,0,2,0,20,1,6,6,0
E09000001,City of London,12,2021,-0.09825568,51.51254024,1,2,0,0,1,20,1,6,6,0
E09000001,City of London,12,2022,-0.09825568,51.51254024,6,8,0,3,3,20,1,6,6,0
E09000001,City of London,12,2023,-0.09825568,51.51254024,3,3,0,0,3,20,1,6,6,0
E09000001,City of London,12,2024,-0.09825568,51.51254024,3,3,0,0,0,20,1,6,6,0
E09000001,City of London,12,2025,-0.09825568,51.51254024,2,2,0,0,0,20,1,6,6,0
E09000001,City of London,13,2019,-0.08890205,51.51360506666666,23,25,0,2,21,20,1,6,6,3
E09000001,City of London,13,2020,-0.08890205,51.51360506666666,4,4,0,1,3,20,1,6,6,3
E09000001,City of London,13,2021,-0.08890205,51.51360506666666,13,14,0,2,11,20,1,6,6,3
E09000001,City of London,13,2022,-0.08890205,51.51360506666666,8,8,0,1,7,20,1,6,6,3
E09000001,City of London,13,2023,-0.08890205,51.51360506666666,1,1,0,0,1,20,1,6,6,3
E09000001,City of London,13,2024,-0.08890205,51.51360506666666,9,10,0,0,0,20,1,6,6,3
E09000001,City of London,13,2025,-0.08890205,51.51360506666666,2,2,0,0,0,20,1,6,6,3
E09000001,City of London,14,2019,-0.1032795625,51.51111575,8,10,0,2,6,20,1,3,6,0
E09000001,City of London,14,2020,-0.1032795625,51.51111575,4,4,0,2,2,20,1,3,6,0
E09000001,City of London,14,2021,-0.1032795625,51.51111575,5,10,0,3,2,20,1,3,6,0
E09000001,City of London,14,2022,-0.1032795625,51.51111575,6,8,0,2,4,20,1,3,6,0
E09000001,City of London,14,2023,-0.1032795625,51.51111575,4,4,0,0,4,20,1,3,6,0
E09000001,City of London,14,2024,-0.1032795625,51.51111575,4,5,0,0,0,20,1,3,6,0
E09000001,City of London,14,2025,-0.1032795625,51.51111575,1,1,0,0,0,20,1,3,6,0
E09000001,City of London,15,2019,-0.10038476,51.51908132,7,7,0,0,7,20,1,6,6,0
