la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E09000008,Croydon,1,2019,-0.1143992049180328,51.39350192622951,18,20,1,1,16,30,1,3,6,3
E09000008,Croydon,1,2020,-0.1143992049180328,51.39350192622951,19,23,0,2,17,30,1,3,6,3
E09000008,Croydon,1,2021,-0.1143992049180328,51.39350192622951,24,26,0,5,19,30,1,3,6,3
E09000008,Croydon,1,2022,-0.1143992049180328,51.39350192622951,10,11,0,1,9,30,1,3,6,3
E09000008,Croydon,1,2023,-0.1143992049180328,51.39350192622951,35,35,0,3,32,30,1,3,6,3
E09000008,Croydon,1,2024,-0.1143992049180328,51.39350192622951,25,25,0,0,0,30,1,3,6,3
E09000008,Croydon,1,2025,-0.1143992049180328,51.39350192622951,9,9,0,0,0,30,1,3,6,3
E09000008,Croydon,2,2019,-0.11671976,51.3574974,6,7,0,0,6,30,1,3,3,6
E09000008,Croydon,2,2020,-0.11671976,51.3574974,5,8,0,1,4,30,1,3,3,6
E09000008,Croydon,2,2021,-0.11671976,51.3574974,7,7,0,0,7,30,1,3,3,6
E09000008,Croydon,2,2022,-0.11671976,51.3574974,2,2,0,0,2,30,1,3,3,6
E09000008,Croydon,2,2023,-0.11671976,51.3574974,5,5,0,0,5,30,1,3,3,6
E09000008,Croydon,2,2024,-0.11671976,51.3574974,5,6,0,0,0,30,1,3,3,6
E09000008,Croydon,2,2025,-0.11671976,51.3574974,4,5,0,0,0,30,1,3,3,6
E09000008,Croydon,3,2019,-0.06944446153846154,51.40298584615385,2,2,0,2,0,30,1,3,6,0
E09000008,Croydon,3,2020,-0.06944446153846154,51.40298584615385,3,4,0,0,3,30,1,3,6,0
E09000008,Croydon,3,2021,-0.06944446153846154,51.40298584615385,3,3,0,2,1,30,1,3,6,0
E09000008,Croydon,3,2022,-0.06944446153846154,51.40298584615385,4,6,0,0,4,30,1,3,6,0
E09000008,Croydon,3,2023,-0.06944446153846154,51.40298584615385,3,3,0,0,3,30,1,3,6,0
E09000008,Croydon,3,2024,-0.06944446153846154,51.40298584615385,5,5,0,0,0,30,1,3,6,0
E09000008,Croydon,3,2025,-0.06944446153846154,51.40298584615385,1,1,0,0,0,30,1,3,6,0
E09000008,Croydon,4,2019,-0.06924266666666667,51.362796333333335,1,1,0,0,1,30,1,3,6,0
E09000008,Croydon,4,2020,-0.06924266666666667,51.362796333333335,0,0,0,0,0,30,1,3,6,0
E09000008,Croydon,4,2021,-0.06924266666666667,51.362796333333335,2,2,0,1,1,30,1,3,6,0
E09000008,Croydon,4,2022,-0.06924266666666667,51.362796333333335,3,5,0,1,2,30,1,3,6,0
E09000008,Croydon,4,2023,-0.06924266666666667,51.362796333333335,0,0,0,0,0,30,1,3,6,0
E09000008,Croydon,4,2024,-0.06924266666666667,51.362796333333335,2,2,0,0,0,30,1,3,6,0
E09000008,Croydon,5,2019,-0.098732,51.36904794680851,21,22,0,4,17,30,1,3,6,3
E09000008,Croydon,5,2020,-0.098732,51.36904794680851,13,14,0,2,11,30,1,3,6,3
E09000008,Croydon,5,2021,-0.098732,51.36904794680851,17,19,0,2,15,30,1,3,6,3
E09000008,Croydon,5,2022,-0.098732,51.36904794680851,15,15,0,3,12,30,1,3,6,3
E09000008,Croydon,5,2023,-0.098732,51.36904794680851,8,9,0,0,8,30,1,3,6,3
E09000008,Croydon,5,2024,-0.098732,51.36904794680851,14,15,0,0,0,30,1,3,6,3
E09000008,Croydon,5,2025,-0.098732,51.36904794680851,4,4,0,0,0,30,1,3,6,3
E09000008,Croydon,6,2019,-0.09277916666666666,51.39775889285714,10,11,0,0,10,30,1,4,6,3
E09000008,Croydon,6,2020,-0.09277916666666666,51.39775889285714,13,15,0,1,12,30,1,4,6,3
E09000008,Croydon,6,2021,-0.09277916666666666,51.39775889285714,17,19,0,1,16,30,1,4,6,3
E09000008,Croydon,6,2022,-0.09277916666666666,51.39775889285714,17,17,0,2,15,30,1,4,6,3
E09000008,Croydon,6,2023,-0.09277916666666666,51.39775889285714,22,23,0,2,20,30,1,4,6,3
E09000008,Croydon,6,2024,-0.09277916666666666,51.39775889285714,21,22,0,0,0,30,1,4,6,3
E09000008,Croydon,6,2025,-0.09277916666666666,51.39775889285714,9,11,0,0,0,30,1,4,6,3
E09000008,Croydon,7,2019,-0.1192500681818182,51.39106406818182,4,5,0,0,4,30,1,3,6,3
E09000008,Croydon,7,2020,-0.1192500681818182,51.39106406818182,10,10,0,2,8,30,1,3,6,3
E09000008,Croydon,7,2021,-0.1192500681818182,51.39106406818182,9,9,0,3,6,30,1,3,6,3
E09000008,Croydon,7,2022,-0.1192500681818182,51.39106406818182,7,7,0,2,5,30,1,3,6,3
E09000008,Croydon,7,2023,-0.1192500681818182,51.39106406818182,13,15,0,4,9,30,1,3,6,3
E09000008,Croydon,7,2024,-0.1192500681818182,51.39106406818182,13,14,0,0,0,30,1,3,6,3
E09000008,Croydon,7,2025,-0.1192500681818182,51.39106406818182,3,4,0,0,0,30,1,3,6,3
E09000008,Croydon,8,2019,-0.01394966666666666,51.34033588888889,2,2,0,1,1,20,1,5,6,0
E09000008,Croydon,8,2020,-0.01394966666666666,51.34033588888889,2,2,0,1,1,20,1,5,6,0
E09000008,Croydon,8,2021,-0.01394966666666666,51.34033588888889,0,0,0,0,0,20,1,5,6,0
E09000008,Croydon,8,2022,-0.01394966666666666,51.34033588888889,2,2,0,1,1,20,1,5,6,0
E09000008,Croydon,8,2023,-0.01394966666666666,51.34033588888889,3,3,0,0,3,20,1,5,6,0
E09000008,Croydon,8,2024,-0.01394966666666666,51.34033588888889,1,1,0,0,0,20,1,5,6,0
E09000008,Croydon,8,2025,-0.01394966666666666,51.34033588888889,1,1,0,0,0,20,1,5,6,0
E09000008,Croydon,9,2019,-0.09063611904761903,51.41349788095238,6,6,0,0,6,30,1,3,6,3
E09000008,Croydon,9,2020,-0.09063611904761903,51.41349788095238,6,6,0,0,6,30,1,3,6,3
E09000008,Croydon,9,2021,-0.09063611904761903,51.41349788095238,4,5,0,2,2,30,1,3,6,3
E09000008,Croydon,9,2022,-0.09063611904761903,51.41349788095238,7,7,0,2,5,30,1,3,6,3
E09000008,Croydon,9,2023,-0.09063611904761903,51.41349788095238,5,5,0,0,5,30,1,3,6,3
E09000008,Croydon,9,2024,-0.09063611904761903,51.41349788095238,13,13,0,0,0,30,1,3,6,3
E09000008,Croydon,9,2025,-0.09063611904761903,51.41349788095238,8,8,0,0,0,30,1,3,6,3
E09000008,Croydon,10,2019,-0.09309923076923075,51.401876615384616,3,3,0,1,2,20,1,6,6,0
E09000008,Croydon,10,2020,-0.09309923076923075,51.401876615384616,1,1,0,0,1,20,1,6,6,0
E09000008,Croydon,10,2021,-0.09309923076923075,51.401876615384616,2,2,0,0,2,20,1,6,6,0
E09000008,Croydon,10,2022,-0.09309923076923075,51.401876615384616,0,0,0,0,0,20,1,6,6,0
E09000008,Croydon,10,2023,-0.09309923076923075,51.401876615384616,2,6,0,0,2,20,1,6,6,0
E09000008,Croydon,10,2024,-0.09309923076923075,51.401876615384616,2,2,0,0,0,20,1,6,6,0
E09000008,Croydon,10,2025,-0.09309923076923075,51.401876615384616,2,2,0,0,0,20,1,6,6,0
E09000008,Croydon,11,2019,-0.11656555128205127,51.33862817948718,14,17,0,1,13,30,1,3,6,0
E09000008,Croydon,11,2020,-0.11656555128205127,51.33862817948718,14,18,0,2,12,30,1,3,6,0
E09000008,Croydon,11,2021,-0.11656555128205127,51.33862817948718,9,10,0,1,8,30,1,3,6,0
E09000008,Croydon,11,2022,-0.11656555128205127,51.33862817948718,9,10,0,2,7,30,1,3,6,0
E09000008,Croydon,11,2023,-0.11656555128205127,51.33862817948718,17,18,0,4,13,30,1,3,6,0
E09000008,Croydon,11,2024,-0.11656555128205127,51.33862817948718,15,16,0,0,0,30,1,3,6,0
E09000008,Croydon,11,2025,-0.11656555128205127,51.33862817948718,8,8,0,0,0,30,1,3,6,0
E09000008,Croydon,12,2019,-0.09182602380952382,51.38878047619048,11,12,1,1,9,30,1,3,6,3
E09000008,Croydon,12,2020,-0.09182602380952382,51.38878047619048,1,1,0,0,1,30,1,3,6,3
E09000008,Croydon,12,2021,-0.09182602380952382,51.38878047619048,8,13,0,2,6,30,1,3,6,3
E09000008,Croydon,12,2022,-0.09182602380952382,51.38878047619048,2,3,0,0,2,30,1,3,6,3
E09000008,Croydon,12,2023,-0.09182602380952382,51.38878047619048,9,10,0,3,6,30,1,3,6,3
E09000008,Croydon,12,2024,-0.09182602380952382,51.38878047619048,10,10,0,0,0,30,1,3,6,3
E09000008,Croydon,12,2025,-0.09182602380952382,51.38878047619048,3,3,0,0,0,30,1,3,6,3
E09000008,Croydon,13,2019,-0.0524707619047619,51.39246190476191,3,3,1,0,2,30,1,3,6,3
E09000008,Croydon,13,2020,-0.0524707619047619,51.39246190476191,2,2,0,1,1,30,1,3,6,3
E09000008,Croydon,13,2021,-0.0524707619047619,51.39246190476191,2,2,0,1,1,30,1,3,6,3
E09000008,Croydon,13,2022,-0.0524707619047619,51.39246190476191,5,5,0,1,4,30,1,3,6,3
E09000008,Croydon,13,2023,-0.0524707619047619,51.39246190476191,4,4,0,1,3,30,1,3,6,3
E09000008,Croydon,13,2024,-0.0524707619047619,51.39246190476191,5,5,0,0,0,30,1,3,6,3
E09000008,Croydon,13,2025,-0.0524707619047619,51.39246190476191,2,2,0,0,0,30,1,3,6,3
E09000008,Croydon,14,2019,-0.04964978571428571,51.34793007142857,1,1,0,0,1,30,1,3,6,0
E09000008,Croydon,14,2020,-0.04964978571428571,51.34793007142857,1,1,0,0,1,30,1,3,6,0
E09000008,Croydon,14,2021,-0.04964978571428571,51.34793007142857,4,4,0,1,3,30,1,3,6,0
E09000008,Croydon,14,2022,-0.04964978571428571,51.34793007142857,1,2,0,1,0,30,1,3,6,0
E09000008,Croydon,14,2023,-0.04964978571428571,51.34793007142857,6,6,0,0,6,30,1,3,6,0
E09000008,Croydon,14,2024,-0.04964978571428571,51.34793007142857,3,4,0,0,0,30,1,3,6,0
E09000008,Croydon,15,2019,-0.08614466666666666,51.40026136666667,6,9,0,2,4,30,1,4,6,3
E09000008,Croydon,15,2020,-0.08614466666666666,51.40026136666667,7,9,0,0,7,30,1,4,6,3
E09000008,Croydon,15,2021,-0.08614466666666666,51.40026136666667,8,11,0,2,6,30,1,4,6,3
E09000008,Croydon,15,2022,-0.08614466666666666,51.40026136666667,6,8,0,1,5,30,1,4,6,3
E09000008,Croydon,15,2023,-0.08614466666666666,51.40026136666667,5,5,0,0,5,30,1,4,6,3
E09000008,Croydon,15,2024,-0.08614466666666666,51.40026136666667,5,5,0,0,0,30,1,4,6,3
E09000008,Croydon,15,2025,-0.08614466666666666,51.40026136666667,1,1,0,0,0,30,1,4,6,3
E09000008,Croydon,16,2019,-0.12686425,51.3109005,1,1,0,1,0,30,1,4,6,0
E09000008,Croydon,16,2020,-0.12686425,51.3109005,1,1,0,1,0,30,1,4,6,0
E09000008,Croydon,16,2021,-0.12686425,51.3109005,0,0,0,0,0,30,1,4,6,0
E09000008,Croydon,16,2022,-0.12686425,51.3109005,2,2,0,1,1,30,1,4,6,0
E09000008,Croydon,16,2023,-0.12686425,51.3109005,0,0,0,0,0,30,1,4,6,0
E09000008,Croydon,16,2024,-0.12686425,51.3109005,1,1,0,0,0,30,1,4,6,0
E09000008,Croydon,17,2019,-0.1098874,51.4040313,1,3,0,0,1,20,1,6,6,0
E09000008,Croydon,17,2020,-0.1098874,51.4040313,1,1,0,1,0,20,1,6,6,0
E09000008,Croydon,17,2021,-0.1098874,51.4040313,1,1,0,0,1,20,1,6,6,0
E09000008,Croydon,17,2022,-0.1098874,51.4040313,5,5,0,1,4,20,1,6,6,0
E09000008,Croydon,17,2023,-0.1098874,51.4040313,8,9,0,0,8,20,1,6,6,0
E09000008,Croydon,17,2024,-0.1098874,51.4040313,7,8,0,0,0,20,1,6,6,0
E09000008,Croydon,17,2025,-0.1098874,51.4040313,2,2,0,0,0,20,1,6,6,0
E09000008,Croydon,18,2019,-0.09685095555555556,51.3634674,7,7,0,1,6,30,1,3,6,0
E09000008,Croydon,18,2020,-0.09685095555555556,51.3634674,7,8,0,3,4,30,1,3,6,0
E09000008,Croydon,18,2021,-0.09685095555555556,51.3634674,7,15,0,1,6,30,1,3,6,0
E09000008,Croydon,18,2022,-0.09685095555555556,51.3634674,10,11,0,3,7,30,1,3,6,0
E09000008,Croydon,18,2023,-0.09685095555555556,51.3634674,4,4,0,0,4,30,1,3,6,0
E09000008,Croydon,18,2024,-0.09685095555555556,51.3634674,9,9,0,0,0,30,1,3,6,0
E09000008,Croydon,18,2025,-0.09685095555555556,51.3634674,6,7,0,0,0,30,1,3,6,0
E09000008,Croydon,19,2019,-0.1119928,51.38128148,5,5,0,3,2,30,1,3,6,3
E09000008,Croydon,19,2020,-0.1119928,51.38128148,4,4,0,1,3,30,1,3,6,3
E09000008,Croydon,19,2021,-0.1119928,51.38128148,11,15,0,2,9,30,1,3,6,3
E09000008,Croydon,19,2022,-0.1119928,51.38128148,3,4,0,1,2,30,1,3,6,3
E09000008,Croydon,19,2023,-0.1119928,51.38128148,7,7,0,0,7,30,1,3,6,3
E09000008,Croydon,19,2024,-0.1119928,51.38128148,5,7,0,0,0,30,1,3,6,3
E09000008,Croydon,20,2019,-0.10765011111111111,51.41142125925926,3,3,0,1,2,30,1,4,6,3
E09000008,Croydon,20,2020,-0.10765011111111111,51.41142125925926,5,5,0,1,4,30,1,4,6,3
E09000008,Croydon,20,2021,-0.10765011111111111,51.41142125925926,5,5,0,2,3,30,1,4,6,3
E09000008,Croydon,20,2022,-0.10765011111111111,51.41142125925926,7,8,0,2,5,30,1,4,6,3
E09000008,Croydon,20,2023,-0.10765011111111111,51.41142125925926,5,5,0,2,3,30,1,4,6,3
