la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E06000005,Darlington,1,2019,-1.5565948333333333,54.54565633333333,1,1,0,0,1,30,1,6,6,3
E06000005,Darlington,1,2020,-1.5565948333333333,54.54565633333333,0,0,0,0,0,30,1,6,6,3
E06000005,Darlington,1,2021,-1.5565948333333333,54.54565633333333,2,3,0,0,2,30,1,6,6,3
E06000005,Darlington,1,2022,-1.5565948333333333,54.54565633333333,1,1,0,0,1,30,1,6,6,3
E06000005,Darlington,1,2023,-1.5565948333333333,54.54565633333333,2,2,0,0,2,30,1,6,6,3
E06000005,Darlington,1,2024,-1.5565948333333333,54.54565633333333,0,0,0,0,0,30,1,6,6,3
E06000005,Darlington,2,2019,-1.5604775217391305,54.52371447826087,6,6,0,3,3,30,1,6,6,0
E06000005,Darlington,2,2020,-1.5604775217391305,54.52371447826087,6,7,0,1,5,30,1,6,6,0
E06000005,Darlington,2,2021,-1.5604775217391305,54.52371447826087,4,4,0,1,3,30,1,6,6,0
E06000005,Darlington,2,2022,-1.5604775217391305,54.52371447826087,5,5,0,1,4,30,1,6,6,0
E06000005,Darlington,2,2023,-1.5604775217391305,54.52371447826087,2,2,0,0,2,30,1,6,6,0
E06000005,Darlington,2,2024,-1.5604775217391305,54.52371447826087,0,0,0,0,0,30,1,6,6,0
E06000005,Darlington,3,2019,-1.55269753125,54.5307765,7,8,0,0,7,30,1,3,6,3
E06000005,Darlington,3,2020,-1.55269753125,54.5307765,5,5,0,2,3,30,1,3,6,3
E06000005,Darlington,3,2021,-1.55269753125,54.5307765,8,10,0,1,7,30,1,3,6,3
E06000005,Darlington,3,2022,-1.55269753125,54.5307765,3,3,0,1,2,30,1,3,6,3
E06000005,Darlington,3,2023,-1.55269753125,54.5307765,9,10,1,2,6,30,1,3,6,3
E06000005,Darlington,3,2024,-1.55269753125,54.5307765,0,0,0,0,0,30,1,3,6,3
E06000005,Darlington,4,2019,-1.5726156,54.541298,2,3,0,0,2,30,1,6,6,0
E06000005,Darlington,4,2020,-1.5726156,54.541298,0,0,0,0,0,30,1,6,6,0
E06000005,Darlington,4,2021,-1.5726156,54.541298,0,0,0,0,0,30,1,6,6,0
E06000005,Darlington,4,2022,-1.5726156,54.541298,1,1,0,0,1,30,1,6,6,0
E06000005,Darlington,4,2023,-1.5726156,54.541298,2,2,0,0,2,30,1,6,6,0
E06000005,Darlington,4,2024,-1.5726156,54.541298,0,0,0,0,0,30,1,6,6,0
E06000005,Darlington,5,2019,-1.5546743684210529,54.53642,8,11,0,0,8,30,1,6,6,0
E06000005,Darlington,5,2020,-1.5546743684210529,54.53642,4,6,0,0,4,30,1,6,6,0
E06000005,Darlington,5,2021,-1.5546743684210529,54.53642,5,5,0,2,3,30,1,6,6,0
E06000005,Darlington,5,2022,-1.5546743684210529,54.53642,1,1,0,0,1,30,1,6,6,0
E06000005,Darlington,5,2023,-1.5546743684210529,54.53642,1,2,0,0,1,30,1,6,6,0
E06000005,Darlington,5,2024,-1.5546743684210529,54.53642,0,0,0,0,0,30,1,6,6,0
E06000005,Darlington,6,2019,-1.551905,54.5118196,1,1,0,0,1,30,1,6,6,0
E06000005,Darlington,6,2020,-1.551905,54.5118196,0,0,0,0,0,30,1,6,6,0
E06000005,Darlington,6,2021,-1.551905,54.5118196,1,1,0,0,1,30,1,6,6,0
E06000005,Darlington,6,2022,-1.551905,54.5118196,2,2,0,0,2,30,1,6,6,0
E06000005,Darlington,6,2023,-1.551905,54.5118196,1,1,0,0,1,30,1,6,6,0
E06000005,Darlington,6,2024,-1.551905,54.5118196,0,0,0,0,0,30,1,6,6,0
