la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
W06000004,Denbighshire,1,2019,-3.489905282051282,53.32044553846154,11,13,0,2,9,30,1,6,2,6
W06000004,Denbighshire,1,2020,-3.489905282051282,53.32044553846154,4,5,0,1,3,30,1,6,2,6
W06000004,Denbighshire,1,2021,-3.489905282051282,53.32044553846154,5,5,0,0,5,30,1,6,2,6
W06000004,Denbighshire,1,2022,-3.489905282051282,53.32044553846154,9,11,1,3,5,30,1,6,2,6
W06000004,Denbighshire,1,2023,-3.489905282051282,53.32044553846154,6,7,0,3,3,30,1,6,2,6
W06000004,Denbighshire,1,2024,-3.489905282051282,53.32044553846154,4,8,0,0,0,30,1,6,2,6
W06000004,Denbighshire,2,2019,-3.5077862,53.2777472,1,1,0,1,0,60,2,6,6,0
W06000004,Denbighshire,2,2020,-3.5077862,53.2777472,1,1,0,1,0,60,2,6,6,0
W06000004,Denbighshire,2,2021,-3.5077862,53.2777472,1,1,0,0,1,60,2,6,6,0
W06000004,Denbighshire,2,2022,-3.5077862,53.2777472,1,1,0,0,1,60,2,6,6,0
W06000004,Denbighshire,2,2023,-3.5077862,53.2777472,1,3,0,1,0,60,2,6,6,0
W06000004,Denbighshire,2,2024,-3.5077862,53.2777472,0,0,0,0,0,60,2,6,6,0
W06000004,Denbighshire,3,2019,-3.441425909090909,53.231964454545455,5,7,0,0,5,60,2,4,6,0
W06000004,Denbighshire,3,2020,-3.441425909090909,53.231964454545455,2,2,0,1,1,60,2,4,6,0
W06000004,Denbighshire,3,2021,-3.441425909090909,53.231964454545455,0,0,0,0,0,60,2,4,6,0
W06000004,Denbighshire,3,2022,-3.441425909090909,53.231964454545455,1,1,0,0,1,60,2,4,6,0
W06000004,Denbighshire,3,2023,-3.441425909090909,53.231964454545455,1,1,0,0,1,60,2,4,6,0
W06000004,Denbighshire,3,2024,-3.441425909090909,53.231964454545455,1,1,0,0,0,60,2,4,6,0
W06000004,Denbighshire,3,2025,-3.441425909090909,53.231964454545455,1,1,0,0,0,60,2,4,6,0
