la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E08000017,Doncaster,1,2019,-1.0686765,53.44705,1,2,0,1,0,60,2,4,6,0
E08000017,Doncaster,1,2020,-1.0686765,53.44705,0,0,0,0,0,60,2,4,6,0
E08000017,Doncaster,1,2021,-1.0686765,53.44705,1,1,0,0,1,60,2,4,6,0
E08000017,Doncaster,1,2022,-1.0686765,53.44705,0,0,0,0,0,60,2,4,6,0
E08000017,Doncaster,1,2023,-1.0686765,53.44705,0,0,0,0,0,60,2,4,6,0
E08000017,Doncaster,1,2024,-1.0686765,53.44705,0,0,0,0,0,60,2,4,6,0
E08000017,Doncaster,2,2019,-1.22671,53.581994,1,1,0,1,0,60,2,3,6,0
E08000017,Doncaster,2,2020,-1.22671,53.581994,0,0,0,0,0,60,2,3,6,0
E08000017,Doncaster,2,2021,-1.22671,53.581994,0,0,0,0,0,60,2,3,6,0
E08000017,Doncaster,2,2022,-1.22671,53.581994,0,0,0,0,0,60,2,3,6,0
E08000017,Doncaster,2,2023,-1.22671,53.581994,0,0,0,0,0,60,2,3,6,0
E08000017,Doncaster,2,2024,-1.22671,53.581994,0,0,0,0,0,60,2,3,6,0
E08000017,Doncaster,3,2019,-1.155815875,53.609348874999995,2,3,0,1,1,30,2,6,6,3
E08000017,Doncaster,3,2020,-1.155815875,53.609348874999995,3,5,0,1,2,30,2,6,6,3
E08000017,Doncaster,3,2021,-1.155815875,53.609348874999995,1,1,0,0,1,30,2,6,6,3
E08000017,Doncaster,3,2022,-1.155815875,53.609348874999995,2,2,0,1,1,30,2,6,6,3
E08000017,Doncaster,3,2023,-1.155815875,53.609348874999995,0,0,0,0,0,30,2,6,6,3
E08000017,Doncaster,3,2024,-1.155815875,53.609348874999995,0,0,0,0,0,30,2,6,6,3
E08000017,Doncaster,4,2019,-1.0955906666666666,53.48634166666667,1,1,0,0,1,70,2,3,1,0
E08000017,Doncaster,4,2020,-1.0955906666666666,53.48634166666667,2,2,0,0,2,70,2,3,1,0
E08000017,Doncaster,4,2021,-1.0955906666666666,53.48634166666667,1,1,0,1,0,70,2,3,1,0
E08000017,Doncaster,4,2022,-1.0955906666666666,53.48634166666667,2,2,0,0,2,70,2,3,1,0
E08000017,Doncaster,4,2023,-1.0955906666666666,53.48634166666667,3,3,0,1,2,70,2,3,1,0
E08000017,Doncaster,4,2024,-1.0955906666666666,53.48634166666667,0,0,0,0,0,70,2,3,1,0
E08000017,Doncaster,5,2019,-1.2320608333333334,53.482658,1,1,0,0,1,30,1,6,6,0
E08000017,Doncaster,5,2020,-1.2320608333333334,53.482658,2,4,0,0,2,30,1,6,6,0
E08000017,Doncaster,5,2021,-1.2320608333333334,53.482658,0,0,0,0,0,30,1,6,6,0
E08000017,Doncaster,5,2022,-1.2320608333333334,53.482658,1,1,0,1,0,30,1,6,6,0
E08000017,Doncaster,5,2023,-1.2320608333333334,53.482658,2,2,0,1,1,30,1,6,6,0
E08000017,Doncaster,5,2024,-1.2320608333333334,53.482658,0,0,0,0,0,30,1,6,6,0
E08000017,Doncaster,6,2019,-1.1489501333333334,53.544687,3,4,0,1,2,30,1,6,6,3
E08000017,Doncaster,6,2020,-1.1489501333333334,53.544687,3,5,0,1,2,30,1,6,6,3
E08000017,Doncaster,6,2021,-1.1489501333333334,53.544687,2,2,0,0,2,30,1,6,6,3
E08000017,Doncaster,6,2022,-1.1489501333333334,53.544687,3,4,0,2,1,30,1,6,6,3
E08000017,Doncaster,6,2023,-1.1489501333333334,53.544687,4,6,0,1,3,30,1,6,6,3
E08000017,Doncaster,6,2024,-1.1489501333333334,53.544687,0,0,0,0,0,30,1,6,6,3
E08000017,Doncaster,7,2019,-1.0749723333333334,53.557839333333334,1,1,0,1,0,30,1,6,6,3
E08000017,Doncaster,7,2020,-1.0749723333333334,53.557839333333334,2,3,0,0,2,30,1,6,6,3
E08000017,Doncaster,7,2021,-1.0749723333333334,53.557839333333334,0,0,0,0,0,30,1,6,6,3
E08000017,Doncaster,7,2022,-1.0749723333333334,53.557839333333334,0,0,0,0,0,30,1,6,6,3
E08000017,Doncaster,7,2023,-1.0749723333333334,53.557839333333334,0,0,0,0,0,30,1,6,6,3
E08000017,Doncaster,7,2024,-1.0749723333333334,53.557839333333334,0,0,0,0,0,30,1,6,6,3
E08000017,Doncaster,8,2019,-1.1309732127659575,53.5252920212766,11,14,0,0,11,30,1,6,6,3
E08000017,Doncaster,8,2020,-1.1309732127659575,53.5252920212766,4,6,0,0,4,30,1,6,6,3
E08000017,Doncaster,8,2021,-1.1309732127659575,53.5252920212766,8,13,0,3,5,30,1,6,6,3
E08000017,Doncaster,8,2022,-1.1309732127659575,53.5252920212766,13,17,0,5,8,30,1,6,6,3
E08000017,Doncaster,8,2023,-1.1309732127659575,53.5252920212766,11,11,0,2,9,30,1,6,6,3
E08000017,Doncaster,8,2024,-1.1309732127659575,53.5252920212766,0,0,0,0,0,30,1,6,6,3
E08000017,Doncaster,9,2019,-1.0413,53.507783,1,1,0,1,0,40,2,4,6,3
E08000017,Doncaster,9,2020,-1.0413,53.507783,0,0,0,0,0,40,2,4,6,3
E08000017,Doncaster,9,2021,-1.0413,53.507783,0,0,0,0,0,40,2,4,6,3
E08000017,Doncaster,9,2022,-1.0413,53.507783,0,0,0,0,0,40,2,4,6,3
E08000017,Doncaster,9,2023,-1.0413,53.507783,0,0,0,0,0,40,2,4,6,3
E08000017,Doncaster,9,2024,-1.0413,53.507783,0,0,0,0,0,40,2,4,6,3
E08000017,Doncaster,10,2019,-1.0967549090909092,53.541424272727284,2,2,0,0,2,40,1,6,6,0
E08000017,Doncaster,10,2020,-1.0967549090909092,53.541424272727284,2,2,0,0,2,40,1,6,6,0
