la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E08000027,Dudley,1,2019,-2.0622005,52.455568166666666,2,2,0,1,1,30,1,6,6,0
E08000027,Dudley,1,2020,-2.0622005,52.455568166666666,2,4,0,1,1,30,1,6,6,0
E08000027,Dudley,1,2021,-2.0622005,52.455568166666666,0,0,0,0,0,30,1,6,6,0
E08000027,Dudley,1,2022,-2.0622005,52.455568166666666,0,0,0,0,0,30,1,6,6,0
E08000027,Dudley,1,2023,-2.0622005,52.455568166666666,2,2,0,0,2,30,1,6,6,0
E08000027,Dudley,1,2024,-2.0622005,52.455568166666666,0,0,0,0,0,30,1,6,6,0
E08000027,Dudley,2,2019,-2.07419925,52.50321865,5,5,0,0,5,30,1,6,6,3
E08000027,Dudley,2,2020,-2.07419925,52.50321865,1,1,0,0,1,30,1,6,6,3
E08000027,Dudley,2,2021,-2.07419925,52.50321865,4,5,0,0,4,30,1,6,6,3
E08000027,Dudley,2,2022,-2.07419925,52.50321865,4,9,0,1,3,30,1,6,6,3
E08000027,Dudley,2,2023,-2.07419925,52.50321865,6,6,0,1,5,30,1,6,6,3
E08000027,Dudley,2,2024,-2.07419925,52.50321865,0,0,0,0,0,30,1,6,6,3
E08000027,Dudley,3,2019,-2.0743127222222224,52.48366183333333,6,7,0,4,2,30,1,3,6,6
E08000027,Dudley,3,2020,-2.0743127222222224,52.48366183333333,0,0,0,0,0,30,1,3,6,6
E08000027,Dudley,3,2021,-2.0743127222222224,52.48366183333333,6,8,0,3,3,30,1,3,6,6
E08000027,Dudley,3,2022,-2.0743127222222224,52.48366183333333,2,2,0,1,1,30,1,3,6,6
E08000027,Dudley,3,2023,-2.0743127222222224,52.48366183333333,4,5,0,1,3,30,1,3,6,6
E08000027,Dudley,3,2024,-2.0743127222222224,52.48366183333333,0,0,0,0,0,30,1,3,6,6
E08000027,Dudley,4,2019,-2.1195990555555557,52.542030277777776,3,5,0,1,2,30,1,3,6,3
