la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
S12000042,Dundee City,1,2019,-2.9955024,56.4810676,3,3,0,2,1,30,1,4,6,3
S12000042,Dundee City,1,2020,-2.9955024,56.4810676,0,0,0,0,0,30,1,4,6,3
S12000042,Dundee City,1,2021,-2.9955024,56.4810676,1,1,0,0,1,30,1,4,6,3
S12000042,Dundee City,1,2022,-2.9955024,56.4810676,1,1,0,0,1,30,1,4,6,3
S12000042,Dundee City,1,2023,-2.9955024,56.4810676,0,0,0,0,0,30,1,4,6,3
S12000042,Dundee City,1,2024,-2.9955024,56.4810676,0,0,0,0,0,30,1,4,6,3
S12000042,Dundee City,2,2019,-2.9582982857142857,56.47206528571429,3,4,0,0,3,30,1,6,6,3
S12000042,Dundee City,2,2020,-2.9582982857142857,56.47206528571429,2,2,0,1,1,30,1,6,6,3
S12000042,Dundee City,2,2021,-2.9582982857142857,56.47206528571429,3,3,0,1,2,30,1,6,6,3
S12000042,Dundee City,2,2022,-2.9582982857142857,56.47206528571429,2,2,0,0,2,30,1,6,6,3
S12000042,Dundee City,2,2023,-2.9582982857142857,56.47206528571429,4,4,0,1,3,30,1,6,6,3
S12000042,Dundee City,2,2024,-2.9582982857142857,56.47206528571429,0,0,0,0,0,30,1,6,6,3
S12000042,Dundee City,3,2019,-2.8740514,56.473142,2,2,0,0,2,30,1,6,6,3
S12000042,Dundee City,3,2020,-2.8740514,56.473142,1,1,0,0,1,30,1,6,6,3
S12000042,Dundee City,3,2021,-2.8740514,56.473142,0,0,0,0,0,30,1,6,6,3
S12000042,Dundee City,3,2022,-2.8740514,56.473142,1,1,0,0,1,30,1,6,6,3
S12000042,Dundee City,3,2023,-2.8740514,56.473142,1,1,0,0,1,30,1,6,6,3
S12000042,Dundee City,3,2024,-2.8740514,56.473142,0,0,0,0,0,30,1,6,6,3
S12000042,Dundee City,4,2019,-2.967347333333333,56.464625222222224,4,4,0,2,2,30,1,3,6,0
S12000042,Dundee City,4,2020,-2.967347333333333,56.464625222222224,5,5,0,3,2,30,1,3,6,0
S12000042,Dundee City,4,2021,-2.967347333333333,56.464625222222224,2,2,0,1,1,30,1,3,6,0
S12000042,Dundee City,4,2022,-2.967347333333333,56.464625222222224,3,4,0,2,1,30,1,3,6,0
