la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E06000047,Durham,1,2019,-1.5685334,54.8619777,2,2,0,0,2,50,2,3,1,1
E06000047,Durham,1,2020,-1.5685334,54.8619777,1,2,0,0,1,50,2,3,1,1
E06000047,Durham,1,2021,-1.5685334,54.8619777,1,1,0,0,1,50,2,3,1,1
E06000047,Durham,1,2022,-1.5685334,54.8619777,3,3,0,1,2,50,2,3,1,1
E06000047,Durham,1,2023,-1.5685334,54.8619777,3,3,0,1,2,50,2,3,1,1
E06000047,Durham,1,2024,-1.5685334,54.8619777,0,0,0,0,0,50,2,3,1,1
E06000047,Durham,2,2019,-1.79436,54.862002,2,2,0,0,2,60,2,3,1,1
E06000047,Durham,2,2020,-1.79436,54.862002,1,1,0,0,1,60,2,3,1,1
E06000047,Durham,2,2021,-1.79436,54.862002,0,0,0,0,0,60,2,3,1,1
E06000047,Durham,2,2022,-1.79436,54.862002,0,0,0,0,0,60,2,3,1,1
E06000047,Durham,2,2023,-1.79436,54.862002,0,0,0,0,0,60,2,3,1,1
E06000047,Durham,2,2024,-1.79436,54.862002,0,0,0,0,0,60,2,3,1,1
E06000047,Durham,2,2025,-1.79436,54.862002,1,4,0,0,0,60,2,3,1,1
E06000047,Durham,3,2019,-1.6822906,54.8569356,2,3,0,1,1,30,1,6,6,0
E06000047,Durham,3,2020,-1.6822906,54.8569356,0,0,0,0,0,30,1,6,6,0
E06000047,Durham,3,2021,-1.6822906,54.8569356,2,2,0,0,2,30,1,6,6,0
E06000047,Durham,3,2022,-1.6822906,54.8569356,1,2,0,0,1,30,1,6,6,0
E06000047,Durham,3,2023,-1.6822906,54.8569356,0,0,0,0,0,30,1,6,6,0
E06000047,Durham,3,2024,-1.6822906,54.8569356,0,0,0,0,0,30,1,6,6,0
E06000047,Durham,4,2019,-1.7069924,54.86204,2,4,0,0,2,30,1,6,6,3
E06000047,Durham,4,2020,-1.7069924,54.86204,1,1,1,0,0,30,1,6,6,3
E06000047,Durham,4,2021,-1.7069924,54.86204,1,1,0,1,0,30,1,6,6,3
E06000047,Durham,4,2022,-1.7069924,54.86204,0,0,0,0,0,30,1,6,6,3
E06000047,Durham,4,2023,-1.7069924,54.86204,0,0,0,0,0,30,1,6,6,3
E06000047,Durham,4,2024,-1.7069924,54.86204,1,3,0,0,0,30,1,6,6,3
E06000047,Durham,5,2019,-1.6912953076923076,54.71005507692308,3,6,0,2,1,30,2,6,6,0
E06000047,Durham,5,2020,-1.6912953076923076,54.71005507692308,4,4,0,1,3,30,2,6,6,0
E06000047,Durham,5,2021,-1.6912953076923076,54.71005507692308,1,1,0,0,1,30,2,6,6,0
E06000047,Durham,5,2022,-1.6912953076923076,54.71005507692308,2,2,0,0,2,30,2,6,6,0
