la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
EHEATHROW,EHEATHROW,1,2019,-0.49453054545454544,51.47445290909091,2,2,0,0,2,30,2,6,1,1
EHEATHROW,EHEATHROW,1,2020,-0.49453054545454544,51.47445290909091,1,1,0,1,0,30,2,6,1,1
EHEATHROW,EHEATHROW,1,2021,-0.49453054545454544,51.47445290909091,0,0,0,0,0,30,2,6,1,1
EHEATHROW,EHEATHROW,1,2022,-0.49453054545454544,51.47445290909091,4,5,0,0,4,30,2,6,1,1
EHEATHROW,EHEATHROW,1,2023,-0.49453054545454544,51.47445290909091,4,8,0,0,4,30,2,6,1,1
EHEATHROW,EHEATHROW,1,2024,-0.49453054545454544,51.47445290909091,0,0,0,0,0,30,2,6,1,1
EHEATHROW,EHEATHROW,2,2019,-0.4539241052631579,51.47075384210526,6,8,0,0,6,30,1,6,2,9
EHEATHROW,EHEATHROW,2,2020,-0.4539241052631579,51.47075384210526,1,1,0,0,1,30,1,6,2,9
EHEATHROW,EHEATHROW,2,2021,-0.4539241052631579,51.47075384210526,3,3,0,1,2,30,1,6,2,9
EHEATHROW,EHEATHROW,2,2022,-0.4539241052631579,51.47075384210526,6,10,0,1,5,30,1,6,2,9
EHEATHROW,EHEATHROW,2,2023,-0.4539241052631579,51.47075384210526,3,3,0,0,3,30,1,6,2,9
EHEATHROW,EHEATHROW,2,2024,-0.4539241052631579,51.47075384210526,0,0,0,0,0,30,1,6,2,9
EHEATHROW,EHEATHROW,3,2019,-0.4903414,51.47156,1,1,0,0,1,20,1,6,2,0
EHEATHROW,EHEATHROW,3,2020,-0.4903414,51.47156,1,1,0,0,1,20,1,6,2,0
EHEATHROW,EHEATHROW,3,2021,-0.4903414,51.47156,0,0,0,0,0,20,1,6,2,0
EHEATHROW,EHEATHROW,3,2022,-0.4903414,51.47156,3,4,0,0,3,20,1,6,2,0
EHEATHROW,EHEATHROW,3,2023,-0.4903414,51.47156,0,0,0,0,0,20,1,6,2,0
EHEATHROW,EHEATHROW,3,2024,-0.4903414,51.47156,0,0,0,0,0,20,1,6,2,0
EHEATHROW,EHEATHROW,4,2019,-0.42321830769230767,51.467532,5,7,0,0,5,30,1,6,6,9
EHEATHROW,EHEATHROW,4,2020,-0.42321830769230767,51.467532,2,2,0,0,2,30,1,6,6,9
EHEATHROW,EHEATHROW,4,2021,-0.42321830769230767,51.467532,0,0,0,0,0,30,1,6,6,9
EHEATHROW,EHEATHROW,4,2022,-0.42321830769230767,51.467532,2,3,0,0,2,30,1,6,6,9
EHEATHROW,EHEATHROW,4,2023,-0.42321830769230767,51.467532,4,6,0,0,4,30,1,6,6,9
EHEATHROW,EHEATHROW,4,2024,-0.42321830769230767,51.467532,0,0,0,0,0,30,1,6,6,9
EHEATHROW,EHEATHROW,5,2019,-0.4201238,51.475701,1,2,0,0,1,30,1,6,6,6
EHEATHROW,EHEATHROW,5,2020,-0.4201238,51.475701,1,1,0,1,0,30,1,6,6,6
EHEATHROW,EHEATHROW,5,2021,-0.4201238,51.475701,0,0,0,0,0,30,1,6,6,6
EHEATHROW,EHEATHROW,5,2022,-0.4201238,51.475701,2,2,0,1,1,30,1,6,6,6
EHEATHROW,EHEATHROW,5,2023,-0.4201238,51.475701,1,1,0,1,0,30,1,6,6,6
EHEATHROW,EHEATHROW,5,2024,-0.4201238,51.475701,0,0,0,0,0,30,1,6,6,6
EHEATHROW,EHEATHROW,6,2019,-0.4925814,51.478616800000005,2,3,0,0,2,30,2,6,6,9
EHEATHROW,EHEATHROW,6,2020,-0.4925814,51.478616800000005,1,2,0,0,1,30,2,6,6,9
EHEATHROW,EHEATHROW,6,2021,-0.4925814,51.478616800000005,0,0,0,0,0,30,2,6,6,9
EHEATHROW,EHEATHROW,6,2022,-0.4925814,51.478616800000005,1,2,0,0,1,30,2,6,6,9
EHEATHROW,EHEATHROW,6,2023,-0.4925814,51.478616800000005,1,1,0,0,1,30,2,6,6,9
EHEATHROW,EHEATHROW,6,2024,-0.4925814,51.478616800000005,0,0,0,0,0,30,2,6,6,9
EHEATHROW,EHEATHROW,7,2019,-0.45126777777777777,51.47986255555555,2,2,0,0,2,30,1,6,6,1
EHEATHROW,EHEATHROW,7,2020,-0.45126777777777777,51.47986255555555,4,6,0,0,4,30,1,6,6,1
EHEATHROW,EHEATHROW,7,2021,-0.45126777777777777,51.47986255555555,1,2,0,0,1,30,1,6,6,1
