la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
S12000008,East Ayrshire,1,2019,-4.2552696,55.444797199999996,1,4,0,0,1,30,1,4,6,3
S12000008,East Ayrshire,1,2020,-4.2552696,55.444797199999996,0,0,0,0,0,30,1,4,6,3
S12000008,East Ayrshire,1,2021,-4.2552696,55.444797199999996,0,0,0,0,0,30,1,4,6,3
S12000008,East Ayrshire,1,2022,-4.2552696,55.444797199999996,2,2,0,2,0,30,1,4,6,3
S12000008,East Ayrshire,1,2023,-4.2552696,55.444797199999996,2,3,0,0,2,30,1,4,6,3
S12000008,East Ayrshire,1,2024,-4.2552696,55.444797199999996,0,0,0,0,0,30,1,4,6,3
S12000008,East Ayrshire,2,2019,-4.4676464,55.6223902,2,4,0,1,1,70,2,3,7,0
S12000008,East Ayrshire,2,2020,-4.4676464,55.6223902,2,2,0,1,1,70,2,3,7,0
S12000008,East Ayrshire,2,2021,-4.4676464,55.6223902,0,0,0,0,0,70,2,3,7,0
S12000008,East Ayrshire,2,2022,-4.4676464,55.6223902,0,0,0,0,0,70,2,3,7,0
S12000008,East Ayrshire,2,2023,-4.4676464,55.6223902,1,3,0,0,1,70,2,3,7,0
S12000008,East Ayrshire,2,2024,-4.4676464,55.6223902,0,0,0,0,0,70,2,3,7,0
S12000008,East Ayrshire,3,2019,-4.4960439999999995,55.6111359,5,5,0,3,2,30,1,3,6,0
S12000008,East Ayrshire,3,2020,-4.4960439999999995,55.6111359,2,2,0,0,2,30,1,3,6,0
S12000008,East Ayrshire,3,2021,-4.4960439999999995,55.6111359,0,0,0,0,0,30,1,3,6,0
S12000008,East Ayrshire,3,2022,-4.4960439999999995,55.6111359,1,1,0,1,0,30,1,3,6,0
S12000008,East Ayrshire,3,2023,-4.4960439999999995,55.6111359,1,2,0,0,1,30,1,3,6,0
S12000008,East Ayrshire,3,2024,-4.4960439999999995,55.6111359,0,0,0,0,0,30,1,3,6,0
S12000008,East Ayrshire,3,2025,-4.4960439999999995,55.6111359,1,1,0,0,0,30,1,3,6,0
S12000008,East Ayrshire,4,2019,-4.065219,55.530626,1,4,0,0,1,60,2,4,6,0
S12000008,East Ayrshire,4,2020,-4.065219,55.530626,0,0,0,0,0,60,2,4,6,0
S12000008,East Ayrshire,4,2021,-4.065219,55.530626,0,0,0,0,0,60,2,4,6,0
S12000008,East Ayrshire,4,2022,-4.065219,55.530626,0,0,0,0,0,60,2,4,6,0
S12000008,East Ayrshire,4,2023,-4.065219,55.530626,0,0,0,0,0,60,2,4,6,0
S12000008,East Ayrshire,4,2024,-4.065219,55.530626,0,0,0,0,0,60,2,4,6,0
S12000008,East Ayrshire,5,2019,-4.2707284,55.45125,1,1,0,1,0,30,1,3,6,0
S12000008,East Ayrshire,5,2020,-4.2707284,55.45125,0,0,0,0,0,30,1,3,6,0
S12000008,East Ayrshire,5,2021,-4.2707284,55.45125,1,1,0,1,0,30,1,3,6,0
S12000008,East Ayrshire,5,2022,-4.2707284,55.45125,1,1,0,0,1,30,1,3,6,0
S12000008,East Ayrshire,5,2023,-4.2707284,55.45125,1,1,0,0,1,30,1,3,6,0
S12000008,East Ayrshire,5,2024,-4.2707284,55.45125,1,1,0,0,0,30,1,3,6,0
S12000008,East Ayrshire,6,2019,-4.38175,55.314744,1,1,0,0,1,60,2,3,6,0
S12000008,East Ayrshire,6,2020,-4.38175,55.314744,0,0,0,0,0,60,2,3,6,0
S12000008,East Ayrshire,6,2021,-4.38175,55.314744,0,0,0,0,0,60,2,3,6,0
S12000008,East Ayrshire,6,2022,-4.38175,55.314744,0,0,0,0,0,60,2,3,6,0
S12000008,East Ayrshire,6,2023,-4.38175,55.314744,0,0,0,0,0,60,2,3,6,0
S12000008,East Ayrshire,6,2024,-4.38175,55.314744,0,0,0,0,0,60,2,3,6,0
S12000008,East Ayrshire,7,2019,-4.492777666666667,55.63051,1,1,0,1,0,30,1,6,6,0
S12000008,East Ayrshire,7,2020,-4.492777666666667,55.63051,0,0,0,0,0,30,1,6,6,0
S12000008,East Ayrshire,7,2021,-4.492777666666667,55.63051,1,1,0,1,0,30,1,6,6,0
S12000008,East Ayrshire,7,2022,-4.492777666666667,55.63051,0,0,0,0,0,30,1,6,6,0
S12000008,East Ayrshire,7,2023,-4.492777666666667,55.63051,0,0,0,0,0,30,1,6,6,0
S12000008,East Ayrshire,7,2024,-4.492777666666667,55.63051,0,0,0,0,0,30,1,6,6,0
S12000008,East Ayrshire,7,2025,-4.492777666666667,55.63051,1,1,0,0,0,30,1,6,6,0
S12000008,East Ayrshire,8,2019,-4.480964,55.668443,1,2,0,0,1,60,2,4,6,0
S12000008,East Ayrshire,8,2020,-4.480964,55.668443,0,0,0,0,0,60,2,4,6,0
S12000008,East Ayrshire,8,2021,-4.480964,55.668443,0,0,0,0,0,60,2,4,6,0
S12000008,East Ayrshire,8,2022,-4.480964,55.668443,0,0,0,0,0,60,2,4,6,0
S12000008,East Ayrshire,8,2023,-4.480964,55.668443,0,0,0,0,0,60,2,4,6,0
S12000008,East Ayrshire,8,2024,-4.480964,55.668443,0,0,0,0,0,60,2,4,6,0
S12000008,East Ayrshire,9,2019,-4.305462,55.4521295,2,8,0,1,1,60,2,3,6,3
S12000008,East Ayrshire,9,2020,-4.305462,55.4521295,0,0,0,0,0,60,2,3,6,3
S12000008,East Ayrshire,9,2021,-4.305462,55.4521295,0,0,0,0,0,60,2,3,6,3
S12000008,East Ayrshire,9,2022,-4.305462,55.4521295,0,0,0,0,0,60,2,3,6,3
S12000008,East Ayrshire,9,2023,-4.305462,55.4521295,0,0,0,0,0,60,2,3,6,3
S12000008,East Ayrshire,9,2024,-4.305462,55.4521295,0,0,0,0,0,60,2,3,6,3
S12000008,East Ayrshire,10,2019,-4.471311428571428,55.60940128571429,1,1,0,0,1,70,2,3,3,0
S12000008,East Ayrshire,10,2020,-4.471311428571428,55.60940128571429,0,0,0,0,0,70,2,3,3,0
