la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
S12000045,East Dunbartonshire,1,2019,-4.135262,55.9186915,1,1,0,0,1,60,2,3,6,0
S12000045,East Dunbartonshire,1,2020,-4.135262,55.9186915,0,0,0,0,0,60,2,3,6,0
S12000045,East Dunbartonshire,1,2021,-4.135262,55.9186915,0,0,0,0,0,60,2,3,6,0
S12000045,East Dunbartonshire,1,2022,-4.135262,55.9186915,0,0,0,0,0,60,2,3,6,0
S12000045,East Dunbartonshire,1,2023,-4.135262,55.9186915,1,1,1,0,0,60,2,3,6,0
S12000045,East Dunbartonshire,1,2024,-4.135262,55.9186915,0,0,0,0,0,60,2,3,6,0
S12000045,East Dunbartonshire,2,2019,-4.15485375,55.93918725,1,1,0,0,1,30,1,6,6,0
S12000045,East Dunbartonshire,2,2020,-4.15485375,55.93918725,0,0,0,0,0,30,1,6,6,0
S12000045,East Dunbartonshire,2,2021,-4.15485375,55.93918725,2,3,0,0,2,30,1,6,6,0
S12000045,East Dunbartonshire,2,2022,-4.15485375,55.93918725,0,0,0,0,0,30,1,6,6,0
S12000045,East Dunbartonshire,2,2023,-4.15485375,55.93918725,0,0,0,0,0,30,1,6,6,0
S12000045,East Dunbartonshire,2,2024,-4.15485375,55.93918725,1,1,0,0,0,30,1,6,6,0
S12000045,East Dunbartonshire,3,2019,-4.231277,55.915862,1,1,0,0,1,20,1,6,6,0
S12000045,East Dunbartonshire,3,2020,-4.231277,55.915862,1,1,0,0,1,20,1,6,6,0
S12000045,East Dunbartonshire,3,2021,-4.231277,55.915862,0,0,0,0,0,20,1,6,6,0
S12000045,East Dunbartonshire,3,2022,-4.231277,55.915862,0,0,0,0,0,20,1,6,6,0
S12000045,East Dunbartonshire,3,2023,-4.231277,55.915862,0,0,0,0,0,20,1,6,6,0
S12000045,East Dunbartonshire,3,2024,-4.231277,55.915862,0,0,0,0,0,20,1,6,6,0
S12000045,East Dunbartonshire,4,2019,-4.199135,55.898767,2,2,0,0,2,30,1,4,6,0
S12000045,East Dunbartonshire,4,2020,-4.199135,55.898767,0,0,0,0,0,30,1,4,6,0
S12000045,East Dunbartonshire,4,2021,-4.199135,55.898767,0,0,0,0,0,30,1,4,6,0
S12000045,East Dunbartonshire,4,2022,-4.199135,55.898767,0,0,0,0,0,30,1,4,6,0
S12000045,East Dunbartonshire,4,2023,-4.199135,55.898767,0,0,0,0,0,30,1,4,6,0
S12000045,East Dunbartonshire,4,2024,-4.199135,55.898767,0,0,0,0,0,30,1,4,6,0
S12000045,East Dunbartonshire,5,2019,-4.318309,55.93938488888889,2,3,0,1,1,30,1,4,6,0
S12000045,East Dunbartonshire,5,2020,-4.318309,55.93938488888889,0,0,0,0,0,30,1,4,6,0
S12000045,East Dunbartonshire,5,2021,-4.318309,55.93938488888889,3,3,0,1,2,30,1,4,6,0
S12000045,East Dunbartonshire,5,2022,-4.318309,55.93938488888889,1,1,0,1,0,30,1,4,6,0
S12000045,East Dunbartonshire,5,2023,-4.318309,55.93938488888889,0,0,0,0,0,30,1,4,6,0
S12000045,East Dunbartonshire,5,2024,-4.318309,55.93938488888889,3,4,0,0,0,30,1,4,6,0
