la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
S12000010,East Lothian,1,2019,-2.475779,55.9761375,1,1,0,0,1,70,2,3,3,0
S12000010,East Lothian,1,2020,-2.475779,55.9761375,0,0,0,0,0,70,2,3,3,0
S12000010,East Lothian,1,2021,-2.475779,55.9761375,1,1,0,0,1,70,2,3,3,0
S12000010,East Lothian,1,2022,-2.475779,55.9761375,0,0,0,0,0,70,2,3,3,0
S12000010,East Lothian,1,2023,-2.475779,55.9761375,0,0,0,0,0,70,2,3,3,0
S12000010,East Lothian,1,2024,-2.475779,55.9761375,0,0,0,0,0,70,2,3,3,0
S12000010,East Lothian,2,2019,-2.9892136,55.9429524,3,3,0,2,1,70,2,3,3,0
S12000010,East Lothian,2,2020,-2.9892136,55.9429524,0,0,0,0,0,70,2,3,3,0
S12000010,East Lothian,2,2021,-2.9892136,55.9429524,0,0,0,0,0,70,2,3,3,0
S12000010,East Lothian,2,2022,-2.9892136,55.9429524,0,0,0,0,0,70,2,3,3,0
S12000010,East Lothian,2,2023,-2.9892136,55.9429524,2,3,0,1,1,70,2,3,3,0
S12000010,East Lothian,2,2024,-2.9892136,55.9429524,0,0,0,0,0,70,2,3,3,0
S12000010,East Lothian,3,2019,-2.4861044000000003,55.9808792,1,1,0,0,1,70,2,3,3,3
S12000010,East Lothian,3,2020,-2.4861044000000003,55.9808792,1,1,0,1,0,70,2,3,3,3
S12000010,East Lothian,3,2021,-2.4861044000000003,55.9808792,0,0,0,0,0,70,2,3,3,3
S12000010,East Lothian,3,2022,-2.4861044000000003,55.9808792,3,7,1,0,2,70,2,3,3,3
S12000010,East Lothian,3,2023,-2.4861044000000003,55.9808792,0,0,0,0,0,70,2,3,3,3
S12000010,East Lothian,3,2024,-2.4861044000000003,55.9808792,0,0,0,0,0,70,2,3,3,3
S12000010,East Lothian,4,2019,-3.0590106470588236,55.924987,5,6,0,0,5,70,2,3,3,0
S12000010,East Lothian,4,2020,-3.0590106470588236,55.924987,1,2,0,0,1,70,2,3,3,0
S12000010,East Lothian,4,2021,-3.0590106470588236,55.924987,4,6,0,0,4,70,2,3,3,0
S12000010,East Lothian,4,2022,-3.0590106470588236,55.924987,3,4,0,1,2,70,2,3,3,0
S12000010,East Lothian,4,2023,-3.0590106470588236,55.924987,4,9,0,2,2,70,2,3,3,0
S12000010,East Lothian,4,2024,-3.0590106470588236,55.924987,0,0,0,0,0,70,2,3,3,0
S12000010,East Lothian,5,2019,-2.7979256666666665,55.958762,1,1,0,0,1,40,1,3,6,3
S12000010,East Lothian,5,2020,-2.7979256666666665,55.958762,1,1,0,0,1,40,1,3,6,3
S12000010,East Lothian,5,2021,-2.7979256666666665,55.958762,1,1,0,0,1,40,1,3,6,3
S12000010,East Lothian,5,2022,-2.7979256666666665,55.958762,0,0,0,0,0,40,1,3,6,3
S12000010,East Lothian,5,2023,-2.7979256666666665,55.958762,0,0,0,0,0,40,1,3,6,3
S12000010,East Lothian,5,2024,-2.7979256666666665,55.958762,0,0,0,0,0,40,1,3,6,3
S12000010,East Lothian,6,2019,-2.7868406666666665,56.01045233333333,2,4,0,1,1,60,2,4,6,0
S12000010,East Lothian,6,2020,-2.7868406666666665,56.01045233333333,1,1,0,1,0,60,2,4,6,0
S12000010,East Lothian,6,2021,-2.7868406666666665,56.01045233333333,0,0,0,0,0,60,2,4,6,0
S12000010,East Lothian,6,2022,-2.7868406666666665,56.01045233333333,0,0,0,0,0,60,2,4,6,0
S12000010,East Lothian,6,2023,-2.7868406666666665,56.01045233333333,0,0,0,0,0,60,2,4,6,0
S12000010,East Lothian,6,2024,-2.7868406666666665,56.01045233333333,0,0,0,0,0,60,2,4,6,0
S12000010,East Lothian,7,2019,-2.902578,55.970337,1,1,0,0,1,40,2,3,6,3
S12000010,East Lothian,7,2020,-2.902578,55.970337,0,0,0,0,0,40,2,3,6,3
S12000010,East Lothian,7,2021,-2.902578,55.970337,0,0,0,0,0,40,2,3,6,3
S12000010,East Lothian,7,2022,-2.902578,55.970337,0,0,0,0,0,40,2,3,6,3
S12000010,East Lothian,7,2023,-2.902578,55.970337,0,0,0,0,0,40,2,3,6,3
S12000010,East Lothian,7,2024,-2.902578,55.970337,0,0,0,0,0,40,2,3,6,3
S12000010,East Lothian,8,2019,-2.7251646666666667,56.037748,1,1,0,0,1,60,2,4,6,0
S12000010,East Lothian,8,2020,-2.7251646666666667,56.037748,0,0,0,0,0,60,2,4,6,0
S12000010,East Lothian,8,2021,-2.7251646666666667,56.037748,1,1,0,0,1,60,2,4,6,0
S12000010,East Lothian,8,2022,-2.7251646666666667,56.037748,1,1,0,1,0,60,2,4,6,0
S12000010,East Lothian,8,2023,-2.7251646666666667,56.037748,0,0,0,0,0,60,2,4,6,0
S12000010,East Lothian,8,2024,-2.7251646666666667,56.037748,0,0,0,0,0,60,2,4,6,0
S12000010,East Lothian,9,2019,-2.835379,56.032666,2,4,0,1,1,60,2,3,6,0
S12000010,East Lothian,9,2020,-2.835379,56.032666,0,0,0,0,0,60,2,3,6,0
S12000010,East Lothian,9,2021,-2.835379,56.032666,0,0,0,0,0,60,2,3,6,0
S12000010,East Lothian,9,2022,-2.835379,56.032666,1,1,0,0,1,60,2,3,6,0
S12000010,East Lothian,9,2023,-2.835379,56.032666,0,0,0,0,0,60,2,3,6,0
S12000010,East Lothian,9,2024,-2.835379,56.032666,0,0,0,0,0,60,2,3,6,0
S12000010,East Lothian,10,2019,-2.5294243333333335,55.99911866666667,1,1,0,0,1,20,1,6,6,3
S12000010,East Lothian,10,2020,-2.5294243333333335,55.99911866666667,0,0,0,0,0,20,1,6,6,3
S12000010,East Lothian,10,2021,-2.5294243333333335,55.99911866666667,0,0,0,0,0,20,1,6,6,3
S12000010,East Lothian,10,2022,-2.5294243333333335,55.99911866666667,2,3,0,0,2,20,1,6,6,3
S12000010,East Lothian,10,2023,-2.5294243333333335,55.99911866666667,0,0,0,0,0,20,1,6,6,3
S12000010,East Lothian,10,2024,-2.5294243333333335,55.99911866666667,0,0,0,0,0,20,1,6,6,3
S12000010,East Lothian,11,2019,-3.0486770666666665,55.9428476,7,8,0,3,4,20,1,3,6,3
S12000010,East Lothian,11,2020,-3.0486770666666665,55.9428476,1,1,0,0,1,20,1,3,6,3
S12000010,East Lothian,11,2021,-3.0486770666666665,55.9428476,2,2,0,0,2,20,1,3,6,3
S12000010,East Lothian,11,2022,-3.0486770666666665,55.9428476,5,6,0,2,3,20,1,3,6,3
S12000010,East Lothian,11,2023,-3.0486770666666665,55.9428476,0,0,0,0,0,20,1,3,6,3
S12000010,East Lothian,11,2024,-3.0486770666666665,55.9428476,0,0,0,0,0,20,1,3,6,3
S12000010,East Lothian,12,2019,-2.9478218750000003,55.94263725,3,3,0,1,2,20,1,3,6,0
S12000010,East Lothian,12,2020,-2.9478218750000003,55.94263725,1,1,0,0,1,20,1,3,6,0
S12000010,East Lothian,12,2021,-2.9478218750000003,55.94263725,1,1,0,1,0,20,1,3,6,0
S12000010,East Lothian,12,2022,-2.9478218750000003,55.94263725,1,2,0,0,1,20,1,3,6,0
S12000010,East Lothian,12,2023,-2.9478218750000003,55.94263725,2,2,0,1,1,20,1,3,6,0
S12000010,East Lothian,12,2024,-2.9478218750000003,55.94263725,0,0,0,0,0,20,1,3,6,0
S12000010,East Lothian,13,2019,-2.9544974545454545,55.945102727272726,2,2,0,2,0,30,1,3,6,3
S12000010,East Lothian,13,2020,-2.9544974545454545,55.945102727272726,4,4,0,1,3,30,1,3,6,3
S12000010,East Lothian,13,2021,-2.9544974545454545,55.945102727272726,3,3,0,1,2,30,1,3,6,3
S12000010,East Lothian,13,2022,-2.9544974545454545,55.945102727272726,2,2,0,1,1,30,1,3,6,3
S12000010,East Lothian,13,2023,-2.9544974545454545,55.945102727272726,0,0,0,0,0,30,1,3,6,3
S12000010,East Lothian,13,2024,-2.9544974545454545,55.945102727272726,0,0,0,0,0,30,1,3,6,3
S12000010,East Lothian,14,2019,-2.7772927142857142,55.960902857142855,1,1,0,0,1,60,1,3,6,3
S12000010,East Lothian,14,2020,-2.7772927142857142,55.960902857142855,0,0,0,0,0,60,1,3,6,3
S12000010,East Lothian,14,2021,-2.7772927142857142,55.960902857142855,2,2,0,0,2,60,1,3,6,3
S12000010,East Lothian,14,2022,-2.7772927142857142,55.960902857142855,2,2,0,1,1,60,1,3,6,3
S12000010,East Lothian,14,2023,-2.7772927142857142,55.960902857142855,2,3,0,0,2,60,1,3,6,3
S12000010,East Lothian,14,2024,-2.7772927142857142,55.960902857142855,0,0,0,0,0,60,1,3,6,3
S12000010,East Lothian,15,2019,-2.94361425,55.93884075,1,1,0,0,1,30,1,4,6,3
S12000010,East Lothian,15,2020,-2.94361425,55.93884075,0,0,0,0,0,30,1,4,6,3
S12000010,East Lothian,15,2021,-2.94361425,55.93884075,1,1,0,0,1,30,1,4,6,3
S12000010,East Lothian,15,2022,-2.94361425,55.93884075,0,0,0,0,0,30,1,4,6,3
S12000010,East Lothian,15,2023,-2.94361425,55.93884075,2,3,0,0,2,30,1,4,6,3
S12000010,East Lothian,15,2024,-2.94361425,55.93884075,0,0,0,0,0,30,1,4,6,3
S12000010,East Lothian,16,2019,-2.395964,55.955991,1,2,0,1,0,60,2,3,6,0
S12000010,East Lothian,16,2020,-2.395964,55.955991,0,0,0,0,0,60,2,3,6,0
S12000010,East Lothian,16,2021,-2.395964,55.955991,1,2,0,1,0,60,2,3,6,0
S12000010,East Lothian,16,2022,-2.395964,55.955991,1,4,0,1,0,60,2,3,6,0
S12000010,East Lothian,16,2023,-2.395964,55.955991,0,0,0,0,0,60,2,3,6,0
S12000010,East Lothian,16,2024,-2.395964,55.955991,0,0,0,0,0,60,2,3,6,0
S12000010,East Lothian,17,2019,-2.741271,56.056625,1,1,0,1,0,30,1,3,6,6
S12000010,East Lothian,17,2020,-2.741271,56.056625,0,0,0,0,0,30,1,3,6,6
S12000010,East Lothian,17,2021,-2.741271,56.056625,1,1,0,0,1,30,1,3,6,6
S12000010,East Lothian,17,2022,-2.741271,56.056625,0,0,0,0,0,30,1,3,6,6
S12000010,East Lothian,17,2023,-2.741271,56.056625,1,1,0,0,1,30,1,3,6,6
S12000010,East Lothian,17,2024,-2.741271,56.056625,0,0,0,0,0,30,1,3,6,6
S12000010,East Lothian,18,2019,-3.035044142857143,55.940760857142855,2,2,0,1,1,30,1,4,6,3
