la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
S12000011,East Renfrewshire,1,2019,-4.294244,55.805156272727274,4,5,0,1,3,30,1,6,6,6
S12000011,East Renfrewshire,1,2020,-4.294244,55.805156272727274,0,0,0,0,0,30,1,6,6,6
S12000011,East Renfrewshire,1,2021,-4.294244,55.805156272727274,1,1,0,0,1,30,1,6,6,6
S12000011,East Renfrewshire,1,2022,-4.294244,55.805156272727274,0,0,0,0,0,30,1,6,6,6
S12000011,East Renfrewshire,1,2023,-4.294244,55.805156272727274,4,5,1,1,2,30,1,6,6,6
S12000011,East Renfrewshire,1,2024,-4.294244,55.805156272727274,1,1,0,0,0,30,1,6,6,6
S12000011,East Renfrewshire,1,2025,-4.294244,55.805156272727274,1,1,0,0,0,30,1,6,6,6
S12000011,East Renfrewshire,2,2019,-4.399495714285714,55.807505285714285,1,1,0,1,0,30,1,4,6,3
S12000011,East Renfrewshire,2,2020,-4.399495714285714,55.807505285714285,1,1,0,0,1,30,1,4,6,3
S12000011,East Renfrewshire,2,2021,-4.399495714285714,55.807505285714285,3,4,0,0,3,30,1,4,6,3
S12000011,East Renfrewshire,2,2022,-4.399495714285714,55.807505285714285,0,0,0,0,0,30,1,4,6,3
S12000011,East Renfrewshire,2,2023,-4.399495714285714,55.807505285714285,0,0,0,0,0,30,1,4,6,3
S12000011,East Renfrewshire,2,2024,-4.399495714285714,55.807505285714285,1,2,0,0,0,30,1,4,6,3
S12000011,East Renfrewshire,2,2025,-4.399495714285714,55.807505285714285,1,1,0,0,0,30,1,4,6,3
S12000011,East Renfrewshire,3,2019,-4.3210345,55.725009,1,2,0,0,1,60,2,4,6,0
S12000011,East Renfrewshire,3,2020,-4.3210345,55.725009,0,0,0,0,0,60,2,4,6,0
S12000011,East Renfrewshire,3,2021,-4.3210345,55.725009,0,0,0,0,0,60,2,4,6,0
S12000011,East Renfrewshire,3,2022,-4.3210345,55.725009,0,0,0,0,0,60,2,4,6,0
S12000011,East Renfrewshire,3,2023,-4.3210345,55.725009,0,0,0,0,0,60,2,4,6,0
S12000011,East Renfrewshire,3,2024,-4.3210345,55.725009,0,0,0,0,0,60,2,4,6,0
S12000011,East Renfrewshire,3,2025,-4.3210345,55.725009,1,1,0,0,0,60,2,4,6,0
S12000011,East Renfrewshire,4,2019,-4.360893,55.707914,1,1,0,1,0,60,2,4,6,3
S12000011,East Renfrewshire,4,2020,-4.360893,55.707914,0,0,0,0,0,60,2,4,6,3
S12000011,East Renfrewshire,4,2021,-4.360893,55.707914,0,0,0,0,0,60,2,4,6,3
S12000011,East Renfrewshire,4,2022,-4.360893,55.707914,0,0,0,0,0,60,2,4,6,3
S12000011,East Renfrewshire,4,2023,-4.360893,55.707914,0,0,0,0,0,60,2,4,6,3
S12000011,East Renfrewshire,4,2024,-4.360893,55.707914,0,0,0,0,0,60,2,4,6,3
S12000011,East Renfrewshire,5,2019,-4.351132,55.807667,1,2,0,0,1,30,1,4,6,3
S12000011,East Renfrewshire,5,2020,-4.351132,55.807667,0,0,0,0,0,30,1,4,6,3
S12000011,East Renfrewshire,5,2021,-4.351132,55.807667,0,0,0,0,0,30,1,4,6,3
S12000011,East Renfrewshire,5,2022,-4.351132,55.807667,0,0,0,0,0,30,1,4,6,3
S12000011,East Renfrewshire,5,2023,-4.351132,55.807667,0,0,0,0,0,30,1,4,6,3
S12000011,East Renfrewshire,5,2024,-4.351132,55.807667,0,0,0,0,0,30,1,4,6,3
S12000011,East Renfrewshire,6,2019,-4.284013,55.745894,1,1,0,0,1,60,2,6,6,9
S12000011,East Renfrewshire,6,2020,-4.284013,55.745894,0,0,0,0,0,60,2,6,6,9
S12000011,East Renfrewshire,6,2021,-4.284013,55.745894,0,0,0,0,0,60,2,6,6,9
S12000011,East Renfrewshire,6,2022,-4.284013,55.745894,0,0,0,0,0,60,2,6,6,9
S12000011,East Renfrewshire,6,2023,-4.284013,55.745894,0,0,0,0,0,60,2,6,6,9
S12000011,East Renfrewshire,6,2024,-4.284013,55.745894,0,0,0,0,0,60,2,6,6,9
S12000011,East Renfrewshire,7,2019,-4.3627696,55.7474744,1,1,0,0,1,60,2,3,6,0
S12000011,East Renfrewshire,7,2020,-4.3627696,55.7474744,0,0,0,0,0,60,2,3,6,0
S12000011,East Renfrewshire,7,2021,-4.3627696,55.7474744,1,2,0,0,1,60,2,3,6,0
S12000011,East Renfrewshire,7,2022,-4.3627696,55.7474744,2,2,1,1,0,60,2,3,6,0
S12000011,East Renfrewshire,7,2023,-4.3627696,55.7474744,1,1,0,0,1,60,2,3,6,0
S12000011,East Renfrewshire,7,2024,-4.3627696,55.7474744,0,0,0,0,0,60,2,3,6,0
S12000011,East Renfrewshire,8,2019,-4.390545615384616,55.800218384615384,4,5,0,2,2,30,1,3,3,0
S12000011,East Renfrewshire,8,2020,-4.390545615384616,55.800218384615384,1,1,0,0,1,30,1,3,3,0
S12000011,East Renfrewshire,8,2021,-4.390545615384616,55.800218384615384,1,1,0,0,1,30,1,3,3,0
S12000011,East Renfrewshire,8,2022,-4.390545615384616,55.800218384615384,2,2,1,0,1,30,1,3,3,0
S12000011,East Renfrewshire,8,2023,-4.390545615384616,55.800218384615384,2,2,0,1,1,30,1,3,3,0
S12000011,East Renfrewshire,8,2024,-4.390545615384616,55.800218384615384,3,3,0,0,0,30,1,3,3,0
S12000011,East Renfrewshire,9,2019,-4.372692333333333,55.787815,1,1,0,1,0,60,2,6,6,0
S12000011,East Renfrewshire,9,2020,-4.372692333333333,55.787815,0,0,0,0,0,60,2,6,6,0
S12000011,East Renfrewshire,9,2021,-4.372692333333333,55.787815,2,3,0,0,2,60,2,6,6,0
S12000011,East Renfrewshire,9,2022,-4.372692333333333,55.787815,0,0,0,0,0,60,2,6,6,0
S12000011,East Renfrewshire,9,2023,-4.372692333333333,55.787815,0,0,0,0,0,60,2,6,6,0
S12000011,East Renfrewshire,9,2024,-4.372692333333333,55.787815,0,0,0,0,0,60,2,6,6,0
S12000011,East Renfrewshire,10,2019,-4.322530666666666,55.777514555555555,2,2,0,1,1,30,1,6,6,3
S12000011,East Renfrewshire,10,2020,-4.322530666666666,55.777514555555555,2,2,0,0,2,30,1,6,6,3
S12000011,East Renfrewshire,10,2021,-4.322530666666666,55.777514555555555,0,0,0,0,0,30,1,6,6,3
S12000011,East Renfrewshire,10,2022,-4.322530666666666,55.777514555555555,0,0,0,0,0,30,1,6,6,3
S12000011,East Renfrewshire,10,2023,-4.322530666666666,55.777514555555555,4,4,0,1,3,30,1,6,6,3
S12000011,East Renfrewshire,10,2024,-4.322530666666666,55.777514555555555,1,1,0,0,0,30,1,6,6,3
S12000011,East Renfrewshire,11,2019,-4.279146,55.75313285714286,2,2,0,0,2,30,2,3,3,1
S12000011,East Renfrewshire,11,2020,-4.279146,55.75313285714286,0,0,0,0,0,30,2,3,3,1
S12000011,East Renfrewshire,11,2021,-4.279146,55.75313285714286,1,1,0,0,1,30,2,3,3,1
S12000011,East Renfrewshire,11,2022,-4.279146,55.75313285714286,1,1,0,0,1,30,2,3,3,1
S12000011,East Renfrewshire,11,2023,-4.279146,55.75313285714286,0,0,0,0,0,30,2,3,3,1
S12000011,East Renfrewshire,11,2024,-4.279146,55.75313285714286,1,1,0,0,0,30,2,3,3,1
S12000011,East Renfrewshire,11,2025,-4.279146,55.75313285714286,2,2,0,0,0,30,2,3,3,1
S12000011,East Renfrewshire,12,2019,-4.53847525,55.75617425,1,1,0,1,0,60,2,4,6,0
