la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
W06000005,Flintshire,1,2019,-3.063651833333333,53.1877795,1,3,0,0,1,70,2,3,3,5
W06000005,Flintshire,1,2020,-3.063651833333333,53.1877795,3,4,0,2,1,70,2,3,3,5
W06000005,Flintshire,1,2021,-3.063651833333333,53.1877795,0,0,0,0,0,70,2,3,3,5
W06000005,Flintshire,1,2022,-3.063651833333333,53.1877795,1,1,0,1,0,70,2,3,3,5
W06000005,Flintshire,1,2023,-3.063651833333333,53.1877795,1,1,0,0,1,70,2,3,3,5
W06000005,Flintshire,1,2024,-3.063651833333333,53.1877795,0,0,0,0,0,70,2,3,3,5
W06000005,Flintshire,2,2019,-2.92968825,53.17662975,1,1,0,1,0,30,1,6,6,6
W06000005,Flintshire,2,2020,-2.92968825,53.17662975,1,1,0,1,0,30,1,6,6,6
W06000005,Flintshire,2,2021,-2.92968825,53.17662975,1,1,0,1,0,30,1,6,6,6
W06000005,Flintshire,2,2022,-2.92968825,53.17662975,1,1,0,0,1,30,1,6,6,6
W06000005,Flintshire,2,2023,-2.92968825,53.17662975,0,0,0,0,0,30,1,6,6,6
W06000005,Flintshire,2,2024,-2.92968825,53.17662975,0,0,0,0,0,30,1,6,6,6
W06000005,Flintshire,3,2019,-3.132509333333333,53.21286983333333,1,1,0,1,0,70,2,3,3,0
W06000005,Flintshire,3,2020,-3.132509333333333,53.21286983333333,2,2,0,2,0,70,2,3,3,0
W06000005,Flintshire,3,2021,-3.132509333333333,53.21286983333333,0,0,0,0,0,70,2,3,3,0
W06000005,Flintshire,3,2022,-3.132509333333333,53.21286983333333,2,4,0,0,2,70,2,3,3,0
W06000005,Flintshire,3,2023,-3.132509333333333,53.21286983333333,1,1,0,1,0,70,2,3,3,0
W06000005,Flintshire,3,2024,-3.132509333333333,53.21286983333333,0,0,0,0,0,70,2,3,3,0
W06000005,Flintshire,4,2019,-2.9994656666666666,53.22117933333333,1,1,0,0,1,40,1,3,6,0
W06000005,Flintshire,4,2020,-2.9994656666666666,53.22117933333333,1,1,0,0,1,40,1,3,6,0
W06000005,Flintshire,4,2021,-2.9994656666666666,53.22117933333333,1,1,1,0,0,40,1,3,6,0
W06000005,Flintshire,4,2022,-2.9994656666666666,53.22117933333333,0,0,0,0,0,40,1,3,6,0
W06000005,Flintshire,4,2023,-2.9994656666666666,53.22117933333333,0,0,0,0,0,40,1,3,6,0
W06000005,Flintshire,4,2024,-2.9994656666666666,53.22117933333333,0,0,0,0,0,40,1,3,6,0
W06000005,Flintshire,5,2019,-3.051368,53.175876,2,3,0,1,1,70,2,3,3,0
W06000005,Flintshire,5,2020,-3.051368,53.175876,1,1,0,0,1,70,2,3,3,0
W06000005,Flintshire,5,2021,-3.051368,53.175876,0,0,0,0,0,70,2,3,3,0
W06000005,Flintshire,5,2022,-3.051368,53.175876,0,0,0,0,0,70,2,3,3,0
W06000005,Flintshire,5,2023,-3.051368,53.175876,0,0,0,0,0,70,2,3,3,0
W06000005,Flintshire,5,2024,-3.051368,53.175876,0,0,0,0,0,70,2,3,3,0
W06000005,Flintshire,6,2019,-3.0033785,53.19551525,2,3,0,0,2,30,1,4,6,3
W06000005,Flintshire,6,2020,-3.0033785,53.19551525,2,2,0,0,2,30,1,4,6,3
W06000005,Flintshire,6,2021,-3.0033785,53.19551525,0,0,0,0,0,30,1,4,6,3
W06000005,Flintshire,6,2022,-3.0033785,53.19551525,0,0,0,0,0,30,1,4,6,3
W06000005,Flintshire,6,2023,-3.0033785,53.19551525,0,0,0,0,0,30,1,4,6,3
W06000005,Flintshire,6,2024,-3.0033785,53.19551525,0,0,0,0,0,30,1,4,6,3
W06000005,Flintshire,7,2019,-3.133410857142857,53.20711,2,2,0,0,2,30,2,6,6,3
W06000005,Flintshire,7,2020,-3.133410857142857,53.20711,3,3,0,2,1,30,2,6,6,3
W06000005,Flintshire,7,2021,-3.133410857142857,53.20711,1,1,0,0,1,30,2,6,6,3
W06000005,Flintshire,7,2022,-3.133410857142857,53.20711,0,0,0,0,0,30,2,6,6,3
W06000005,Flintshire,7,2023,-3.133410857142857,53.20711,1,1,0,0,1,30,2,6,6,3
