la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E09000011,Greenwich,1,2019,0.1082864375,51.487772375,3,3,0,0,3,30,1,4,6,0
E09000011,Greenwich,1,2020,0.1082864375,51.487772375,4,5,0,1,3,30,1,4,6,0
E09000011,Greenwich,1,2021,0.1082864375,51.487772375,2,2,0,1,1,30,1,4,6,0
E09000011,Greenwich,1,2022,0.1082864375,51.487772375,1,1,0,1,0,30,1,4,6,0
E09000011,Greenwich,1,2023,0.1082864375,51.487772375,3,3,0,1,2,30,1,4,6,0
E09000011,Greenwich,1,2024,0.1082864375,51.487772375,1,4,0,0,0,30,1,4,6,0
E09000011,Greenwich,1,2025,0.1082864375,51.487772375,2,2,0,0,0,30,1,4,6,0
E09000011,Greenwich,2,2019,0.02146172,51.47332904,6,8,0,1,5,30,1,3,6,3
E09000011,Greenwich,2,2020,0.02146172,51.47332904,5,6,0,1,4,30,1,3,6,3
E09000011,Greenwich,2,2021,0.02146172,51.47332904,4,4,0,0,4,30,1,3,6,3
E09000011,Greenwich,2,2022,0.02146172,51.47332904,4,5,0,1,3,30,1,3,6,3
E09000011,Greenwich,2,2023,0.02146172,51.47332904,3,3,0,0,3,30,1,3,6,3
E09000011,Greenwich,2,2024,0.02146172,51.47332904,2,2,0,0,0,30,1,3,6,3
E09000011,Greenwich,2,2025,0.02146172,51.47332904,1,1,0,0,0,30,1,3,6,3
E09000011,Greenwich,3,2019,-9.257837837837838e-4,51.50297675675676,9,9,0,2,7,30,2,3,3,0
E09000011,Greenwich,3,2020,-9.257837837837838e-4,51.50297675675676,4,4,0,0,4,30,2,3,3,0
E09000011,Greenwich,3,2021,-9.257837837837838e-4,51.50297675675676,10,12,0,1,9,30,2,3,3,0
E09000011,Greenwich,3,2022,-9.257837837837838e-4,51.50297675675676,5,6,0,0,5,30,2,3,3,0
E09000011,Greenwich,3,2023,-9.257837837837838e-4,51.50297675675676,3,3,0,0,3,30,2,3,3,0
E09000011,Greenwich,3,2024,-9.257837837837838e-4,51.50297675675676,6,10,0,0,0,30,2,3,3,0
E09000011,Greenwich,4,2019,0.10038891836734694,51.48582151020408,7,14,0,2,5,30,1,3,6,0
E09000011,Greenwich,4,2020,0.10038891836734694,51.48582151020408,16,17,0,4,12,30,1,3,6,0
E09000011,Greenwich,4,2021,0.10038891836734694,51.48582151020408,6,11,0,1,5,30,1,3,6,0
E09000011,Greenwich,4,2022,0.10038891836734694,51.48582151020408,5,7,0,2,3,30,1,3,6,0
E09000011,Greenwich,4,2023,0.10038891836734694,51.48582151020408,5,6,0,1,4,30,1,3,6,0
E09000011,Greenwich,4,2024,0.10038891836734694,51.48582151020408,6,6,0,0,0,30,1,3,6,0
E09000011,Greenwich,4,2025,0.10038891836734694,51.48582151020408,4,5,0,0,0,30,1,3,6,0
E09000011,Greenwich,5,2019,0.02983343037974683,51.45016051898734,13,15,0,3,10,30,1,3,1,1
E09000011,Greenwich,5,2020,0.02983343037974683,51.45016051898734,14,17,0,0,14,30,1,3,1,1
E09000011,Greenwich,5,2021,0.02983343037974683,51.45016051898734,15,19,0,1,14,30,1,3,1,1
E09000011,Greenwich,5,2022,0.02983343037974683,51.45016051898734,15,19,0,2,13,30,1,3,1,1
E09000011,Greenwich,5,2023,0.02983343037974683,51.45016051898734,6,10,0,1,5,30,1,3,1,1
E09000011,Greenwich,5,2024,0.02983343037974683,51.45016051898734,15,21,0,0,0,30,1,3,1,1
E09000011,Greenwich,5,2025,0.02983343037974683,51.45016051898734,1,1,0,0,0,30,1,3,1,1
E09000011,Greenwich,6,2019,0.05231524137931034,51.491888379310346,6,7,0,0,6,30,1,6,6,6
E09000011,Greenwich,6,2020,0.05231524137931034,51.491888379310346,4,4,0,1,3,30,1,6,6,6
E09000011,Greenwich,6,2021,0.05231524137931034,51.491888379310346,6,6,0,1,5,30,1,6,6,6
E09000011,Greenwich,6,2022,0.05231524137931034,51.491888379310346,3,3,0,0,3,30,1,6,6,6
E09000011,Greenwich,6,2023,0.05231524137931034,51.491888379310346,4,4,0,0,4,30,1,6,6,6
E09000011,Greenwich,6,2024,0.05231524137931034,51.491888379310346,3,3,0,0,0,30,1,6,6,6
E09000011,Greenwich,6,2025,0.05231524137931034,51.491888379310346,3,4,0,0,0,30,1,6,6,6
E09000011,Greenwich,7,2019,0.117851,51.504059777777776,5,5,0,0,5,30,1,3,1,1
E09000011,Greenwich,7,2020,0.117851,51.504059777777776,2,2,0,1,1,30,1,3,1,1
E09000011,Greenwich,7,2021,0.117851,51.504059777777776,4,4,0,1,3,30,1,3,1,1
E09000011,Greenwich,7,2022,0.117851,51.504059777777776,1,1,0,0,1,30,1,3,1,1
E09000011,Greenwich,7,2023,0.117851,51.504059777777776,3,5,0,1,2,30,1,3,1,1
