la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
W06000002,Gwynedd,1,2019,-4.465924,52.875644,2,2,0,1,1,30,2,3,6,9
W06000002,Gwynedd,1,2020,-4.465924,52.875644,0,0,0,0,0,30,2,3,6,9
W06000002,Gwynedd,1,2021,-4.465924,52.875644,0,0,0,0,0,30,2,3,6,9
W06000002,Gwynedd,1,2022,-4.465924,52.875644,1,1,0,0,1,30,2,3,6,9
W06000002,Gwynedd,1,2023,-4.465924,52.875644,0,0,0,0,0,30,2,3,6,9
W06000002,Gwynedd,1,2024,-4.465924,52.875644,0,0,0,0,0,30,2,3,6,9
W06000002,Gwynedd,2,2019,-4.534553666666667,52.92482666666667,2,2,0,1,1,60,2,4,6,1
W06000002,Gwynedd,2,2020,-4.534553666666667,52.92482666666667,0,0,0,0,0,60,2,4,6,1
W06000002,Gwynedd,2,2021,-4.534553666666667,52.92482666666667,1,2,0,1,0,60,2,4,6,1
W06000002,Gwynedd,2,2022,-4.534553666666667,52.92482666666667,0,0,0,0,0,60,2,4,6,1
W06000002,Gwynedd,2,2023,-4.534553666666667,52.92482666666667,0,0,0,0,0,60,2,4,6,1
W06000002,Gwynedd,2,2024,-4.534553666666667,52.92482666666667,0,0,0,0,0,60,2,4,6,1
W06000002,Gwynedd,3,2019,-3.8850386666666665,52.743104333333335,5,5,0,0,5,30,2,6,2,3
W06000002,Gwynedd,3,2020,-3.8850386666666665,52.743104333333335,0,0,0,0,0,30,2,6,2,3
W06000002,Gwynedd,3,2021,-3.8850386666666665,52.743104333333335,1,1,0,1,0,30,2,6,2,3
W06000002,Gwynedd,3,2022,-3.8850386666666665,52.743104333333335,2,2,0,0,2,30,2,6,2,3
W06000002,Gwynedd,3,2023,-3.8850386666666665,52.743104333333335,1,1,0,0,1,30,2,6,2,3
W06000002,Gwynedd,3,2024,-3.8850386666666665,52.743104333333335,0,0,0,0,0,30,2,6,2,3
W06000002,Gwynedd,4,2019,-4.144778,53.129202,1,1,0,0,1,40,2,3,6,8
W06000002,Gwynedd,4,2020,-4.144778,53.129202,0,0,0,0,0,40,2,3,6,8
W06000002,Gwynedd,4,2021,-4.144778,53.129202,0,0,0,0,0,40,2,3,6,8
W06000002,Gwynedd,4,2022,-4.144778,53.129202,0,0,0,0,0,40,2,3,6,8
W06000002,Gwynedd,4,2023,-4.144778,53.129202,0,0,0,0,0,40,2,3,6,8
W06000002,Gwynedd,4,2024,-4.144778,53.129202,0,0,0,0,0,40,2,3,6,8
W06000002,Gwynedd,5,2019,-4.150654857142857,53.215162428571425,2,2,0,1,1,30,1,6,6,0
W06000002,Gwynedd,5,2020,-4.150654857142857,53.215162428571425,0,0,0,0,0,30,1,6,6,0
W06000002,Gwynedd,5,2021,-4.150654857142857,53.215162428571425,0,0,0,0,0,30,1,6,6,0
W06000002,Gwynedd,5,2022,-4.150654857142857,53.215162428571425,2,3,0,1,1,30,1,6,6,0
W06000002,Gwynedd,5,2023,-4.150654857142857,53.215162428571425,3,4,0,0,3,30,1,6,6,0
W06000002,Gwynedd,5,2024,-4.150654857142857,53.215162428571425,0,0,0,0,0,30,1,6,6,0
W06000002,Gwynedd,6,2019,-4.081169,52.926572,1,1,0,1,0,30,2,3,1,1
W06000002,Gwynedd,6,2020,-4.081169,52.926572,0,0,0,0,0,30,2,3,1,1
W06000002,Gwynedd,6,2021,-4.081169,52.926572,0,0,0,0,0,30,2,3,1,1
W06000002,Gwynedd,6,2022,-4.081169,52.926572,0,0,0,0,0,30,2,3,1,1
W06000002,Gwynedd,6,2023,-4.081169,52.926572,0,0,0,0,0,30,2,3,1,1
W06000002,Gwynedd,6,2024,-4.081169,52.926572,0,0,0,0,0,30,2,3,1,1
W06000002,Gwynedd,7,2019,-4.21251575,52.95797975,3,5,0,1,2,60,2,3,6,0
W06000002,Gwynedd,7,2020,-4.21251575,52.95797975,1,2,1,0,0,60,2,3,6,0
W06000002,Gwynedd,7,2021,-4.21251575,52.95797975,0,0,0,0,0,60,2,3,6,0
W06000002,Gwynedd,7,2022,-4.21251575,52.95797975,0,0,0,0,0,60,2,3,6,0
W06000002,Gwynedd,7,2023,-4.21251575,52.95797975,0,0,0,0,0,60,2,3,6,0
W06000002,Gwynedd,7,2024,-4.21251575,52.95797975,0,0,0,0,0,60,2,3,6,0
W06000002,Gwynedd,8,2019,-4.1001685,52.922580833333335,2,2,0,1,1,40,2,3,6,0
W06000002,Gwynedd,8,2020,-4.1001685,52.922580833333335,3,4,0,2,1,40,2,3,6,0
W06000002,Gwynedd,8,2021,-4.1001685,52.922580833333335,1,1,0,0,1,40,2,3,6,0
W06000002,Gwynedd,8,2022,-4.1001685,52.922580833333335,0,0,0,0,0,40,2,3,6,0
W06000002,Gwynedd,8,2023,-4.1001685,52.922580833333335,0,0,0,0,0,40,2,3,6,0
W06000002,Gwynedd,8,2024,-4.1001685,52.922580833333335,0,0,0,0,0,40,2,3,6,0
W06000002,Gwynedd,9,2019,-4.1155465,53.231378500000005,1,1,0,1,0,30,1,6,6,0
W06000002,Gwynedd,9,2020,-4.1155465,53.231378500000005,0,0,0,0,0,30,1,6,6,0
W06000002,Gwynedd,9,2021,-4.1155465,53.231378500000005,0,0,0,0,0,30,1,6,6,0
W06000002,Gwynedd,9,2022,-4.1155465,53.231378500000005,1,1,0,0,1,30,1,6,6,0
W06000002,Gwynedd,9,2023,-4.1155465,53.231378500000005,0,0,0,0,0,30,1,6,6,0
W06000002,Gwynedd,9,2024,-4.1155465,53.231378500000005,0,0,0,0,0,30,1,6,6,0
W06000002,Gwynedd,10,2019,-4.386233000000001,52.9188485,2,5,0,0,2,30,2,3,6,9
W06000002,Gwynedd,10,2020,-4.386233000000001,52.9188485,0,0,0,0,0,30,2,3,6,9
W06000002,Gwynedd,10,2021,-4.386233000000001,52.9188485,0,0,0,0,0,30,2,3,6,9
W06000002,Gwynedd,10,2022,-4.386233000000001,52.9188485,0,0,0,0,0,30,2,3,6,9
W06000002,Gwynedd,10,2023,-4.386233000000001,52.9188485,0,0,0,0,0,30,2,3,6,9
