la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E06000006,Halton,1,2019,-2.6952375,53.3257187,3,4,0,1,2,30,1,6,6,1
E06000006,Halton,1,2020,-2.6952375,53.3257187,1,1,0,0,1,30,1,6,6,1
E06000006,Halton,1,2021,-2.6952375,53.3257187,2,2,0,0,2,30,1,6,6,1
E06000006,Halton,1,2022,-2.6952375,53.3257187,3,3,0,0,3,30,1,6,6,1
E06000006,Halton,1,2023,-2.6952375,53.3257187,1,1,0,0,1,30,1,6,6,1
E06000006,Halton,1,2024,-2.6952375,53.3257187,0,0,0,0,0,30,1,6,6,1
E06000006,Halton,2,2019,-2.737813692307692,53.33684269230769,3,5,1,0,2,30,1,6,6,0
E06000006,Halton,2,2020,-2.737813692307692,53.33684269230769,1,1,0,0,1,30,1,6,6,0
E06000006,Halton,2,2021,-2.737813692307692,53.33684269230769,4,6,0,0,4,30,1,6,6,0
E06000006,Halton,2,2022,-2.737813692307692,53.33684269230769,4,5,0,1,3,30,1,6,6,0
E06000006,Halton,2,2023,-2.737813692307692,53.33684269230769,1,1,0,0,1,30,1,6,6,0
E06000006,Halton,2,2024,-2.737813692307692,53.33684269230769,0,0,0,0,0,30,1,6,6,0
E06000006,Halton,3,2019,-2.71568375,53.318743875,3,3,0,1,2,50,2,3,3,0
E06000006,Halton,3,2020,-2.71568375,53.318743875,0,0,0,0,0,50,2,3,3,0
E06000006,Halton,3,2021,-2.71568375,53.318743875,1,1,0,0,1,50,2,3,3,0
E06000006,Halton,3,2022,-2.71568375,53.318743875,2,2,0,1,1,50,2,3,3,0
E06000006,Halton,3,2023,-2.71568375,53.318743875,2,2,0,0,2,50,2,3,3,0
E06000006,Halton,3,2024,-2.71568375,53.318743875,0,0,0,0,0,50,2,3,3,0
E06000006,Halton,4,2019,-2.7025788823529413,53.31176352941176,6,9,0,0,6,70,2,1,3,0
