la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E09000013,Hammersmith and Fulham,1,2019,-0.2435911923076923,51.49406165384615,6,8,0,3,3,20,1,3,6,3
E09000013,Hammersmith and Fulham,1,2020,-0.2435911923076923,51.49406165384615,2,2,0,0,2,20,1,3,6,3
E09000013,Hammersmith and Fulham,1,2021,-0.2435911923076923,51.49406165384615,7,7,0,0,7,20,1,3,6,3
E09000013,Hammersmith and Fulham,1,2022,-0.2435911923076923,51.49406165384615,6,7,0,3,3,20,1,3,6,3
E09000013,Hammersmith and Fulham,1,2023,-0.2435911923076923,51.49406165384615,5,5,0,2,3,20,1,3,6,3
E09000013,Hammersmith and Fulham,1,2024,-0.2435911923076923,51.49406165384615,0,0,0,0,0,20,1,3,6,3
E09000013,Hammersmith and Fulham,2,2019,-0.23108720588235293,51.49475985294118,12,12,0,2,10,20,1,3,2,3
E09000013,Hammersmith and Fulham,2,2020,-0.23108720588235293,51.49475985294118,6,6,0,2,4,20,1,3,2,3
E09000013,Hammersmith and Fulham,2,2021,-0.23108720588235293,51.49475985294118,8,11,0,0,8,20,1,3,2,3
E09000013,Hammersmith and Fulham,2,2022,-0.23108720588235293,51.49475985294118,6,6,0,1,5,20,1,3,2,3
E09000013,Hammersmith and Fulham,2,2023,-0.23108720588235293,51.49475985294118,2,2,0,1,1,20,1,3,2,3
E09000013,Hammersmith and Fulham,2,2024,-0.23108720588235293,51.49475985294118,0,0,0,0,0,20,1,3,2,3
E09000013,Hammersmith and Fulham,3,2019,-0.1987436125,51.4809438875,22,24,0,2,20,20,1,3,6,3
E09000013,Hammersmith and Fulham,3,2020,-0.1987436125,51.4809438875,13,15,0,0,13,20,1,3,6,3
E09000013,Hammersmith and Fulham,3,2021,-0.1987436125,51.4809438875,16,17,0,5,11,20,1,3,6,3
E09000013,Hammersmith and Fulham,3,2022,-0.1987436125,51.4809438875,17,20,0,3,14,20,1,3,6,3
E09000013,Hammersmith and Fulham,3,2023,-0.1987436125,51.4809438875,12,13,0,8,4,20,1,3,6,3
E09000013,Hammersmith and Fulham,3,2024,-0.1987436125,51.4809438875,0,0,0,0,0,20,1,3,6,3
E09000013,Hammersmith and Fulham,4,2019,-0.22991628846153847,51.49207307692308,10,18,2,1,7,20,1,3,2,3
E09000013,Hammersmith and Fulham,4,2020,-0.22991628846153847,51.49207307692308,5,5,0,0,5,20,1,3,2,3
E09000013,Hammersmith and Fulham,4,2021,-0.22991628846153847,51.49207307692308,9,9,0,2,7,20,1,3,2,3
E09000013,Hammersmith and Fulham,4,2022,-0.22991628846153847,51.49207307692308,17,18,1,4,12,20,1,3,2,3
E09000013,Hammersmith and Fulham,4,2023,-0.22991628846153847,51.49207307692308,11,12,0,3,8,20,1,3,2,3
E09000013,Hammersmith and Fulham,4,2024,-0.22991628846153847,51.49207307692308,0,0,0,0,0,20,1,3,2,3
E09000013,Hammersmith and Fulham,5,2019,-0.23415633333333333,51.51495744444445,5,6,0,0,5,40,1,3,3,0
E09000013,Hammersmith and Fulham,5,2020,-0.23415633333333333,51.51495744444445,6,7,0,0,6,40,1,3,3,0
E09000013,Hammersmith and Fulham,5,2021,-0.23415633333333333,51.51495744444445,5,5,0,2,3,40,1,3,3,0
E09000013,Hammersmith and Fulham,5,2022,-0.23415633333333333,51.51495744444445,1,1,0,0,1,40,1,3,3,0
E09000013,Hammersmith and Fulham,5,2023,-0.23415633333333333,51.51495744444445,1,1,0,0,1,40,1,3,3,0
E09000013,Hammersmith and Fulham,5,2024,-0.23415633333333333,51.51495744444445,0,0,0,0,0,40,1,3,3,0
E09000013,Hammersmith and Fulham,6,2019,-0.18971427777777777,51.478093898148146,22,27,0,3,19,30,1,3,6,3
E09000013,Hammersmith and Fulham,6,2020,-0.18971427777777777,51.478093898148146,19,19,0,2,17,30,1,3,6,3
E09000013,Hammersmith and Fulham,6,2021,-0.18971427777777777,51.478093898148146,24,26,0,6,18,30,1,3,6,3
E09000013,Hammersmith and Fulham,6,2022,-0.18971427777777777,51.478093898148146,15,18,0,2,13,30,1,3,6,3
E09000013,Hammersmith and Fulham,6,2023,-0.18971427777777777,51.478093898148146,28,28,0,1,27,30,1,3,6,3
E09000013,Hammersmith and Fulham,6,2024,-0.18971427777777777,51.478093898148146,0,0,0,0,0,30,1,3,6,3
E09000013,Hammersmith and Fulham,7,2019,-0.18370345833333335,51.47438879166667,8,9,0,1,7,20,1,6,6,1
E09000013,Hammersmith and Fulham,7,2020,-0.18370345833333335,51.47438879166667,1,1,0,0,1,20,1,6,6,1
E09000013,Hammersmith and Fulham,7,2021,-0.18370345833333335,51.47438879166667,7,7,0,1,6,20,1,6,6,1
E09000013,Hammersmith and Fulham,7,2022,-0.18370345833333335,51.47438879166667,3,3,0,1,2,20,1,6,6,1
E09000013,Hammersmith and Fulham,7,2023,-0.18370345833333335,51.47438879166667,5,5,0,1,4,20,1,6,6,1
E09000013,Hammersmith and Fulham,7,2024,-0.18370345833333335,51.47438879166667,0,0,0,0,0,20,1,6,6,1
E09000013,Hammersmith and Fulham,8,2019,-0.2315865,51.5012014375,19,20,0,1,18,20,1,3,6,3
E09000013,Hammersmith and Fulham,8,2020,-0.2315865,51.5012014375,8,9,0,0,8,20,1,3,6,3
E09000013,Hammersmith and Fulham,8,2021,-0.2315865,51.5012014375,7,7,0,0,7,20,1,3,6,3
E09000013,Hammersmith and Fulham,8,2022,-0.2315865,51.5012014375,6,6,0,2,4,20,1,3,6,3
E09000013,Hammersmith and Fulham,8,2023,-0.2315865,51.5012014375,8,8,0,2,6,20,1,3,6,3
E09000013,Hammersmith and Fulham,8,2024,-0.2315865,51.5012014375,0,0,0,0,0,20,1,3,6,3
E09000013,Hammersmith and Fulham,9,2019,-0.2186540825688073,51.504056651376146,36,45,0,5,31,20,1,3,6,1
E09000013,Hammersmith and Fulham,9,2020,-0.2186540825688073,51.504056651376146,17,17,0,2,15,20,1,3,6,1
E09000013,Hammersmith and Fulham,9,2021,-0.2186540825688073,51.504056651376146,17,18,0,1,16,20,1,3,6,1
E09000013,Hammersmith and Fulham,9,2022,-0.2186540825688073,51.504056651376146,17,20,0,2,15,20,1,3,6,1
E09000013,Hammersmith and Fulham,9,2023,-0.2186540825688073,51.504056651376146,22,23,0,4,18,20,1,3,6,1
E09000013,Hammersmith and Fulham,9,2024,-0.2186540825688073,51.504056651376146,0,0,0,0,0,20,1,3,6,1
E09000013,Hammersmith and Fulham,10,2019,-0.20641816666666668,51.492646,3,3,0,1,2,20,1,4,6,0
E09000013,Hammersmith and Fulham,10,2020,-0.20641816666666668,51.492646,6,6,0,2,4,20,1,4,6,0
E09000013,Hammersmith and Fulham,10,2021,-0.20641816666666668,51.492646,3,3,0,0,3,20,1,4,6,0
E09000013,Hammersmith and Fulham,10,2022,-0.20641816666666668,51.492646,8,9,0,2,6,20,1,4,6,0
E09000013,Hammersmith and Fulham,10,2023,-0.20641816666666668,51.492646,4,4,0,0,4,20,1,4,6,0
E09000013,Hammersmith and Fulham,10,2024,-0.20641816666666668,51.492646,0,0,0,0,0,20,1,4,6,0
E09000013,Hammersmith and Fulham,11,2019,-0.22301616666666663,51.49307384375,22,23,0,1,21,20,1,3,6,0
E09000013,Hammersmith and Fulham,11,2020,-0.22301616666666663,51.49307384375,20,20,0,2,18,20,1,3,6,0
E09000013,Hammersmith and Fulham,11,2021,-0.22301616666666663,51.49307384375,13,13,0,1,12,20,1,3,6,0
E09000013,Hammersmith and Fulham,11,2022,-0.22301616666666663,51.49307384375,23,24,0,3,20,20,1,3,6,0
E09000013,Hammersmith and Fulham,11,2023,-0.22301616666666663,51.49307384375,18,18,0,2,16,20,1,3,6,0
E09000013,Hammersmith and Fulham,11,2024,-0.22301616666666663,51.49307384375,0,0,0,0,0,20,1,3,6,0
E09000013,Hammersmith and Fulham,12,2019,-0.22794794029850743,51.50455708955224,15,17,0,1,14,20,1,3,6,3
E09000013,Hammersmith and Fulham,12,2020,-0.22794794029850743,51.50455708955224,13,15,0,1,12,20,1,3,6,3
E09000013,Hammersmith and Fulham,12,2021,-0.22794794029850743,51.50455708955224,21,24,0,6,15,20,1,3,6,3
E09000013,Hammersmith and Fulham,12,2022,-0.22794794029850743,51.50455708955224,10,11,0,2,8,20,1,3,6,3
E09000013,Hammersmith and Fulham,12,2023,-0.22794794029850743,51.50455708955224,8,8,0,3,5,20,1,3,6,3
E09000013,Hammersmith and Fulham,12,2024,-0.22794794029850743,51.50455708955224,0,0,0,0,0,20,1,3,6,3
E09000013,Hammersmith and Fulham,13,2019,-0.2008443428571429,51.48568125714286,14,15,0,2,12,20,1,4,6,3
E09000013,Hammersmith and Fulham,13,2020,-0.2008443428571429,51.48568125714286,22,22,0,3,19,20,1,4,6,3
E09000013,Hammersmith and Fulham,13,2021,-0.2008443428571429,51.48568125714286,22,24,0,3,19,20,1,4,6,3
E09000013,Hammersmith and Fulham,13,2022,-0.2008443428571429,51.48568125714286,30,34,0,4,26,20,1,4,6,3
E09000013,Hammersmith and Fulham,13,2023,-0.2008443428571429,51.48568125714286,17,20,0,2,15,20,1,4,6,3
E09000013,Hammersmith and Fulham,13,2024,-0.2008443428571429,51.48568125714286,0,0,0,0,0,20,1,4,6,3
E09000013,Hammersmith and Fulham,14,2019,-0.22422583333333332,51.490162974358974,23,24,0,2,21,20,1,3,6,3
E09000013,Hammersmith and Fulham,14,2020,-0.22422583333333332,51.490162974358974,13,13,0,2,11,20,1,3,6,3
E09000013,Hammersmith and Fulham,14,2021,-0.22422583333333332,51.490162974358974,20,20,0,2,18,20,1,3,6,3
E09000013,Hammersmith and Fulham,14,2022,-0.22422583333333332,51.490162974358974,9,11,0,2,7,20,1,3,6,3
E09000013,Hammersmith and Fulham,14,2023,-0.22422583333333332,51.490162974358974,13,13,0,4,9,20,1,3,6,3
E09000013,Hammersmith and Fulham,14,2024,-0.22422583333333332,51.490162974358974,0,0,0,0,0,20,1,3,6,3
E09000013,Hammersmith and Fulham,15,2019,-0.22693510389610388,51.51587998701299,22,26,0,3,19,30,1,3,6,0
E09000013,Hammersmith and Fulham,15,2020,-0.22693510389610388,51.51587998701299,7,8,0,0,7,30,1,3,6,0
E09000013,Hammersmith and Fulham,15,2021,-0.22693510389610388,51.51587998701299,19,19,1,1,17,30,1,3,6,0
E09000013,Hammersmith and Fulham,15,2022,-0.22693510389610388,51.51587998701299,15,15,0,1,14,30,1,3,6,0
E09000013,Hammersmith and Fulham,15,2023,-0.22693510389610388,51.51587998701299,14,18,0,3,11,30,1,3,6,0
E09000013,Hammersmith and Fulham,15,2024,-0.22693510389610388,51.51587998701299,0,0,0,0,0,30,1,3,6,0
E09000013,Hammersmith and Fulham,16,2019,-0.22419336486486485,51.50523955405406,23,25,0,3,20,20,1,3,6,0
E09000013,Hammersmith and Fulham,16,2020,-0.22419336486486485,51.50523955405406,12,12,1,1,10,20,1,3,6,0
E09000013,Hammersmith and Fulham,16,2021,-0.22419336486486485,51.50523955405406,12,12,0,2,10,20,1,3,6,0
E09000013,Hammersmith and Fulham,16,2022,-0.22419336486486485,51.50523955405406,16,17,0,4,12,20,1,3,6,0
E09000013,Hammersmith and Fulham,16,2023,-0.22419336486486485,51.50523955405406,11,12,0,2,9,20,1,3,6,0
E09000013,Hammersmith and Fulham,16,2024,-0.22419336486486485,51.50523955405406,0,0,0,0,0,20,1,3,6,0
E09000013,Hammersmith and Fulham,17,2019,-0.23269361290322585,51.50959974193548,9,9,0,1,8,20,1,6,6,3
E09000013,Hammersmith and Fulham,17,2020,-0.23269361290322585,51.50959974193548,5,5,0,0,5,20,1,6,6,3
E09000013,Hammersmith and Fulham,17,2021,-0.23269361290322585,51.50959974193548,5,6,0,0,5,20,1,6,6,3
E09000013,Hammersmith and Fulham,17,2022,-0.23269361290322585,51.50959974193548,7,9,0,1,6,20,1,6,6,3
E09000013,Hammersmith and Fulham,17,2023,-0.23269361290322585,51.50959974193548,5,7,0,2,3,20,1,6,6,3
E09000013,Hammersmith and Fulham,17,2024,-0.23269361290322585,51.50959974193548,0,0,0,0,0,20,1,6,6,3
E09000013,Hammersmith and Fulham,18,2019,-0.2132581803278689,51.49396413114754,12,13,0,0,12,20,1,3,6,3
E09000013,Hammersmith and Fulham,18,2020,-0.2132581803278689,51.49396413114754,11,11,0,2,9,20,1,3,6,3
E09000013,Hammersmith and Fulham,18,2021,-0.2132581803278689,51.49396413114754,14,14,0,3,11,20,1,3,6,3
E09000013,Hammersmith and Fulham,18,2022,-0.2132581803278689,51.49396413114754,12,12,0,2,10,20,1,3,6,3
E09000013,Hammersmith and Fulham,18,2023,-0.2132581803278689,51.49396413114754,12,12,0,5,7,20,1,3,6,3
E09000013,Hammersmith and Fulham,18,2024,-0.2132581803278689,51.49396413114754,0,0,0,0,0,20,1,3,6,3
E09000013,Hammersmith and Fulham,19,2019,-0.2437303076923077,51.50661664102565,11,12,0,0,11,20,1,3,6,6
E09000013,Hammersmith and Fulham,19,2020,-0.2437303076923077,51.50661664102565,4,7,0,1,3,20,1,3,6,6
E09000013,Hammersmith and Fulham,19,2021,-0.2437303076923077,51.50661664102565,6,6,0,0,6,20,1,3,6,6
E09000013,Hammersmith and Fulham,19,2022,-0.2437303076923077,51.50661664102565,15,20,0,3,12,20,1,3,6,6
E09000013,Hammersmith and Fulham,19,2023,-0.2437303076923077,51.50661664102565,3,5,0,0,3,20,1,3,6,6
E09000013,Hammersmith and Fulham,19,2024,-0.2437303076923077,51.50661664102565,0,0,0,0,0,20,1,3,6,6
