la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E06000001,Hartlepool,1,2019,-1.2453924,54.6917196,3,7,0,1,2,30,1,6,6,0
E06000001,Hartlepool,1,2020,-1.2453924,54.6917196,0,0,0,0,0,30,1,6,6,0
E06000001,Hartlepool,1,2021,-1.2453924,54.6917196,0,0,0,0,0,30,1,6,6,0
E06000001,Hartlepool,1,2022,-1.2453924,54.6917196,1,1,0,1,0,30,1,6,6,0
E06000001,Hartlepool,1,2023,-1.2453924,54.6917196,0,0,0,0,0,30,1,6,6,0
E06000001,Hartlepool,1,2024,-1.2453924,54.6917196,1,1,0,0,0,30,1,6,6,0
E06000001,Hartlepool,2,2019,-1.311272,54.697130666666666,1,1,0,0,1,70,2,3,3,0
E06000001,Hartlepool,2,2020,-1.311272,54.697130666666666,0,0,0,0,0,70,2,3,3,0
E06000001,Hartlepool,2,2021,-1.311272,54.697130666666666,0,0,0,0,0,70,2,3,3,0
E06000001,Hartlepool,2,2022,-1.311272,54.697130666666666,0,0,0,0,0,70,2,3,3,0
E06000001,Hartlepool,2,2023,-1.311272,54.697130666666666,1,2,0,0,1,70,2,3,3,0
E06000001,Hartlepool,2,2024,-1.311272,54.697130666666666,0,0,0,0,0,70,2,3,3,0
E06000001,Hartlepool,2,2025,-1.311272,54.697130666666666,1,1,0,0,0,70,2,3,3,0
E06000001,Hartlepool,3,2019,-1.2136711111111111,54.69821555555556,2,2,0,0,2,30,1,3,6,3
E06000001,Hartlepool,3,2020,-1.2136711111111111,54.69821555555556,3,4,0,1,2,30,1,3,6,3
E06000001,Hartlepool,3,2021,-1.2136711111111111,54.69821555555556,2,2,0,1,1,30,1,3,6,3
E06000001,Hartlepool,3,2022,-1.2136711111111111,54.69821555555556,1,2,0,0,1,30,1,3,6,3
E06000001,Hartlepool,3,2023,-1.2136711111111111,54.69821555555556,0,0,0,0,0,30,1,3,6,3
E06000001,Hartlepool,3,2024,-1.2136711111111111,54.69821555555556,0,0,0,0,0,30,1,3,6,3
E06000001,Hartlepool,3,2025,-1.2136711111111111,54.69821555555556,1,1,0,0,0,30,1,3,6,3
E06000001,Hartlepool,4,2019,-1.207656615384615,54.68878930769231,4,5,0,0,4,30,1,3,6,1
E06000001,Hartlepool,4,2020,-1.207656615384615,54.68878930769231,3,5,0,0,3,30,1,3,6,1
E06000001,Hartlepool,4,2021,-1.207656615384615,54.68878930769231,1,1,0,1,0,30,1,3,6,1
E06000001,Hartlepool,4,2022,-1.207656615384615,54.68878930769231,3,4,0,0,3,30,1,3,6,1
E06000001,Hartlepool,4,2023,-1.207656615384615,54.68878930769231,0,0,0,0,0,30,1,3,6,1
E06000001,Hartlepool,4,2024,-1.207656615384615,54.68878930769231,2,2,0,0,0,30,1,3,6,1
E06000001,Hartlepool,5,2019,-1.249231,54.7160558,2,2,0,2,0,30,1,6,6,0
E06000001,Hartlepool,5,2020,-1.249231,54.7160558,1,1,0,0,1,30,1,6,6,0
E06000001,Hartlepool,5,2021,-1.249231,54.7160558,0,0,0,0,0,30,1,6,6,0
E06000001,Hartlepool,5,2022,-1.249231,54.7160558,0,0,0,0,0,30,1,6,6,0
E06000001,Hartlepool,5,2023,-1.249231,54.7160558,1,4,0,0,1,30,1,6,6,0
E06000001,Hartlepool,5,2024,-1.249231,54.7160558,1,1,0,0,0,30,1,6,6,0
E06000001,Hartlepool,6,2019,-1.2127884324324325,54.68596221621622,12,13,0,2,10,30,1,3,6,3
E06000001,Hartlepool,6,2020,-1.2127884324324325,54.68596221621622,8,8,0,1,7,30,1,3,6,3
E06000001,Hartlepool,6,2021,-1.2127884324324325,54.68596221621622,3,3,0,1,2,30,1,3,6,3
E06000001,Hartlepool,6,2022,-1.2127884324324325,54.68596221621622,4,4,0,2,2,30,1,3,6,3
E06000001,Hartlepool,6,2023,-1.2127884324324325,54.68596221621622,2,2,0,0,2,30,1,3,6,3
E06000001,Hartlepool,6,2024,-1.2127884324324325,54.68596221621622,2,3,0,0,0,30,1,3,6,3
E06000001,Hartlepool,6,2025,-1.2127884324324325,54.68596221621622,6,7,0,0,0,30,1,3,6,3
E06000001,Hartlepool,7,2019,-1.2190401071428572,54.69051771428572,6,6,0,3,3,30,1,4,6,0
E06000001,Hartlepool,7,2020,-1.2190401071428572,54.69051771428572,7,11,0,1,6,30,1,4,6,0
E06000001,Hartlepool,7,2021,-1.2190401071428572,54.69051771428572,5,6,0,0,5,30,1,4,6,0
E06000001,Hartlepool,7,2022,-1.2190401071428572,54.69051771428572,3,3,1,1,1,30,1,4,6,0
E06000001,Hartlepool,7,2023,-1.2190401071428572,54.69051771428572,2,2,0,1,1,30,1,4,6,0
E06000001,Hartlepool,7,2024,-1.2190401071428572,54.69051771428572,4,4,0,0,0,30,1,4,6,0
E06000001,Hartlepool,7,2025,-1.2190401071428572,54.69051771428572,1,1,0,0,0,30,1,4,6,0
E06000001,Hartlepool,8,2019,-1.2360985882352942,54.66274652941176,3,3,0,3,0,30,1,6,6,3
E06000001,Hartlepool,8,2020,-1.2360985882352942,54.66274652941176,0,0,0,0,0,30,1,6,6,3
E06000001,Hartlepool,8,2021,-1.2360985882352942,54.66274652941176,2,3,0,1,1,30,1,6,6,3
E06000001,Hartlepool,8,2022,-1.2360985882352942,54.66274652941176,4,5,0,1,3,30,1,6,6,3
E06000001,Hartlepool,8,2023,-1.2360985882352942,54.66274652941176,3,4,0,0,3,30,1,6,6,3
E06000001,Hartlepool,8,2024,-1.2360985882352942,54.66274652941176,4,5,0,0,0,30,1,6,6,3
E06000001,Hartlepool,8,2025,-1.2360985882352942,54.66274652941176,1,1,0,0,0,30,1,6,6,3
E06000001,Hartlepool,9,2019,-1.226719,54.69083766666667,2,2,0,0,2,30,1,6,6,6
E06000001,Hartlepool,9,2020,-1.226719,54.69083766666667,3,3,0,1,2,30,1,6,6,6
E06000001,Hartlepool,9,2021,-1.226719,54.69083766666667,1,2,0,0,1,30,1,6,6,6
E06000001,Hartlepool,9,2022,-1.226719,54.69083766666667,1,1,0,0,1,30,1,6,6,6
E06000001,Hartlepool,9,2023,-1.226719,54.69083766666667,1,1,0,1,0,30,1,6,6,6
E06000001,Hartlepool,9,2024,-1.226719,54.69083766666667,0,0,0,0,0,30,1,6,6,6
E06000001,Hartlepool,9,2025,-1.226719,54.69083766666667,1,1,0,0,0,30,1,6,6,6
E06000001,Hartlepool,10,2019,-1.2099381111111112,54.65906944444445,1,1,0,0,1,30,1,4,6,0
E06000001,Hartlepool,10,2020,-1.2099381111111112,54.65906944444445,2,4,0,0,2,30,1,4,6,0
E06000001,Hartlepool,10,2021,-1.2099381111111112,54.65906944444445,2,2,0,2,0,30,1,4,6,0
E06000001,Hartlepool,10,2022,-1.2099381111111112,54.65906944444445,1,2,0,0,1,30,1,4,6,0
E06000001,Hartlepool,10,2023,-1.2099381111111112,54.65906944444445,2,3,0,1,1,30,1,4,6,0
E06000001,Hartlepool,10,2024,-1.2099381111111112,54.65906944444445,0,0,0,0,0,30,1,4,6,0
E06000001,Hartlepool,10,2025,-1.2099381111111112,54.65906944444445,1,1,0,0,0,30,1,4,6,0
E06000001,Hartlepool,11,2019,-1.221748153846154,54.66364284615385,2,3,0,0,2,40,1,3,3,3
E06000001,Hartlepool,11,2020,-1.221748153846154,54.66364284615385,1,3,0,0,1,40,1,3,3,3
E06000001,Hartlepool,11,2021,-1.221748153846154,54.66364284615385,3,7,0,1,2,40,1,3,3,3
E06000001,Hartlepool,11,2022,-1.221748153846154,54.66364284615385,2,2,0,1,1,40,1,3,3,3
E06000001,Hartlepool,11,2023,-1.221748153846154,54.66364284615385,4,4,1,1,2,40,1,3,3,3
E06000001,Hartlepool,11,2024,-1.221748153846154,54.66364284615385,0,0,0,0,0,40,1,3,3,3
E06000001,Hartlepool,11,2025,-1.221748153846154,54.66364284615385,1,1,0,0,0,40,1,3,3,3
E06000001,Hartlepool,12,2019,-1.2227856666666663,54.70926333333333,1,1,0,0,1,30,1,6,6,1
E06000001,Hartlepool,12,2020,-1.2227856666666663,54.70926333333333,0,0,0,0,0,30,1,6,6,1
E06000001,Hartlepool,12,2021,-1.2227856666666663,54.70926333333333,2,2,0,1,1,30,1,6,6,1
E06000001,Hartlepool,12,2022,-1.2227856666666663,54.70926333333333,0,0,0,0,0,30,1,6,6,1
E06000001,Hartlepool,12,2023,-1.2227856666666663,54.70926333333333,0,0,0,0,0,30,1,6,6,1
E06000001,Hartlepool,12,2024,-1.2227856666666663,54.70926333333333,0,0,0,0,0,30,1,6,6,1
E06000001,Hartlepool,13,2019,-1.2340292,54.6536636,2,3,0,0,2,30,1,6,6,0
E06000001,Hartlepool,13,2020,-1.2340292,54.6536636,2,2,1,0,1,30,1,6,6,0
E06000001,Hartlepool,13,2021,-1.2340292,54.6536636,1,1,0,0,1,30,1,6,6,0
E06000001,Hartlepool,13,2022,-1.2340292,54.6536636,0,0,0,0,0,30,1,6,6,0
E06000001,Hartlepool,13,2023,-1.2340292,54.6536636,0,0,0,0,0,30,1,6,6,0
E06000001,Hartlepool,13,2024,-1.2340292,54.6536636,0,0,0,0,0,30,1,6,6,0
E06000001,Hartlepool,14,2019,-1.3011315,54.64728525,1,1,0,0,1,70,2,3,3,8
E06000001,Hartlepool,14,2020,-1.3011315,54.64728525,2,6,0,1,1,70,2,3,3,8
E06000001,Hartlepool,14,2021,-1.3011315,54.64728525,0,0,0,0,0,70,2,3,3,8
E06000001,Hartlepool,14,2022,-1.3011315,54.64728525,1,1,0,0,1,70,2,3,3,8
E06000001,Hartlepool,14,2023,-1.3011315,54.64728525,0,0,0,0,0,70,2,3,3,8
E06000001,Hartlepool,14,2024,-1.3011315,54.64728525,0,0,0,0,0,70,2,3,3,8
E06000001,Hartlepool,15,2019,-1.222856333333333,54.69782633333333,2,2,0,1,1,30,1,6,6,1
E06000001,Hartlepool,15,2020,-1.222856333333333,54.69782633333333,2,3,0,0,2,30,1,6,6,1
E06000001,Hartlepool,15,2021,-1.222856333333333,54.69782633333333,2,2,0,0,2,30,1,6,6,1
E06000001,Hartlepool,15,2022,-1.222856333333333,54.69782633333333,5,8,1,1,3,30,1,6,6,1
E06000001,Hartlepool,15,2023,-1.222856333333333,54.69782633333333,1,1,0,0,1,30,1,6,6,1
E06000001,Hartlepool,15,2024,-1.222856333333333,54.69782633333333,2,3,0,0,0,30,1,6,6,1
E06000001,Hartlepool,15,2025,-1.222856333333333,54.69782633333333,1,1,0,0,0,30,1,6,6,1
E06000001,Hartlepool,16,2019,-1.2103315714285714,54.69223864285714,4,5,0,1,3,30,1,3,6,1
E06000001,Hartlepool,16,2020,-1.2103315714285714,54.69223864285714,3,5,0,0,3,30,1,3,6,1
E06000001,Hartlepool,16,2021,-1.2103315714285714,54.69223864285714,4,4,0,0,4,30,1,3,6,1
