la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E09000016,Havering,1,2019,0.25076966666666667,51.542344666666665,2,8,0,0,2,30,1,4,6,3
E09000016,Havering,1,2020,0.25076966666666667,51.542344666666665,2,2,0,0,2,30,1,4,6,3
E09000016,Havering,1,2021,0.25076966666666667,51.542344666666665,1,1,0,0,1,30,1,4,6,3
E09000016,Havering,1,2022,0.25076966666666667,51.542344666666665,1,1,0,0,1,30,1,4,6,3
E09000016,Havering,1,2023,0.25076966666666667,51.542344666666665,0,0,0,0,0,30,1,4,6,3
E09000016,Havering,1,2024,0.25076966666666667,51.542344666666665,0,0,0,0,0,30,1,4,6,3
E09000016,Havering,2,2019,0.16250420833333334,51.59923675,3,4,0,0,3,30,1,4,6,0
E09000016,Havering,2,2020,0.16250420833333334,51.59923675,4,4,0,1,3,30,1,4,6,0
E09000016,Havering,2,2021,0.16250420833333334,51.59923675,5,5,0,0,5,30,1,4,6,0
E09000016,Havering,2,2022,0.16250420833333334,51.59923675,3,3,0,0,3,30,1,4,6,0
E09000016,Havering,2,2023,0.16250420833333334,51.59923675,9,12,0,0,9,30,1,4,6,0
E09000016,Havering,2,2024,0.16250420833333334,51.59923675,0,0,0,0,0,30,1,4,6,0
E09000016,Havering,3,2019,0.18223177142857144,51.592778114285714,7,15,0,1,6,50,1,3,3,6
E09000016,Havering,3,2020,0.18223177142857144,51.592778114285714,4,5,0,0,4,50,1,3,3,6
E09000016,Havering,3,2021,0.18223177142857144,51.592778114285714,8,15,0,0,8,50,1,3,3,6
E09000016,Havering,3,2022,0.18223177142857144,51.592778114285714,7,7,0,2,5,50,1,3,3,6
E09000016,Havering,3,2023,0.18223177142857144,51.592778114285714,9,12,0,0,9,50,1,3,3,6
E09000016,Havering,3,2024,0.18223177142857144,51.592778114285714,0,0,0,0,0,50,1,3,3,6
E09000016,Havering,4,2019,0.1538385,51.5737,2,3,0,0,2,30,2,3,6,0
E09000016,Havering,4,2020,0.1538385,51.5737,1,1,0,0,1,30,2,3,6,0
E09000016,Havering,4,2021,0.1538385,51.5737,0,0,0,0,0,30,2,3,6,0
E09000016,Havering,4,2022,0.1538385,51.5737,0,0,0,0,0,30,2,3,6,0
E09000016,Havering,4,2023,0.1538385,51.5737,1,2,0,0,1,30,2,3,6,0
E09000016,Havering,4,2024,0.1538385,51.5737,0,0,0,0,0,30,2,3,6,0
E09000016,Havering,5,2019,0.168755,51.583702833333334,1,2,0,0,1,50,1,3,3,8
E09000016,Havering,5,2020,0.168755,51.583702833333334,1,1,0,0,1,50,1,3,3,8
E09000016,Havering,5,2021,0.168755,51.583702833333334,2,6,0,2,0,50,1,3,3,8
E09000016,Havering,5,2022,0.168755,51.583702833333334,0,0,0,0,0,50,1,3,3,8
E09000016,Havering,5,2023,0.168755,51.583702833333334,2,5,0,0,2,50,1,3,3,8
E09000016,Havering,5,2024,0.168755,51.583702833333334,0,0,0,0,0,50,1,3,3,8
E09000016,Havering,6,2019,0.254976,51.61540075,5,6,0,1,4,70,2,1,3,0
E09000016,Havering,6,2020,0.254976,51.61540075,1,3,0,0,1,70,2,1,3,0
E09000016,Havering,6,2021,0.254976,51.61540075,3,8,0,0,3,70,2,1,3,0
E09000016,Havering,6,2022,0.254976,51.61540075,2,2,0,0,2,70,2,1,3,0
E09000016,Havering,6,2023,0.254976,51.61540075,9,13,0,3,6,70,2,1,3,0
E09000016,Havering,6,2024,0.254976,51.61540075,0,0,0,0,0,70,2,1,3,0
E09000016,Havering,7,2019,0.19487366666666667,51.603501666666666,2,2,0,0,2,30,2,5,6,3
E09000016,Havering,7,2020,0.19487366666666667,51.603501666666666,1,1,0,1,0,30,2,5,6,3
E09000016,Havering,7,2021,0.19487366666666667,51.603501666666666,0,0,0,0,0,30,2,5,6,3
E09000016,Havering,7,2022,0.19487366666666667,51.603501666666666,0,0,0,0,0,30,2,5,6,3
E09000016,Havering,7,2023,0.19487366666666667,51.603501666666666,0,0,0,0,0,30,2,5,6,3
E09000016,Havering,7,2024,0.19487366666666667,51.603501666666666,0,0,0,0,0,30,2,5,6,3
E09000016,Havering,8,2019,0.17618742857142858,51.56581502380952,11,15,0,3,8,30,1,3,6,6
E09000016,Havering,8,2020,0.17618742857142858,51.56581502380952,8,9,0,0,8,30,1,3,6,6
E09000016,Havering,8,2021,0.17618742857142858,51.56581502380952,8,8,0,1,7,30,1,3,6,6
E09000016,Havering,8,2022,0.17618742857142858,51.56581502380952,6,6,0,1,5,30,1,3,6,6
E09000016,Havering,8,2023,0.17618742857142858,51.56581502380952,9,9,0,1,8,30,1,3,6,6
E09000016,Havering,8,2024,0.17618742857142858,51.56581502380952,0,0,0,0,0,30,1,3,6,6
E09000016,Havering,9,2019,0.1786554,51.570341133333336,4,4,0,0,4,30,1,5,6,3
E09000016,Havering,9,2020,0.1786554,51.570341133333336,4,4,0,1,3,30,1,5,6,3
E09000016,Havering,9,2021,0.1786554,51.570341133333336,3,4,0,0,3,30,1,5,6,3
E09000016,Havering,9,2022,0.1786554,51.570341133333336,1,1,0,0,1,30,1,5,6,3
E09000016,Havering,9,2023,0.1786554,51.570341133333336,3,3,0,0,3,30,1,5,6,3
E09000016,Havering,9,2024,0.1786554,51.570341133333336,0,0,0,0,0,30,1,5,6,3
E09000016,Havering,10,2019,0.2196640769230769,51.58249484615384,4,4,0,1,3,30,1,5,6,0
E09000016,Havering,10,2020,0.2196640769230769,51.58249484615384,1,1,0,0,1,30,1,5,6,0
E09000016,Havering,10,2021,0.2196640769230769,51.58249484615384,4,5,0,0,4,30,1,5,6,0
E09000016,Havering,10,2022,0.2196640769230769,51.58249484615384,3,3,0,1,2,30,1,5,6,0
E09000016,Havering,10,2023,0.2196640769230769,51.58249484615384,1,1,0,0,1,30,1,5,6,0
E09000016,Havering,10,2024,0.2196640769230769,51.58249484615384,0,0,0,0,0,30,1,5,6,0
E09000016,Havering,11,2019,0.2840127962962963,51.57262112962963,14,21,0,0,14,70,2,1,1,1
E09000016,Havering,11,2020,0.2840127962962963,51.57262112962963,12,14,0,3,9,70,2,1,1,1
