la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
S12000017,Highland,1,2019,-5.151024,56.677323,1,2,0,1,0,60,2,3,6,0
S12000017,Highland,1,2020,-5.151024,56.677323,0,0,0,0,0,60,2,3,6,0
S12000017,Highland,1,2021,-5.151024,56.677323,0,0,0,0,0,60,2,3,6,0
S12000017,Highland,1,2022,-5.151024,56.677323,1,1,0,0,1,60,2,3,6,0
S12000017,Highland,1,2023,-5.151024,56.677323,0,0,0,0,0,60,2,3,6,0
S12000017,Highland,1,2024,-5.151024,56.677323,0,0,0,0,0,60,2,3,6,0
S12000017,Highland,2,2019,-4.418537,58.03207,1,1,1,0,0,60,2,3,6,0
S12000017,Highland,2,2020,-4.418537,58.03207,0,0,0,0,0,60,2,3,6,0
S12000017,Highland,2,2021,-4.418537,58.03207,0,0,0,0,0,60,2,3,6,0
S12000017,Highland,2,2022,-4.418537,58.03207,0,0,0,0,0,60,2,3,6,0
S12000017,Highland,2,2023,-4.418537,58.03207,0,0,0,0,0,60,2,3,6,0
S12000017,Highland,2,2024,-4.418537,58.03207,0,0,0,0,0,60,2,3,6,0
S12000017,Highland,3,2019,-4.107387,57.491054,1,1,0,0,1,60,2,6,6,0
S12000017,Highland,3,2020,-4.107387,57.491054,0,0,0,0,0,60,2,6,6,0
S12000017,Highland,3,2021,-4.107387,57.491054,0,0,0,0,0,60,2,6,6,0
S12000017,Highland,3,2022,-4.107387,57.491054,0,0,0,0,0,60,2,6,6,0
S12000017,Highland,3,2023,-4.107387,57.491054,0,0,0,0,0,60,2,6,6,0
S12000017,Highland,3,2024,-4.107387,57.491054,0,0,0,0,0,60,2,6,6,0
S12000017,Highland,4,2019,-5.21409,58.244315,1,1,0,1,0,60,2,4,6,0
S12000017,Highland,4,2020,-5.21409,58.244315,0,0,0,0,0,60,2,4,6,0
S12000017,Highland,4,2021,-5.21409,58.244315,0,0,0,0,0,60,2,4,6,0
S12000017,Highland,4,2022,-5.21409,58.244315,0,0,0,0,0,60,2,4,6,0
S12000017,Highland,4,2023,-5.21409,58.244315,0,0,0,0,0,60,2,4,6,0
S12000017,Highland,4,2024,-5.21409,58.244315,0,0,0,0,0,60,2,4,6,0
S12000017,Highland,5,2019,-5.755930333333334,56.900966,2,2,0,0,2,60,2,3,6,0
S12000017,Highland,5,2020,-5.755930333333334,56.900966,0,0,0,0,0,60,2,3,6,0
S12000017,Highland,5,2021,-5.755930333333334,56.900966,0,0,0,0,0,60,2,3,6,0
S12000017,Highland,5,2022,-5.755930333333334,56.900966,0,0,0,0,0,60,2,3,6,0
S12000017,Highland,5,2023,-5.755930333333334,56.900966,1,1,0,0,1,60,2,3,6,0
S12000017,Highland,5,2024,-5.755930333333334,56.900966,0,0,0,0,0,60,2,3,6,0
S12000017,Highland,6,2019,-3.823045846153846,57.21511438461538,5,8,0,4,1,60,2,3,6,3
S12000017,Highland,6,2020,-3.823045846153846,57.21511438461538,0,0,0,0,0,60,2,3,6,3
S12000017,Highland,6,2021,-3.823045846153846,57.21511438461538,2,5,0,1,1,60,2,3,6,3
S12000017,Highland,6,2022,-3.823045846153846,57.21511438461538,3,9,0,3,0,60,2,3,6,3
S12000017,Highland,6,2023,-3.823045846153846,57.21511438461538,3,4,0,3,0,60,2,3,6,3
S12000017,Highland,6,2024,-3.823045846153846,57.21511438461538,0,0,0,0,0,60,2,3,6,3
S12000017,Highland,7,2019,-4.202514,57.848725,1,1,0,0,1,60,2,3,6,0
S12000017,Highland,7,2020,-4.202514,57.848725,0,0,0,0,0,60,2,3,6,0
S12000017,Highland,7,2021,-4.202514,57.848725,0,0,0,0,0,60,2,3,6,0
S12000017,Highland,7,2022,-4.202514,57.848725,0,0,0,0,0,60,2,3,6,0
S12000017,Highland,7,2023,-4.202514,57.848725,0,0,0,0,0,60,2,3,6,0
S12000017,Highland,7,2024,-4.202514,57.848725,0,0,0,0,0,60,2,3,6,0
S12000017,Highland,8,2019,-4.681384333333334,57.144971,2,2,0,0,2,30,2,3,6,0
S12000017,Highland,8,2020,-4.681384333333334,57.144971,0,0,0,0,0,30,2,3,6,0
S12000017,Highland,8,2021,-4.681384333333334,57.144971,1,1,0,0,1,30,2,3,6,0
S12000017,Highland,8,2022,-4.681384333333334,57.144971,2,2,0,1,1,30,2,3,6,0
S12000017,Highland,8,2023,-4.681384333333334,57.144971,1,2,0,1,0,30,2,3,6,0
S12000017,Highland,8,2024,-4.681384333333334,57.144971,0,0,0,0,0,30,2,3,6,0
S12000017,Highland,9,2019,-4.136485,57.877644,1,2,0,1,0,60,2,3,6,0
S12000017,Highland,9,2020,-4.136485,57.877644,0,0,0,0,0,60,2,3,6,0
S12000017,Highland,9,2021,-4.136485,57.877644,0,0,0,0,0,60,2,3,6,0
S12000017,Highland,9,2022,-4.136485,57.877644,0,0,0,0,0,60,2,3,6,0
S12000017,Highland,9,2023,-4.136485,57.877644,0,0,0,0,0,60,2,3,6,0
S12000017,Highland,9,2024,-4.136485,57.877644,0,0,0,0,0,60,2,3,6,0
S12000017,Highland,10,2019,-5.011168,56.605583,1,1,0,0,1,60,2,6,6,0
S12000017,Highland,10,2020,-5.011168,56.605583,0,0,0,0,0,60,2,6,6,0
S12000017,Highland,10,2021,-5.011168,56.605583,0,0,0,0,0,60,2,6,6,0
S12000017,Highland,10,2022,-5.011168,56.605583,0,0,0,0,0,60,2,6,6,0
S12000017,Highland,10,2023,-5.011168,56.605583,0,0,0,0,0,60,2,6,6,0
S12000017,Highland,10,2024,-5.011168,56.605583,0,0,0,0,0,60,2,6,6,0
S12000017,Highland,11,2019,-3.635039,57.310055000000006,1,1,0,0,1,60,2,3,6,0
S12000017,Highland,11,2020,-3.635039,57.310055000000006,0,0,0,0,0,60,2,3,6,0
S12000017,Highland,11,2021,-3.635039,57.310055000000006,0,0,0,0,0,60,2,3,6,0
S12000017,Highland,11,2022,-3.635039,57.310055000000006,0,0,0,0,0,60,2,3,6,0
S12000017,Highland,11,2023,-3.635039,57.310055000000006,1,1,0,1,0,60,2,3,6,0
