la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E09000018,Hounslow,1,2019,-0.3362274210526316,51.482560842105265,6,7,0,0,6,40,1,3,3,0
E09000018,Hounslow,1,2020,-0.3362274210526316,51.482560842105265,2,2,0,0,2,40,1,3,3,0
E09000018,Hounslow,1,2021,-0.3362274210526316,51.482560842105265,5,7,0,0,5,40,1,3,3,0
E09000018,Hounslow,1,2022,-0.3362274210526316,51.482560842105265,0,0,0,0,0,40,1,3,3,0
E09000018,Hounslow,1,2023,-0.3362274210526316,51.482560842105265,4,4,0,1,3,40,1,3,3,0
E09000018,Hounslow,1,2024,-0.3362274210526316,51.482560842105265,2,2,0,0,0,40,1,3,3,0
E09000018,Hounslow,2,2019,-0.38607065384615386,51.472924673076925,12,12,0,3,9,30,1,3,6,3
E09000018,Hounslow,2,2020,-0.38607065384615386,51.472924673076925,6,6,0,0,6,30,1,3,6,3
E09000018,Hounslow,2,2021,-0.38607065384615386,51.472924673076925,8,9,0,1,7,30,1,3,6,3
E09000018,Hounslow,2,2022,-0.38607065384615386,51.472924673076925,9,12,0,1,8,30,1,3,6,3
E09000018,Hounslow,2,2023,-0.38607065384615386,51.472924673076925,9,10,0,1,8,30,1,3,6,3
E09000018,Hounslow,2,2024,-0.38607065384615386,51.472924673076925,6,7,0,0,0,30,1,3,6,3
E09000018,Hounslow,2,2025,-0.38607065384615386,51.472924673076925,2,2,0,0,0,30,1,3,6,3
E09000018,Hounslow,3,2019,-0.2890315737704918,51.4885701147541,11,13,0,3,8,30,1,3,6,0
E09000018,Hounslow,3,2020,-0.2890315737704918,51.4885701147541,6,6,0,1,5,30,1,3,6,0
E09000018,Hounslow,3,2021,-0.2890315737704918,51.4885701147541,13,19,0,3,10,30,1,3,6,0
E09000018,Hounslow,3,2022,-0.2890315737704918,51.4885701147541,5,6,0,0,5,30,1,3,6,0
E09000018,Hounslow,3,2023,-0.2890315737704918,51.4885701147541,9,10,0,1,8,30,1,3,6,0
E09000018,Hounslow,3,2024,-0.2890315737704918,51.4885701147541,13,14,0,0,0,30,1,3,6,0
