la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
S12000018,Inverclyde,1,2019,-4.7047986,55.9361406,2,2,0,0,2,40,1,3,3,0
S12000018,Inverclyde,1,2020,-4.7047986,55.9361406,2,2,1,1,0,40,1,3,3,0
S12000018,Inverclyde,1,2021,-4.7047986,55.9361406,0,0,0,0,0,40,1,3,3,0
S12000018,Inverclyde,1,2022,-4.7047986,55.9361406,0,0,0,0,0,40,1,3,3,0
S12000018,Inverclyde,1,2023,-4.7047986,55.9361406,0,0,0,0,0,40,1,3,3,0
S12000018,Inverclyde,1,2024,-4.7047986,55.9361406,1,1,0,0,0,40,1,3,3,0
S12000018,Inverclyde,2,2019,-4.669898999999999,55.9017985,1,2,0,0,1,60,2,6,6,0
S12000018,Inverclyde,2,2020,-4.669898999999999,55.9017985,1,2,0,1,0,60,2,6,6,0
S12000018,Inverclyde,2,2021,-4.669898999999999,55.9017985,0,0,0,0,0,60,2,6,6,0
S12000018,Inverclyde,2,2022,-4.669898999999999,55.9017985,0,0,0,0,0,60,2,6,6,0
S12000018,Inverclyde,2,2023,-4.669898999999999,55.9017985,0,0,0,0,0,60,2,6,6,0
S12000018,Inverclyde,2,2024,-4.669898999999999,55.9017985,0,0,0,0,0,60,2,6,6,0
S12000018,Inverclyde,3,2019,-4.7565402,55.9427326,3,3,0,0,3,30,1,6,6,6
S12000018,Inverclyde,3,2020,-4.7565402,55.9427326,0,0,0,0,0,30,1,6,6,6
S12000018,Inverclyde,3,2021,-4.7565402,55.9427326,1,1,0,0,1,30,1,6,6,6
S12000018,Inverclyde,3,2022,-4.7565402,55.9427326,1,1,0,0,1,30,1,6,6,6
S12000018,Inverclyde,3,2023,-4.7565402,55.9427326,0,0,0,0,0,30,1,6,6,6
S12000018,Inverclyde,3,2024,-4.7565402,55.9427326,0,0,0,0,0,30,1,6,6,6
S12000018,Inverclyde,4,2019,-4.761747777777778,55.94997022222222,4,5,0,1,3,30,1,6,6,3
S12000018,Inverclyde,4,2020,-4.761747777777778,55.94997022222222,2,2,0,1,1,30,1,6,6,3
S12000018,Inverclyde,4,2021,-4.761747777777778,55.94997022222222,1,1,0,0,1,30,1,6,6,3
S12000018,Inverclyde,4,2022,-4.761747777777778,55.94997022222222,0,0,0,0,0,30,1,6,6,3
S12000018,Inverclyde,4,2023,-4.761747777777778,55.94997022222222,2,2,0,0,2,30,1,6,6,3
S12000018,Inverclyde,4,2024,-4.761747777777778,55.94997022222222,0,0,0,0,0,30,1,6,6,3
S12000018,Inverclyde,5,2019,-4.804624666666667,55.955929833333336,1,1,0,0,1,30,1,3,6,3
S12000018,Inverclyde,5,2020,-4.804624666666667,55.955929833333336,2,2,0,1,1,30,1,3,6,3
S12000018,Inverclyde,5,2021,-4.804624666666667,55.955929833333336,1,1,0,1,0,30,1,3,6,3
S12000018,Inverclyde,5,2022,-4.804624666666667,55.955929833333336,1,2,0,0,1,30,1,3,6,3
S12000018,Inverclyde,5,2023,-4.804624666666667,55.955929833333336,0,0,0,0,0,30,1,3,6,3
S12000018,Inverclyde,5,2024,-4.804624666666667,55.955929833333336,1,1,0,0,0,30,1,3,6,3
S12000018,Inverclyde,6,2019,-4.653689,55.925794,3,3,0,1,2,30,1,6,6,0
S12000018,Inverclyde,6,2020,-4.653689,55.925794,0,0,0,0,0,30,1,6,6,0
S12000018,Inverclyde,6,2021,-4.653689,55.925794,0,0,0,0,0,30,1,6,6,0
S12000018,Inverclyde,6,2022,-4.653689,55.925794,0,0,0,0,0,30,1,6,6,0
S12000018,Inverclyde,6,2023,-4.653689,55.925794,0,0,0,0,0,30,1,6,6,0
S12000018,Inverclyde,6,2024,-4.653689,55.925794,0,0,0,0,0,30,1,6,6,0
S12000018,Inverclyde,7,2019,-4.8120126,55.9390344,2,4,0,0,2,30,1,6,6,0
S12000018,Inverclyde,7,2020,-4.8120126,55.9390344,2,2,0,1,1,30,1,6,6,0
S12000018,Inverclyde,7,2021,-4.8120126,55.9390344,0,0,0,0,0,30,1,6,6,0
S12000018,Inverclyde,7,2022,-4.8120126,55.9390344,0,0,0,0,0,30,1,6,6,0
S12000018,Inverclyde,7,2023,-4.8120126,55.9390344,0,0,0,0,0,30,1,6,6,0
S12000018,Inverclyde,7,2024,-4.8120126,55.9390344,1,1,0,0,0,30,1,6,6,0
S12000018,Inverclyde,8,2019,-4.820766333333333,55.96104533333333,1,3,0,1,0,30,1,3,6,3
S12000018,Inverclyde,8,2020,-4.820766333333333,55.96104533333333,0,0,0,0,0,30,1,3,6,3
S12000018,Inverclyde,8,2021,-4.820766333333333,55.96104533333333,0,0,0,0,0,30,1,3,6,3
S12000018,Inverclyde,8,2022,-4.820766333333333,55.96104533333333,1,1,0,1,0,30,1,3,6,3
S12000018,Inverclyde,8,2023,-4.820766333333333,55.96104533333333,0,0,0,0,0,30,1,3,6,3
S12000018,Inverclyde,8,2024,-4.820766333333333,55.96104533333333,1,1,0,0,0,30,1,3,6,3
S12000018,Inverclyde,9,2019,-4.726291833333334,55.940356666666666,1,1,0,1,0,30,1,6,6,0
S12000018,Inverclyde,9,2020,-4.726291833333334,55.940356666666666,3,3,0,0,3,30,1,6,6,0
S12000018,Inverclyde,9,2021,-4.726291833333334,55.940356666666666,2,2,0,1,1,30,1,6,6,0
S12000018,Inverclyde,9,2022,-4.726291833333334,55.940356666666666,0,0,0,0,0,30,1,6,6,0
S12000018,Inverclyde,9,2023,-4.726291833333334,55.940356666666666,0,0,0,0,0,30,1,6,6,0
S12000018,Inverclyde,9,2024,-4.726291833333334,55.940356666666666,0,0,0,0,0,30,1,6,6,0
S12000018,Inverclyde,10,2019,-4.81668675,55.95781975,2,3,0,1,1,30,1,6,6,6
S12000018,Inverclyde,10,2020,-4.81668675,55.95781975,0,0,0,0,0,30,1,6,6,6
S12000018,Inverclyde,10,2021,-4.81668675,55.95781975,0,0,0,0,0,30,1,6,6,6
S12000018,Inverclyde,10,2022,-4.81668675,55.95781975,0,0,0,0,0,30,1,6,6,6
S12000018,Inverclyde,10,2023,-4.81668675,55.95781975,0,0,0,0,0,30,1,6,6,6
S12000018,Inverclyde,10,2024,-4.81668675,55.95781975,1,1,0,0,0,30,1,6,6,6
S12000018,Inverclyde,10,2025,-4.81668675,55.95781975,1,1,0,0,0,30,1,6,6,6
S12000018,Inverclyde,11,2019,-4.679506111111111,55.93307277777778,6,13,1,2,3,30,1,3,1,1
S12000018,Inverclyde,11,2020,-4.679506111111111,55.93307277777778,0,0,0,0,0,30,1,3,1,1
S12000018,Inverclyde,11,2021,-4.679506111111111,55.93307277777778,0,0,0,0,0,30,1,3,1,1
S12000018,Inverclyde,11,2022,-4.679506111111111,55.93307277777778,0,0,0,0,0,30,1,3,1,1
S12000018,Inverclyde,11,2023,-4.679506111111111,55.93307277777778,2,7,0,1,1,30,1,3,1,1
S12000018,Inverclyde,11,2024,-4.679506111111111,55.93307277777778,1,2,0,0,0,30,1,3,1,1
S12000018,Inverclyde,12,2019,-4.771867272727273,55.94580536363636,6,9,0,0,6,30,1,6,6,0
S12000018,Inverclyde,12,2020,-4.771867272727273,55.94580536363636,0,0,0,0,0,30,1,6,6,0
S12000018,Inverclyde,12,2021,-4.771867272727273,55.94580536363636,2,3,0,0,2,30,1,6,6,0
S12000018,Inverclyde,12,2022,-4.771867272727273,55.94580536363636,0,0,0,0,0,30,1,6,6,0
S12000018,Inverclyde,12,2023,-4.771867272727273,55.94580536363636,0,0,0,0,0,30,1,6,6,0
S12000018,Inverclyde,12,2024,-4.771867272727273,55.94580536363636,2,2,0,0,0,30,1,6,6,0
S12000018,Inverclyde,12,2025,-4.771867272727273,55.94580536363636,1,1,0,0,0,30,1,6,6,0
S12000018,Inverclyde,13,2019,-4.7681146666666665,55.941901333333334,1,1,0,1,0,30,1,4,6,6
S12000018,Inverclyde,13,2020,-4.7681146666666665,55.941901333333334,1,1,0,0,1,30,1,4,6,6
