la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
W06000001,Isle of Anglesey,1,2019,-4.34341175,53.4087985,3,6,0,1,2,30,2,6,6,3
W06000001,Isle of Anglesey,1,2020,-4.34341175,53.4087985,1,1,0,0,1,30,2,6,6,3
W06000001,Isle of Anglesey,1,2021,-4.34341175,53.4087985,0,0,0,0,0,30,2,6,6,3
W06000001,Isle of Anglesey,1,2022,-4.34341175,53.4087985,0,0,0,0,0,30,2,6,6,3
W06000001,Isle of Anglesey,1,2023,-4.34341175,53.4087985,0,0,0,0,0,30,2,6,6,3
W06000001,Isle of Anglesey,1,2024,-4.34341175,53.4087985,0,0,0,0,0,30,2,6,6,3
W06000001,Isle of Anglesey,2,2019,-4.635743625,53.312575375,2,2,0,1,1,30,1,6,6,0
W06000001,Isle of Anglesey,2,2020,-4.635743625,53.312575375,1,3,0,1,0,30,1,6,6,0
W06000001,Isle of Anglesey,2,2021,-4.635743625,53.312575375,1,1,0,0,1,30,1,6,6,0
W06000001,Isle of Anglesey,2,2022,-4.635743625,53.312575375,1,1,0,0,1,30,1,6,6,0
W06000001,Isle of Anglesey,2,2023,-4.635743625,53.312575375,2,4,0,0,2,30,1,6,6,0
W06000001,Isle of Anglesey,2,2024,-4.635743625,53.312575375,1,1,0,0,0,30,1,6,6,0
W06000001,Isle of Anglesey,3,2019,-4.452957,53.26328625,2,4,0,0,2,50,2,3,6,6
W06000001,Isle of Anglesey,3,2020,-4.452957,53.26328625,0,0,0,0,0,50,2,3,6,6
W06000001,Isle of Anglesey,3,2021,-4.452957,53.26328625,0,0,0,0,0,50,2,3,6,6
W06000001,Isle of Anglesey,3,2022,-4.452957,53.26328625,1,1,0,0,1,50,2,3,6,6
W06000001,Isle of Anglesey,3,2023,-4.452957,53.26328625,0,0,0,0,0,50,2,3,6,6
W06000001,Isle of Anglesey,3,2024,-4.452957,53.26328625,1,1,0,0,0,50,2,3,6,6
W06000001,Isle of Anglesey,4,2019,-4.6330425,53.3066389,3,3,0,3,0,30,1,6,6,0
W06000001,Isle of Anglesey,4,2020,-4.6330425,53.3066389,0,0,0,0,0,30,1,6,6,0
W06000001,Isle of Anglesey,4,2021,-4.6330425,53.3066389,2,3,0,1,1,30,1,6,6,0
W06000001,Isle of Anglesey,4,2022,-4.6330425,53.3066389,1,1,0,1,0,30,1,6,6,0
W06000001,Isle of Anglesey,4,2023,-4.6330425,53.3066389,1,1,0,1,0,30,1,6,6,0
W06000001,Isle of Anglesey,4,2024,-4.6330425,53.3066389,2,2,0,0,0,30,1,6,6,0
W06000001,Isle of Anglesey,4,2025,-4.6330425,53.3066389,1,1,0,0,0,30,1,6,6,0
W06000001,Isle of Anglesey,5,2019,-4.592817,53.2934925,1,3,1,0,0,70,2,3,3,0
W06000001,Isle of Anglesey,5,2020,-4.592817,53.2934925,0,0,0,0,0,70,2,3,3,0
W06000001,Isle of Anglesey,5,2021,-4.592817,53.2934925,0,0,0,0,0,70,2,3,3,0
