la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E09000019,Islington,1,2019,-0.0855125652173913,51.55020904347826,8,8,0,0,8,20,1,3,6,3
E09000019,Islington,1,2020,-0.0855125652173913,51.55020904347826,7,7,0,1,6,20,1,3,6,3
E09000019,Islington,1,2021,-0.0855125652173913,51.55020904347826,10,12,0,2,8,20,1,3,6,3
E09000019,Islington,1,2022,-0.0855125652173913,51.55020904347826,11,11,0,1,10,20,1,3,6,3
E09000019,Islington,1,2023,-0.0855125652173913,51.55020904347826,10,11,0,2,8,20,1,3,6,3
E09000019,Islington,1,2024,-0.0855125652173913,51.55020904347826,0,0,0,0,0,20,1,3,6,3
E09000019,Islington,2,2019,-0.13445182291666666,51.564839854166664,22,26,1,3,18,20,1,3,6,3
E09000019,Islington,2,2020,-0.13445182291666666,51.564839854166664,24,26,0,5,19,20,1,3,6,3
E09000019,Islington,2,2021,-0.13445182291666666,51.564839854166664,14,15,0,1,13,20,1,3,6,3
E09000019,Islington,2,2022,-0.13445182291666666,51.564839854166664,23,30,0,7,16,20,1,3,6,3
E09000019,Islington,2,2023,-0.13445182291666666,51.564839854166664,13,13,0,0,13,20,1,3,6,3
E09000019,Islington,2,2024,-0.13445182291666666,51.564839854166664,0,0,0,0,0,20,1,3,6,3
E09000019,Islington,3,2019,-0.12937547222222223,51.56409063888889,7,7,0,1,6,20,1,3,6,3
E09000019,Islington,3,2020,-0.12937547222222223,51.56409063888889,6,6,0,2,4,20,1,3,6,3
E09000019,Islington,3,2021,-0.12937547222222223,51.56409063888889,11,11,0,4,7,20,1,3,6,3
E09000019,Islington,3,2022,-0.12937547222222223,51.56409063888889,9,11,0,1,8,20,1,3,6,3
E09000019,Islington,3,2023,-0.12937547222222223,51.56409063888889,3,3,0,0,3,20,1,3,6,3
E09000019,Islington,3,2024,-0.12937547222222223,51.56409063888889,0,0,0,0,0,20,1,3,6,3
E09000019,Islington,4,2019,-0.12058206666666668,51.5729302,4,4,0,1,3,20,1,3,6,3
E09000019,Islington,4,2020,-0.12058206666666668,51.5729302,2,2,0,0,2,20,1,3,6,3
E09000019,Islington,4,2021,-0.12058206666666668,51.5729302,2,2,0,1,1,20,1,3,6,3
E09000019,Islington,4,2022,-0.12058206666666668,51.5729302,3,4,0,0,3,20,1,3,6,3
E09000019,Islington,4,2023,-0.12058206666666668,51.5729302,4,6,0,0,4,20,1,3,6,3
E09000019,Islington,4,2024,-0.12058206666666668,51.5729302,0,0,0,0,0,20,1,3,6,3
E09000019,Islington,5,2019,-0.11124896153846152,51.56756073076923,4,4,0,2,2,20,1,3,6,6
E09000019,Islington,5,2020,-0.11124896153846152,51.56756073076923,7,10,0,2,5,20,1,3,6,6
E09000019,Islington,5,2021,-0.11124896153846152,51.56756073076923,3,4,0,1,2,20,1,3,6,6
E09000019,Islington,5,2022,-0.11124896153846152,51.56756073076923,4,4,0,0,4,20,1,3,6,6
E09000019,Islington,5,2023,-0.11124896153846152,51.56756073076923,8,8,0,0,8,20,1,3,6,6
E09000019,Islington,5,2024,-0.11124896153846152,51.56756073076923,0,0,0,0,0,20,1,3,6,6
E09000019,Islington,6,2019,-0.13695103703703704,51.55623333333333,9,9,0,3,6,20,1,3,6,7
E09000019,Islington,6,2020,-0.13695103703703704,51.55623333333333,2,2,0,0,2,20,1,3,6,7
E09000019,Islington,6,2021,-0.13695103703703704,51.55623333333333,2,2,0,0,2,20,1,3,6,7
E09000019,Islington,6,2022,-0.13695103703703704,51.55623333333333,8,11,0,0,8,20,1,3,6,7
E09000019,Islington,6,2023,-0.13695103703703704,51.55623333333333,6,6,0,4,2,20,1,3,6,7
E09000019,Islington,6,2024,-0.13695103703703704,51.55623333333333,0,0,0,0,0,20,1,3,6,7
E09000019,Islington,7,2019,-0.1252327755102041,51.55220065306123,10,11,0,3,7,30,1,3,6,6
E09000019,Islington,7,2020,-0.1252327755102041,51.55220065306123,12,12,0,0,12,30,1,3,6,6
E09000019,Islington,7,2021,-0.1252327755102041,51.55220065306123,9,9,0,1,8,30,1,3,6,6
E09000019,Islington,7,2022,-0.1252327755102041,51.55220065306123,11,11,0,3,8,30,1,3,6,6
E09000019,Islington,7,2023,-0.1252327755102041,51.55220065306123,7,9,0,1,6,30,1,3,6,6
E09000019,Islington,7,2024,-0.1252327755102041,51.55220065306123,0,0,0,0,0,30,1,3,6,6
E09000019,Islington,8,2019,-0.09445586206896552,51.54049884482759,14,14,0,2,12,20,1,3,6,6
E09000019,Islington,8,2020,-0.09445586206896552,51.54049884482759,10,11,0,0,10,20,1,3,6,6
E09000019,Islington,8,2021,-0.09445586206896552,51.54049884482759,11,12,0,1,10,20,1,3,6,6
E09000019,Islington,8,2022,-0.09445586206896552,51.54049884482759,10,10,0,2,8,20,1,3,6,6
E09000019,Islington,8,2023,-0.09445586206896552,51.54049884482759,13,14,0,2,11,20,1,3,6,6
E09000019,Islington,8,2024,-0.09445586206896552,51.54049884482759,0,0,0,0,0,20,1,3,6,6
E09000019,Islington,9,2019,-0.1274470909090909,51.57319336363636,2,2,0,0,2,20,1,3,6,3
E09000019,Islington,9,2020,-0.1274470909090909,51.57319336363636,4,4,0,1,3,20,1,3,6,3
