la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E06000010,Kingston upon Hull,1,2019,-0.38664495,53.73272795,4,6,0,1,3,30,1,3,3,0
E06000010,Kingston upon Hull,1,2020,-0.38664495,53.73272795,3,3,0,1,2,30,1,3,3,0
E06000010,Kingston upon Hull,1,2021,-0.38664495,53.73272795,8,9,0,0,8,30,1,3,3,0
E06000010,Kingston upon Hull,1,2022,-0.38664495,53.73272795,3,3,0,2,1,30,1,3,3,0
E06000010,Kingston upon Hull,1,2023,-0.38664495,53.73272795,2,2,0,0,2,30,1,3,3,0
E06000010,Kingston upon Hull,1,2024,-0.38664495,53.73272795,0,0,0,0,0,30,1,3,3,0
E06000010,Kingston upon Hull,2,2019,-0.3718117307692308,53.751210192307695,6,7,0,2,4,30,1,6,6,0
E06000010,Kingston upon Hull,2,2020,-0.3718117307692308,53.751210192307695,5,5,0,2,3,30,1,6,6,0
E06000010,Kingston upon Hull,2,2021,-0.3718117307692308,53.751210192307695,2,2,0,0,2,30,1,6,6,0
E06000010,Kingston upon Hull,2,2022,-0.3718117307692308,53.751210192307695,5,7,0,1,4,30,1,6,6,0
E06000010,Kingston upon Hull,2,2023,-0.3718117307692308,53.751210192307695,8,8,1,1,6,30,1,6,6,0
E06000010,Kingston upon Hull,2,2024,-0.3718117307692308,53.751210192307695,0,0,0,0,0,30,1,6,6,0
E06000010,Kingston upon Hull,3,2019,-0.2738426956521739,53.761317434782605,7,7,0,2,5,30,1,6,6,0
E06000010,Kingston upon Hull,3,2020,-0.2738426956521739,53.761317434782605,4,5,0,1,3,30,1,6,6,0
E06000010,Kingston upon Hull,3,2021,-0.2738426956521739,53.761317434782605,4,4,0,0,4,30,1,6,6,0
E06000010,Kingston upon Hull,3,2022,-0.2738426956521739,53.761317434782605,3,3,0,0,3,30,1,6,6,0
E06000010,Kingston upon Hull,3,2023,-0.2738426956521739,53.761317434782605,5,5,0,1,4,30,1,6,6,0
E06000010,Kingston upon Hull,3,2024,-0.2738426956521739,53.761317434782605,0,0,0,0,0,30,1,6,6,0
E06000010,Kingston upon Hull,4,2019,-0.3873855,53.783248666666665,3,3,0,1,2,30,1,6,6,3
E06000010,Kingston upon Hull,4,2020,-0.3873855,53.783248666666665,2,2,0,0,2,30,1,6,6,3
E06000010,Kingston upon Hull,4,2021,-0.3873855,53.783248666666665,2,3,0,0,2,30,1,6,6,3
E06000010,Kingston upon Hull,4,2022,-0.3873855,53.783248666666665,1,1,0,0,1,30,1,6,6,3
E06000010,Kingston upon Hull,4,2023,-0.3873855,53.783248666666665,4,5,1,0,3,30,1,6,6,3
E06000010,Kingston upon Hull,4,2024,-0.3873855,53.783248666666665,0,0,0,0,0,30,1,6,6,3
E06000010,Kingston upon Hull,5,2019,-0.34794016,53.7561682,10,10,1,3,6,30,1,3,6,3
E06000010,Kingston upon Hull,5,2020,-0.34794016,53.7561682,3,6,0,0,3,30,1,3,6,3
E06000010,Kingston upon Hull,5,2021,-0.34794016,53.7561682,4,7,0,1,3,30,1,3,6,3
E06000010,Kingston upon Hull,5,2022,-0.34794016,53.7561682,4,5,0,2,2,30,1,3,6,3
E06000010,Kingston upon Hull,5,2023,-0.34794016,53.7561682,4,5,0,0,4,30,1,3,6,3
E06000010,Kingston upon Hull,5,2024,-0.34794016,53.7561682,0,0,0,0,0,30,1,3,6,3
E06000010,Kingston upon Hull,6,2019,-0.4144675,53.72096975,6,10,0,0,6,70,2,3,3,0
E06000010,Kingston upon Hull,6,2020,-0.4144675,53.72096975,0,0,0,0,0,70,2,3,3,0
E06000010,Kingston upon Hull,6,2021,-0.4144675,53.72096975,0,0,0,0,0,70,2,3,3,0
E06000010,Kingston upon Hull,6,2022,-0.4144675,53.72096975,0,0,0,0,0,70,2,3,3,0
E06000010,Kingston upon Hull,6,2023,-0.4144675,53.72096975,2,6,0,0,2,70,2,3,3,0
E06000010,Kingston upon Hull,6,2024,-0.4144675,53.72096975,0,0,0,0,0,70,2,3,3,0
E06000010,Kingston upon Hull,7,2019,-0.34531433333333333,53.73986676190477,7,9,0,0,7,40,1,3,3,0
E06000010,Kingston upon Hull,7,2020,-0.34531433333333333,53.73986676190477,8,12,0,1,7,40,1,3,3,0
E06000010,Kingston upon Hull,7,2021,-0.34531433333333333,53.73986676190477,4,5,1,0,3,40,1,3,3,0
E06000010,Kingston upon Hull,7,2022,-0.34531433333333333,53.73986676190477,1,1,0,0,1,40,1,3,3,0
E06000010,Kingston upon Hull,7,2023,-0.34531433333333333,53.73986676190477,1,1,0,0,1,40,1,3,3,0
E06000010,Kingston upon Hull,7,2024,-0.34531433333333333,53.73986676190477,0,0,0,0,0,40,1,3,3,0
E06000010,Kingston upon Hull,8,2019,-0.39539524324324327,53.75076678378378,7,7,0,1,6,30,1,6,6,1
E06000010,Kingston upon Hull,8,2020,-0.39539524324324327,53.75076678378378,7,8,0,0,7,30,1,6,6,1
E06000010,Kingston upon Hull,8,2021,-0.39539524324324327,53.75076678378378,8,9,0,0,8,30,1,6,6,1
E06000010,Kingston upon Hull,8,2022,-0.39539524324324327,53.75076678378378,8,8,0,0,8,30,1,6,6,1
E06000010,Kingston upon Hull,8,2023,-0.39539524324324327,53.75076678378378,7,7,0,0,7,30,1,6,6,1
E06000010,Kingston upon Hull,8,2024,-0.39539524324324327,53.75076678378378,0,0,0,0,0,30,1,6,6,1
E06000010,Kingston upon Hull,9,2019,-0.3074946111111111,53.773911,3,4,0,0,3,30,1,6,6,0
E06000010,Kingston upon Hull,9,2020,-0.3074946111111111,53.773911,3,5,0,2,1,30,1,6,6,0
E06000010,Kingston upon Hull,9,2021,-0.3074946111111111,53.773911,8,8,0,0,8,30,1,6,6,0
E06000010,Kingston upon Hull,9,2022,-0.3074946111111111,53.773911,1,1,0,0,1,30,1,6,6,0
E06000010,Kingston upon Hull,9,2023,-0.3074946111111111,53.773911,3,4,0,1,2,30,1,6,6,0
E06000010,Kingston upon Hull,9,2024,-0.3074946111111111,53.773911,0,0,0,0,0,30,1,6,6,0
E06000010,Kingston upon Hull,10,2019,-0.38489097777777775,53.74319171111111,8,9,0,2,6,30,1,3,6,3
E06000010,Kingston upon Hull,10,2020,-0.38489097777777775,53.74319171111111,5,5,0,0,5,30,1,3,6,3
E06000010,Kingston upon Hull,10,2021,-0.38489097777777775,53.74319171111111,11,12,0,2,9,30,1,3,6,3
