la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E09000021,Kingston upon Thames,1,2019,-0.3003887647058823,51.411463546218485,28,31,0,4,24,20,1,3,2,0
E09000021,Kingston upon Thames,1,2020,-0.3003887647058823,51.411463546218485,17,19,0,3,14,20,1,3,2,0
E09000021,Kingston upon Thames,1,2021,-0.3003887647058823,51.411463546218485,16,17,0,2,14,20,1,3,2,0
E09000021,Kingston upon Thames,1,2022,-0.3003887647058823,51.411463546218485,26,27,0,5,21,20,1,3,2,0
E09000021,Kingston upon Thames,1,2023,-0.3003887647058823,51.411463546218485,11,13,0,1,10,20,1,3,2,0
E09000021,Kingston upon Thames,1,2024,-0.3003887647058823,51.411463546218485,12,14,0,0,0,20,1,3,2,0
E09000021,Kingston upon Thames,1,2025,-0.3003887647058823,51.411463546218485,9,9,0,0,0,20,1,3,2,0
E09000021,Kingston upon Thames,2,2019,-0.2524628333333333,51.420768,1,1,0,0,1,50,1,3,3,0
E09000021,Kingston upon Thames,2,2020,-0.2524628333333333,51.420768,1,1,0,0,1,50,1,3,3,0
E09000021,Kingston upon Thames,2,2021,-0.2524628333333333,51.420768,2,2,1,0,1,50,1,3,3,0
E09000021,Kingston upon Thames,2,2022,-0.2524628333333333,51.420768,0,0,0,0,0,50,1,3,3,0
E09000021,Kingston upon Thames,2,2023,-0.2524628333333333,51.420768,0,0,0,0,0,50,1,3,3,0
E09000021,Kingston upon Thames,2,2024,-0.2524628333333333,51.420768,0,0,0,0,0,50,1,3,3,0
E09000021,Kingston upon Thames,2,2025,-0.2524628333333333,51.420768,2,2,0,0,0,50,1,3,3,0
E09000021,Kingston upon Thames,3,2019,-0.3038677,51.4083332,12,12,0,2,10,20,1,5,6,3
E09000021,Kingston upon Thames,3,2020,-0.3038677,51.4083332,8,10,0,3,5,20,1,5,6,3
E09000021,Kingston upon Thames,3,2021,-0.3038677,51.4083332,6,8,0,1,5,20,1,5,6,3
E09000021,Kingston upon Thames,3,2022,-0.3038677,51.4083332,6,7,0,0,6,20,1,5,6,3
E09000021,Kingston upon Thames,3,2023,-0.3038677,51.4083332,5,5,0,1,4,20,1,5,6,3
E09000021,Kingston upon Thames,3,2024,-0.3038677,51.4083332,8,9,0,0,0,20,1,5,6,3
