la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E08000034,Kirklees,1,2019,-1.880638,53.606929,1,1,1,0,0,40,2,4,6,3
E08000034,Kirklees,1,2020,-1.880638,53.606929,1,1,0,1,0,40,2,4,6,3
E08000034,Kirklees,1,2021,-1.880638,53.606929,1,1,0,0,1,40,2,4,6,3
E08000034,Kirklees,1,2022,-1.880638,53.606929,0,0,0,0,0,40,2,4,6,3
E08000034,Kirklees,1,2023,-1.880638,53.606929,0,0,0,0,0,40,2,4,6,3
E08000034,Kirklees,1,2024,-1.880638,53.606929,0,0,0,0,0,40,2,4,6,3
E08000034,Kirklees,2,2019,-1.7066510588235295,53.575244352941176,1,2,0,0,1,30,2,3,6,0
E08000034,Kirklees,2,2020,-1.7066510588235295,53.575244352941176,1,2,0,0,1,30,2,3,6,0
E08000034,Kirklees,2,2021,-1.7066510588235295,53.575244352941176,4,5,0,1,3,30,2,3,6,0
E08000034,Kirklees,2,2022,-1.7066510588235295,53.575244352941176,0,0,0,0,0,30,2,3,6,0
E08000034,Kirklees,2,2023,-1.7066510588235295,53.575244352941176,6,6,0,1,5,30,2,3,6,0
E08000034,Kirklees,2,2024,-1.7066510588235295,53.575244352941176,2,2,0,0,0,30,2,3,6,0
E08000034,Kirklees,2,2025,-1.7066510588235295,53.575244352941176,3,6,0,0,0,30,2,3,6,0
E08000034,Kirklees,3,2019,-1.7096376,53.7460002,3,3,0,0,3,70,2,1,3,0
E08000034,Kirklees,3,2020,-1.7096376,53.7460002,1,1,0,0,1,70,2,1,3,0
E08000034,Kirklees,3,2021,-1.7096376,53.7460002,1,3,0,1,0,70,2,1,3,0
E08000034,Kirklees,3,2022,-1.7096376,53.7460002,3,4,0,0,3,70,2,1,3,0
E08000034,Kirklees,3,2023,-1.7096376,53.7460002,0,0,0,0,0,70,2,1,3,0
E08000034,Kirklees,3,2024,-1.7096376,53.7460002,1,1,0,0,0,70,2,1,3,0
E08000034,Kirklees,3,2025,-1.7096376,53.7460002,1,1,0,0,0,70,2,1,3,0
E08000034,Kirklees,4,2019,-1.78817153125,53.640721375,9,11,0,1,8,30,1,3,6,0
E08000034,Kirklees,4,2020,-1.78817153125,53.640721375,3,4,0,1,2,30,1,3,6,0
E08000034,Kirklees,4,2021,-1.78817153125,53.640721375,6,8,0,0,6,30,1,3,6,0
E08000034,Kirklees,4,2022,-1.78817153125,53.640721375,2,2,0,0,2,30,1,3,6,0
E08000034,Kirklees,4,2023,-1.78817153125,53.640721375,5,5,0,1,4,30,1,3,6,0
