la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E09000022,Lambeth,1,2019,-0.1240379349593496,51.485326422764224,24,24,0,5,19,30,1,3,2,7
E09000022,Lambeth,1,2020,-0.1240379349593496,51.485326422764224,26,33,0,1,25,30,1,3,2,7
E09000022,Lambeth,1,2021,-0.1240379349593496,51.485326422764224,27,32,0,5,22,30,1,3,2,7
E09000022,Lambeth,1,2022,-0.1240379349593496,51.485326422764224,32,33,0,5,27,30,1,3,2,7
E09000022,Lambeth,1,2023,-0.1240379349593496,51.485326422764224,23,27,0,9,14,30,1,3,2,7
E09000022,Lambeth,1,2024,-0.1240379349593496,51.485326422764224,0,0,0,0,0,30,1,3,2,7
E09000022,Lambeth,2,2019,-0.12974469696969698,51.43076962121212,21,21,0,5,16,30,1,3,6,3
E09000022,Lambeth,2,2020,-0.12974469696969698,51.43076962121212,29,30,0,3,26,30,1,3,6,3
E09000022,Lambeth,2,2021,-0.12974469696969698,51.43076962121212,19,21,0,0,19,30,1,3,6,3
E09000022,Lambeth,2,2022,-0.12974469696969698,51.43076962121212,24,31,0,4,20,30,1,3,6,3
E09000022,Lambeth,2,2023,-0.12974469696969698,51.43076962121212,25,28,0,3,22,30,1,3,6,3
E09000022,Lambeth,2,2024,-0.12974469696969698,51.43076962121212,0,0,0,0,0,30,1,3,6,3
E09000022,Lambeth,3,2019,-0.12286294444444444,51.44964812962963,18,21,1,0,17,30,1,3,6,3
E09000022,Lambeth,3,2020,-0.12286294444444444,51.44964812962963,12,14,0,0,12,30,1,3,6,3
E09000022,Lambeth,3,2021,-0.12286294444444444,51.44964812962963,16,18,0,2,14,30,1,3,6,3
E09000022,Lambeth,3,2022,-0.12286294444444444,51.44964812962963,13,14,0,1,12,30,1,3,6,3
E09000022,Lambeth,3,2023,-0.12286294444444444,51.44964812962963,7,9,0,1,6,30,1,3,6,3
E09000022,Lambeth,3,2024,-0.12286294444444444,51.44964812962963,0,0,0,0,0,30,1,3,6,3
E09000022,Lambeth,4,2019,-0.11393865,51.50424901,24,26,0,4,20,20,1,3,6,1
E09000022,Lambeth,4,2020,-0.11393865,51.50424901,12,12,0,5,7,20,1,3,6,1
E09000022,Lambeth,4,2021,-0.11393865,51.50424901,15,15,0,2,13,20,1,3,6,1
E09000022,Lambeth,4,2022,-0.11393865,51.50424901,26,27,0,4,22,20,1,3,6,1
E09000022,Lambeth,4,2023,-0.11393865,51.50424901,23,24,0,4,19,20,1,3,6,1
E09000022,Lambeth,4,2024,-0.11393865,51.50424901,0,0,0,0,0,20,1,3,6,1
E09000022,Lambeth,5,2019,-0.1334864132231405,51.46354495867769,18,21,0,1,17,20,1,3,6,3
E09000022,Lambeth,5,2020,-0.1334864132231405,51.46354495867769,30,32,0,5,25,20,1,3,6,3
E09000022,Lambeth,5,2021,-0.1334864132231405,51.46354495867769,22,25,0,5,17,20,1,3,6,3
E09000022,Lambeth,5,2022,-0.1334864132231405,51.46354495867769,24,26,0,6,18,20,1,3,6,3
E09000022,Lambeth,5,2023,-0.1334864132231405,51.46354495867769,24,24,1,3,20,20,1,3,6,3
E09000022,Lambeth,5,2024,-0.1334864132231405,51.46354495867769,0,0,0,0,0,20,1,3,6,3
E09000022,Lambeth,6,2019,-0.12883426315789473,51.451084631578944,5,7,0,0,5,20,1,5,6,6
E09000022,Lambeth,6,2020,-0.12883426315789473,51.451084631578944,5,5,0,0,5,20,1,5,6,6
E09000022,Lambeth,6,2021,-0.12883426315789473,51.451084631578944,3,4,0,0,3,20,1,5,6,6
E09000022,Lambeth,6,2022,-0.12883426315789473,51.451084631578944,6,6,0,0,6,20,1,5,6,6
