la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E08000035,Leeds,1,2019,-1.569136304347826,53.77918256521739,7,8,0,0,7,30,1,3,6,0
E08000035,Leeds,1,2020,-1.569136304347826,53.77918256521739,5,5,0,0,5,30,1,3,6,0
E08000035,Leeds,1,2021,-1.569136304347826,53.77918256521739,5,5,0,0,5,30,1,3,6,0
E08000035,Leeds,1,2022,-1.569136304347826,53.77918256521739,7,10,0,0,7,30,1,3,6,0
E08000035,Leeds,1,2023,-1.569136304347826,53.77918256521739,5,6,0,0,5,30,1,3,6,0
E08000035,Leeds,1,2024,-1.569136304347826,53.77918256521739,9,11,0,0,0,30,1,3,6,0
E08000035,Leeds,1,2025,-1.569136304347826,53.77918256521739,3,3,0,0,0,30,1,3,6,0
E08000035,Leeds,2,2019,-1.7249878,53.8777795,2,3,0,1,1,30,1,3,6,0
E08000035,Leeds,2,2020,-1.7249878,53.8777795,0,0,0,0,0,30,1,3,6,0
E08000035,Leeds,2,2021,-1.7249878,53.8777795,1,1,0,1,0,30,1,3,6,0
E08000035,Leeds,2,2022,-1.7249878,53.8777795,2,2,0,2,0,30,1,3,6,0
E08000035,Leeds,2,2023,-1.7249878,53.8777795,4,4,0,1,3,30,1,3,6,0
E08000035,Leeds,2,2024,-1.7249878,53.8777795,4,6,0,0,0,30,1,3,6,0
E08000035,Leeds,3,2019,-1.648571,53.804801000000005,2,3,0,0,2,60,1,6,6,0
E08000035,Leeds,3,2020,-1.648571,53.804801000000005,3,9,0,1,2,60,1,6,6,0
E08000035,Leeds,3,2021,-1.648571,53.804801000000005,0,0,0,0,0,60,1,6,6,0
E08000035,Leeds,3,2022,-1.648571,53.804801000000005,0,0,0,0,0,60,1,6,6,0
E08000035,Leeds,3,2023,-1.648571,53.804801000000005,0,0,0,0,0,60,1,6,6,0
E08000035,Leeds,3,2024,-1.648571,53.804801000000005,2,2,0,0,0,60,1,6,6,0
E08000035,Leeds,4,2019,-1.591168375,53.78041375,1,1,0,0,1,30,1,3,3,0
E08000035,Leeds,4,2020,-1.591168375,53.78041375,0,0,0,0,0,30,1,3,3,0
E08000035,Leeds,4,2021,-1.591168375,53.78041375,3,4,1,0,2,30,1,3,3,0
E08000035,Leeds,4,2022,-1.591168375,53.78041375,5,5,1,0,4,30,1,3,3,0
E08000035,Leeds,4,2023,-1.591168375,53.78041375,1,1,0,0,1,30,1,3,3,0
E08000035,Leeds,4,2024,-1.591168375,53.78041375,4,4,0,0,0,30,1,3,3,0
E08000035,Leeds,4,2025,-1.591168375,53.78041375,3,3,0,0,0,30,1,3,3,0
E08000035,Leeds,5,2019,-1.5940027368421053,53.838776894736846,5,6,0,0,5,40,1,3,3,0
E08000035,Leeds,5,2020,-1.5940027368421053,53.838776894736846,6,8,0,0,6,40,1,3,3,0
E08000035,Leeds,5,2021,-1.5940027368421053,53.838776894736846,6,7,0,2,4,40,1,3,3,0
