la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E09000023,Lewisham,1,2019,-0.0022396,51.4217409,4,4,0,1,3,30,1,3,6,3
E09000023,Lewisham,1,2020,-0.0022396,51.4217409,4,4,0,0,4,30,1,3,6,3
E09000023,Lewisham,1,2021,-0.0022396,51.4217409,7,9,0,1,6,30,1,3,6,3
E09000023,Lewisham,1,2022,-0.0022396,51.4217409,3,3,0,0,3,30,1,3,6,3
E09000023,Lewisham,1,2023,-0.0022396,51.4217409,6,6,0,1,5,30,1,3,6,3
E09000023,Lewisham,1,2024,-0.0022396,51.4217409,4,5,0,0,0,30,1,3,6,3
E09000023,Lewisham,1,2025,-0.0022396,51.4217409,2,2,0,0,0,30,1,3,6,3
E09000023,Lewisham,2,2019,-0.00306487804878048,51.458917902439026,11,13,0,1,10,30,1,3,6,3
E09000023,Lewisham,2,2020,-0.00306487804878048,51.458917902439026,4,4,0,2,2,30,1,3,6,3
E09000023,Lewisham,2,2021,-0.00306487804878048,51.458917902439026,5,5,0,0,5,30,1,3,6,3
E09000023,Lewisham,2,2022,-0.00306487804878048,51.458917902439026,5,6,0,2,3,30,1,3,6,3
E09000023,Lewisham,2,2023,-0.00306487804878048,51.458917902439026,9,9,0,2,7,30,1,3,6,3
E09000023,Lewisham,2,2024,-0.00306487804878048,51.458917902439026,6,6,0,0,0,30,1,3,6,3
E09000023,Lewisham,2,2025,-0.00306487804878048,51.458917902439026,1,1,0,0,0,30,1,3,6,3
E09000023,Lewisham,3,2019,-0.02624210606060606,51.481277454545456,6,6,0,0,6,20,1,3,6,3
E09000023,Lewisham,3,2020,-0.02624210606060606,51.481277454545456,5,5,0,1,4,20,1,3,6,3
E09000023,Lewisham,3,2021,-0.02624210606060606,51.481277454545456,10,11,0,4,6,20,1,3,6,3
E09000023,Lewisham,3,2022,-0.02624210606060606,51.481277454545456,12,16,0,5,7,20,1,3,6,3
E09000023,Lewisham,3,2023,-0.02624210606060606,51.481277454545456,13,17,0,0,13,20,1,3,6,3
E09000023,Lewisham,3,2024,-0.02624210606060606,51.481277454545456,11,11,0,0,0,20,1,3,6,3
E09000023,Lewisham,3,2025,-0.02624210606060606,51.481277454545456,9,11,0,0,0,20,1,3,6,3
E09000023,Lewisham,4,2019,-0.0509805652173913,51.469486565217395,4,4,0,1,3,20,1,3,6,3
E09000023,Lewisham,4,2020,-0.0509805652173913,51.469486565217395,2,3,1,0,1,20,1,3,6,3
E09000023,Lewisham,4,2021,-0.0509805652173913,51.469486565217395,6,7,0,0,6,20,1,3,6,3
E09000023,Lewisham,4,2022,-0.0509805652173913,51.469486565217395,5,5,0,1,4,20,1,3,6,3
E09000023,Lewisham,4,2023,-0.0509805652173913,51.469486565217395,2,2,0,0,2,20,1,3,6,3
E09000023,Lewisham,4,2024,-0.0509805652173913,51.469486565217395,2,2,0,0,0,20,1,3,6,3
E09000023,Lewisham,4,2025,-0.0509805652173913,51.469486565217395,2,3,0,0,0,20,1,3,6,3
E09000023,Lewisham,5,2019,0.00539616666666666,51.45192083333333,1,1,0,0,1,20,1,6,6,99
E09000023,Lewisham,5,2020,0.00539616666666666,51.45192083333333,2,4,0,0,2,20,1,6,6,99
E09000023,Lewisham,5,2021,0.00539616666666666,51.45192083333333,2,2,0,1,1,20,1,6,6,99
E09000023,Lewisham,5,2022,0.00539616666666666,51.45192083333333,0,0,0,0,0,20,1,6,6,99
E09000023,Lewisham,5,2023,0.00539616666666666,51.45192083333333,0,0,0,0,0,20,1,6,6,99
E09000023,Lewisham,5,2024,0.00539616666666666,51.45192083333333,0,0,0,0,0,20,1,6,6,99
E09000023,Lewisham,5,2025,0.00539616666666666,51.45192083333333,1,3,0,0,0,20,1,6,6,99
E09000023,Lewisham,6,2019,-0.017668725,51.4326665875,15,15,0,0,15,30,1,3,6,0
E09000023,Lewisham,6,2020,-0.017668725,51.4326665875,7,7,0,1,6,30,1,3,6,0
E09000023,Lewisham,6,2021,-0.017668725,51.4326665875,11,13,0,1,10,30,1,3,6,0
E09000023,Lewisham,6,2022,-0.017668725,51.4326665875,13,17,0,3,10,30,1,3,6,0
E09000023,Lewisham,6,2023,-0.017668725,51.4326665875,13,13,0,4,9,30,1,3,6,0
E09000023,Lewisham,6,2024,-0.017668725,51.4326665875,11,16,0,0,0,30,1,3,6,0
E09000023,Lewisham,6,2025,-0.017668725,51.4326665875,10,10,0,0,0,30,1,3,6,0
E09000023,Lewisham,7,2019,-0.03487462,51.47556796,20,22,1,3,16,20,1,3,2,3
E09000023,Lewisham,7,2020,-0.03487462,51.47556796,9,10,0,1,8,20,1,3,2,3
E09000023,Lewisham,7,2021,-0.03487462,51.47556796,10,10,0,2,8,20,1,3,2,3
E09000023,Lewisham,7,2022,-0.03487462,51.47556796,14,17,0,2,12,20,1,3,2,3
E09000023,Lewisham,7,2023,-0.03487462,51.47556796,20,25,0,4,16,20,1,3,2,3
E09000023,Lewisham,7,2024,-0.03487462,51.47556796,18,26,0,0,0,20,1,3,2,3
E09000023,Lewisham,7,2025,-0.03487462,51.47556796,9,10,0,0,0,20,1,3,2,3
E09000023,Lewisham,8,2019,0.0207,51.42826111111111,1,1,0,0,1,20,1,3,6,3
E09000023,Lewisham,8,2020,0.0207,51.42826111111111,1,1,0,0,1,20,1,3,6,3
E09000023,Lewisham,8,2021,0.0207,51.42826111111111,2,2,0,0,2,20,1,3,6,3
E09000023,Lewisham,8,2022,0.0207,51.42826111111111,3,3,0,0,3,20,1,3,6,3
E09000023,Lewisham,8,2023,0.0207,51.42826111111111,2,2,0,0,2,20,1,3,6,3
E09000023,Lewisham,8,2024,0.0207,51.42826111111111,0,0,0,0,0,20,1,3,6,3
E09000023,Lewisham,9,2019,-0.04271038095238095,51.48953514285714,13,15,0,0,13,20,1,3,6,3
E09000023,Lewisham,9,2020,-0.04271038095238095,51.48953514285714,4,4,0,0,4,20,1,3,6,3
E09000023,Lewisham,9,2021,-0.04271038095238095,51.48953514285714,14,15,0,1,13,20,1,3,6,3
E09000023,Lewisham,9,2022,-0.04271038095238095,51.48953514285714,12,13,0,4,8,20,1,3,6,3
E09000023,Lewisham,9,2023,-0.04271038095238095,51.48953514285714,8,9,0,2,6,20,1,3,6,3
E09000023,Lewisham,9,2024,-0.04271038095238095,51.48953514285714,7,10,0,0,0,20,1,3,6,3
E09000023,Lewisham,9,2025,-0.04271038095238095,51.48953514285714,5,5,0,0,0,20,1,3,6,3
E09000023,Lewisham,10,2019,-0.01315914285714285,51.42823925396825,20,25,0,4,16,30,1,3,6,0
E09000023,Lewisham,10,2020,-0.01315914285714285,51.42823925396825,8,9,0,1,7,30,1,3,6,0
E09000023,Lewisham,10,2021,-0.01315914285714285,51.42823925396825,7,8,0,0,7,30,1,3,6,0
E09000023,Lewisham,10,2022,-0.01315914285714285,51.42823925396825,8,9,0,1,7,30,1,3,6,0
E09000023,Lewisham,10,2023,-0.01315914285714285,51.42823925396825,3,3,0,1,2,30,1,3,6,0
