la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E08000012,Liverpool,1,2019,-2.9466556666666666,53.408177333333335,1,1,0,0,1,30,1,3,6,0
E08000012,Liverpool,1,2020,-2.9466556666666666,53.408177333333335,2,2,0,0,2,30,1,3,6,0
E08000012,Liverpool,1,2021,-2.9466556666666666,53.408177333333335,1,1,0,0,1,30,1,3,6,0
E08000012,Liverpool,1,2022,-2.9466556666666666,53.408177333333335,10,11,0,2,8,30,1,3,6,0
E08000012,Liverpool,1,2023,-2.9466556666666666,53.408177333333335,4,5,0,1,3,30,1,3,6,0
E08000012,Liverpool,1,2024,-2.9466556666666666,53.408177333333335,0,0,0,0,0,30,1,3,6,0
E08000012,Liverpool,2,2019,-2.9410068333333332,53.439833416666666,7,11,0,0,7,30,1,3,3,6
E08000012,Liverpool,2,2020,-2.9410068333333332,53.439833416666666,8,8,0,1,7,30,1,3,3,6
E08000012,Liverpool,2,2021,-2.9410068333333332,53.439833416666666,4,6,0,1,3,30,1,3,3,6
E08000012,Liverpool,2,2022,-2.9410068333333332,53.439833416666666,7,11,0,1,6,30,1,3,3,6
E08000012,Liverpool,2,2023,-2.9410068333333332,53.439833416666666,10,10,1,1,8,30,1,3,3,6
E08000012,Liverpool,2,2024,-2.9410068333333332,53.439833416666666,0,0,0,0,0,30,1,3,3,6
E08000012,Liverpool,3,2019,-2.9142784074074073,53.388646037037034,4,5,0,1,3,30,1,3,6,0
E08000012,Liverpool,3,2020,-2.9142784074074073,53.388646037037034,3,4,0,1,2,30,1,3,6,0
E08000012,Liverpool,3,2021,-2.9142784074074073,53.388646037037034,4,5,0,1,3,30,1,3,6,0
E08000012,Liverpool,3,2022,-2.9142784074074073,53.388646037037034,12,14,0,0,12,30,1,3,6,0
E08000012,Liverpool,3,2023,-2.9142784074074073,53.388646037037034,4,4,0,1,3,30,1,3,6,0
E08000012,Liverpool,3,2024,-2.9142784074074073,53.388646037037034,0,0,0,0,0,30,1,3,6,0
E08000012,Liverpool,4,2019,-2.897497076923077,53.354857461538465,4,4,0,1,3,30,1,6,6,6
E08000012,Liverpool,4,2020,-2.897497076923077,53.354857461538465,3,3,0,0,3,30,1,6,6,6
E08000012,Liverpool,4,2021,-2.897497076923077,53.354857461538465,1,1,0,0,1,30,1,6,6,6
E08000012,Liverpool,4,2022,-2.897497076923077,53.354857461538465,2,2,0,1,1,30,1,6,6,6
E08000012,Liverpool,4,2023,-2.897497076923077,53.354857461538465,3,3,0,1,2,30,1,6,6,6
E08000012,Liverpool,4,2024,-2.897497076923077,53.354857461538465,0,0,0,0,0,30,1,6,6,6
E08000012,Liverpool,5,2019,-2.872126818181818,53.427665363636365,4,4,0,0,4,30,1,6,6,0
E08000012,Liverpool,5,2020,-2.872126818181818,53.427665363636365,1,1,0,0,1,30,1,6,6,0
E08000012,Liverpool,5,2021,-2.872126818181818,53.427665363636365,0,0,0,0,0,30,1,6,6,0
E08000012,Liverpool,5,2022,-2.872126818181818,53.427665363636365,3,3,0,1,2,30,1,6,6,0
E08000012,Liverpool,5,2023,-2.872126818181818,53.427665363636365,3,3,0,1,2,30,1,6,6,0
E08000012,Liverpool,5,2024,-2.872126818181818,53.427665363636365,0,0,0,0,0,30,1,6,6,0
E08000012,Liverpool,6,2019,-2.8631339375,53.3937555625,2,2,0,0,2,30,1,4,3,3
E08000012,Liverpool,6,2020,-2.8631339375,53.3937555625,3,4,0,0,3,30,1,4,3,3
E08000012,Liverpool,6,2021,-2.8631339375,53.3937555625,2,8,0,0,2,30,1,4,3,3
E08000012,Liverpool,6,2022,-2.8631339375,53.3937555625,3,3,0,0,3,30,1,4,3,3
E08000012,Liverpool,6,2023,-2.8631339375,53.3937555625,6,9,0,3,3,30,1,4,3,3
E08000012,Liverpool,6,2024,-2.8631339375,53.3937555625,0,0,0,0,0,30,1,4,3,3
E08000012,Liverpool,7,2019,-2.915702111111111,53.42424583333333,3,4,0,0,3,40,1,3,3,3
E08000012,Liverpool,7,2020,-2.915702111111111,53.42424583333333,3,4,0,0,3,40,1,3,3,3
E08000012,Liverpool,7,2021,-2.915702111111111,53.42424583333333,7,10,0,3,4,40,1,3,3,3
E08000012,Liverpool,7,2022,-2.915702111111111,53.42424583333333,0,0,0,0,0,40,1,3,3,3
E08000012,Liverpool,7,2023,-2.915702111111111,53.42424583333333,5,7,0,2,3,40,1,3,3,3
E08000012,Liverpool,7,2024,-2.915702111111111,53.42424583333333,0,0,0,0,0,40,1,3,3,3
E08000012,Liverpool,8,2019,-2.904588125,53.3855955625,4,4,0,2,2,30,1,6,6,3
E08000012,Liverpool,8,2020,-2.904588125,53.3855955625,2,4,0,0,2,30,1,6,6,3
E08000012,Liverpool,8,2021,-2.904588125,53.3855955625,3,4,0,0,3,30,1,6,6,3
E08000012,Liverpool,8,2022,-2.904588125,53.3855955625,4,5,0,1,3,30,1,6,6,3
E08000012,Liverpool,8,2023,-2.904588125,53.3855955625,3,3,0,0,3,30,1,6,6,3
E08000012,Liverpool,8,2024,-2.904588125,53.3855955625,0,0,0,0,0,30,1,6,6,3
E08000012,Liverpool,9,2019,-2.8656981538461537,53.373866923076925,4,4,0,1,3,30,1,4,6,0
E08000012,Liverpool,9,2020,-2.8656981538461537,53.373866923076925,1,1,0,0,1,30,1,4,6,0
E08000012,Liverpool,9,2021,-2.8656981538461537,53.373866923076925,2,2,0,0,2,30,1,4,6,0
E08000012,Liverpool,9,2022,-2.8656981538461537,53.373866923076925,4,5,0,1,3,30,1,4,6,0
E08000012,Liverpool,9,2023,-2.8656981538461537,53.373866923076925,2,2,0,0,2,30,1,4,6,0
E08000012,Liverpool,9,2024,-2.8656981538461537,53.373866923076925,0,0,0,0,0,30,1,4,6,0
E08000012,Liverpool,10,2019,-2.932066578947369,53.46780789473684,6,6,0,1,5,30,1,3,3,3
E08000012,Liverpool,10,2020,-2.932066578947369,53.46780789473684,3,3,0,0,3,30,1,3,3,3
E08000012,Liverpool,10,2021,-2.932066578947369,53.46780789473684,1,1,0,0,1,30,1,3,3,3
E08000012,Liverpool,10,2022,-2.932066578947369,53.46780789473684,9,10,0,1,8,30,1,3,3,3
E08000012,Liverpool,10,2023,-2.932066578947369,53.46780789473684,0,0,0,0,0,30,1,3,3,3
E08000012,Liverpool,10,2024,-2.932066578947369,53.46780789473684,0,0,0,0,0,30,1,3,3,3
E08000012,Liverpool,11,2019,-2.8986221071428573,53.40437642857143,4,4,0,0,4,40,1,3,3,0
E08000012,Liverpool,11,2020,-2.8986221071428573,53.40437642857143,5,6,0,1,4,40,1,3,3,0
E08000012,Liverpool,11,2021,-2.8986221071428573,53.40437642857143,6,6,0,0,6,40,1,3,3,0
E08000012,Liverpool,11,2022,-2.8986221071428573,53.40437642857143,7,9,0,0,7,40,1,3,3,0
E08000012,Liverpool,11,2023,-2.8986221071428573,53.40437642857143,6,8,0,2,4,40,1,3,3,0
E08000012,Liverpool,11,2024,-2.8986221071428573,53.40437642857143,0,0,0,0,0,40,1,3,3,0
E08000012,Liverpool,12,2019,-2.956566619047619,53.464957142857145,7,13,0,2,5,30,1,3,6,0
E08000012,Liverpool,12,2020,-2.956566619047619,53.464957142857145,3,5,0,0,3,30,1,3,6,0
E08000012,Liverpool,12,2021,-2.956566619047619,53.464957142857145,4,5,0,1,3,30,1,3,6,0
E08000012,Liverpool,12,2022,-2.956566619047619,53.464957142857145,0,0,0,0,0,30,1,3,6,0
E08000012,Liverpool,12,2023,-2.956566619047619,53.464957142857145,7,8,0,2,5,30,1,3,6,0
E08000012,Liverpool,12,2024,-2.956566619047619,53.464957142857145,0,0,0,0,0,30,1,3,6,0
E08000012,Liverpool,13,2019,-2.8805371111111113,53.34920811111111,3,4,0,0,3,40,1,3,3,6
E08000012,Liverpool,13,2020,-2.8805371111111113,53.34920811111111,0,0,0,0,0,40,1,3,3,6
E08000012,Liverpool,13,2021,-2.8805371111111113,53.34920811111111,3,4,0,0,3,40,1,3,3,6
E08000012,Liverpool,13,2022,-2.8805371111111113,53.34920811111111,0,0,0,0,0,40,1,3,3,6
E08000012,Liverpool,13,2023,-2.8805371111111113,53.34920811111111,3,4,0,0,3,40,1,3,3,6
E08000012,Liverpool,13,2024,-2.8805371111111113,53.34920811111111,0,0,0,0,0,40,1,3,3,6
E08000012,Liverpool,14,2019,-2.931012,53.379596125,3,3,0,0,3,30,1,3,6,1
E08000012,Liverpool,14,2020,-2.931012,53.379596125,3,3,0,1,2,30,1,3,6,1
E08000012,Liverpool,14,2021,-2.931012,53.379596125,0,0,0,0,0,30,1,3,6,1
E08000012,Liverpool,14,2022,-2.931012,53.379596125,2,3,0,0,2,30,1,3,6,1
E08000012,Liverpool,14,2023,-2.931012,53.379596125,0,0,0,0,0,30,1,3,6,1
E08000012,Liverpool,14,2024,-2.931012,53.379596125,0,0,0,0,0,30,1,3,6,1
E08000012,Liverpool,15,2019,-2.98757625,53.425861125,3,5,1,0,2,30,1,3,6,6
E08000012,Liverpool,15,2020,-2.98757625,53.425861125,0,0,0,0,0,30,1,3,6,6
E08000012,Liverpool,15,2021,-2.98757625,53.425861125,0,0,0,0,0,30,1,3,6,6
E08000012,Liverpool,15,2022,-2.98757625,53.425861125,3,3,0,0,3,30,1,3,6,6
E08000012,Liverpool,15,2023,-2.98757625,53.425861125,2,2,0,0,2,30,1,3,6,6
E08000012,Liverpool,15,2024,-2.98757625,53.425861125,0,0,0,0,0,30,1,3,6,6
E08000012,Liverpool,16,2019,-2.936581666666666,53.42651883333333,2,5,0,0,2,20,1,6,6,3
E08000012,Liverpool,16,2020,-2.936581666666666,53.42651883333333,2,4,0,1,1,20,1,6,6,3
E08000012,Liverpool,16,2021,-2.936581666666666,53.42651883333333,0,0,0,0,0,20,1,6,6,3
E08000012,Liverpool,16,2022,-2.936581666666666,53.42651883333333,2,2,0,0,2,20,1,6,6,3
E08000012,Liverpool,16,2023,-2.936581666666666,53.42651883333333,0,0,0,0,0,20,1,6,6,3
E08000012,Liverpool,16,2024,-2.936581666666666,53.42651883333333,0,0,0,0,0,20,1,6,6,3
E08000012,Liverpool,17,2019,-2.936639823529412,53.435179294117646,2,2,0,1,1,30,1,6,6,6
E08000012,Liverpool,17,2020,-2.936639823529412,53.435179294117646,5,6,0,2,3,30,1,6,6,6
E08000012,Liverpool,17,2021,-2.936639823529412,53.435179294117646,3,3,0,0,3,30,1,6,6,6
E08000012,Liverpool,17,2022,-2.936639823529412,53.435179294117646,4,4,0,2,2,30,1,6,6,6
E08000012,Liverpool,17,2023,-2.936639823529412,53.435179294117646,3,5,0,0,3,30,1,6,6,6
E08000012,Liverpool,17,2024,-2.936639823529412,53.435179294117646,0,0,0,0,0,30,1,6,6,6
E08000012,Liverpool,18,2019,-2.9329024705882354,53.43691976470589,3,6,0,0,3,40,1,3,3,6
E08000012,Liverpool,18,2020,-2.9329024705882354,53.43691976470589,4,5,0,0,4,40,1,3,3,6
E08000012,Liverpool,18,2021,-2.9329024705882354,53.43691976470589,2,2,0,0,2,40,1,3,3,6
E08000012,Liverpool,18,2022,-2.9329024705882354,53.43691976470589,6,7,0,1,5,40,1,3,3,6
E08000012,Liverpool,18,2023,-2.9329024705882354,53.43691976470589,2,2,0,1,1,40,1,3,3,6
E08000012,Liverpool,18,2024,-2.9329024705882354,53.43691976470589,0,0,0,0,0,40,1,3,3,6
E08000012,Liverpool,19,2019,-2.9738735,53.435652625,3,5,0,1,2,30,1,6,6,0
E08000012,Liverpool,19,2020,-2.9738735,53.435652625,6,6,0,3,3,30,1,6,6,0
