la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E08000003,Manchester,1,2019,-2.2689597,53.4009878,2,2,0,0,2,50,1,3,3,0
E08000003,Manchester,1,2020,-2.2689597,53.4009878,3,3,0,0,3,50,1,3,3,0
E08000003,Manchester,1,2021,-2.2689597,53.4009878,1,1,0,1,0,50,1,3,3,0
E08000003,Manchester,1,2022,-2.2689597,53.4009878,2,2,0,0,2,50,1,3,3,0
E08000003,Manchester,1,2023,-2.2689597,53.4009878,2,2,0,0,2,50,1,3,3,0
E08000003,Manchester,1,2024,-2.2689597,53.4009878,0,0,0,0,0,50,1,3,3,0
E08000003,Manchester,2,2019,-2.249662052631579,53.47444078947368,15,19,0,2,13,30,1,3,6,3
E08000003,Manchester,2,2020,-2.249662052631579,53.47444078947368,3,3,0,0,3,30,1,3,6,3
E08000003,Manchester,2,2021,-2.249662052631579,53.47444078947368,4,4,0,0,4,30,1,3,6,3
E08000003,Manchester,2,2022,-2.249662052631579,53.47444078947368,9,9,0,2,7,30,1,3,6,3
E08000003,Manchester,2,2023,-2.249662052631579,53.47444078947368,7,7,1,1,5,30,1,3,6,3
E08000003,Manchester,2,2024,-2.249662052631579,53.47444078947368,0,0,0,0,0,30,1,3,6,3
E08000003,Manchester,3,2019,-2.2332031999999997,53.47759154285714,9,9,0,2,7,30,1,4,6,3
E08000003,Manchester,3,2020,-2.2332031999999997,53.47759154285714,7,9,0,0,7,30,1,4,6,3
E08000003,Manchester,3,2021,-2.2332031999999997,53.47759154285714,8,9,0,3,5,30,1,4,6,3
E08000003,Manchester,3,2022,-2.2332031999999997,53.47759154285714,5,6,0,0,5,30,1,4,6,3
E08000003,Manchester,3,2023,-2.2332031999999997,53.47759154285714,6,7,0,1,5,30,1,4,6,3
E08000003,Manchester,3,2024,-2.2332031999999997,53.47759154285714,0,0,0,0,0,30,1,4,6,3
E08000003,Manchester,4,2019,-2.2365903125,53.48293334375,9,14,1,4,4,30,1,6,6,0
E08000003,Manchester,4,2020,-2.2365903125,53.48293334375,1,2,0,0,1,30,1,6,6,0
E08000003,Manchester,4,2021,-2.2365903125,53.48293334375,6,6,0,0,6,30,1,6,6,0
E08000003,Manchester,4,2022,-2.2365903125,53.48293334375,9,11,1,3,5,30,1,6,6,0
E08000003,Manchester,4,2023,-2.2365903125,53.48293334375,7,7,0,4,3,30,1,6,6,0
E08000003,Manchester,4,2024,-2.2365903125,53.48293334375,0,0,0,0,0,30,1,6,6,0
E08000003,Manchester,5,2019,-2.2392905454545455,53.47973557575757,10,10,1,2,7,30,1,6,6,3
E08000003,Manchester,5,2020,-2.2392905454545455,53.47973557575757,0,0,0,0,0,30,1,6,6,3
E08000003,Manchester,5,2021,-2.2392905454545455,53.47973557575757,4,4,0,1,3,30,1,6,6,3
E08000003,Manchester,5,2022,-2.2392905454545455,53.47973557575757,11,12,0,4,7,30,1,6,6,3
E08000003,Manchester,5,2023,-2.2392905454545455,53.47973557575757,8,17,1,2,5,30,1,6,6,3
E08000003,Manchester,5,2024,-2.2392905454545455,53.47973557575757,0,0,0,0,0,30,1,6,6,3
E08000003,Manchester,6,2019,-2.24703755,53.481471,8,8,0,2,6,30,1,3,6,3
E08000003,Manchester,6,2020,-2.24703755,53.481471,1,2,0,0,1,30,1,3,6,3
E08000003,Manchester,6,2021,-2.24703755,53.481471,3,3,0,0,3,30,1,3,6,3
E08000003,Manchester,6,2022,-2.24703755,53.481471,5,5,0,1,4,30,1,3,6,3
E08000003,Manchester,6,2023,-2.24703755,53.481471,3,3,0,0,3,30,1,3,6,3
E08000003,Manchester,6,2024,-2.24703755,53.481471,0,0,0,0,0,30,1,3,6,3
E08000003,Manchester,7,2019,-2.2387426666666665,53.486050444444444,10,10,0,1,9,30,1,3,6,6
E08000003,Manchester,7,2020,-2.2387426666666665,53.486050444444444,4,4,0,2,2,30,1,3,6,6
E08000003,Manchester,7,2021,-2.2387426666666665,53.486050444444444,7,9,0,0,7,30,1,3,6,6
E08000003,Manchester,7,2022,-2.2387426666666665,53.486050444444444,9,10,0,0,9,30,1,3,6,6
E08000003,Manchester,7,2023,-2.2387426666666665,53.486050444444444,6,11,0,2,4,30,1,3,6,6
E08000003,Manchester,7,2024,-2.2387426666666665,53.486050444444444,0,0,0,0,0,30,1,3,6,6
