la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E09000024,Merton,1,2019,-0.24167120454545457,51.40015404545454,12,14,1,1,10,30,1,4,6,1
E09000024,Merton,1,2020,-0.24167120454545457,51.40015404545454,6,6,0,1,5,30,1,4,6,1
E09000024,Merton,1,2021,-0.24167120454545457,51.40015404545454,10,11,0,2,8,30,1,4,6,1
E09000024,Merton,1,2022,-0.24167120454545457,51.40015404545454,8,10,0,1,7,30,1,4,6,1
E09000024,Merton,1,2023,-0.24167120454545457,51.40015404545454,8,10,0,0,8,30,1,4,6,1
E09000024,Merton,1,2024,-0.24167120454545457,51.40015404545454,0,0,0,0,0,30,1,4,6,1
E09000024,Merton,2,2019,-0.20346175609756095,51.414684658536586,11,11,0,3,8,30,1,3,6,3
E09000024,Merton,2,2020,-0.20346175609756095,51.414684658536586,5,5,0,0,5,30,1,3,6,3
E09000024,Merton,2,2021,-0.20346175609756095,51.414684658536586,9,10,0,0,9,30,1,3,6,3
E09000024,Merton,2,2022,-0.20346175609756095,51.414684658536586,9,9,0,1,8,30,1,3,6,3
E09000024,Merton,2,2023,-0.20346175609756095,51.414684658536586,7,7,0,0,7,30,1,3,6,3
E09000024,Merton,2,2024,-0.20346175609756095,51.414684658536586,0,0,0,0,0,30,1,3,6,3
E09000024,Merton,3,2019,-0.1882111875,51.42428625,1,1,0,0,1,20,1,3,6,3
E09000024,Merton,3,2020,-0.1882111875,51.42428625,3,3,0,0,3,20,1,3,6,3
E09000024,Merton,3,2021,-0.1882111875,51.42428625,6,6,0,1,5,20,1,3,6,3
E09000024,Merton,3,2022,-0.1882111875,51.42428625,3,3,0,2,1,20,1,3,6,3
E09000024,Merton,3,2023,-0.1882111875,51.42428625,3,4,0,0,3,20,1,3,6,3
E09000024,Merton,3,2024,-0.1882111875,51.42428625,0,0,0,0,0,20,1,3,6,3
E09000024,Merton,4,2019,-0.16987173684210527,51.40270352631579,1,2,0,0,1,20,1,3,6,9
E09000024,Merton,4,2020,-0.16987173684210527,51.40270352631579,6,6,0,1,5,20,1,3,6,9
E09000024,Merton,4,2021,-0.16987173684210527,51.40270352631579,4,7,0,0,4,20,1,3,6,9
E09000024,Merton,4,2022,-0.16987173684210527,51.40270352631579,2,2,0,0,2,20,1,3,6,9
E09000024,Merton,4,2023,-0.16987173684210527,51.40270352631579,6,10,0,2,4,20,1,3,6,9
E09000024,Merton,4,2024,-0.16987173684210527,51.40270352631579,0,0,0,0,0,20,1,3,6,9
E09000024,Merton,5,2019,-0.135153875,51.4080265,2,4,0,0,2,20,1,5,6,3
E09000024,Merton,5,2020,-0.135153875,51.4080265,1,1,0,0,1,20,1,5,6,3
E09000024,Merton,5,2021,-0.135153875,51.4080265,1,4,0,0,1,20,1,5,6,3
E09000024,Merton,5,2022,-0.135153875,51.4080265,0,0,0,0,0,20,1,5,6,3
E09000024,Merton,5,2023,-0.135153875,51.4080265,4,4,0,0,4,20,1,5,6,3
E09000024,Merton,5,2024,-0.135153875,51.4080265,0,0,0,0,0,20,1,5,6,3
E09000024,Merton,6,2019,-0.2140302,51.40897645,4,7,0,1,3,30,1,3,6,3
E09000024,Merton,6,2020,-0.2140302,51.40897645,4,5,0,1,3,30,1,3,6,3
E09000024,Merton,6,2021,-0.2140302,51.40897645,5,5,0,0,5,30,1,3,6,3
E09000024,Merton,6,2022,-0.2140302,51.40897645,6,6,0,1,5,30,1,3,6,3
E09000024,Merton,6,2023,-0.2140302,51.40897645,1,2,0,0,1,30,1,3,6,3
E09000024,Merton,6,2024,-0.2140302,51.40897645,0,0,0,0,0,30,1,3,6,3
E09000024,Merton,7,2019,-0.19270417647058824,51.41620202941176,12,12,0,1,11,30,1,3,6,0
E09000024,Merton,7,2020,-0.19270417647058824,51.41620202941176,4,4,0,2,2,30,1,3,6,0
E09000024,Merton,7,2021,-0.19270417647058824,51.41620202941176,4,4,0,1,3,30,1,3,6,0
E09000024,Merton,7,2022,-0.19270417647058824,51.41620202941176,7,7,0,2,5,30,1,3,6,0
E09000024,Merton,7,2023,-0.19270417647058824,51.41620202941176,7,7,0,0,7,30,1,3,6,0
E09000024,Merton,7,2024,-0.19270417647058824,51.41620202941176,0,0,0,0,0,30,1,3,6,0
E09000024,Merton,8,2019,-0.17801966666666666,51.39154461111111,4,5,0,2,2,30,1,3,6,3
E09000024,Merton,8,2020,-0.17801966666666666,51.39154461111111,3,3,0,1,2,30,1,3,6,3
E09000024,Merton,8,2021,-0.17801966666666666,51.39154461111111,3,5,0,2,1,30,1,3,6,3
E09000024,Merton,8,2022,-0.17801966666666666,51.39154461111111,4,6,0,0,4,30,1,3,6,3
E09000024,Merton,8,2023,-0.17801966666666666,51.39154461111111,4,4,0,0,4,30,1,3,6,3
E09000024,Merton,8,2024,-0.17801966666666666,51.39154461111111,0,0,0,0,0,30,1,3,6,3
E09000024,Merton,9,2019,-0.15825459523809524,51.39738190476191,10,11,0,0,10,30,1,3,6,1
E09000024,Merton,9,2020,-0.15825459523809524,51.39738190476191,12,12,0,4,8,30,1,3,6,1
E09000024,Merton,9,2021,-0.15825459523809524,51.39738190476191,6,6,0,0,6,30,1,3,6,1
E09000024,Merton,9,2022,-0.15825459523809524,51.39738190476191,6,8,0,0,6,30,1,3,6,1
E09000024,Merton,9,2023,-0.15825459523809524,51.39738190476191,8,8,0,2,6,30,1,3,6,1
E09000024,Merton,9,2024,-0.15825459523809524,51.39738190476191,0,0,0,0,0,30,1,3,6,1
E09000024,Merton,10,2019,-0.18807237500000001,51.389238041666665,7,7,0,1,6,40,1,3,3,6
E09000024,Merton,10,2020,-0.18807237500000001,51.389238041666665,3,3,0,0,3,40,1,3,3,6
E09000024,Merton,10,2021,-0.18807237500000001,51.389238041666665,7,10,1,0,6,40,1,3,3,6
E09000024,Merton,10,2022,-0.18807237500000001,51.389238041666665,5,5,0,1,4,40,1,3,3,6
