la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
S12000019,Midlothian,1,2019,-3.1156698,55.9133644,1,1,0,0,1,40,2,3,6,0
S12000019,Midlothian,1,2020,-3.1156698,55.9133644,0,0,0,0,0,40,2,3,6,0
S12000019,Midlothian,1,2021,-3.1156698,55.9133644,1,1,0,0,1,40,2,3,6,0
S12000019,Midlothian,1,2022,-3.1156698,55.9133644,0,0,0,0,0,40,2,3,6,0
S12000019,Midlothian,1,2023,-3.1156698,55.9133644,0,0,0,0,0,40,2,3,6,0
S12000019,Midlothian,1,2024,-3.1156698,55.9133644,3,7,0,0,0,40,2,3,6,0
S12000019,Midlothian,2,2019,-3.1137883333333334,55.88299416666667,1,1,0,0,1,20,1,3,6,3
S12000019,Midlothian,2,2020,-3.1137883333333334,55.88299416666667,0,0,0,0,0,20,1,3,6,3
S12000019,Midlothian,2,2021,-3.1137883333333334,55.88299416666667,0,0,0,0,0,20,1,3,6,3
S12000019,Midlothian,2,2022,-3.1137883333333334,55.88299416666667,2,2,0,0,2,20,1,3,6,3
S12000019,Midlothian,2,2023,-3.1137883333333334,55.88299416666667,1,2,0,0,1,20,1,3,6,3
S12000019,Midlothian,2,2024,-3.1137883333333334,55.88299416666667,1,1,0,0,0,20,1,3,6,3
S12000019,Midlothian,2,2025,-3.1137883333333334,55.88299416666667,1,1,0,0,0,20,1,3,6,3
S12000019,Midlothian,3,2019,-3.184179,55.862715,1,1,0,0,1,60,2,6,6,3
S12000019,Midlothian,3,2020,-3.184179,55.862715,0,0,0,0,0,60,2,6,6,3
S12000019,Midlothian,3,2021,-3.184179,55.862715,0,0,0,0,0,60,2,6,6,3
S12000019,Midlothian,3,2022,-3.184179,55.862715,0,0,0,0,0,60,2,6,6,3
S12000019,Midlothian,3,2023,-3.184179,55.862715,0,0,0,0,0,60,2,6,6,3
S12000019,Midlothian,3,2024,-3.184179,55.862715,0,0,0,0,0,60,2,6,6,3
S12000019,Midlothian,4,2019,-3.17778825,55.87014125,1,1,0,1,0,30,2,3,6,0
S12000019,Midlothian,4,2020,-3.17778825,55.87014125,2,2,0,1,1,30,2,3,6,0
S12000019,Midlothian,4,2021,-3.17778825,55.87014125,0,0,0,0,0,30,2,3,6,0
S12000019,Midlothian,4,2022,-3.17778825,55.87014125,1,1,0,1,0,30,2,3,6,0
S12000019,Midlothian,4,2023,-3.17778825,55.87014125,0,0,0,0,0,30,2,3,6,0
S12000019,Midlothian,4,2024,-3.17778825,55.87014125,0,0,0,0,0,30,2,3,6,0
S12000019,Midlothian,5,2019,-3.185675,55.857407,2,2,0,1,1,40,2,3,1,1
S12000019,Midlothian,5,2020,-3.185675,55.857407,4,4,0,2,2,40,2,3,1,1
S12000019,Midlothian,5,2021,-3.185675,55.857407,1,1,0,1,0,40,2,3,1,1
S12000019,Midlothian,5,2022,-3.185675,55.857407,2,2,0,0,2,40,2,3,1,1
S12000019,Midlothian,5,2023,-3.185675,55.857407,0,0,0,0,0,40,2,3,1,1
S12000019,Midlothian,5,2024,-3.185675,55.857407,0,0,0,0,0,40,2,3,1,1
S12000019,Midlothian,6,2019,-3.1502920000000003,55.87872475,1,1,0,0,1,20,1,6,6,3
S12000019,Midlothian,6,2020,-3.1502920000000003,55.87872475,1,1,0,1,0,20,1,6,6,3
S12000019,Midlothian,6,2021,-3.1502920000000003,55.87872475,2,2,0,1,1,20,1,6,6,3
S12000019,Midlothian,6,2022,-3.1502920000000003,55.87872475,0,0,0,0,0,20,1,6,6,3
S12000019,Midlothian,6,2023,-3.1502920000000003,55.87872475,0,0,0,0,0,20,1,6,6,3
S12000019,Midlothian,6,2024,-3.1502920000000003,55.87872475,0,0,0,0,0,20,1,6,6,3
S12000019,Midlothian,7,2019,-3.1032694,55.8864888,2,3,0,0,2,40,2,3,6,0
S12000019,Midlothian,7,2020,-3.1032694,55.8864888,0,0,0,0,0,40,2,3,6,0
S12000019,Midlothian,7,2021,-3.1032694,55.8864888,1,1,0,0,1,40,2,3,6,0
S12000019,Midlothian,7,2022,-3.1032694,55.8864888,0,0,0,0,0,40,2,3,6,0
S12000019,Midlothian,7,2023,-3.1032694,55.8864888,1,2,0,1,0,40,2,3,6,0
S12000019,Midlothian,7,2024,-3.1032694,55.8864888,1,1,0,0,0,40,2,3,6,0
