la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
S12000020,Moray,1,2019,-3.69926,57.577065,1,1,0,1,0,60,2,6,6,0
S12000020,Moray,1,2020,-3.69926,57.577065,0,0,0,0,0,60,2,6,6,0
S12000020,Moray,1,2021,-3.69926,57.577065,0,0,0,0,0,60,2,6,6,0
S12000020,Moray,1,2022,-3.69926,57.577065,0,0,0,0,0,60,2,6,6,0
S12000020,Moray,1,2023,-3.69926,57.577065,0,0,0,0,0,60,2,6,6,0
S12000020,Moray,1,2024,-3.69926,57.577065,0,0,0,0,0,60,2,6,6,0
S12000020,Moray,2,2019,-3.336332,57.652314,1,2,0,0,1,30,1,6,6,3
S12000020,Moray,2,2020,-3.336332,57.652314,0,0,0,0,0,30,1,6,6,3
S12000020,Moray,2,2021,-3.336332,57.652314,0,0,0,0,0,30,1,6,6,3
S12000020,Moray,2,2022,-3.336332,57.652314,0,0,0,0,0,30,1,6,6,3
S12000020,Moray,2,2023,-3.336332,57.652314,0,0,0,0,0,30,1,6,6,3
S12000020,Moray,2,2024,-3.336332,57.652314,0,0,0,0,0,30,1,6,6,3
S12000020,Moray,3,2019,-3.378644,57.48554,1,1,0,0,1,60,2,6,6,0
S12000020,Moray,3,2020,-3.378644,57.48554,0,0,0,0,0,60,2,6,6,0
S12000020,Moray,3,2021,-3.378644,57.48554,0,0,0,0,0,60,2,6,6,0
S12000020,Moray,3,2022,-3.378644,57.48554,0,0,0,0,0,60,2,6,6,0
S12000020,Moray,3,2023,-3.378644,57.48554,0,0,0,0,0,60,2,6,6,0
S12000020,Moray,3,2024,-3.378644,57.48554,0,0,0,0,0,60,2,6,6,0
S12000020,Moray,4,2019,-3.041999,57.629408,1,1,1,0,0,60,2,3,6,0
S12000020,Moray,4,2020,-3.041999,57.629408,0,0,0,0,0,60,2,3,6,0
S12000020,Moray,4,2021,-3.041999,57.629408,0,0,0,0,0,60,2,3,6,0
S12000020,Moray,4,2022,-3.041999,57.629408,0,0,0,0,0,60,2,3,6,0
S12000020,Moray,4,2023,-3.041999,57.629408,0,0,0,0,0,60,2,3,6,0
S12000020,Moray,4,2024,-3.041999,57.629408,0,0,0,0,0,60,2,3,6,0
