la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
S12000013,Na h-Eileanan Siar,1,2019,-7.379016,57.249584,1,1,0,0,1,60,2,3,6,6
S12000013,Na h-Eileanan Siar,1,2020,-7.379016,57.249584,1,3,0,0,1,60,2,3,6,6
S12000013,Na h-Eileanan Siar,1,2021,-7.379016,57.249584,0,0,0,0,0,60,2,3,6,6
S12000013,Na h-Eileanan Siar,1,2022,-7.379016,57.249584,0,0,0,0,0,60,2,3,6,6
S12000013,Na h-Eileanan Siar,1,2023,-7.379016,57.249584,0,0,0,0,0,60,2,3,6,6
S12000013,Na h-Eileanan Siar,1,2024,-7.379016,57.249584,0,0,0,0,0,60,2,3,6,6
S12000013,Na h-Eileanan Siar,2,2019,-7.525273,56.937148,1,3,0,1,0,60,2,6,6,0
S12000013,Na h-Eileanan Siar,2,2020,-7.525273,56.937148,0,0,0,0,0,60,2,6,6,0
S12000013,Na h-Eileanan Siar,2,2021,-7.525273,56.937148,0,0,0,0,0,60,2,6,6,0
S12000013,Na h-Eileanan Siar,2,2022,-7.525273,56.937148,0,0,0,0,0,60,2,6,6,0
S12000013,Na h-Eileanan Siar,2,2023,-7.525273,56.937148,0,0,0,0,0,60,2,6,6,0
S12000013,Na h-Eileanan Siar,2,2024,-7.525273,56.937148,0,0,0,0,0,60,2,6,6,0
S12000013,Na h-Eileanan Siar,3,2019,-7.275329,57.644743,1,1,0,1,0,60,2,3,6,0
S12000013,Na h-Eileanan Siar,3,2020,-7.275329,57.644743,0,0,0,0,0,60,2,3,6,0
S12000013,Na h-Eileanan Siar,3,2021,-7.275329,57.644743,0,0,0,0,0,60,2,3,6,0
S12000013,Na h-Eileanan Siar,3,2022,-7.275329,57.644743,0,0,0,0,0,60,2,3,6,0
S12000013,Na h-Eileanan Siar,3,2023,-7.275329,57.644743,0,0,0,0,0,60,2,3,6,0
S12000013,Na h-Eileanan Siar,3,2024,-7.275329,57.644743,0,0,0,0,0,60,2,3,6,0
S12000013,Na h-Eileanan Siar,4,2019,-6.385262333333333,58.212705,2,2,0,1,1,30,1,6,6,0
S12000013,Na h-Eileanan Siar,4,2020,-6.385262333333333,58.212705,0,0,0,0,0,30,1,6,6,0
S12000013,Na h-Eileanan Siar,4,2021,-6.385262333333333,58.212705,0,0,0,0,0,30,1,6,6,0
S12000013,Na h-Eileanan Siar,4,2022,-6.385262333333333,58.212705,0,0,0,0,0,30,1,6,6,0
S12000013,Na h-Eileanan Siar,4,2023,-6.385262333333333,58.212705,1,2,0,0,1,30,1,6,6,0
S12000013,Na h-Eileanan Siar,4,2024,-6.385262333333333,58.212705,0,0,0,0,0,30,1,6,6,0
S12000013,Na h-Eileanan Siar,5,2019,-6.496885,58.1573205,1,1,0,1,0,60,2,3,3,0
S12000013,Na h-Eileanan Siar,5,2020,-6.496885,58.1573205,1,1,0,0,1,60,2,3,3,0
S12000013,Na h-Eileanan Siar,5,2021,-6.496885,58.1573205,0,0,0,0,0,60,2,3,3,0
S12000013,Na h-Eileanan Siar,5,2022,-6.496885,58.1573205,0,0,0,0,0,60,2,3,3,0
S12000013,Na h-Eileanan Siar,5,2023,-6.496885,58.1573205,0,0,0,0,0,60,2,3,3,0
S12000013,Na h-Eileanan Siar,5,2024,-6.496885,58.1573205,0,0,0,0,0,60,2,3,3,0
S12000013,Na h-Eileanan Siar,6,2019,-6.369343499999999,58.212006,2,2,0,1,1,30,1,6,6,0
S12000013,Na h-Eileanan Siar,6,2020,-6.369343499999999,58.212006,0,0,0,0,0,30,1,6,6,0
S12000013,Na h-Eileanan Siar,6,2021,-6.369343499999999,58.212006,0,0,0,0,0,30,1,6,6,0
S12000013,Na h-Eileanan Siar,6,2022,-6.369343499999999,58.212006,0,0,0,0,0,30,1,6,6,0
S12000013,Na h-Eileanan Siar,6,2023,-6.369343499999999,58.212006,0,0,0,0,0,30,1,6,6,0
S12000013,Na h-Eileanan Siar,6,2024,-6.369343499999999,58.212006,0,0,0,0,0,30,1,6,6,0
S12000013,Na h-Eileanan Siar,7,2019,-6.403196,58.200552,1,2,0,1,0,60,2,6,6,0
S12000013,Na h-Eileanan Siar,7,2020,-6.403196,58.200552,0,0,0,0,0,60,2,6,6,0
S12000013,Na h-Eileanan Siar,7,2021,-6.403196,58.200552,0,0,0,0,0,60,2,6,6,0
S12000013,Na h-Eileanan Siar,7,2022,-6.403196,58.200552,0,0,0,0,0,60,2,6,6,0
S12000013,Na h-Eileanan Siar,7,2023,-6.403196,58.200552,0,0,0,0,0,60,2,6,6,0
