la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
W06000012,Neath Port Talbot,1,2019,-3.8122504,51.5958214,3,3,0,0,3,30,1,6,6,3
W06000012,Neath Port Talbot,1,2020,-3.8122504,51.5958214,1,1,0,1,0,30,1,6,6,3
W06000012,Neath Port Talbot,1,2021,-3.8122504,51.5958214,0,0,0,0,0,30,1,6,6,3
W06000012,Neath Port Talbot,1,2022,-3.8122504,51.5958214,0,0,0,0,0,30,1,6,6,3
W06000012,Neath Port Talbot,1,2023,-3.8122504,51.5958214,1,1,0,0,1,30,1,6,6,3
W06000012,Neath Port Talbot,1,2024,-3.8122504,51.5958214,0,0,0,0,0,30,1,6,6,3
W06000012,Neath Port Talbot,2,2019,-3.7947316666666664,51.60206616666667,2,4,0,1,1,50,1,1,3,0
W06000012,Neath Port Talbot,2,2020,-3.7947316666666664,51.60206616666667,1,1,0,0,1,50,1,1,3,0
W06000012,Neath Port Talbot,2,2021,-3.7947316666666664,51.60206616666667,1,1,0,0,1,50,1,1,3,0
W06000012,Neath Port Talbot,2,2022,-3.7947316666666664,51.60206616666667,2,2,0,0,2,50,1,1,3,0
W06000012,Neath Port Talbot,2,2023,-3.7947316666666664,51.60206616666667,0,0,0,0,0,50,1,1,3,0
W06000012,Neath Port Talbot,2,2024,-3.7947316666666664,51.60206616666667,0,0,0,0,0,50,1,1,3,0
W06000012,Neath Port Talbot,3,2019,-3.77198125,51.592620499999995,1,1,0,0,1,30,1,6,6,0
W06000012,Neath Port Talbot,3,2020,-3.77198125,51.592620499999995,1,3,0,0,1,30,1,6,6,0
W06000012,Neath Port Talbot,3,2021,-3.77198125,51.592620499999995,3,3,0,0,3,30,1,6,6,0
W06000012,Neath Port Talbot,3,2022,-3.77198125,51.592620499999995,2,3,0,1,1,30,1,6,6,0
W06000012,Neath Port Talbot,3,2023,-3.77198125,51.592620499999995,1,1,0,0,1,30,1,6,6,0
W06000012,Neath Port Talbot,3,2024,-3.77198125,51.592620499999995,0,0,0,0,0,30,1,6,6,0
W06000012,Neath Port Talbot,4,2019,-3.7116925,51.704039,1,1,1,0,0,70,2,3,3,0
W06000012,Neath Port Talbot,4,2020,-3.7116925,51.704039,0,0,0,0,0,70,2,3,3,0
W06000012,Neath Port Talbot,4,2021,-3.7116925,51.704039,0,0,0,0,0,70,2,3,3,0
W06000012,Neath Port Talbot,4,2022,-3.7116925,51.704039,0,0,0,0,0,70,2,3,3,0
W06000012,Neath Port Talbot,4,2023,-3.7116925,51.704039,0,0,0,0,0,70,2,3,3,0
W06000012,Neath Port Talbot,4,2024,-3.7116925,51.704039,0,0,0,0,0,70,2,3,3,0
W06000012,Neath Port Talbot,4,2025,-3.7116925,51.704039,1,1,0,0,0,70,2,3,3,0
W06000012,Neath Port Talbot,5,2019,-3.8094255,51.616164499999996,1,1,0,0,1,30,2,3,3,0
W06000012,Neath Port Talbot,5,2020,-3.8094255,51.616164499999996,1,1,0,0,1,30,2,3,3,0
W06000012,Neath Port Talbot,5,2021,-3.8094255,51.616164499999996,1,2,0,0,1,30,2,3,3,0
W06000012,Neath Port Talbot,5,2022,-3.8094255,51.616164499999996,1,1,0,0,1,30,2,3,3,0
W06000012,Neath Port Talbot,5,2023,-3.8094255,51.616164499999996,0,0,0,0,0,30,2,3,3,0
W06000012,Neath Port Talbot,5,2024,-3.8094255,51.616164499999996,0,0,0,0,0,30,2,3,3,0
W06000012,Neath Port Talbot,6,2019,-3.8152196666666662,51.621198666666665,1,2,0,0,1,70,1,1,3,0
W06000012,Neath Port Talbot,6,2020,-3.8152196666666662,51.621198666666665,0,0,0,0,0,70,1,1,3,0
W06000012,Neath Port Talbot,6,2021,-3.8152196666666662,51.621198666666665,1,1,0,0,1,70,1,1,3,0
W06000012,Neath Port Talbot,6,2022,-3.8152196666666662,51.621198666666665,0,0,0,0,0,70,1,1,3,0
W06000012,Neath Port Talbot,6,2023,-3.8152196666666662,51.621198666666665,1,1,0,0,1,70,1,1,3,0
W06000012,Neath Port Talbot,6,2024,-3.8152196666666662,51.621198666666665,0,0,0,0,0,70,1,1,3,0
W06000012,Neath Port Talbot,7,2019,-3.8066021818181817,51.66323127272727,7,7,0,1,6,30,1,4,6,3
W06000012,Neath Port Talbot,7,2020,-3.8066021818181817,51.66323127272727,0,0,0,0,0,30,1,4,6,3
W06000012,Neath Port Talbot,7,2021,-3.8066021818181817,51.66323127272727,1,1,0,0,1,30,1,4,6,3
W06000012,Neath Port Talbot,7,2022,-3.8066021818181817,51.66323127272727,0,0,0,0,0,30,1,4,6,3
W06000012,Neath Port Talbot,7,2023,-3.8066021818181817,51.66323127272727,2,3,0,0,2,30,1,4,6,3
W06000012,Neath Port Talbot,7,2024,-3.8066021818181817,51.66323127272727,1,1,0,0,0,30,1,4,6,3
W06000012,Neath Port Talbot,8,2019,-3.857882,51.6587365,2,3,0,1,1,30,1,3,6,0
W06000012,Neath Port Talbot,8,2020,-3.857882,51.6587365,0,0,0,0,0,30,1,3,6,0
W06000012,Neath Port Talbot,8,2021,-3.857882,51.6587365,0,0,0,0,0,30,1,3,6,0
W06000012,Neath Port Talbot,8,2022,-3.857882,51.6587365,0,0,0,0,0,30,1,3,6,0
W06000012,Neath Port Talbot,8,2023,-3.857882,51.6587365,0,0,0,0,0,30,1,3,6,0
W06000012,Neath Port Talbot,8,2024,-3.857882,51.6587365,0,0,0,0,0,30,1,3,6,0
W06000012,Neath Port Talbot,9,2019,-3.7895276666666664,51.65133933333333,1,1,0,0,1,30,1,4,6,2
W06000012,Neath Port Talbot,9,2020,-3.7895276666666664,51.65133933333333,1,1,0,0,1,30,1,4,6,2
W06000012,Neath Port Talbot,9,2021,-3.7895276666666664,51.65133933333333,1,2,0,0,1,30,1,4,6,2
W06000012,Neath Port Talbot,9,2022,-3.7895276666666664,51.65133933333333,0,0,0,0,0,30,1,4,6,2
W06000012,Neath Port Talbot,9,2023,-3.7895276666666664,51.65133933333333,3,6,0,0,3,30,1,4,6,2
W06000012,Neath Port Talbot,9,2024,-3.7895276666666664,51.65133933333333,0,0,0,0,0,30,1,4,6,2
W06000012,Neath Port Talbot,10,2019,-3.7686968333333337,51.58533,3,7,0,0,3,30,1,3,6,0
W06000012,Neath Port Talbot,10,2020,-3.7686968333333337,51.58533,1,1,0,0,1,30,1,3,6,0
W06000012,Neath Port Talbot,10,2021,-3.7686968333333337,51.58533,0,0,0,0,0,30,1,3,6,0
W06000012,Neath Port Talbot,10,2022,-3.7686968333333337,51.58533,1,1,0,1,0,30,1,3,6,0
W06000012,Neath Port Talbot,10,2023,-3.7686968333333337,51.58533,0,0,0,0,0,30,1,3,6,0
W06000012,Neath Port Talbot,10,2024,-3.7686968333333337,51.58533,1,1,0,0,0,30,1,3,6,0
W06000012,Neath Port Talbot,11,2019,-3.781483,51.6773885,3,4,0,0,3,30,2,3,3,1
W06000012,Neath Port Talbot,11,2020,-3.781483,51.6773885,0,0,0,0,0,30,2,3,3,1
W06000012,Neath Port Talbot,11,2021,-3.781483,51.6773885,1,2,0,0,1,30,2,3,3,1
W06000012,Neath Port Talbot,11,2022,-3.781483,51.6773885,2,3,0,0,2,30,2,3,3,1
W06000012,Neath Port Talbot,11,2023,-3.781483,51.6773885,0,0,0,0,0,30,2,3,3,1
W06000012,Neath Port Talbot,11,2024,-3.781483,51.6773885,0,0,0,0,0,30,2,3,3,1
W06000012,Neath Port Talbot,12,2019,-3.806126142857143,51.59887071428572,1,1,0,0,1,50,1,3,1,1
W06000012,Neath Port Talbot,12,2020,-3.806126142857143,51.59887071428572,1,1,0,0,1,50,1,3,1,1
W06000012,Neath Port Talbot,12,2021,-3.806126142857143,51.59887071428572,3,4,0,1,2,50,1,3,1,1
W06000012,Neath Port Talbot,12,2022,-3.806126142857143,51.59887071428572,0,0,0,0,0,50,1,3,1,1
W06000012,Neath Port Talbot,12,2023,-3.806126142857143,51.59887071428572,2,2,0,0,2,50,1,3,1,1
W06000012,Neath Port Talbot,12,2024,-3.806126142857143,51.59887071428572,0,0,0,0,0,50,1,3,1,1
W06000012,Neath Port Talbot,13,2019,-3.8210716,51.6233992,3,10,0,0,3,70,2,1,3,0
W06000012,Neath Port Talbot,13,2020,-3.8210716,51.6233992,0,0,0,0,0,70,2,1,3,0
W06000012,Neath Port Talbot,13,2021,-3.8210716,51.6233992,0,0,0,0,0,70,2,1,3,0
W06000012,Neath Port Talbot,13,2022,-3.8210716,51.6233992,1,2,0,0,1,70,2,1,3,0
W06000012,Neath Port Talbot,13,2023,-3.8210716,51.6233992,1,1,0,0,1,70,2,1,3,0
W06000012,Neath Port Talbot,13,2024,-3.8210716,51.6233992,0,0,0,0,0,70,2,1,3,0
W06000012,Neath Port Talbot,14,2019,-3.7984765384615384,51.59321307692308,4,5,0,0,4,30,1,3,3,6
W06000012,Neath Port Talbot,14,2020,-3.7984765384615384,51.59321307692308,2,4,0,0,2,30,1,3,3,6
W06000012,Neath Port Talbot,14,2021,-3.7984765384615384,51.59321307692308,3,3,0,0,3,30,1,3,3,6
W06000012,Neath Port Talbot,14,2022,-3.7984765384615384,51.59321307692308,2,2,0,0,2,30,1,3,3,6
W06000012,Neath Port Talbot,14,2023,-3.7984765384615384,51.59321307692308,0,0,0,0,0,30,1,3,3,6
W06000012,Neath Port Talbot,14,2024,-3.7984765384615384,51.59321307692308,2,3,0,0,0,30,1,3,3,6
W06000012,Neath Port Talbot,15,2019,-3.8071415,51.594053,1,3,0,0,1,30,1,6,6,0
W06000012,Neath Port Talbot,15,2020,-3.8071415,51.594053,0,0,0,0,0,30,1,6,6,0
W06000012,Neath Port Talbot,15,2021,-3.8071415,51.594053,0,0,0,0,0,30,1,6,6,0
W06000012,Neath Port Talbot,15,2022,-3.8071415,51.594053,0,0,0,0,0,30,1,6,6,0
W06000012,Neath Port Talbot,15,2023,-3.8071415,51.594053,1,1,0,0,1,30,1,6,6,0
W06000012,Neath Port Talbot,15,2024,-3.8071415,51.594053,0,0,0,0,0,30,1,6,6,0
W06000012,Neath Port Talbot,16,2019,-3.797888875,51.65777725,2,2,0,0,2,30,1,4,1,2
W06000012,Neath Port Talbot,16,2020,-3.797888875,51.65777725,3,3,0,0,3,30,1,4,1,2
W06000012,Neath Port Talbot,16,2021,-3.797888875,51.65777725,2,3,0,0,2,30,1,4,1,2
W06000012,Neath Port Talbot,16,2022,-3.797888875,51.65777725,0,0,0,0,0,30,1,4,1,2
W06000012,Neath Port Talbot,16,2023,-3.797888875,51.65777725,1,2,0,0,1,30,1,4,1,2
W06000012,Neath Port Talbot,16,2024,-3.797888875,51.65777725,0,0,0,0,0,30,1,4,1,2
W06000012,Neath Port Talbot,17,2019,-3.738895,51.5616549,2,2,1,0,1,50,2,1,3,1
W06000012,Neath Port Talbot,17,2020,-3.738895,51.5616549,1,1,0,0,1,50,2,1,3,1
W06000012,Neath Port Talbot,17,2021,-3.738895,51.5616549,3,3,0,1,2,50,2,1,3,1
W06000012,Neath Port Talbot,17,2022,-3.738895,51.5616549,0,0,0,0,0,50,2,1,3,1
W06000012,Neath Port Talbot,17,2023,-3.738895,51.5616549,1,1,0,1,0,50,2,1,3,1
W06000012,Neath Port Talbot,17,2024,-3.738895,51.5616549,2,2,0,0,0,50,2,1,3,1
W06000012,Neath Port Talbot,17,2025,-3.738895,51.5616549,1,1,0,0,0,50,2,1,3,1
W06000012,Neath Port Talbot,18,2019,-3.825974714285714,51.66095885714286,3,7,0,0,3,70,1,3,6,0
W06000012,Neath Port Talbot,18,2020,-3.825974714285714,51.66095885714286,1,1,0,0,1,70,1,3,6,0
W06000012,Neath Port Talbot,18,2021,-3.825974714285714,51.66095885714286,0,0,0,0,0,70,1,3,6,0
W06000012,Neath Port Talbot,18,2022,-3.825974714285714,51.66095885714286,1,3,0,0,1,70,1,3,6,0
W06000012,Neath Port Talbot,18,2023,-3.825974714285714,51.66095885714286,2,2,0,1,1,70,1,3,6,0
W06000012,Neath Port Talbot,18,2024,-3.825974714285714,51.66095885714286,0,0,0,0,0,70,1,3,6,0
W06000012,Neath Port Talbot,19,2019,-3.774724,51.680972,1,1,0,0,1,70,1,3,3,0
