la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E08000021,Newcastle upon Tyne,1,2019,-1.611946257142857,54.970487528571425,22,26,0,5,17,30,1,3,6,0
E08000021,Newcastle upon Tyne,1,2020,-1.611946257142857,54.970487528571425,6,8,0,1,5,30,1,3,6,0
E08000021,Newcastle upon Tyne,1,2021,-1.611946257142857,54.970487528571425,11,12,0,2,9,30,1,3,6,0
E08000021,Newcastle upon Tyne,1,2022,-1.611946257142857,54.970487528571425,8,9,0,3,5,30,1,3,6,0
E08000021,Newcastle upon Tyne,1,2023,-1.611946257142857,54.970487528571425,10,11,0,6,4,30,1,3,6,0
E08000021,Newcastle upon Tyne,1,2024,-1.611946257142857,54.970487528571425,9,9,0,0,0,30,1,3,6,0
E08000021,Newcastle upon Tyne,1,2025,-1.611946257142857,54.970487528571425,4,4,0,0,0,30,1,3,6,0
E08000021,Newcastle upon Tyne,2,2019,-1.6344822857142858,54.987236,1,1,0,0,1,70,1,3,3,0
E08000021,Newcastle upon Tyne,2,2020,-1.6344822857142858,54.987236,0,0,0,0,0,70,1,3,3,0
E08000021,Newcastle upon Tyne,2,2021,-1.6344822857142858,54.987236,0,0,0,0,0,70,1,3,3,0
E08000021,Newcastle upon Tyne,2,2022,-1.6344822857142858,54.987236,1,2,0,1,0,70,1,3,3,0
E08000021,Newcastle upon Tyne,2,2023,-1.6344822857142858,54.987236,4,8,0,0,4,70,1,3,3,0
E08000021,Newcastle upon Tyne,2,2024,-1.6344822857142858,54.987236,0,0,0,0,0,70,1,3,3,0
E08000021,Newcastle upon Tyne,2,2025,-1.6344822857142858,54.987236,1,1,0,0,0,70,1,3,3,0
E08000021,Newcastle upon Tyne,3,2019,-1.65236035,55.02011165,6,9,0,1,5,30,2,3,3,0
E08000021,Newcastle upon Tyne,3,2020,-1.65236035,55.02011165,1,1,0,1,0,30,2,3,3,0
E08000021,Newcastle upon Tyne,3,2021,-1.65236035,55.02011165,4,4,0,2,2,30,2,3,3,0
E08000021,Newcastle upon Tyne,3,2022,-1.65236035,55.02011165,4,5,0,0,4,30,2,3,3,0
E08000021,Newcastle upon Tyne,3,2023,-1.65236035,55.02011165,2,2,0,1,1,30,2,3,3,0
E08000021,Newcastle upon Tyne,3,2024,-1.65236035,55.02011165,2,2,0,0,0,30,2,3,3,0
E08000021,Newcastle upon Tyne,3,2025,-1.65236035,55.02011165,1,1,0,0,0,30,2,3,3,0
E08000021,Newcastle upon Tyne,4,2019,-1.653349608695652,54.975000217391305,3,5,0,1,2,30,1,6,6,3
E08000021,Newcastle upon Tyne,4,2020,-1.653349608695652,54.975000217391305,4,4,0,0,4,30,1,6,6,3
E08000021,Newcastle upon Tyne,4,2021,-1.653349608695652,54.975000217391305,3,3,0,0,3,30,1,6,6,3
E08000021,Newcastle upon Tyne,4,2022,-1.653349608695652,54.975000217391305,4,4,0,0,4,30,1,6,6,3
E08000021,Newcastle upon Tyne,4,2023,-1.653349608695652,54.975000217391305,4,4,0,0,4,30,1,6,6,3
E08000021,Newcastle upon Tyne,4,2024,-1.653349608695652,54.975000217391305,4,7,0,0,0,30,1,6,6,3
E08000021,Newcastle upon Tyne,4,2025,-1.653349608695652,54.975000217391305,1,1,0,0,0,30,1,6,6,3
E08000021,Newcastle upon Tyne,5,2019,-1.6592768333333334,54.9937335,4,5,0,1,3,30,1,3,6,0
E08000021,Newcastle upon Tyne,5,2020,-1.6592768333333334,54.9937335,2,2,0,0,2,30,1,3,6,0
E08000021,Newcastle upon Tyne,5,2021,-1.6592768333333334,54.9937335,3,5,0,1,2,30,1,3,6,0
E08000021,Newcastle upon Tyne,5,2022,-1.6592768333333334,54.9937335,0,0,0,0,0,30,1,3,6,0
E08000021,Newcastle upon Tyne,5,2023,-1.6592768333333334,54.9937335,3,4,0,0,3,30,1,3,6,0
E08000021,Newcastle upon Tyne,5,2024,-1.6592768333333334,54.9937335,5,5,0,0,0,30,1,3,6,0
E08000021,Newcastle upon Tyne,5,2025,-1.6592768333333334,54.9937335,1,1,0,0,0,30,1,3,6,0
E08000021,Newcastle upon Tyne,6,2019,-1.5703959047619047,54.97995247619048,4,4,0,0,4,30,1,3,6,0
E08000021,Newcastle upon Tyne,6,2020,-1.5703959047619047,54.97995247619048,1,1,0,0,1,30,1,3,6,0
E08000021,Newcastle upon Tyne,6,2021,-1.5703959047619047,54.97995247619048,5,5,0,0,5,30,1,3,6,0
E08000021,Newcastle upon Tyne,6,2022,-1.5703959047619047,54.97995247619048,4,4,0,0,4,30,1,3,6,0
E08000021,Newcastle upon Tyne,6,2023,-1.5703959047619047,54.97995247619048,3,3,0,1,2,30,1,3,6,0
E08000021,Newcastle upon Tyne,6,2024,-1.5703959047619047,54.97995247619048,2,2,0,0,0,30,1,3,6,0
E08000021,Newcastle upon Tyne,6,2025,-1.5703959047619047,54.97995247619048,2,3,0,0,0,30,1,3,6,0
E08000021,Newcastle upon Tyne,7,2019,-1.5789851666666666,54.992195,2,2,0,1,1,30,1,3,1,1
E08000021,Newcastle upon Tyne,7,2020,-1.5789851666666666,54.992195,5,6,0,1,4,30,1,3,1,1
E08000021,Newcastle upon Tyne,7,2021,-1.5789851666666666,54.992195,5,5,0,0,5,30,1,3,1,1
E08000021,Newcastle upon Tyne,7,2022,-1.5789851666666666,54.992195,1,1,0,0,1,30,1,3,1,1
E08000021,Newcastle upon Tyne,7,2023,-1.5789851666666666,54.992195,3,3,0,0,3,30,1,3,1,1
E08000021,Newcastle upon Tyne,7,2024,-1.5789851666666666,54.992195,7,7,0,0,0,30,1,3,1,1
