la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E09000025,Newham,1,2019,0.01253360204081632,51.51722074489796,10,12,0,1,9,30,1,3,6,0
E09000025,Newham,1,2020,0.01253360204081632,51.51722074489796,17,22,0,5,12,30,1,3,6,0
E09000025,Newham,1,2021,0.01253360204081632,51.51722074489796,12,13,0,2,10,30,1,3,6,0
E09000025,Newham,1,2022,0.01253360204081632,51.51722074489796,16,23,0,1,15,30,1,3,6,0
E09000025,Newham,1,2023,0.01253360204081632,51.51722074489796,13,15,0,1,12,30,1,3,6,0
E09000025,Newham,1,2024,0.01253360204081632,51.51722074489796,14,16,0,0,0,30,1,3,6,0
E09000025,Newham,1,2025,0.01253360204081632,51.51722074489796,11,14,0,0,0,30,1,3,6,0
E09000025,Newham,2,2019,0.03148095238095238,51.52191638095238,4,4,0,0,4,30,1,3,6,0
E09000025,Newham,2,2020,0.03148095238095238,51.52191638095238,4,5,0,0,4,30,1,3,6,0
E09000025,Newham,2,2021,0.03148095238095238,51.52191638095238,6,7,0,0,6,30,1,3,6,0
E09000025,Newham,2,2022,0.03148095238095238,51.52191638095238,8,8,0,2,6,30,1,3,6,0
E09000025,Newham,2,2023,0.03148095238095238,51.52191638095238,10,12,0,0,10,30,1,3,6,0
E09000025,Newham,2,2024,0.03148095238095238,51.52191638095238,9,9,0,0,0,30,1,3,6,0
E09000025,Newham,2,2025,0.03148095238095238,51.52191638095238,3,3,0,0,0,30,1,3,6,0
E09000025,Newham,3,2019,0.07016238095238095,51.50830657142857,5,5,0,0,5,30,1,3,1,1
E09000025,Newham,3,2020,0.07016238095238095,51.50830657142857,3,4,0,1,2,30,1,3,1,1
E09000025,Newham,3,2021,0.07016238095238095,51.50830657142857,3,3,0,0,3,30,1,3,1,1
E09000025,Newham,3,2022,0.07016238095238095,51.50830657142857,7,8,0,1,6,30,1,3,1,1
E09000025,Newham,3,2023,0.07016238095238095,51.50830657142857,4,5,0,0,4,30,1,3,1,1
E09000025,Newham,3,2024,0.07016238095238095,51.50830657142857,2,2,0,0,0,30,1,3,1,1
E09000025,Newham,4,2019,0.03859481632653061,51.51874653061225,10,11,0,2,8,50,1,3,3,0
E09000025,Newham,4,2020,0.03859481632653061,51.51874653061225,4,5,0,1,3,50,1,3,3,0
E09000025,Newham,4,2021,0.03859481632653061,51.51874653061225,12,18,0,0,12,50,1,3,3,0
E09000025,Newham,4,2022,0.03859481632653061,51.51874653061225,7,9,0,0,7,50,1,3,3,0
E09000025,Newham,4,2023,0.03859481632653061,51.51874653061225,4,10,0,0,4,50,1,3,3,0
E09000025,Newham,4,2024,0.03859481632653061,51.51874653061225,8,14,0,0,0,50,1,3,3,0
E09000025,Newham,4,2025,0.03859481632653061,51.51874653061225,6,9,0,0,0,50,1,3,3,0
E09000025,Newham,5,2019,0.03398113333333333,51.536841422222224,12,12,0,2,10,30,1,4,6,0
E09000025,Newham,5,2020,0.03398113333333333,51.536841422222224,4,4,0,1,3,30,1,4,6,0
E09000025,Newham,5,2021,0.03398113333333333,51.536841422222224,4,5,0,2,2,30,1,4,6,0
E09000025,Newham,5,2022,0.03398113333333333,51.536841422222224,7,7,0,0,7,30,1,4,6,0
E09000025,Newham,5,2023,0.03398113333333333,51.536841422222224,5,5,0,0,5,30,1,4,6,0
E09000025,Newham,5,2024,0.03398113333333333,51.536841422222224,3,3,0,0,0,30,1,4,6,0
E09000025,Newham,5,2025,0.03398113333333333,51.536841422222224,8,8,0,0,0,30,1,4,6,0
E09000025,Newham,6,2019,0.0392925,51.53021419565217,15,20,0,4,11,30,1,3,6,3
E09000025,Newham,6,2020,0.0392925,51.53021419565217,17,23,0,3,14,30,1,3,6,3
E09000025,Newham,6,2021,0.0392925,51.53021419565217,20,28,0,3,17,30,1,3,6,3
E09000025,Newham,6,2022,0.0392925,51.53021419565217,16,17,0,5,11,30,1,3,6,3
E09000025,Newham,6,2023,0.0392925,51.53021419565217,11,12,0,0,11,30,1,3,6,3
E09000025,Newham,6,2024,0.0392925,51.53021419565217,10,11,0,0,0,30,1,3,6,3
E09000025,Newham,6,2025,0.0392925,51.53021419565217,3,3,0,0,0,30,1,3,6,3
E09000025,Newham,7,2019,0.06068710869565217,51.514059456521736,6,12,0,1,5,30,1,3,6,0
E09000025,Newham,7,2020,0.06068710869565217,51.514059456521736,9,9,0,1,8,30,1,3,6,0
E09000025,Newham,7,2021,0.06068710869565217,51.514059456521736,8,8,0,1,7,30,1,3,6,0
E09000025,Newham,7,2022,0.06068710869565217,51.514059456521736,7,13,0,1,6,30,1,3,6,0
E09000025,Newham,7,2023,0.06068710869565217,51.514059456521736,5,5,0,1,4,30,1,3,6,0
E09000025,Newham,7,2024,0.06068710869565217,51.514059456521736,4,4,0,0,0,30,1,3,6,0
E09000025,Newham,7,2025,0.06068710869565217,51.514059456521736,4,5,0,0,0,30,1,3,6,0
E09000025,Newham,8,2019,7.856725663716814e-4,51.54038739823009,22,25,0,1,21,20,1,3,6,3
E09000025,Newham,8,2020,7.856725663716814e-4,51.54038739823009,11,13,0,1,10,20,1,3,6,3
E09000025,Newham,8,2021,7.856725663716814e-4,51.54038739823009,17,17,0,2,15,20,1,3,6,3
E09000025,Newham,8,2022,7.856725663716814e-4,51.54038739823009,23,27,0,2,21,20,1,3,6,3
E09000025,Newham,8,2023,7.856725663716814e-4,51.54038739823009,12,14,0,1,11,20,1,3,6,3
E09000025,Newham,8,2024,7.856725663716814e-4,51.54038739823009,11,12,0,0,0,20,1,3,6,3
E09000025,Newham,8,2025,7.856725663716814e-4,51.54038739823009,11,12,0,0,0,20,1,3,6,3
E09000025,Newham,9,2019,0.0070257,51.536566025,5,5,0,1,4,30,1,3,6,3
E09000025,Newham,9,2020,0.0070257,51.536566025,6,9,0,1,5,30,1,3,6,3
E09000025,Newham,9,2021,0.0070257,51.536566025,5,7,0,2,3,30,1,3,6,3
E09000025,Newham,9,2022,0.0070257,51.536566025,11,14,0,2,9,30,1,3,6,3
E09000025,Newham,9,2023,0.0070257,51.536566025,8,9,0,0,8,30,1,3,6,3
E09000025,Newham,9,2024,0.0070257,51.536566025,4,6,0,0,0,30,1,3,6,3
E09000025,Newham,9,2025,0.0070257,51.536566025,4,6,0,0,0,30,1,3,6,3
E09000025,Newham,10,2019,0.05612030357142857,51.52765048214286,9,9,0,2,7,30,1,3,6,3
E09000025,Newham,10,2020,0.05612030357142857,51.52765048214286,7,7,0,3,4,30,1,3,6,3
E09000025,Newham,10,2021,0.05612030357142857,51.52765048214286,7,7,0,0,7,30,1,3,6,3
E09000025,Newham,10,2022,0.05612030357142857,51.52765048214286,13,17,0,0,13,30,1,3,6,3
