la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
W06000022,Newport,1,2019,-2.9792213571428574,51.57644221428571,2,3,0,0,2,30,2,3,3,7
W06000022,Newport,1,2020,-2.9792213571428574,51.57644221428571,6,8,0,3,3,30,2,3,3,7
W06000022,Newport,1,2021,-2.9792213571428574,51.57644221428571,2,4,0,0,2,30,2,3,3,7
W06000022,Newport,1,2022,-2.9792213571428574,51.57644221428571,2,3,0,0,2,30,2,3,3,7
W06000022,Newport,1,2023,-2.9792213571428574,51.57644221428571,0,0,0,0,0,30,2,3,3,7
W06000022,Newport,1,2024,-2.9792213571428574,51.57644221428571,1,1,0,0,0,30,2,3,3,7
W06000022,Newport,1,2025,-2.9792213571428574,51.57644221428571,1,5,0,0,0,30,2,3,3,7
W06000022,Newport,2,2019,-2.92843875,51.5976795,1,1,0,0,1,30,1,6,6,3
W06000022,Newport,2,2020,-2.92843875,51.5976795,1,2,0,0,1,30,1,6,6,3
W06000022,Newport,2,2021,-2.92843875,51.5976795,0,0,0,0,0,30,1,6,6,3
W06000022,Newport,2,2022,-2.92843875,51.5976795,0,0,0,0,0,30,1,6,6,3
W06000022,Newport,2,2023,-2.92843875,51.5976795,1,1,0,0,1,30,1,6,6,3
W06000022,Newport,2,2024,-2.92843875,51.5976795,0,0,0,0,0,30,1,6,6,3
W06000022,Newport,2,2025,-2.92843875,51.5976795,1,1,0,0,0,30,1,6,6,3
W06000022,Newport,3,2019,-2.92526232,51.60220148,8,8,0,1,7,40,2,3,1,1
W06000022,Newport,3,2020,-2.92526232,51.60220148,4,6,0,0,4,40,2,3,1,1
W06000022,Newport,3,2021,-2.92526232,51.60220148,5,9,0,0,5,40,2,3,1,1
W06000022,Newport,3,2022,-2.92526232,51.60220148,2,3,0,0,2,40,2,3,1,1
W06000022,Newport,3,2023,-2.92526232,51.60220148,1,2,0,0,1,40,2,3,1,1
W06000022,Newport,3,2024,-2.92526232,51.60220148,4,5,0,0,0,40,2,3,1,1
W06000022,Newport,3,2025,-2.92526232,51.60220148,1,1,0,0,0,40,2,3,1,1
W06000022,Newport,4,2019,-2.96958975,51.58788275,1,2,0,0,1,30,1,4,6,0
W06000022,Newport,4,2020,-2.96958975,51.58788275,1,4,0,1,0,30,1,4,6,0
W06000022,Newport,4,2021,-2.96958975,51.58788275,1,1,0,0,1,30,1,4,6,0
W06000022,Newport,4,2022,-2.96958975,51.58788275,5,8,0,2,3,30,1,4,6,0
W06000022,Newport,4,2023,-2.96958975,51.58788275,1,1,0,0,1,30,1,4,6,0
W06000022,Newport,4,2024,-2.96958975,51.58788275,3,3,0,0,0,30,1,4,6,0
W06000022,Newport,5,2019,-2.99721425,51.618642,1,1,0,1,0,70,2,3,3,0
W06000022,Newport,5,2020,-2.99721425,51.618642,1,1,0,0,1,70,2,3,3,0
W06000022,Newport,5,2021,-2.99721425,51.618642,0,0,0,0,0,70,2,3,3,0
W06000022,Newport,5,2022,-2.99721425,51.618642,1,1,0,1,0,70,2,3,3,0
W06000022,Newport,5,2023,-2.99721425,51.618642,0,0,0,0,0,70,2,3,3,0
W06000022,Newport,5,2024,-2.99721425,51.618642,1,1,0,0,0,70,2,3,3,0
W06000022,Newport,6,2019,-3.050567846153846,51.55557176923077,4,8,0,1,3,70,2,1,3,0
W06000022,Newport,6,2020,-3.050567846153846,51.55557176923077,0,0,0,0,0,70,2,1,3,0
W06000022,Newport,6,2021,-3.050567846153846,51.55557176923077,0,0,0,0,0,70,2,1,3,0
W06000022,Newport,6,2022,-3.050567846153846,51.55557176923077,4,8,1,0,3,70,2,1,3,0
W06000022,Newport,6,2023,-3.050567846153846,51.55557176923077,1,1,0,0,1,70,2,1,3,0
W06000022,Newport,6,2024,-3.050567846153846,51.55557176923077,3,7,0,0,0,70,2,1,3,0
W06000022,Newport,6,2025,-3.050567846153846,51.55557176923077,1,1,0,0,0,70,2,1,3,0
W06000022,Newport,7,2019,-2.969047333333333,51.58167366666667,4,4,0,2,2,30,1,6,6,0
W06000022,Newport,7,2020,-2.969047333333333,51.58167366666667,0,0,0,0,0,30,1,6,6,0
W06000022,Newport,7,2021,-2.969047333333333,51.58167366666667,0,0,0,0,0,30,1,6,6,0
W06000022,Newport,7,2022,-2.969047333333333,51.58167366666667,1,2,0,0,1,30,1,6,6,0
W06000022,Newport,7,2023,-2.969047333333333,51.58167366666667,3,3,0,1,2,30,1,6,6,0
W06000022,Newport,7,2024,-2.969047333333333,51.58167366666667,1,1,0,0,0,30,1,6,6,0
W06000022,Newport,8,2019,-3.075864833333333,51.595064666666666,1,2,0,1,0,70,1,3,3,0
W06000022,Newport,8,2020,-3.075864833333333,51.595064666666666,1,1,0,0,1,70,1,3,3,0
W06000022,Newport,8,2021,-3.075864833333333,51.595064666666666,0,0,0,0,0,70,1,3,3,0
W06000022,Newport,8,2022,-3.075864833333333,51.595064666666666,1,1,0,0,1,70,1,3,3,0
W06000022,Newport,8,2023,-3.075864833333333,51.595064666666666,1,1,0,1,0,70,1,3,3,0
W06000022,Newport,8,2024,-3.075864833333333,51.595064666666666,2,2,0,0,0,70,1,3,3,0
W06000022,Newport,9,2019,-2.983038083333333,51.59353891666667,5,5,0,0,5,30,1,6,6,3
W06000022,Newport,9,2020,-2.983038083333333,51.59353891666667,1,2,0,0,1,30,1,6,6,3
W06000022,Newport,9,2021,-2.983038083333333,51.59353891666667,3,3,0,0,3,30,1,6,6,3
W06000022,Newport,9,2022,-2.983038083333333,51.59353891666667,4,4,0,2,2,30,1,6,6,3
W06000022,Newport,9,2023,-2.983038083333333,51.59353891666667,7,9,0,0,7,30,1,6,6,3
W06000022,Newport,9,2024,-2.983038083333333,51.59353891666667,3,5,0,0,0,30,1,6,6,3
W06000022,Newport,9,2025,-2.983038083333333,51.59353891666667,1,1,0,0,0,30,1,6,6,3
W06000022,Newport,10,2019,-3.0085895714285713,51.60677964285714,3,4,0,0,3,40,1,3,3,3
W06000022,Newport,10,2020,-3.0085895714285713,51.60677964285714,3,3,0,0,3,40,1,3,3,3
W06000022,Newport,10,2021,-3.0085895714285713,51.60677964285714,4,6,0,2,2,40,1,3,3,3
W06000022,Newport,10,2022,-3.0085895714285713,51.60677964285714,0,0,0,0,0,40,1,3,3,3
W06000022,Newport,10,2023,-3.0085895714285713,51.60677964285714,4,4,0,0,4,40,1,3,3,3
W06000022,Newport,10,2024,-3.0085895714285713,51.60677964285714,0,0,0,0,0,40,1,3,3,3
W06000022,Newport,11,2019,-3.00563225,51.576386916666664,2,4,0,1,1,20,1,4,6,0
W06000022,Newport,11,2020,-3.00563225,51.576386916666664,1,1,0,1,0,20,1,4,6,0
W06000022,Newport,11,2021,-3.00563225,51.576386916666664,1,1,0,0,1,20,1,4,6,0
W06000022,Newport,11,2022,-3.00563225,51.576386916666664,2,2,0,0,2,20,1,4,6,0
W06000022,Newport,11,2023,-3.00563225,51.576386916666664,2,2,0,1,1,20,1,4,6,0
W06000022,Newport,11,2024,-3.00563225,51.576386916666664,1,1,0,0,0,20,1,4,6,0
W06000022,Newport,11,2025,-3.00563225,51.576386916666664,3,3,0,0,0,20,1,4,6,0
W06000022,Newport,12,2019,-3.036761857142857,51.56241214285714,2,3,0,1,1,40,2,3,3,0
W06000022,Newport,12,2020,-3.036761857142857,51.56241214285714,0,0,0,0,0,40,2,3,3,0
W06000022,Newport,12,2021,-3.036761857142857,51.56241214285714,0,0,0,0,0,40,2,3,3,0
W06000022,Newport,12,2022,-3.036761857142857,51.56241214285714,1,2,0,0,1,40,2,3,3,0
W06000022,Newport,12,2023,-3.036761857142857,51.56241214285714,3,4,0,1,2,40,2,3,3,0
W06000022,Newport,12,2024,-3.036761857142857,51.56241214285714,1,1,0,0,0,40,2,3,3,0
W06000022,Newport,13,2019,-2.9963316666666664,51.59446111111111,2,2,0,1,1,30,1,6,6,1
W06000022,Newport,13,2020,-2.9963316666666664,51.59446111111111,1,1,0,0,1,30,1,6,6,1
W06000022,Newport,13,2021,-2.9963316666666664,51.59446111111111,0,0,0,0,0,30,1,6,6,1
W06000022,Newport,13,2022,-2.9963316666666664,51.59446111111111,1,1,0,0,1,30,1,6,6,1
W06000022,Newport,13,2023,-2.9963316666666664,51.59446111111111,2,2,0,0,2,30,1,6,6,1
W06000022,Newport,13,2024,-2.9963316666666664,51.59446111111111,1,1,0,0,0,30,1,6,6,1
W06000022,Newport,13,2025,-2.9963316666666664,51.59446111111111,2,2,0,0,0,30,1,6,6,1
W06000022,Newport,14,2019,-2.997996,51.57804981818182,3,3,0,0,3,30,1,6,6,0
W06000022,Newport,14,2020,-2.997996,51.57804981818182,3,3,0,1,2,30,1,6,6,0
W06000022,Newport,14,2021,-2.997996,51.57804981818182,1,1,0,1,0,30,1,6,6,0
W06000022,Newport,14,2022,-2.997996,51.57804981818182,1,3,0,1,0,30,1,6,6,0
W06000022,Newport,14,2023,-2.997996,51.57804981818182,1,1,0,1,0,30,1,6,6,0
W06000022,Newport,14,2024,-2.997996,51.57804981818182,2,2,0,0,0,30,1,6,6,0
W06000022,Newport,15,2019,-2.973513222222222,51.58201311111111,1,1,0,0,1,30,1,6,6,0
W06000022,Newport,15,2020,-2.973513222222222,51.58201311111111,0,0,0,0,0,30,1,6,6,0
W06000022,Newport,15,2021,-2.973513222222222,51.58201311111111,1,2,0,1,0,30,1,6,6,0
W06000022,Newport,15,2022,-2.973513222222222,51.58201311111111,3,4,0,0,3,30,1,6,6,0
W06000022,Newport,15,2023,-2.973513222222222,51.58201311111111,3,4,0,2,1,30,1,6,6,0
W06000022,Newport,15,2024,-2.973513222222222,51.58201311111111,1,1,0,0,0,30,1,6,6,0
W06000022,Newport,16,2019,-3.07978225,51.54533275,3,3,1,0,2,50,2,3,3,0
W06000022,Newport,16,2020,-3.07978225,51.54533275,2,3,0,1,1,50,2,3,3,0
W06000022,Newport,16,2021,-3.07978225,51.54533275,1,2,0,0,1,50,2,3,3,0
W06000022,Newport,16,2022,-3.07978225,51.54533275,1,1,0,1,0,50,2,3,3,0
W06000022,Newport,16,2023,-3.07978225,51.54533275,0,0,0,0,0,50,2,3,3,0
W06000022,Newport,16,2024,-3.07978225,51.54533275,1,1,0,0,0,50,2,3,3,0
W06000022,Newport,17,2019,-3.0016351,51.5689741,4,4,0,1,3,30,1,6,6,3
W06000022,Newport,17,2020,-3.0016351,51.5689741,0,0,0,0,0,30,1,6,6,3
W06000022,Newport,17,2021,-3.0016351,51.5689741,2,2,0,0,2,30,1,6,6,3
W06000022,Newport,17,2022,-3.0016351,51.5689741,1,2,0,1,0,30,1,6,6,3
W06000022,Newport,17,2023,-3.0016351,51.5689741,1,1,0,0,1,30,1,6,6,3
W06000022,Newport,17,2024,-3.0016351,51.5689741,1,1,0,0,0,30,1,6,6,3
W06000022,Newport,17,2025,-3.0016351,51.5689741,1,1,0,0,0,30,1,6,6,3
W06000022,Newport,18,2019,-2.99025925,51.58215978125,4,6,1,3,0,30,1,6,6,6
W06000022,Newport,18,2020,-2.99025925,51.58215978125,5,8,0,3,2,30,1,6,6,6
W06000022,Newport,18,2021,-2.99025925,51.58215978125,6,9,0,1,5,30,1,6,6,6
W06000022,Newport,18,2022,-2.99025925,51.58215978125,4,4,0,1,3,30,1,6,6,6
W06000022,Newport,18,2023,-2.99025925,51.58215978125,3,3,0,0,3,30,1,6,6,6
W06000022,Newport,18,2024,-2.99025925,51.58215978125,5,5,0,0,0,30,1,6,6,6
W06000022,Newport,18,2025,-2.99025925,51.58215978125,5,5,0,0,0,30,1,6,6,6
W06000022,Newport,19,2019,-2.9637041666666666,51.58782511111111,3,4,1,0,2,30,1,4,6,3
W06000022,Newport,19,2020,-2.9637041666666666,51.58782511111111,2,2,0,1,1,30,1,4,6,3
W06000022,Newport,19,2021,-2.9637041666666666,51.58782511111111,3,3,0,1,2,30,1,4,6,3
W06000022,Newport,19,2022,-2.9637041666666666,51.58782511111111,4,4,0,1,3,30,1,4,6,3
W06000022,Newport,19,2023,-2.9637041666666666,51.58782511111111,1,1,0,1,0,30,1,4,6,3
W06000022,Newport,19,2024,-2.9637041666666666,51.58782511111111,2,2,0,0,0,30,1,4,6,3
W06000022,Newport,19,2025,-2.9637041666666666,51.58782511111111,3,4,0,0,0,30,1,4,6,3
W06000022,Newport,20,2019,-2.994508,51.603724066666665,8,13,0,3,5,70,2,3,3,0
W06000022,Newport,20,2020,-2.994508,51.603724066666665,2,2,0,1,1,70,2,3,3,0
W06000022,Newport,20,2021,-2.994508,51.603724066666665,2,5,0,1,1,70,2,3,3,0
W06000022,Newport,20,2022,-2.994508,51.603724066666665,0,0,0,0,0,70,2,3,3,0
W06000022,Newport,20,2023,-2.994508,51.603724066666665,1,1,0,1,0,70,2,3,3,0
W06000022,Newport,20,2024,-2.994508,51.603724066666665,0,0,0,0,0,70,2,3,3,0
W06000022,Newport,20,2025,-2.994508,51.603724066666665,2,2,0,0,0,70,2,3,3,0
W06000022,Newport,21,2019,-2.978337068965517,51.589485103448276,9,20,0,1,8,30,1,4,6,6
W06000022,Newport,21,2020,-2.978337068965517,51.589485103448276,2,2,0,0,2,30,1,4,6,6
W06000022,Newport,21,2021,-2.978337068965517,51.589485103448276,2,2,0,0,2,30,1,4,6,6
