la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
S12000021,North Ayrshire,1,2019,-4.639483,55.570368,1,1,0,1,0,60,2,6,6,3
S12000021,North Ayrshire,1,2020,-4.639483,55.570368,0,0,0,0,0,60,2,6,6,3
S12000021,North Ayrshire,1,2021,-4.639483,55.570368,0,0,0,0,0,60,2,6,6,3
S12000021,North Ayrshire,1,2022,-4.639483,55.570368,0,0,0,0,0,60,2,6,6,3
S12000021,North Ayrshire,1,2023,-4.639483,55.570368,0,0,0,0,0,60,2,6,6,3
S12000021,North Ayrshire,1,2024,-4.639483,55.570368,0,0,0,0,0,60,2,6,6,3
S12000021,North Ayrshire,2,2019,-4.6948419999999995,55.73913,2,2,1,1,0,60,2,4,6,0
S12000021,North Ayrshire,2,2020,-4.6948419999999995,55.73913,1,1,0,1,0,60,2,4,6,0
S12000021,North Ayrshire,2,2021,-4.6948419999999995,55.73913,0,0,0,0,0,60,2,4,6,0
S12000021,North Ayrshire,2,2022,-4.6948419999999995,55.73913,0,0,0,0,0,60,2,4,6,0
S12000021,North Ayrshire,2,2023,-4.6948419999999995,55.73913,0,0,0,0,0,60,2,4,6,0
S12000021,North Ayrshire,2,2024,-4.6948419999999995,55.73913,1,2,0,0,0,60,2,4,6,0
S12000021,North Ayrshire,3,2019,-4.72424,55.654526,1,1,0,1,0,30,1,6,6,3
S12000021,North Ayrshire,3,2020,-4.72424,55.654526,0,0,0,0,0,30,1,6,6,3
S12000021,North Ayrshire,3,2021,-4.72424,55.654526,0,0,0,0,0,30,1,6,6,3
S12000021,North Ayrshire,3,2022,-4.72424,55.654526,0,0,0,0,0,30,1,6,6,3
S12000021,North Ayrshire,3,2023,-4.72424,55.654526,0,0,0,0,0,30,1,6,6,3
S12000021,North Ayrshire,3,2024,-4.72424,55.654526,0,0,0,0,0,30,1,6,6,3
