la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E06000024,North Somerset,1,2019,-2.835963,51.315239,1,1,0,0,1,30,2,3,6,13
E06000024,North Somerset,1,2020,-2.835963,51.315239,0,0,0,0,0,30,2,3,6,13
E06000024,North Somerset,1,2021,-2.835963,51.315239,0,0,0,0,0,30,2,3,6,13
E06000024,North Somerset,1,2022,-2.835963,51.315239,0,0,0,0,0,30,2,3,6,13
E06000024,North Somerset,1,2023,-2.835963,51.315239,0,0,0,0,0,30,2,3,6,13
E06000024,North Somerset,1,2024,-2.835963,51.315239,2,3,0,0,0,30,2,3,6,13
E06000024,North Somerset,2,2019,-2.870663,51.3697372,2,2,0,0,2,50,2,3,6,3
E06000024,North Somerset,2,2020,-2.870663,51.3697372,1,1,0,0,1,50,2,3,6,3
E06000024,North Somerset,2,2021,-2.870663,51.3697372,2,2,0,1,1,50,2,3,6,3
E06000024,North Somerset,2,2022,-2.870663,51.3697372,0,0,0,0,0,50,2,3,6,3
E06000024,North Somerset,2,2023,-2.870663,51.3697372,0,0,0,0,0,50,2,3,6,3
E06000024,North Somerset,2,2024,-2.870663,51.3697372,0,0,0,0,0,50,2,3,6,3
E06000024,North Somerset,3,2019,-2.893607380952381,51.35866004761905,4,4,0,0,4,40,2,3,1,1
E06000024,North Somerset,3,2020,-2.893607380952381,51.35866004761905,2,2,0,0,2,40,2,3,1,1
E06000024,North Somerset,3,2021,-2.893607380952381,51.35866004761905,5,6,0,1,4,40,2,3,1,1
E06000024,North Somerset,3,2022,-2.893607380952381,51.35866004761905,1,1,0,0,1,40,2,3,1,1
E06000024,North Somerset,3,2023,-2.893607380952381,51.35866004761905,5,5,0,0,5,40,2,3,1,1
E06000024,North Somerset,3,2024,-2.893607380952381,51.35866004761905,4,4,0,0,0,40,2,3,1,1
E06000024,North Somerset,4,2019,-2.838973,51.43248533333333,4,5,0,0,4,40,2,1,3,1
E06000024,North Somerset,4,2020,-2.838973,51.43248533333333,2,3,0,0,2,40,2,1,3,1
E06000024,North Somerset,4,2021,-2.838973,51.43248533333333,2,3,0,0,2,40,2,1,3,1
E06000024,North Somerset,4,2022,-2.838973,51.43248533333333,0,0,0,0,0,40,2,1,3,1
E06000024,North Somerset,4,2023,-2.838973,51.43248533333333,1,1,0,1,0,40,2,1,3,1
E06000024,North Somerset,4,2024,-2.838973,51.43248533333333,0,0,0,0,0,40,2,1,3,1
E06000024,North Somerset,5,2019,-2.8090178947368423,51.37180884210526,4,8,0,2,2,30,2,3,6,3
E06000024,North Somerset,5,2020,-2.8090178947368423,51.37180884210526,3,5,0,1,2,30,2,3,6,3
E06000024,North Somerset,5,2021,-2.8090178947368423,51.37180884210526,2,4,0,2,0,30,2,3,6,3
E06000024,North Somerset,5,2022,-2.8090178947368423,51.37180884210526,4,6,0,1,3,30,2,3,6,3
E06000024,North Somerset,5,2023,-2.8090178947368423,51.37180884210526,4,5,0,1,3,30,2,3,6,3
E06000024,North Somerset,5,2024,-2.8090178947368423,51.37180884210526,2,3,0,0,0,30,2,3,6,3
E06000024,North Somerset,6,2019,-2.855258142857142,51.42715914285714,1,1,0,0,1,30,1,6,6,0
E06000024,North Somerset,6,2020,-2.855258142857142,51.42715914285714,1,1,0,0,1,30,1,6,6,0
E06000024,North Somerset,6,2021,-2.855258142857142,51.42715914285714,2,2,0,0,2,30,1,6,6,0
E06000024,North Somerset,6,2022,-2.855258142857142,51.42715914285714,0,0,0,0,0,30,1,6,6,0
E06000024,North Somerset,6,2023,-2.855258142857142,51.42715914285714,2,2,0,0,2,30,1,6,6,0
E06000024,North Somerset,6,2024,-2.855258142857142,51.42715914285714,1,2,0,0,0,30,1,6,6,0
E06000024,North Somerset,7,2019,-2.6653486666666666,51.42959316666667,3,4,0,0,3,30,2,6,6,0
E06000024,North Somerset,7,2020,-2.6653486666666666,51.42959316666667,1,1,0,0,1,30,2,6,6,0
E06000024,North Somerset,7,2021,-2.6653486666666666,51.42959316666667,2,2,0,1,1,30,2,6,6,0
E06000024,North Somerset,7,2022,-2.6653486666666666,51.42959316666667,0,0,0,0,0,30,2,6,6,0
E06000024,North Somerset,7,2023,-2.6653486666666666,51.42959316666667,0,0,0,0,0,30,2,6,6,0
E06000024,North Somerset,7,2024,-2.6653486666666666,51.42959316666667,0,0,0,0,0,30,2,6,6,0
