la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E08000022,North Tyneside,1,2019,-1.4598525,55.0419355,1,1,0,0,1,30,1,6,6,6
E08000022,North Tyneside,1,2020,-1.4598525,55.0419355,1,1,0,0,1,30,1,6,6,6
E08000022,North Tyneside,1,2021,-1.4598525,55.0419355,0,0,0,0,0,30,1,6,6,6
E08000022,North Tyneside,1,2022,-1.4598525,55.0419355,2,3,0,0,2,30,1,6,6,6
E08000022,North Tyneside,1,2023,-1.4598525,55.0419355,0,0,0,0,0,30,1,6,6,6
E08000022,North Tyneside,1,2024,-1.4598525,55.0419355,0,0,0,0,0,30,1,6,6,6
E08000022,North Tyneside,2,2019,-1.53235116,54.9909658,4,4,0,1,3,30,1,3,6,3
E08000022,North Tyneside,2,2020,-1.53235116,54.9909658,4,5,0,2,2,30,1,3,6,3
E08000022,North Tyneside,2,2021,-1.53235116,54.9909658,9,9,0,3,6,30,1,3,6,3
E08000022,North Tyneside,2,2022,-1.53235116,54.9909658,3,3,0,1,2,30,1,3,6,3
E08000022,North Tyneside,2,2023,-1.53235116,54.9909658,5,6,0,3,2,30,1,3,6,3
E08000022,North Tyneside,2,2024,-1.53235116,54.9909658,0,0,0,0,0,30,1,3,6,3
E08000022,North Tyneside,3,2019,-1.59141575,55.01306125,3,3,0,1,2,30,1,6,6,0
E08000022,North Tyneside,3,2020,-1.59141575,55.01306125,1,1,0,0,1,30,1,6,6,0
E08000022,North Tyneside,3,2021,-1.59141575,55.01306125,0,0,0,0,0,30,1,6,6,0
E08000022,North Tyneside,3,2022,-1.59141575,55.01306125,0,0,0,0,0,30,1,6,6,0
E08000022,North Tyneside,3,2023,-1.59141575,55.01306125,0,0,0,0,0,30,1,6,6,0
E08000022,North Tyneside,3,2024,-1.59141575,55.01306125,0,0,0,0,0,30,1,6,6,0
E08000022,North Tyneside,4,2019,-1.576695,55.013737666666664,2,2,0,1,1,30,1,6,6,0
E08000022,North Tyneside,4,2020,-1.576695,55.013737666666664,0,0,0,0,0,30,1,6,6,0
E08000022,North Tyneside,4,2021,-1.576695,55.013737666666664,1,1,0,0,1,30,1,6,6,0
E08000022,North Tyneside,4,2022,-1.576695,55.013737666666664,0,0,0,0,0,30,1,6,6,0
E08000022,North Tyneside,4,2023,-1.576695,55.013737666666664,0,0,0,0,0,30,1,6,6,0
E08000022,North Tyneside,4,2024,-1.576695,55.013737666666664,0,0,0,0,0,30,1,6,6,0
E08000022,North Tyneside,5,2019,-1.474869,55.01755,3,3,0,0,3,30,1,6,6,0
E08000022,North Tyneside,5,2020,-1.474869,55.01755,2,2,0,0,2,30,1,6,6,0
E08000022,North Tyneside,5,2021,-1.474869,55.01755,0,0,0,0,0,30,1,6,6,0
E08000022,North Tyneside,5,2022,-1.474869,55.01755,0,0,0,0,0,30,1,6,6,0
E08000022,North Tyneside,5,2023,-1.474869,55.01755,2,2,0,0,2,30,1,6,6,0
E08000022,North Tyneside,5,2024,-1.474869,55.01755,0,0,0,0,0,30,1,6,6,0
E08000022,North Tyneside,6,2019,-1.5784805,55.00940141666666,4,5,0,3,1,30,1,3,6,6
E08000022,North Tyneside,6,2020,-1.5784805,55.00940141666666,2,3,0,1,1,30,1,3,6,6
E08000022,North Tyneside,6,2021,-1.5784805,55.00940141666666,2,3,0,0,2,30,1,3,6,6
E08000022,North Tyneside,6,2022,-1.5784805,55.00940141666666,2,2,0,0,2,30,1,3,6,6
E08000022,North Tyneside,6,2023,-1.5784805,55.00940141666666,2,2,0,0,2,30,1,3,6,6
E08000022,North Tyneside,6,2024,-1.5784805,55.00940141666666,0,0,0,0,0,30,1,3,6,6
E08000022,North Tyneside,7,2019,-1.4275727,55.0245058,3,3,0,1,2,30,1,5,6,0
E08000022,North Tyneside,7,2020,-1.4275727,55.0245058,1,1,0,0,1,30,1,5,6,0
E08000022,North Tyneside,7,2021,-1.4275727,55.0245058,1,1,0,0,1,30,1,5,6,0
