la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E06000057,Northumberland,1,2019,-2.2533452,55.144312,1,1,0,1,0,30,2,6,6,0
E06000057,Northumberland,1,2020,-2.2533452,55.144312,0,0,0,0,0,30,2,6,6,0
E06000057,Northumberland,1,2021,-2.2533452,55.144312,1,1,0,0,1,30,2,6,6,0
E06000057,Northumberland,1,2022,-2.2533452,55.144312,2,2,0,1,1,30,2,6,6,0
E06000057,Northumberland,1,2023,-2.2533452,55.144312,1,1,0,1,0,30,2,6,6,0
E06000057,Northumberland,1,2024,-2.2533452,55.144312,0,0,0,0,0,30,2,6,6,0
E06000057,Northumberland,2,2019,-1.7666625,55.603598000000005,1,1,0,0,1,60,2,4,6,0
E06000057,Northumberland,2,2020,-1.7666625,55.603598000000005,1,1,0,0,1,60,2,4,6,0
E06000057,Northumberland,2,2021,-1.7666625,55.603598000000005,0,0,0,0,0,60,2,4,6,0
E06000057,Northumberland,2,2022,-1.7666625,55.603598000000005,0,0,0,0,0,60,2,4,6,0
E06000057,Northumberland,2,2023,-1.7666625,55.603598000000005,0,0,0,0,0,60,2,4,6,0
E06000057,Northumberland,2,2024,-1.7666625,55.603598000000005,0,0,0,0,0,60,2,4,6,0
E06000057,Northumberland,3,2019,-1.5787934571428572,55.06551008571429,13,14,0,2,11,40,2,3,1,1
E06000057,Northumberland,3,2020,-1.5787934571428572,55.06551008571429,5,8,0,0,5,40,2,3,1,1
E06000057,Northumberland,3,2021,-1.5787934571428572,55.06551008571429,3,3,0,1,2,40,2,3,1,1
E06000057,Northumberland,3,2022,-1.5787934571428572,55.06551008571429,6,8,0,0,6,40,2,3,1,1
E06000057,Northumberland,3,2023,-1.5787934571428572,55.06551008571429,8,12,0,0,8,40,2,3,1,1
E06000057,Northumberland,3,2024,-1.5787934571428572,55.06551008571429,0,0,0,0,0,40,2,3,1,1
E06000057,Northumberland,4,2019,-2.0935805,55.731744,1,1,0,1,0,60,2,3,6,9
E06000057,Northumberland,4,2020,-2.0935805,55.731744,0,0,0,0,0,60,2,3,6,9
E06000057,Northumberland,4,2021,-2.0935805,55.731744,1,1,0,1,0,60,2,3,6,9
E06000057,Northumberland,4,2022,-2.0935805,55.731744,0,0,0,0,0,60,2,3,6,9
E06000057,Northumberland,4,2023,-2.0935805,55.731744,0,0,0,0,0,60,2,3,6,9
E06000057,Northumberland,4,2024,-2.0935805,55.731744,0,0,0,0,0,60,2,3,6,9
