la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E06000018,Nottingham,1,2019,-1.1691433260869566,52.97724,14,17,0,1,13,30,1,4,6,3
E06000018,Nottingham,1,2020,-1.1691433260869566,52.97724,9,15,0,1,8,30,1,4,6,3
E06000018,Nottingham,1,2021,-1.1691433260869566,52.97724,6,7,0,0,6,30,1,4,6,3
E06000018,Nottingham,1,2022,-1.1691433260869566,52.97724,7,9,0,1,6,30,1,4,6,3
E06000018,Nottingham,1,2023,-1.1691433260869566,52.97724,10,15,0,5,5,30,1,4,6,3
E06000018,Nottingham,1,2024,-1.1691433260869566,52.97724,0,0,0,0,0,30,1,4,6,3
E06000018,Nottingham,2,2019,-1.1560810222222222,52.954632777777775,9,11,0,1,8,30,1,3,6,3
E06000018,Nottingham,2,2020,-1.1560810222222222,52.954632777777775,8,8,0,0,8,30,1,3,6,3
E06000018,Nottingham,2,2021,-1.1560810222222222,52.954632777777775,7,7,0,1,6,30,1,3,6,3
E06000018,Nottingham,2,2022,-1.1560810222222222,52.954632777777775,10,11,0,0,10,30,1,3,6,3
E06000018,Nottingham,2,2023,-1.1560810222222222,52.954632777777775,11,13,0,4,7,30,1,3,6,3
E06000018,Nottingham,2,2024,-1.1560810222222222,52.954632777777775,0,0,0,0,0,30,1,3,6,3
E06000018,Nottingham,3,2019,-1.209996,53.002282083333334,5,5,1,1,3,30,1,6,6,0
E06000018,Nottingham,3,2020,-1.209996,53.002282083333334,1,1,0,1,0,30,1,6,6,0
E06000018,Nottingham,3,2021,-1.209996,53.002282083333334,1,1,0,0,1,30,1,6,6,0
E06000018,Nottingham,3,2022,-1.209996,53.002282083333334,3,3,0,2,1,30,1,6,6,0
E06000018,Nottingham,3,2023,-1.209996,53.002282083333334,2,2,0,0,2,30,1,6,6,0
E06000018,Nottingham,3,2024,-1.209996,53.002282083333334,0,0,0,0,0,30,1,6,6,0
E06000018,Nottingham,4,2019,-1.134764434782609,52.95517326086957,10,10,0,2,8,30,1,4,6,3
E06000018,Nottingham,4,2020,-1.134764434782609,52.95517326086957,2,2,0,2,0,30,1,4,6,3
E06000018,Nottingham,4,2021,-1.134764434782609,52.95517326086957,5,6,0,1,4,30,1,4,6,3
E06000018,Nottingham,4,2022,-1.134764434782609,52.95517326086957,2,3,0,0,2,30,1,4,6,3
E06000018,Nottingham,4,2023,-1.134764434782609,52.95517326086957,4,4,0,1,3,30,1,4,6,3
E06000018,Nottingham,4,2024,-1.134764434782609,52.95517326086957,0,0,0,0,0,30,1,4,6,3
E06000018,Nottingham,5,2019,-1.222525,52.973926375,6,8,0,1,5,30,1,4,6,3
E06000018,Nottingham,5,2020,-1.222525,52.973926375,3,4,0,0,3,30,1,4,6,3
E06000018,Nottingham,5,2021,-1.222525,52.973926375,2,4,0,0,2,30,1,4,6,3
E06000018,Nottingham,5,2022,-1.222525,52.973926375,4,5,0,0,4,30,1,4,6,3
E06000018,Nottingham,5,2023,-1.222525,52.973926375,1,1,0,1,0,30,1,4,6,3
E06000018,Nottingham,5,2024,-1.222525,52.973926375,0,0,0,0,0,30,1,4,6,3
E06000018,Nottingham,6,2019,-1.1701642592592592,52.95540803703704,7,8,0,2,5,30,1,3,6,3
E06000018,Nottingham,6,2020,-1.1701642592592592,52.95540803703704,4,7,0,1,3,30,1,3,6,3
E06000018,Nottingham,6,2021,-1.1701642592592592,52.95540803703704,3,7,1,1,1,30,1,3,6,3
E06000018,Nottingham,6,2022,-1.1701642592592592,52.95540803703704,6,6,0,2,4,30,1,3,6,3
E06000018,Nottingham,6,2023,-1.1701642592592592,52.95540803703704,7,7,0,4,3,30,1,3,6,3
E06000018,Nottingham,6,2024,-1.1701642592592592,52.95540803703704,0,0,0,0,0,30,1,3,6,3
E06000018,Nottingham,7,2019,-1.1902716,52.9043711,4,4,0,0,4,30,1,3,6,0
