la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
E08000004,Oldham,1,2019,-2.091922,53.551641777777775,2,3,0,1,1,30,1,6,6,6
E08000004,Oldham,1,2020,-2.091922,53.551641777777775,1,1,0,1,0,30,1,6,6,6
E08000004,Oldham,1,2021,-2.091922,53.551641777777775,1,1,0,0,1,30,1,6,6,6
E08000004,Oldham,1,2022,-2.091922,53.551641777777775,0,0,0,0,0,30,1,6,6,6
E08000004,Oldham,1,2023,-2.091922,53.551641777777775,4,7,0,2,2,30,1,6,6,6
E08000004,Oldham,1,2024,-2.091922,53.551641777777775,1,1,0,0,0,30,1,6,6,6
E08000004,Oldham,2,2019,-2.111017590909091,53.525414272727275,5,9,0,0,5,30,1,3,6,3
E08000004,Oldham,2,2020,-2.111017590909091,53.525414272727275,4,5,0,1,3,30,1,3,6,3
E08000004,Oldham,2,2021,-2.111017590909091,53.525414272727275,4,4,1,2,1,30,1,3,6,3
E08000004,Oldham,2,2022,-2.111017590909091,53.525414272727275,1,3,0,1,0,30,1,3,6,3
E08000004,Oldham,2,2023,-2.111017590909091,53.525414272727275,0,0,0,0,0,30,1,3,6,3
E08000004,Oldham,2,2024,-2.111017590909091,53.525414272727275,5,6,0,0,0,30,1,3,6,3
E08000004,Oldham,2,2025,-2.111017590909091,53.525414272727275,3,3,0,0,0,30,1,3,6,3
E08000004,Oldham,3,2019,-2.1002355,53.520692999999994,2,2,0,1,1,30,1,6,6,8
E08000004,Oldham,3,2020,-2.1002355,53.520692999999994,0,0,0,0,0,30,1,6,6,8
E08000004,Oldham,3,2021,-2.1002355,53.520692999999994,0,0,0,0,0,30,1,6,6,8
E08000004,Oldham,3,2022,-2.1002355,53.520692999999994,0,0,0,0,0,30,1,6,6,8
E08000004,Oldham,3,2023,-2.1002355,53.520692999999994,0,0,0,0,0,30,1,6,6,8
E08000004,Oldham,3,2024,-2.1002355,53.520692999999994,0,0,0,0,0,30,1,6,6,8
E08000004,Oldham,4,2019,-2.092957166666667,53.545856416666666,1,1,0,0,1,30,1,3,6,3
E08000004,Oldham,4,2020,-2.092957166666667,53.545856416666666,2,4,0,1,1,30,1,3,6,3
E08000004,Oldham,4,2021,-2.092957166666667,53.545856416666666,2,3,0,0,2,30,1,3,6,3
E08000004,Oldham,4,2022,-2.092957166666667,53.545856416666666,2,2,0,0,2,30,1,3,6,3
E08000004,Oldham,4,2023,-2.092957166666667,53.545856416666666,3,3,0,2,1,30,1,3,6,3
E08000004,Oldham,4,2024,-2.092957166666667,53.545856416666666,2,4,0,0,0,30,1,3,6,3
E08000004,Oldham,5,2019,-2.1086930625,53.5409605,4,4,0,0,4,30,1,6,6,3
E08000004,Oldham,5,2020,-2.1086930625,53.5409605,4,4,0,0,4,30,1,6,6,3
E08000004,Oldham,5,2021,-2.1086930625,53.5409605,1,1,0,0,1,30,1,6,6,3
E08000004,Oldham,5,2022,-2.1086930625,53.5409605,3,4,0,0,3,30,1,6,6,3
E08000004,Oldham,5,2023,-2.1086930625,53.5409605,1,1,0,0,1,30,1,6,6,3
E08000004,Oldham,5,2024,-2.1086930625,53.5409605,2,5,0,0,0,30,1,6,6,3
E08000004,Oldham,5,2025,-2.1086930625,53.5409605,1,1,0,0,0,30,1,6,6,3
E08000004,Oldham,6,2019,-2.1151761190476193,53.538199261904765,6,7,0,1,5,30,1,3,6,0
E08000004,Oldham,6,2020,-2.1151761190476193,53.538199261904765,4,7,0,0,4,30,1,3,6,0
E08000004,Oldham,6,2021,-2.1151761190476193,53.538199261904765,8,18,0,0,8,30,1,3,6,0
E08000004,Oldham,6,2022,-2.1151761190476193,53.538199261904765,6,7,0,1,5,30,1,3,6,0
E08000004,Oldham,6,2023,-2.1151761190476193,53.538199261904765,9,12,0,3,6,30,1,3,6,0
E08000004,Oldham,6,2024,-2.1151761190476193,53.538199261904765,6,6,0,0,0,30,1,3,6,0
E08000004,Oldham,6,2025,-2.1151761190476193,53.538199261904765,3,3,0,0,0,30,1,3,6,0
E08000004,Oldham,7,2019,-2.0757575,53.565339,1,1,0,0,1,30,1,6,6,3
E08000004,Oldham,7,2020,-2.0757575,53.565339,0,0,0,0,0,30,1,6,6,3
E08000004,Oldham,7,2021,-2.0757575,53.565339,2,2,0,1,1,30,1,6,6,3
E08000004,Oldham,7,2022,-2.0757575,53.565339,0,0,0,0,0,30,1,6,6,3
E08000004,Oldham,7,2023,-2.0757575,53.565339,1,1,0,1,0,30,1,6,6,3
E08000004,Oldham,7,2024,-2.0757575,53.565339,0,0,0,0,0,30,1,6,6,3
E08000004,Oldham,8,2019,-2.0958044210526316,53.54224168421053,7,9,0,0,7,30,1,3,6,6
E08000004,Oldham,8,2020,-2.0958044210526316,53.54224168421053,5,7,1,1,3,30,1,3,6,6
E08000004,Oldham,8,2021,-2.0958044210526316,53.54224168421053,1,1,0,1,0,30,1,3,6,6
