la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
S12000023,Orkney Islands,1,2019,-2.994185,58.800308,1,1,1,0,0,60,2,4,6,0
S12000023,Orkney Islands,1,2020,-2.994185,58.800308,0,0,0,0,0,60,2,4,6,0
S12000023,Orkney Islands,1,2021,-2.994185,58.800308,0,0,0,0,0,60,2,4,6,0
S12000023,Orkney Islands,1,2022,-2.994185,58.800308,0,0,0,0,0,60,2,4,6,0
S12000023,Orkney Islands,1,2023,-2.994185,58.800308,0,0,0,0,0,60,2,4,6,0
S12000023,Orkney Islands,1,2024,-2.994185,58.800308,0,0,0,0,0,60,2,4,6,0
S12000023,Orkney Islands,2,2019,-3.17414,59.001437,1,2,0,1,0,60,2,3,6,3
S12000023,Orkney Islands,2,2020,-3.17414,59.001437,0,0,0,0,0,60,2,3,6,3
S12000023,Orkney Islands,2,2021,-3.17414,59.001437,0,0,0,0,0,60,2,3,6,3
S12000023,Orkney Islands,2,2022,-3.17414,59.001437,1,2,0,1,0,60,2,3,6,3
S12000023,Orkney Islands,2,2023,-3.17414,59.001437,0,0,0,0,0,60,2,3,6,3
S12000023,Orkney Islands,2,2024,-3.17414,59.001437,0,0,0,0,0,60,2,3,6,3
S12000023,Orkney Islands,3,2019,-2.95465375,58.97795725,1,1,0,0,1,30,1,6,6,0
S12000023,Orkney Islands,3,2020,-2.95465375,58.97795725,0,0,0,0,0,30,1,6,6,0
S12000023,Orkney Islands,3,2021,-2.95465375,58.97795725,3,3,0,1,2,30,1,6,6,0
S12000023,Orkney Islands,3,2022,-2.95465375,58.97795725,0,0,0,0,0,30,1,6,6,0
S12000023,Orkney Islands,3,2023,-2.95465375,58.97795725,0,0,0,0,0,30,1,6,6,0
S12000023,Orkney Islands,3,2024,-2.95465375,58.97795725,0,0,0,0,0,30,1,6,6,0
S12000023,Orkney Islands,4,2019,-3.282188,59.038736,1,1,0,0,1,60,2,3,6,0
S12000023,Orkney Islands,4,2020,-3.282188,59.038736,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,4,2021,-3.282188,59.038736,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,4,2022,-3.282188,59.038736,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,4,2023,-3.282188,59.038736,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,4,2024,-3.282188,59.038736,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,5,2019,-3.2698555,58.9771495,2,2,0,1,1,60,2,6,6,0
S12000023,Orkney Islands,5,2020,-3.2698555,58.9771495,0,0,0,0,0,60,2,6,6,0
S12000023,Orkney Islands,5,2021,-3.2698555,58.9771495,0,0,0,0,0,60,2,6,6,0
S12000023,Orkney Islands,5,2022,-3.2698555,58.9771495,0,0,0,0,0,60,2,6,6,0
S12000023,Orkney Islands,5,2023,-3.2698555,58.9771495,0,0,0,0,0,60,2,6,6,0
S12000023,Orkney Islands,5,2024,-3.2698555,58.9771495,0,0,0,0,0,60,2,6,6,0
S12000023,Orkney Islands,6,2019,-2.9268865,58.96063,2,3,0,1,1,60,2,3,6,0
S12000023,Orkney Islands,6,2020,-2.9268865,58.96063,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,6,2021,-2.9268865,58.96063,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,6,2022,-2.9268865,58.96063,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,6,2023,-2.9268865,58.96063,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,6,2024,-2.9268865,58.96063,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,7,2019,-3.235051,58.783479,1,1,0,1,0,60,2,4,6,3
S12000023,Orkney Islands,7,2020,-3.235051,58.783479,0,0,0,0,0,60,2,4,6,3
S12000023,Orkney Islands,7,2021,-3.235051,58.783479,0,0,0,0,0,60,2,4,6,3
S12000023,Orkney Islands,7,2022,-3.235051,58.783479,0,0,0,0,0,60,2,4,6,3
S12000023,Orkney Islands,7,2023,-3.235051,58.783479,0,0,0,0,0,60,2,4,6,3
S12000023,Orkney Islands,7,2024,-3.235051,58.783479,0,0,0,0,0,60,2,4,6,3
S12000023,Orkney Islands,8,2019,-2.842858,58.962068,1,1,0,0,1,60,2,6,6,9
S12000023,Orkney Islands,8,2020,-2.842858,58.962068,0,0,0,0,0,60,2,6,6,9
S12000023,Orkney Islands,8,2021,-2.842858,58.962068,0,0,0,0,0,60,2,6,6,9
S12000023,Orkney Islands,8,2022,-2.842858,58.962068,0,0,0,0,0,60,2,6,6,9
S12000023,Orkney Islands,8,2023,-2.842858,58.962068,0,0,0,0,0,60,2,6,6,9
S12000023,Orkney Islands,8,2024,-2.842858,58.962068,0,0,0,0,0,60,2,6,6,9
S12000023,Orkney Islands,9,2019,-2.913165,58.846685,1,1,0,0,1,40,2,3,6,0
S12000023,Orkney Islands,9,2020,-2.913165,58.846685,0,0,0,0,0,40,2,3,6,0
S12000023,Orkney Islands,9,2021,-2.913165,58.846685,0,0,0,0,0,40,2,3,6,0
S12000023,Orkney Islands,9,2022,-2.913165,58.846685,0,0,0,0,0,40,2,3,6,0
S12000023,Orkney Islands,9,2023,-2.913165,58.846685,0,0,0,0,0,40,2,3,6,0
S12000023,Orkney Islands,9,2024,-2.913165,58.846685,0,0,0,0,0,40,2,3,6,0
S12000023,Orkney Islands,10,2019,-3.183591,58.9959255,2,3,0,1,1,60,2,3,6,3
S12000023,Orkney Islands,10,2020,-3.183591,58.9959255,0,0,0,0,0,60,2,3,6,3
S12000023,Orkney Islands,10,2021,-3.183591,58.9959255,0,0,0,0,0,60,2,3,6,3
S12000023,Orkney Islands,10,2022,-3.183591,58.9959255,0,0,0,0,0,60,2,3,6,3
S12000023,Orkney Islands,10,2023,-3.183591,58.9959255,0,0,0,0,0,60,2,3,6,3
S12000023,Orkney Islands,10,2024,-3.183591,58.9959255,0,0,0,0,0,60,2,3,6,3
S12000023,Orkney Islands,11,2019,-3.05685,58.988338,1,1,0,0,1,60,2,6,6,0
S12000023,Orkney Islands,11,2020,-3.05685,58.988338,0,0,0,0,0,60,2,6,6,0
S12000023,Orkney Islands,11,2021,-3.05685,58.988338,0,0,0,0,0,60,2,6,6,0
S12000023,Orkney Islands,11,2022,-3.05685,58.988338,0,0,0,0,0,60,2,6,6,0
S12000023,Orkney Islands,11,2023,-3.05685,58.988338,0,0,0,0,0,60,2,6,6,0
S12000023,Orkney Islands,11,2024,-3.05685,58.988338,0,0,0,0,0,60,2,6,6,0
S12000023,Orkney Islands,12,2019,-3.2475565,58.9834605,2,2,0,0,2,60,2,3,6,3
S12000023,Orkney Islands,12,2020,-3.2475565,58.9834605,0,0,0,0,0,60,2,3,6,3
S12000023,Orkney Islands,12,2021,-3.2475565,58.9834605,0,0,0,0,0,60,2,3,6,3
S12000023,Orkney Islands,12,2022,-3.2475565,58.9834605,0,0,0,0,0,60,2,3,6,3
S12000023,Orkney Islands,12,2023,-3.2475565,58.9834605,0,0,0,0,0,60,2,3,6,3
S12000023,Orkney Islands,12,2024,-3.2475565,58.9834605,0,0,0,0,0,60,2,3,6,3
S12000023,Orkney Islands,13,2019,-2.984744,58.966526,1,2,1,0,0,60,2,3,6,0
S12000023,Orkney Islands,13,2020,-2.984744,58.966526,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,13,2021,-2.984744,58.966526,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,13,2022,-2.984744,58.966526,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,13,2023,-2.984744,58.966526,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,13,2024,-2.984744,58.966526,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,14,2019,-2.958598,58.803245,1,1,0,0,1,60,2,3,6,0
S12000023,Orkney Islands,14,2020,-2.958598,58.803245,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,14,2021,-2.958598,58.803245,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,14,2022,-2.958598,58.803245,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,14,2023,-2.958598,58.803245,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,14,2024,-2.958598,58.803245,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,15,2019,-2.563425,59.259179,1,1,0,0,1,60,2,6,6,0
S12000023,Orkney Islands,15,2020,-2.563425,59.259179,0,0,0,0,0,60,2,6,6,0
S12000023,Orkney Islands,15,2021,-2.563425,59.259179,0,0,0,0,0,60,2,6,6,0
S12000023,Orkney Islands,15,2022,-2.563425,59.259179,0,0,0,0,0,60,2,6,6,0
S12000023,Orkney Islands,15,2023,-2.563425,59.259179,0,0,0,0,0,60,2,6,6,0
S12000023,Orkney Islands,15,2024,-2.563425,59.259179,0,0,0,0,0,60,2,6,6,0
S12000023,Orkney Islands,16,2019,-3.184246,59.032986,1,1,0,0,1,60,2,3,6,0
S12000023,Orkney Islands,16,2020,-3.184246,59.032986,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,16,2021,-3.184246,59.032986,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,16,2022,-3.184246,59.032986,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,16,2023,-3.184246,59.032986,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,16,2024,-3.184246,59.032986,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,17,2019,-2.9615092857142855,58.98236342857143,2,2,0,0,2,30,1,3,6,6
S12000023,Orkney Islands,17,2020,-2.9615092857142855,58.98236342857143,2,2,0,1,1,30,1,3,6,6
S12000023,Orkney Islands,17,2021,-2.9615092857142855,58.98236342857143,2,2,1,1,0,30,1,3,6,6
S12000023,Orkney Islands,17,2022,-2.9615092857142855,58.98236342857143,1,1,0,1,0,30,1,3,6,6
S12000023,Orkney Islands,17,2023,-2.9615092857142855,58.98236342857143,0,0,0,0,0,30,1,3,6,6
S12000023,Orkney Islands,17,2024,-2.9615092857142855,58.98236342857143,0,0,0,0,0,30,1,3,6,6
S12000023,Orkney Islands,18,2019,-3.278258,59.075113,1,1,0,0,1,60,2,3,6,6
S12000023,Orkney Islands,18,2020,-3.278258,59.075113,0,0,0,0,0,60,2,3,6,6
S12000023,Orkney Islands,18,2021,-3.278258,59.075113,0,0,0,0,0,60,2,3,6,6
S12000023,Orkney Islands,18,2022,-3.278258,59.075113,0,0,0,0,0,60,2,3,6,6
S12000023,Orkney Islands,18,2023,-3.278258,59.075113,0,0,0,0,0,60,2,3,6,6
S12000023,Orkney Islands,18,2024,-3.278258,59.075113,0,0,0,0,0,60,2,3,6,6
S12000023,Orkney Islands,19,2019,-2.9391675,58.9621315,1,1,0,0,1,60,2,3,6,0
S12000023,Orkney Islands,19,2020,-2.9391675,58.9621315,1,1,0,0,1,60,2,3,6,0
S12000023,Orkney Islands,19,2021,-2.9391675,58.9621315,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,19,2022,-2.9391675,58.9621315,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,19,2023,-2.9391675,58.9621315,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,19,2024,-2.9391675,58.9621315,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,20,2019,-2.992623,58.99622,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,20,2020,-2.992623,58.99622,1,1,0,0,1,60,2,3,6,0
S12000023,Orkney Islands,20,2021,-2.992623,58.99622,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,20,2022,-2.992623,58.99622,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,20,2023,-2.992623,58.99622,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,20,2024,-2.992623,58.99622,0,0,0,0,0,60,2,3,6,0
S12000023,Orkney Islands,21,2019,-3.232338,59.004317,0,0,0,0,0,60,2,4,6,0
