la_code,la_name,cluster_id,year,centroid_lon,centroid_lat,n_collisions,n_casualties,n_fatal,n_serious,n_slight,speed_limit,urban_or_rural,first_road_class,road_type,junction_detail
W06000009,Pembrokeshire,1,2019,-4.634782,51.784039,1,1,0,0,1,60,2,6,6,0
W06000009,Pembrokeshire,1,2020,-4.634782,51.784039,0,0,0,0,0,60,2,6,6,0
W06000009,Pembrokeshire,1,2021,-4.634782,51.784039,0,0,0,0,0,60,2,6,6,0
W06000009,Pembrokeshire,1,2022,-4.634782,51.784039,0,0,0,0,0,60,2,6,6,0
W06000009,Pembrokeshire,1,2023,-4.634782,51.784039,0,0,0,0,0,60,2,6,6,0
W06000009,Pembrokeshire,1,2024,-4.634782,51.784039,0,0,0,0,0,60,2,6,6,0
W06000009,Pembrokeshire,2,2019,-4.994122,51.9470824,2,7,1,0,1,60,2,3,6,0
W06000009,Pembrokeshire,2,2020,-4.994122,51.9470824,0,0,0,0,0,60,2,3,6,0
W06000009,Pembrokeshire,2,2021,-4.994122,51.9470824,2,8,0,1,1,60,2,3,6,0
W06000009,Pembrokeshire,2,2022,-4.994122,51.9470824,0,0,0,0,0,60,2,3,6,0
W06000009,Pembrokeshire,2,2023,-4.994122,51.9470824,1,1,0,0,1,60,2,3,6,0
W06000009,Pembrokeshire,2,2024,-4.994122,51.9470824,0,0,0,0,0,60,2,3,6,0
W06000009,Pembrokeshire,3,2019,-5.102773,51.780498333333334,2,2,0,1,1,30,2,4,6,3
W06000009,Pembrokeshire,3,2020,-5.102773,51.780498333333334,1,2,0,1,0,30,2,4,6,3
W06000009,Pembrokeshire,3,2021,-5.102773,51.780498333333334,0,0,0,0,0,30,2,4,6,3
W06000009,Pembrokeshire,3,2022,-5.102773,51.780498333333334,0,0,0,0,0,30,2,4,6,3
W06000009,Pembrokeshire,3,2023,-5.102773,51.780498333333334,0,0,0,0,0,30,2,4,6,3
W06000009,Pembrokeshire,3,2024,-5.102773,51.780498333333334,0,0,0,0,0,30,2,4,6,3
W06000009,Pembrokeshire,4,2019,-4.888844,51.695684,1,1,0,0,1,40,2,6,6,0
W06000009,Pembrokeshire,4,2020,-4.888844,51.695684,0,0,0,0,0,40,2,6,6,0
W06000009,Pembrokeshire,4,2021,-4.888844,51.695684,0,0,0,0,0,40,2,6,6,0
W06000009,Pembrokeshire,4,2022,-4.888844,51.695684,0,0,0,0,0,40,2,6,6,0
W06000009,Pembrokeshire,4,2023,-4.888844,51.695684,0,0,0,0,0,40,2,6,6,0
W06000009,Pembrokeshire,4,2024,-4.888844,51.695684,0,0,0,0,0,40,2,6,6,0
W06000009,Pembrokeshire,5,2019,-4.9911460000000005,51.98576716666666,2,5,1,0,1,60,2,3,6,3
W06000009,Pembrokeshire,5,2020,-4.9911460000000005,51.98576716666666,0,0,0,0,0,60,2,3,6,3
W06000009,Pembrokeshire,5,2021,-4.9911460000000005,51.98576716666666,2,5,0,0,2,60,2,3,6,3
W06000009,Pembrokeshire,5,2022,-4.9911460000000005,51.98576716666666,1,1,0,0,1,60,2,3,6,3
W06000009,Pembrokeshire,5,2023,-4.9911460000000005,51.98576716666666,1,1,0,0,1,60,2,3,6,3
W06000009,Pembrokeshire,5,2024,-4.9911460000000005,51.98576716666666,0,0,0,0,0,60,2,3,6,3
W06000009,Pembrokeshire,6,2019,-4.987379,51.784387,1,2,1,0,0,60,2,3,6,0
W06000009,Pembrokeshire,6,2020,-4.987379,51.784387,2,3,0,0,2,60,2,3,6,0
W06000009,Pembrokeshire,6,2021,-4.987379,51.784387,2,4,0,1,1,60,2,3,6,0
W06000009,Pembrokeshire,6,2022,-4.987379,51.784387,4,5,0,0,4,60,2,3,6,0
W06000009,Pembrokeshire,6,2023,-4.987379,51.784387,0,0,0,0,0,60,2,3,6,0
W06000009,Pembrokeshire,6,2024,-4.987379,51.784387,0,0,0,0,0,60,2,3,6,0
W06000009,Pembrokeshire,7,2019,-4.73106,51.656649,1,2,0,0,1,60,2,3,6,3
W06000009,Pembrokeshire,7,2020,-4.73106,51.656649,0,0,0,0,0,60,2,3,6,3
W06000009,Pembrokeshire,7,2021,-4.73106,51.656649,0,0,0,0,0,60,2,3,6,3
W06000009,Pembrokeshire,7,2022,-4.73106,51.656649,0,0,0,0,0,60,2,3,6,3
W06000009,Pembrokeshire,7,2023,-4.73106,51.656649,0,0,0,0,0,60,2,3,6,3
W06000009,Pembrokeshire,7,2024,-4.73106,51.656649,0,0,0,0,0,60,2,3,6,3
W06000009,Pembrokeshire,8,2019,-5.015400666666666,51.95905833333333,1,1,0,0,1,60,2,6,6,0
W06000009,Pembrokeshire,8,2020,-5.015400666666666,51.95905833333333,1,1,0,0,1,60,2,6,6,0
W06000009,Pembrokeshire,8,2021,-5.015400666666666,51.95905833333333,0,0,0,0,0,60,2,6,6,0
W06000009,Pembrokeshire,8,2022,-5.015400666666666,51.95905833333333,0,0,0,0,0,60,2,6,6,0
W06000009,Pembrokeshire,8,2023,-5.015400666666666,51.95905833333333,1,1,0,1,0,60,2,6,6,0
W06000009,Pembrokeshire,8,2024,-5.015400666666666,51.95905833333333,0,0,0,0,0,60,2,6,6,0
W06000009,Pembrokeshire,9,2019,-5.036788,51.795474,1,1,0,0,1,60,2,4,6,0
W06000009,Pembrokeshire,9,2020,-5.036788,51.795474,0,0,0,0,0,60,2,4,6,0
W06000009,Pembrokeshire,9,2021,-5.036788,51.795474,0,0,0,0,0,60,2,4,6,0
W06000009,Pembrokeshire,9,2022,-5.036788,51.795474,0,0,0,0,0,60,2,4,6,0
W06000009,Pembrokeshire,9,2023,-5.036788,51.795474,0,0,0,0,0,60,2,4,6,0
W06000009,Pembrokeshire,9,2024,-5.036788,51.795474,0,0,0,0,0,60,2,4,6,0
W06000009,Pembrokeshire,10,2019,-5.245672,51.888378,1,1,0,0,1,60,2,3,6,0
W06000009,Pembrokeshire,10,2020,-5.245672,51.888378,0,0,0,0,0,60,2,3,6,0
W06000009,Pembrokeshire,10,2021,-5.245672,51.888378,0,0,0,0,0,60,2,3,6,0
W06000009,Pembrokeshire,10,2022,-5.245672,51.888378,0,0,0,0,0,60,2,3,6,0
W06000009,Pembrokeshire,10,2023,-5.245672,51.888378,0,0,0,0,0,60,2,3,6,0
W06000009,Pembrokeshire,10,2024,-5.245672,51.888378,0,0,0,0,0,60,2,3,6,0
W06000009,Pembrokeshire,11,2019,-4.78791675,51.74834425,2,2,0,0,2,60,2,4,6,6
W06000009,Pembrokeshire,11,2020,-4.78791675,51.74834425,1,1,0,0,1,60,2,4,6,6
W06000009,Pembrokeshire,11,2021,-4.78791675,51.74834425,1,1,0,0,1,60,2,4,6,6
W06000009,Pembrokeshire,11,2022,-4.78791675,51.74834425,0,0,0,0,0,60,2,4,6,6
W06000009,Pembrokeshire,11,2023,-4.78791675,51.74834425,0,0,0,0,0,60,2,4,6,6
W06000009,Pembrokeshire,11,2024,-4.78791675,51.74834425,0,0,0,0,0,60,2,4,6,6
W06000009,Pembrokeshire,12,2019,-4.811465,51.985357,1,1,0,1,0,60,2,6,6,0
W06000009,Pembrokeshire,12,2020,-4.811465,51.985357,0,0,0,0,0,60,2,6,6,0
